Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Advent of the Wurm	{1}{G}{G}{W}	None	Instant	None	Put a 5/5 green Wurm creature token with trample onto the battlefield.		
Ætherling	{4}{U}{U}	None	Creature	Shapeshifter	{U}: Exile Ætherling. Return it to the battlefield under its owner's control at the beginning of the next end step.|{U}: Ætherling can't be blocked this turn.|{1}: Ætherling gets +1/-1 until end of turn.|{1}: Ætherling gets -1/+1 until end of turn.	4	5
Alive // Well (Alive)	{3}{G}	None	Sorcery	None	Put a 3/3 green Centaur creature token onto the battlefield.|Fuse (You may cast one or both halves of this card from your hand.)		
Armed // Dangerous (Armed)	{1}{R}	None	Sorcery	None	Target creature gets +1/+1 and gains double strike until end of turn.|Fuse (You may cast one or both halves of this card from your hand.)		
Armored Wolf-Rider	{3}{G}{W}	None	Creature	Elf,Knight		4	6
Ascended Lawmage	{2}{W}{U}	None	Creature	Vedalken,Wizard	Flying, hexproof	3	2
Far // Away (Away)	{2}{B}	None	Instant	None	Target player sacrifices a creature.|Fuse (You may cast one or both halves of this card from your hand.)		
Awe for the Guilds	{2}{R}	None	Sorcery	None	Monocolored creatures can't block this turn.		
Azorius Cluestone	{3}	None	Artifact	None	{T}: Add {W} or {U} to your mana pool.|{W}{U}, {T}, Sacrifice Azorius Cluestone: Draw a card.		
Azorius Guildgate		None	Land	Gate	Azorius Guildgate enters the battlefield tapped.|{T}: Add {W} or {U} to your mana pool.		
Bane Alley Blackguard	{1}{B}	None	Creature	Human,Rogue		1	3
Battering Krasis	{2}{G}	None	Creature	Fish,Beast	Trample|Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)	2	1
Beck // Call (Beck)	{G}{U}	None	Sorcery	None	Whenever a creature enters the battlefield this turn, you may draw a card.|Fuse (You may cast one or both halves of this card from your hand.)		
Beetleform Mage	{1}{G}{U}	None	Creature	Human,Insect,Wizard	{G}{U}: Beetleform Mage gets +2/+2 and gains flying until end of turn. Activate this ability only once each turn.	2	2
Blast of Genius	{4}{U}{R}	None	Sorcery	None	Choose target creature or player. Draw three cards, then discard a card. Blast of Genius deals damage equal to the discarded card's converted mana cost to that creature or player.		
Blaze Commando	{3}{R}{W}	None	Creature	Minotaur,Soldier	Whenever an instant or sorcery spell you control deals damage, put two 1/1 red and white Soldier creature tokens with haste onto the battlefield.	5	3
Flesh // Blood (Blood)	{R}{G}	None	Sorcery	None	Target creature you control deals damage equal to its power to target creature or player.|Fuse (You may cast one or both halves of this card from your hand.)		
Blood Baron of Vizkopa	{3}{W}{B}	None	Creature	Vampire	Lifelink, protection from white and from black|As long as you have 30 or more life and an opponent has 10 or less life, Blood Baron of Vizkopa gets +6/+6 and has flying.	4	4
Blood Scrivener	{1}{B}	None	Creature	Zombie,Wizard	If you would draw a card while you have no cards in hand, instead draw two cards and lose 1 life.	2	1
Boros Battleshaper	{5}{R}{W}	None	Creature	Minotaur,Soldier	At the beginning of each combat, up to one target creature attacks or blocks this combat if able and up to one target creature can't attack or block this combat.	5	5
Boros Cluestone	{3}	None	Artifact	None	{T}: Add {R} or {W} to your mana pool.|{R}{W}, {T}, Sacrifice Boros Cluestone: Draw a card.		
Boros Guildgate		None	Land	Gate	Boros Guildgate enters the battlefield tapped.|{T}: Add {R} or {W} to your mana pool.		
Boros Mastiff	{1}{W}	None	Creature	Hound	Battalion - Whenever Boros Mastiff and at least two other creatures attack, Boros Mastiff gains lifelink until end of turn. (Damage dealt by a creature with lifelink also causes its controller to gain that much life.)	2	2
Breaking // Entering (Breaking)	{U}{B}	None	Sorcery	None	Target player puts the top eight cards of his or her library into his or her graveyard.|Fuse (You may cast one or both halves of this card from your hand.)		
Bred for the Hunt	{1}{G}{U}	None	Enchantment	None	Whenever a creature you control with a +1/+1 counter on it deals combat damage to a player, you may draw a card.		
Bronzebeak Moa	{2}{G}{W}	None	Creature	Bird	Whenever another creature enters the battlefield under your control, Bronzebeak Moa gets +3/+3 until end of turn.	2	2
Turn // Burn (Burn)	{1}{R}	None	Instant	None	Burn deals 2 damage to target creature or player.|Fuse (You may cast one or both halves of this card from your hand.)		
Beck // Call (Call)	{4}{W}{U}	None	Sorcery	None	Put four 1/1 white Bird creature tokens with flying onto the battlefield.|Fuse (You may cast one or both halves of this card from your hand.)		
Carnage Gladiator	{2}{B}{R}	None	Creature	Skeleton,Warrior	Whenever a creature blocks, that creature's controller loses 1 life.|{1}{B}{R}: Regenerate Carnage Gladiator.	4	2
Catch // Release (Catch)	{1}{U}{R}	None	Sorcery	None	Gain control of target permanent until end of turn. Untap it. It gains haste until end of turn.|Fuse (You may cast one or both halves of this card from your hand.)		
Clear a Path	{R}	None	Sorcery	None	Destroy target creature with defender.		
Council of the Absolute	{2}{W}{U}	None	Creature	Human,Advisor	As Council of the Absolute enters the battlefield, name a card other than a creature or land card.|Your opponents can't cast cards with the chosen name.|Spells with the chosen name you cast cost {2} less to cast.	2	4
Crypt Incursion	{2}{B}	None	Instant	None	Exile all creature cards from target player's graveyard. You gain 3 life for each card exiled this way.		
Armed // Dangerous (Dangerous)	{3}{G}	None	Sorcery	None	All creatures able to block target creature this turn do so.|Fuse (You may cast one or both halves of this card from your hand.)		
Deadbridge Chant	{4}{B}{G}	None	Enchantment	None	When Deadbridge Chant enters the battlefield, put the top ten cards of your library into your graveyard.|At the beginning of your upkeep, choose a card at random in your graveyard. If it's a creature card, put it onto the battlefield. Otherwise, put it into your hand.		
Debt to the Deathless	{X}{W}{W}{B}{B}	None	Sorcery	None	Each opponent loses two times X life. You gain life equal to the life lost this way.		
Deputy of Acquittals	{W}{U}	None	Creature	Human,Wizard	Flash (You may cast this spell any time you could cast an instant.)|When Deputy of Acquittals enters the battlefield, you may return another target creature you control to its owner's hand.	2	2
Dimir Cluestone	{3}	None	Artifact	None	{T}: Add {U} or {B} to your mana pool.|{U}{B}, {T}, Sacrifice Dimir Cluestone: Draw a card.		
Dimir Guildgate		None	Land	Gate	Dimir Guildgate enters the battlefield tapped.|{T}: Add {U} or {B} to your mana pool.		
Down // Dirty (Dirty)	{2}{G}	None	Sorcery	None	Return target card from your graveyard to your hand.|Fuse (You may cast one or both halves of this card from your hand.)		
Down // Dirty (Down)	{3}{B}	None	Sorcery	None	Target player discards two cards.|Fuse (You may cast one or both halves of this card from your hand.)		
Dragonshift	{1}{U}{R}	None	Instant	None	Until end of turn, target creature you control becomes a 4/4 blue and red Dragon, loses all abilities, and gains flying.|Overload {3}{U}{U}{R}{R} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of 'target' with 'each.')		
Drown in Filth	{B}{G}	None	Sorcery	None	Choose target creature. Put the top four cards of your library into your graveyard, then that creature gets -1/-1 until end of turn for each land card in your graveyard.		
Emmara Tandris	{5}{G}{W}	Legendary	Creature	Elf,Shaman	Prevent all damage that would be dealt to creature tokens you control.	5	7
Breaking // Entering (Entering)	{4}{B}{R}	None	Sorcery	None	Put a creature card from a graveyard onto the battlefield under your control. It gains haste until end of turn.|Fuse (You may cast one or both halves of this card from your hand.)		
Exava, Rakdos Blood Witch	{2}{B}{R}	Legendary	Creature	Human,Cleric	First strike, haste|Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)|Each other creature you control with a +1/+1 counter on it has haste.	3	3
Far // Away (Far)	{1}{U}	None	Instant	None	Return target creature to its owner's hand.|Fuse (You may cast one or both halves of this card from your hand.)		
Fatal Fumes	{3}{B}	None	Instant	None	Target creature gets -4/-2 until end of turn.		
Feral Animist	{1}{R}{G}	None	Creature	Goblin,Shaman	{3}: Feral Animist gets +X/+0 until end of turn, where X is its power.	2	1
Flesh // Blood (Flesh)	{3}{B}{G}	None	Sorcery	None	Exile target creature card from a graveyard. Put X +1/+1 counters on target creature, where X is the power of the card you exiled.|Fuse (You may cast one or both halves of this card from your hand.)		
Fluxcharger	{2}{U}{R}	None	Creature	Weird	Flying|Whenever you cast an instant or sorcery spell, you may switch Fluxcharger's power and toughness until end of turn.	1	5
Gaze of Granite	{X}{B}{B}{G}	None	Sorcery	None	Destroy each nonland permanent with converted mana cost X or less.		
Give // Take (Give)	{2}{G}	None	Sorcery	None	Put three +1/+1 counters on target creature.|Fuse (You may cast one or both halves of this card from your hand.)		
Gleam of Battle	{4}{R}{W}	None	Enchantment	None	Whenever a creature you control attacks, put a +1/+1 counter on it.		
Goblin Test Pilot	{1}{U}{R}	None	Creature	Goblin,Wizard	Flying|{T}: Goblin Test Pilot deals 2 damage to target creature or player chosen at random.	0	2
Golgari Cluestone	{3}	None	Artifact	None	{T}: Add {B} or {G} to your mana pool.|{B}{G}, {T}, Sacrifice Golgari Cluestone: Draw a card.		
Golgari Guildgate		None	Land	Gate	Golgari Guildgate enters the battlefield tapped.|{T}: Add {B} or {G} to your mana pool.		
Gruul Cluestone	{3}	None	Artifact	None	{T}: Add {R} or {G} to your mana pool.|{R}{G}, {T}, Sacrifice Gruul Cluestone: Draw a card.		
Gruul Guildgate		None	Land	Gate	Gruul Guildgate enters the battlefield tapped.|{T}: Add {R} or {G} to your mana pool.		
Gruul War Chant	{2}{R}{G}	None	Enchantment	None	Each attacking creature you control gets +1/+0 and can't be blocked except by two or more creatures.		
Haazda Snare Squad	{2}{W}	None	Creature	Human,Soldier	Whenever Haazda Snare Squad attacks, you may pay {W}. If you do, tap target creature an opponent controls.	1	4
Haunter of Nightveil	{3}{U}{B}	None	Creature	Spirit	Creatures your opponents control get -1/-0.	3	4
Hidden Strings	{1}{U}	None	Sorcery	None	You may tap or untap target permanent, then you may tap or untap another target permanent.|Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)		
Hired Torturer	{2}{B}	None	Creature	Human,Rogue	Defender|{3}{B}, {T}: Target opponent loses 2 life, then reveals a card at random from his or her hand.	2	3
