Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Acidic Slime	{3}{G}{G}	None	Creature	Ooze	Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)|When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.	2	2
Act of Treason	{2}{R}	None	Sorcery	None	Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.)		
Æther Adept	{1}{U}{U}	None	Creature	Human,Wizard	When Æther Adept enters the battlefield, return target creature to its owner's hand.	2	2
Air Servant	{4}{U}	None	Creature	Elemental	Flying|{2}{U}: Tap target creature with flying.	4	3
Ajani Goldmane	{2}{W}{W}	None	Planeswalker	Ajani	+1: You gain 2 life.|-1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.|-6: Put a white Avatar creature token onto the battlefield. It has 'This creature's power and toughness are each equal to your life total.'		
Ajani's Mantra	{1}{W}	None	Enchantment	None	At the beginning of your upkeep, you may gain 1 life.		
Ajani's Pridemate	{1}{W}	None	Creature	Cat,Soldier	Whenever you gain life, you may put a +1/+1 counter on Ajani's Pridemate. (For example, if an effect causes you to gain 3 life, you may put one +1/+1 counter on this creature.)	2	2
Alluring Siren	{1}{U}	None	Creature	Siren	{T}: Target creature an opponent controls attacks you this turn if able.	1	1
Ancient Hellkite	{4}{R}{R}{R}	None	Creature	Dragon	Flying|{R}: Ancient Hellkite deals 1 damage to target creature defending player controls. Activate this ability only if Ancient Hellkite is attacking.	6	6
Angelic Arbiter	{5}{W}{W}	None	Creature	Angel	Flying|Each opponent who cast a spell this turn can't attack with creatures.|Each opponent who attacked with a creature this turn can't cast spells.	5	6
Angel's Feather	{2}	None	Artifact	None	Whenever a player casts a white spell, you may gain 1 life.		
Arc Runner	{2}{R}	None	Creature	Elemental,Ox	Haste (This creature can attack and {T} as soon as it comes under your control.)|At the beginning of the end step, sacrifice Arc Runner.	5	1
Armored Ascension	{3}{W}	None	Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+1 for each Plains you control and has flying.		
Armored Cancrix	{4}{U}	None	Creature	Crab		2	5
Assassinate	{2}{B}	None	Sorcery	None	Destroy target tapped creature.		
Assault Griffin	{3}{W}	None	Creature	Griffin	Flying	3	2
Augury Owl	{1}{U}	None	Creature	Bird	Flying|When Augury Owl enters the battlefield, scry 3. (To scry 3, look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)	1	1
Autumn's Veil	{G}	None	Instant	None	Spells you control can't be countered by blue or black spells this turn, and creatures you control can't be the targets of blue or black spells this turn.		
Awakener Druid	{2}{G}	None	Creature	Human,Druid	When Awakener Druid enters the battlefield, target Forest becomes a 4/5 green Treefolk creature for as long as Awakener Druid remains on the battlefield. It's still a land.	1	1
Azure Drake	{3}{U}	None	Creature	Drake	Flying	2	4
Back to Nature	{1}{G}	None	Instant	None	Destroy all enchantments.		
Baneslayer Angel	{3}{W}{W}	None	Creature	Angel	Flying, first strike, lifelink, protection from Demons and from Dragons	5	5
Barony Vampire	{2}{B}	None	Creature	Vampire		3	2
Berserkers of Blood Ridge	{4}{R}	None	Creature	Human,Berserker	Berserkers of Blood Ridge attacks each turn if able.	4	4
Birds of Paradise	{G}	None	Creature	Bird	Flying|{T}: Add one mana of any color to your mana pool.	0	1
Black Knight	{B}{B}	None	Creature	Human,Knight	First strike (This creature deals combat damage before creatures without first strike.)|Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)	2	2
Blinding Mage	{1}{W}	None	Creature	Human,Wizard	{W}, {T}: Tap target creature.	1	2
Blood Tithe	{3}{B}	None	Sorcery	None	Each opponent loses 3 life. You gain life equal to the life lost this way.		
Bloodcrazed Goblin	{R}	None	Creature	Goblin,Berserker	Bloodcrazed Goblin can't attack unless an opponent has been dealt damage this turn.	2	2
Bloodthrone Vampire	{1}{B}	None	Creature	Vampire	Sacrifice a creature: Bloodthrone Vampire gets +2/+2 until end of turn.	1	1
Bog Raiders	{2}{B}	None	Creature	Zombie	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)	2	2
Brindle Boar	{2}{G}	None	Creature	Boar	Sacrifice Brindle Boar: You gain 4 life.	2	2
Brittle Effigy	{1}	None	Artifact	None	{4}, {T}, Exile Brittle Effigy: Exile target creature.		
Call to Mind	{2}{U}	None	Sorcery	None	Return target instant or sorcery card from your graveyard to your hand.		
Cancel	{1}{U}{U}	None	Instant	None	Counter target spell.		
Canyon Minotaur	{3}{R}	None	Creature	Minotaur,Warrior		3	3
Captivating Vampire	{1}{B}{B}	None	Creature	Vampire	Other Vampire creatures you control get +1/+1.|Tap five untapped Vampires you control: Gain control of target creature. It becomes a Vampire in addition to its other types.	2	2
Celestial Purge	{1}{W}	None	Instant	None	Exile target black or red permanent.		
Chandra Nalaar	{3}{R}{R}	None	Planeswalker	Chandra	+1: Chandra Nalaar deals 1 damage to target player.|-X: Chandra Nalaar deals X damage to target creature.|-8: Chandra Nalaar deals 10 damage to target player and each creature he or she controls.		
Chandra's Outrage	{2}{R}{R}	None	Instant	None	Chandra's Outrage deals 4 damage to target creature and 2 damage to that creature's controller.		
Chandra's Spitfire	{2}{R}	None	Creature	Elemental	Flying|Whenever an opponent is dealt noncombat damage, Chandra's Spitfire gets +3/+0 until end of turn.	1	3
Child of Night	{1}{B}	None	Creature	Vampire	Lifelink (Damage dealt by this creature also causes you to gain that much life.)	2	1
Clone	{3}{U}	None	Creature	Shapeshifter	You may have Clone enter the battlefield as a copy of any creature on the battlefield.	0	0
Cloud Crusader	{2}{W}{W}	None	Creature	Human,Knight	Flying|First strike (This creature deals combat damage before creatures without first strike.)	2	3
Cloud Elemental	{2}{U}	None	Creature	Elemental	Flying|Cloud Elemental can block only creatures with flying.	2	3
Combust	{1}{R}	None	Instant	None	Combust can't be countered by spells or abilities.|Combust deals 5 damage to target white or blue creature. The damage can't be prevented.		
Condemn	{W}	None	Instant	None	Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.		
Conundrum Sphinx	{2}{U}{U}	None	Creature	Sphinx	Flying|Whenever Conundrum Sphinx attacks, each player names a card. Then each player reveals the top card of his or her library. If the card a player revealed is the card he or she named, that player puts it into his or her hand. If it's not, that player puts it on the bottom of his or her library.	4	4
Corrupt	{5}{B}	None	Sorcery	None	Corrupt deals damage equal to the number of Swamps you control to target creature or player. You gain life equal to the damage dealt this way.		
Crystal Ball	{3}	None	Artifact	None	{1}, {T}: Scry 2. (To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)		
Cudgel Troll	{2}{G}{G}	None	Creature	Troll	{G}: Regenerate Cudgel Troll. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)	4	3
Cultivate	{2}{G}	None	Sorcery	None	Search your library for up to two basic land cards, reveal those cards, and put one onto the battlefield tapped and the other into your hand. Then shuffle your library.		
Cyclops Gladiator	{1}{R}{R}{R}	None	Creature	Cyclops,Warrior	Whenever Cyclops Gladiator attacks, you may have it deal damage equal to its power to target creature defending player controls. If you do, that creature deals damage equal to its power to Cyclops Gladiator.	4	4
Dark Tutelage	{2}{B}	None	Enchantment	None	At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its converted mana cost.		
Day of Judgment	{2}{W}{W}	None	Sorcery	None	Destroy all creatures.		
Deathmark	{B}	None	Sorcery	None	Destroy target green or white creature.		
Demolish	{3}{R}	None	Sorcery	None	Destroy target artifact or land.		
Demon of Death's Gate	{6}{B}{B}{B}	None	Creature	Demon	You may pay 6 life and sacrifice three black creatures rather than pay Demon of Death's Gate's mana cost.|Flying, trample	9	9
Demon's Horn	{2}	None	Artifact	None	Whenever a player casts a black spell, you may gain 1 life.		
Destructive Force	{5}{R}{R}	None	Sorcery	None	Each player sacrifices five lands. Destructive Force deals 5 damage to each creature.		
Diabolic Tutor	{2}{B}{B}	None	Sorcery	None	Search your library for a card and put that card into your hand. Then shuffle your library.		
Diminish	{U}	None	Instant	None	Target creature becomes 1/1 until end of turn.		
Disentomb	{B}	None	Sorcery	None	Return target creature card from your graveyard to your hand.		
Doom Blade	{1}{B}	None	Instant	None	Destroy target nonblack creature.		
Dragon's Claw	{2}	None	Artifact	None	Whenever a player casts a red spell, you may gain 1 life.		
Dragonskull Summit		None	Land	None	Dragonskull Summit enters the battlefield tapped unless you control a Swamp or a Mountain.|{T}: Add {B} or {R} to your mana pool.		
Drowned Catacomb		None	Land	None	Drowned Catacomb enters the battlefield tapped unless you control an Island or a Swamp.|{T}: Add {U} or {B} to your mana pool.		
Dryad's Favor	{G}	None	Enchantment	Aura	Enchant creature|Enchanted creature has forestwalk. (It can't be blocked as long as defending player controls a Forest.)		
Duress	{B}	None	Sorcery	None	Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card.		
Duskdale Wurm	{5}{G}{G}	None	Creature	Wurm	Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)	7	7
Earth Servant	{5}{R}	None	Creature	Elemental	Earth Servant gets +0/+1 for each Mountain you control.	4	4
Elite Vanguard	{W}	None	Creature	Human,Soldier		2	1
Elixir of Immortality	{1}	None	Artifact	None	{2}, {T}: You gain 5 life. Shuffle Elixir of Immortality and your graveyard into their owner's library.		
Elvish Archdruid	{1}{G}{G}	None	Creature	Elf,Druid	Other Elf creatures you control get +1/+1.|{T}: Add {G} to your mana pool for each Elf you control.	2	2
Ember Hauler	{R}{R}	None	Creature	Goblin	{1}, Sacrifice Ember Hauler: Ember Hauler deals 2 damage to target creature or player.	2	2
Excommunicate	{2}{W}	None	Sorcery	None	Put target creature on top of its owner's library.		
Fauna Shaman	{1}{G}	None	Creature	Elf,Shaman	{G}, {T}, Discard a creature card: Search your library for a creature card, reveal it, and put it into your hand. Then shuffle your library.	2	2
Fiery Hellhound	{1}{R}{R}	None	Creature	Elemental,Hound	{R}: Fiery Hellhound gets +1/+0 until end of turn.	2	2
Fire Servant	{3}{R}{R}	None	Creature	Elemental	If a red instant or sorcery spell you control would deal damage, it deals double that damage instead.	4	3
Fireball	{X}{R}	None	Sorcery	None	Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.|Fireball costs {1} more to cast for each target beyond the first.		
Flashfreeze	{1}{U}	None	Instant	None	Counter target red or green spell.		
Fling	{1}{R}	None	Instant	None	As an additional cost to cast Fling, sacrifice a creature.|Fling deals damage equal to the sacrificed creature's power to target creature or player.		
Fog	{G}	None	Instant	None	Prevent all combat damage that would be dealt this turn.		
Foresee	{3}{U}	None	Sorcery	None	Scry 4, then draw two cards. (To scry 4, look at the top four cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)		
Forest		Basic	Land	Forest	G		
Frost Titan	{4}{U}{U}	None	Creature	Giant	Whenever Frost Titan becomes the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays {2}.|Whenever Frost Titan enters the battlefield or attacks, tap target permanent. It doesn't untap during its controller's next untap step.	6	6
Gaea's Revenge	{5}{G}{G}	None	Creature	Elemental	Gaea's Revenge can't be countered.|Haste|Gaea's Revenge can't be the target of nongreen spells or abilities from nongreen sources.	8	5
Gargoyle Sentinel	{3}	None	Artifact,Creature	Gargoyle	Defender (This creature can't attack.)|{3}: Until end of turn, Gargoyle Sentinel loses defender and gains flying.	3	3
Garruk Wildspeaker	{2}{G}{G}	None	Planeswalker	Garruk	+1: Untap two target lands.|-1: Put a 3/3 green Beast creature token onto the battlefield.|-4: Creatures you control get +3/+3 and gain trample until end of turn.		
Garruk's Companion	{G}{G}	None	Creature	Beast	Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)	3	2
Garruk's Packleader	{4}{G}	None	Creature	Beast	Whenever another creature with power 3 or greater enters the battlefield under your control, you may draw a card.	4	4
Giant Growth	{G}	None	Instant	None	Target creature gets +3/+3 until end of turn.		
Giant Spider	{3}{G}	None	Creature	Spider	Reach (This creature can block creatures with flying.)	2	4
Glacial Fortress		None	Land	None	Glacial Fortress enters the battlefield tapped unless you control a Plains or an Island.|{T}: Add {W} or {U} to your mana pool.		
Goblin Balloon Brigade	{R}	None	Creature	Goblin,Warrior	{R}: Goblin Balloon Brigade gains flying until end of turn.	1	1
Goblin Chieftain	{1}{R}{R}	None	Creature	Goblin	Haste (This creature can attack and {T} as soon as it comes under your control.)|Other Goblin creatures you control get +1/+1 and have haste.	2	2
Goblin Piker	{1}{R}	None	Creature	Goblin,Warrior		2	1
Goblin Tunneler	{1}{R}	None	Creature	Goblin,Rogue	{T}: Target creature with power 2 or less can't be blocked this turn.	1	1
Goldenglow Moth	{W}	None	Creature	Insect	Flying|Whenever Goldenglow Moth blocks, you may gain 4 life.	0	1
Grave Titan	{4}{B}{B}	None	Creature	Giant	Deathtouch|Whenever Grave Titan enters the battlefield or attacks, put two 2/2 black Zombie creature tokens onto the battlefield.	6	6
Gravedigger	{3}{B}	None	Creature	Zombie	When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.	2	2
Greater Basilisk	{3}{G}{G}	None	Creature	Basilisk	Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)	3	5
Harbor Serpent	{4}{U}{U}	None	Creature	Serpent	Islandwalk (This creature can't be blocked as long as defending player controls an Island.)|Harbor Serpent can't attack unless there are five or more Islands on the battlefield.	5	5
Haunting Echoes	{3}{B}{B}	None	Sorcery	None	Exile all cards from target player's graveyard other than basic land cards. For each card exiled this way, search that player's library for all cards with the same name as that card and exile them. Then that player shuffles his or her library.		
Hoarding Dragon	{3}{R}{R}	None	Creature	Dragon	Flying|When Hoarding Dragon enters the battlefield, you may search your library for an artifact card, exile it, then shuffle your library.|When Hoarding Dragon dies, you may put the exiled card into its owner's hand.	4	4
Holy Strength	{W}	None	Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+2.		
Honor of the Pure	{1}{W}	None	Enchantment	None	White creatures you control get +1/+1.		
Hornet Sting	{G}	None	Instant	None	Hornet Sting deals 1 damage to target creature or player.		
Howling Banshee	{2}{B}{B}	None	Creature	Spirit	Flying|When Howling Banshee enters the battlefield, each player loses 3 life.	3	3
Hunters' Feast	{3}{G}	None	Sorcery	None	Any number of target players each gain 6 life.		
Ice Cage	{1}{U}	None	Enchantment	Aura	Enchant creature|Enchanted creature can't attack or block, and its activated abilities can't be activated.|When enchanted creature becomes the target of a spell or ability, destroy Ice Cage.		
Incite	{R}	None	Instant	None	Target creature becomes red until end of turn and attacks this turn if able.		
Infantry Veteran	{W}	None	Creature	Human,Soldier	{T}: Target attacking creature gets +1/+1 until end of turn.	1	1
Inferno Titan	{4}{R}{R}	None	Creature	Giant	{R}: Inferno Titan gets +1/+0 until end of turn.|Whenever Inferno Titan enters the battlefield or attacks, it deals 3 damage divided as you choose among one, two, or three target creatures and/or players.	6	6
Inspired Charge	{2}{W}{W}	None	Instant	None	Creatures you control get +2/+1 until end of turn.		
Island		Basic	Land	Island	U		
Jace Beleren	{1}{U}{U}	None	Planeswalker	Jace	+2: Each player draws a card.|-1: Target player draws a card.|-10: Target player puts the top twenty cards of his or her library into his or her graveyard.		
Jace's Erasure	{1}{U}	None	Enchantment	None	Whenever you draw a card, you may have target player put the top card of his or her library into his or her graveyard.		
Jace's Ingenuity	{3}{U}{U}	None	Instant	None	Draw three cards.		
Jinxed Idol	{2}	None	Artifact	None	At the beginning of your upkeep, Jinxed Idol deals 2 damage to you.|Sacrifice a creature: Target opponent gains control of Jinxed Idol.		
Juggernaut	{4}	None	Artifact,Creature	Juggernaut	Juggernaut attacks each turn if able.|Juggernaut can't be blocked by Walls.	5	3
Knight Exemplar	{1}{W}{W}	None	Creature	Human,Knight	First strike (This creature deals combat damage before creatures without first strike.)|Other Knight creatures you control get +1/+1 and have indestructible. (Damage and effects that say 'destroy' don't destroy them.)	2	2
Kraken's Eye	{2}	None	Artifact	None	Whenever a player casts a blue spell, you may gain 1 life.		
Lava Axe	{4}{R}	None	Sorcery	None	Lava Axe deals 5 damage to target player.		
Leyline of Anticipation	{2}{U}{U}	None	Enchantment	None	If Leyline of Anticipation is in your opening hand, you may begin the game with it on the battlefield.|You may cast nonland cards as though they had flash. (You may cast them any time you could cast an instant.)		
Leyline of Punishment	{2}{R}{R}	None	Enchantment	None	If Leyline of Punishment is in your opening hand, you may begin the game with it on the battlefield.|Players can't gain life.|Damage can't be prevented.		
Leyline of Sanctity	{2}{W}{W}	None	Enchantment	None	If Leyline of Sanctity is in your opening hand, you may begin the game with it on the battlefield.|You have hexproof. (You can't be the target of spells or abilities your opponents control.)		
Leyline of the Void	{2}{B}{B}	None	Enchantment	None	If Leyline of the Void is in your opening hand, you may begin the game with it on the battlefield.|If a card would be put into an opponent's graveyard from anywhere, exile it instead.		
Leyline of Vitality	{2}{G}{G}	None	Enchantment	None	If Leyline of Vitality is in your opening hand, you may begin the game with it on the battlefield.|Creatures you control get +0/+1.|Whenever a creature enters the battlefield under your control, you may gain 1 life.		
