Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abrupt Decay	{B}{G}	None	Instant	None	Abrupt Decay can't be countered by spells or abilities.|Destroy target nonland permanent with converted mana cost 3 or less.		
Aerial Predation	{2}{G}	None	Instant	None	Destroy target creature with flying. You gain 2 life.		
Angel of Serenity	{4}{W}{W}{W}	None	Creature	Angel	Flying|When Angel of Serenity enters the battlefield, you may exile up to three other target creatures from the battlefield and/or creature cards from graveyards.|When Angel of Serenity leaves the battlefield, return the exiled cards to their owners' hands.	5	6
Annihilating Fire	{1}{R}{R}	None	Instant	None	Annihilating Fire deals 3 damage to target creature or player. If a creature dealt damage this way would die this turn, exile it instead.		
Aquus Steed	{3}{U}	None	Creature	Beast	{2}{U}, {T}: Target creature gets -2/-0 until end of turn.	1	3
Archon of the Triumvirate	{5}{W}{U}	None	Creature	Archon	Flying|Whenever Archon of the Triumvirate attacks, detain up to two target nonland permanents your opponents control. (Until your next turn, those permanents can't attack or block and their activated abilities can't be activated.)	4	5
Archweaver	{5}{G}{G}	None	Creature	Spider	Reach, trample	5	5
Armada Wurm	{2}{G}{G}{W}{W}	None	Creature	Wurm	Trample|When Armada Wurm enters the battlefield, put a 5/5 green Wurm creature token with trample onto the battlefield.	5	5
Armory Guard	{3}{W}	None	Creature	Giant,Soldier	Armory Guard has vigilance as long as you control a Gate.	2	5
Arrest	{2}{W}	None	Enchantment	Aura	Enchant creature|Enchanted creature can't attack or block, and its activated abilities can't be activated.		
Ash Zealot	{R}{R}	None	Creature	Human,Warrior	First strike, haste|Whenever a player casts a spell from a graveyard, Ash Zealot deals 3 damage to that player.	2	2
Assassin's Strike	{4}{B}{B}	None	Sorcery	None	Destroy target creature. Its controller discards a card.		
Auger Spree	{1}{B}{R}	None	Instant	None	Target creature gets +4/-4 until end of turn.		
Avenging Arrow	{2}{W}	None	Instant	None	Destroy target creature that dealt damage this turn.		
Axebane Guardian	{2}{G}	None	Creature	Human,Druid	Defender|{T}: Add X mana in any combination of colors to your mana pool, where X is the number of creatures with defender you control.	0	3
Axebane Stag	{6}{G}	None	Creature	Elk		6	7
Azorius Arrester	{1}{W}	None	Creature	Human,Soldier	When Azorius Arrester enters the battlefield, detain target creature an opponent controls. (Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)	2	1
Azorius Charm	{W}{U}	None	Instant	None	Choose one - Creatures you control gain lifelink until end of turn; or draw a card; or put target attacking or blocking creature on top of its owner's library.		
Azorius Guildgate		None	Land	Gate	Azorius Guildgate enters the battlefield tapped.|{T}: Add {W} or {U} to your mana pool.		
Azorius Justiciar	{2}{W}{W}	None	Creature	Human,Wizard	When Azorius Justiciar enters the battlefield, detain up to two target creatures your opponents control. (Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)	2	2
Azorius Keyrune	{3}	None	Artifact	None	{T}: Add {W} or {U} to your mana pool.|{W}{U}: Azorius Keyrune becomes a 2/2 white and blue Bird artifact creature with flying until end of turn.		
Azor's Elocutors	{3}{W/U}{W/U}	None	Creature	Human,Advisor	At the beginning of your upkeep, put a filibuster counter on Azor's Elocutors. Then if Azor's Elocutors has five or more filibuster counters on it, you win the game.|Whenever a source deals damage to you, remove a filibuster counter from Azor's Elocutors.	3	5
Batterhorn	{4}{R}	None	Creature	Beast	When Batterhorn enters the battlefield, you may destroy target artifact.	4	3
Bazaar Krovod	{4}{W}	None	Creature	Beast	Whenever Bazaar Krovod attacks, another target attacking creature gets +0/+2 until end of turn. Untap that creature.	2	5
Bellows Lizard	{R}	None	Creature	Lizard	{1}{R}: Bellows Lizard gets +1/+0 until end of turn.	1	1
Blistercoil Weird	{U/R}	None	Creature	Weird	Whenever you cast an instant or sorcery spell, Blistercoil Weird gets +1/+1 until end of turn. Untap it.	1	1
Blood Crypt		None	Land	Swamp,Mountain	({T}: Add {B} or {R} to your mana pool.)|As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, Blood Crypt enters the battlefield tapped.		
Bloodfray Giant	{2}{R}{R}	None	Creature	Giant	Trample|Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)	4	3
Blustersquall	{U}	None	Instant	None	Tap target creature you don't control.|Overload {3}{U} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of 'target' with 'each.')		
Brushstrider	{1}{G}	None	Creature	Beast	Vigilance	3	1
Call of the Conclave	{G}{W}	None	Sorcery	None	Put a 3/3 green Centaur creature token onto the battlefield.		
Cancel	{1}{U}{U}	None	Instant	None	Counter target spell.		
Carnival Hellsteed	{4}{B}{R}	None	Creature	Nightmare,Horse	First strike, haste|Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)	5	4
Catacomb Slug	{4}{B}	None	Creature	Slug		2	6
Centaur Healer	{1}{G}{W}	None	Creature	Centaur,Cleric	When Centaur Healer enters the battlefield, you gain 3 life.	3	3
Centaur's Herald	{G}	None	Creature	Elf,Scout	{2}{G}, Sacrifice Centaur's Herald: Put a 3/3 green Centaur creature token onto the battlefield.	0	1
Chaos Imps	{4}{R}{R}	None	Creature	Imp	Flying|Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)|Chaos Imps has trample as long as it has a +1/+1 counter on it.	6	5
Chemister's Trick	{U}{R}	None	Instant	None	Target creature you don't control gets -2/-0 until end of turn and attacks this turn if able.|Overload {3}{U}{R} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of 'target' with 'each.')		
Chorus of Might	{3}{G}	None	Instant	None	Until end of turn, target creature gets +1/+1 for each creature you control and gains trample.		
Chromatic Lantern	{3}	None	Artifact	None	Lands you control have '{T}: Add one mana of any color to your mana pool.'|{T}: Add one mana of any color to your mana pool.		
Chronic Flooding	{1}{U}	None	Enchantment	Aura	Enchant land|Whenever enchanted land becomes tapped, its controller puts the top three cards of his or her library into his or her graveyard.		
Civic Saber	{1}	None	Artifact	Equipment	Equipped creature gets +1/+0 for each of its colors.|Equip {1}		
Cobblebrute	{3}{R}	None	Creature	Elemental		5	2
Codex Shredder	{1}	None	Artifact	None	{T}: Target player puts the top card of his or her library into his or her graveyard.|{5}, {T}, Sacrifice Codex Shredder: Return target card from your graveyard to your hand.		
Collective Blessing	{3}{G}{G}{W}	None	Enchantment	None	Creatures you control get +3/+3.		
Common Bond	{1}{G}{W}	None	Instant	None	Put a +1/+1 counter on target creature.|Put a +1/+1 counter on target creature.		
Concordia Pegasus	{1}{W}	None	Creature	Pegasus	Flying	1	3
Conjured Currency	{5}{U}	None	Enchantment	None	At the beginning of your upkeep, you may exchange control of Conjured Currency and target permanent you neither own nor control.		
Corpsejack Menace	{2}{B}{G}	None	Creature	Fungus	If one or more +1/+1 counters would be placed on a creature you control, twice that many +1/+1 counters are placed on it instead.	4	4
Counterflux	{U}{U}{R}	None	Instant	None	Counterflux can't be countered by spells or abilities.|Counter target spell you don't control.|Overload {1}{U}{U}{R} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of 'target' with 'each.')		
Coursers' Accord	{4}{G}{W}	None	Sorcery	None	Put a 3/3 green Centaur creature token onto the battlefield, then populate. (Put a token onto the battlefield that's a copy of a creature token you control.)		
Cremate	{B}	None	Instant	None	Exile target card from a graveyard.|Draw a card.		
Crosstown Courier	{1}{U}	None	Creature	Vedalken	Whenever Crosstown Courier deals combat damage to a player, that player puts that many cards from the top of his or her library into his or her graveyard.	2	1
Cryptborn Horror	{1}{B/R}{B/R}	None	Creature	Horror	Trample|Cryptborn Horror enters the battlefield with X +1/+1 counters on it, where X is the total life lost by your opponents this turn.	0	0
Cyclonic Rift	{1}{U}	None	Instant	None	Return target nonland permanent you don't control to its owner's hand.|Overload {6}{U} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of 'target' with 'each.')		
