Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abhorrent Overlord	{5}{B}{B}	None	Creature	Demon	Flying|When Abhorrent Overlord enters the battlefield, put a number of 1/1 black Harpy creature tokens with flying onto the battlefield equal to your devotion to black. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)|At the beginning of your upkeep, sacrifice a creature.	6	6
Agent of Horizons	{2}{G}	None	Creature	Human,Rogue	{2}{U}: Agent of Horizons can't be blocked this turn.	3	2
Agent of the Fates	{1}{B}{B}	None	Creature	Human,Assassin	Deathtouch|Heroic - Whenever you cast a spell that targets Agent of the Fates, each opponent sacrifices a creature.	3	2
Akroan Crusader	{R}	None	Creature	Human,Soldier	Heroic - Whenever you cast a spell that targets Akroan Crusader, put a 1/1 red Soldier creature token with haste onto the battlefield.	1	1
Akroan Hoplite	{R}{W}	None	Creature	Human,Soldier	Whenever Akroan Hoplite attacks, it gets +X/+0 until end of turn, where X is the number of attacking creatures you control.	1	2
Akroan Horse	{4}	None	Artifact,Creature	Horse	Defender|When Akroan Horse enters the battlefield, an opponent gains control of it.|At the beginning of your upkeep, each opponent puts a 1/1 white Soldier creature token onto the battlefield.	0	4
Anax and Cymede	{1}{R}{W}	Legendary	Creature	Human,Soldier	First strike, vigilance|Heroic - Whenever you cast a spell that targets Anax and Cymede, creatures you control get +1/+1 and gain trample until end of turn.	3	2
Anger of the Gods	{1}{R}{R}	None	Sorcery	None	Anger of the Gods deals 3 damage to each creature. If a creature dealt damage this way would die this turn, exile it instead.		
Annul	{U}	None	Instant	None	Counter target artifact or enchantment spell.		
Anthousa, Setessan Hero	{3}{G}{G}	Legendary	Creature	Human,Warrior	Heroic - Whenever you cast a spell that targets Anthousa, Setessan Hero, up to three target lands you control each become 2/2 Warrior creatures until end of turn. They're still lands.	4	5
Anvilwrought Raptor	{4}	None	Artifact,Creature	Bird	Flying, first strike	2	1
Aqueous Form	{U}	None	Enchantment	Aura	Enchant creature|Enchanted creature can't be blocked.|Whenever enchanted creature attacks, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)		
Arbor Colossus	{2}{G}{G}{G}	None	Creature	Giant	Reach|{3}{G}{G}{G}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)|When Arbor Colossus becomes monstrous, destroy target creature with flying an opponent controls.	6	6
Arena Athlete	{1}{R}	None	Creature	Human	Heroic - Whenever you cast a spell that targets Arena Athlete, target creature an opponent controls can't block this turn.	2	1
Artisan of Forms	{1}{U}	None	Creature	Human,Wizard	Heroic - Whenever you cast a spell that targets Artisan of Forms, you may have Artisan of Forms become a copy of target creature and gain this ability.	1	1
Artisan's Sorrow	{3}{G}	None	Instant	None	Destroy target artifact or enchantment. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)		
Ashen Rider	{4}{W}{W}{B}{B}	None	Creature	Archon	Flying|When Ashen Rider enters the battlefield or dies, exile target permanent.	5	5
Ashiok, Nightmare Weaver	{1}{U}{B}	None	Planeswalker	Ashiok	+2: Exile the top three cards of target opponent's library.|-X: Put a creature card with converted mana cost X exiled with Ashiok, Nightmare Weaver onto the battlefield under your control. That creature is a Nightmare in addition to its other types.|-10: Exile all cards from all opponents' hands and graveyards.		
Asphodel Wanderer	{B}	None	Creature	Skeleton,Soldier	{2}{B}: Regenerate Asphodel Wanderer.	1	1
Baleful Eidolon	{1}{B}	None	Enchantment,Creature	Spirit	Bestow {4}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)|Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.) |Enchanted creature gets +1/+1 and has deathtouch.	1	1
Battlewise Hoplite	{W}{U}	None	Creature	Human,Soldier	Heroic - Whenever you cast a spell that targets Battlewise Hoplite, put a +1/+1 counter on Battlewise Hoplite, then scry 1. (To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.)	2	2
Battlewise Valor	{1}{W}	None	Instant	None	Target creature gets +2/+2 until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)		
Benthic Giant	{5}{U}	None	Creature	Giant	Hexproof (This creature can't be the target of spells or abilities your opponents control.)	4	5
Bident of Thassa	{2}{U}{U}	Legendary	Enchantment,Artifact	None	Whenever a creature you control deals combat damage to a player, you may draw a card.|{1}{U}, {T}: Creatures your opponents control attack this turn if able.		
Blood-Toll Harpy	{2}{B}	None	Creature	Harpy	Flying|When Blood-Toll Harpy enters the battlefield, each player loses 1 life.	2	1
Boon of Erebos	{B}	None	Instant	None	Target creature gets +2/+0 until end of turn. Regenerate it. You lose 2 life.		
Boon Satyr	{1}{G}{G}	None	Enchantment,Creature	Satyr	Flash|Bestow {3}{G}{G} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)|Enchanted creature gets +4/+2.	4	2
Borderland Minotaur	{2}{R}{R}	None	Creature	Minotaur,Warrior		4	3
Boulderfall	{6}{R}{R}	None	Instant	None	Boulderfall deals 5 damage divided as you choose among any number of target creatures and/or players.		
Bow of Nylea	{1}{G}{G}	Legendary	Enchantment,Artifact	None	Attacking creatures you control have deathtouch.|{1}{G}, {T}: Choose one - Put a +1/+1 counter on target creature; or Bow of Nylea deals 2 damage to target creature with flying; or you gain 3 life; or put up to four target cards from your graveyard on the bottom of your library in any order.		
Breaching Hippocamp	{3}{U}	None	Creature	Horse,Fish	Flash (You may cast this spell any time you could cast an instant.)|When Breaching Hippocamp enters the battlefield, untap another target creature you control.	3	2
Bronze Sable	{2}	None	Artifact,Creature	Sable		2	1
Burnished Hart	{3}	None	Artifact,Creature	Elk	{3}, Sacrifice Burnished Hart: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle your library.	2	2
Cavalry Pegasus	{1}{W}	None	Creature	Pegasus	Flying|Whenever Cavalry Pegasus attacks, each attacking Human gains flying until end of turn.	1	1
Cavern Lampad	{3}{B}	None	Enchantment,Creature	Nymph	Bestow {5}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)|Intimidate|Enchanted creature gets +2/+2 and has intimidate.	2	2
Celestial Archon	{3}{W}{W}	None	Enchantment,Creature	Archon	Bestow {5}{W}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)|Flying, first strike|Enchanted creature gets +4/+4 and has flying and first strike.	4	4
Centaur Battlemaster	{3}{G}{G}	None	Creature	Centaur,Warrior	Heroic - Whenever you cast a spell that targets Centaur Battlemaster, put three +1/+1 counters on Centaur Battlemaster.	3	3
Chained to the Rocks	{W}	None	Enchantment	Aura	Enchant Mountain you control|When Chained to the Rocks enters the battlefield, exile target creature an opponent controls until Chained to the Rocks leaves the battlefield. (That creature returns under its owner's control.)		
Chosen by Heliod	{1}{W}	None	Enchantment	Aura	Enchant creature|When Chosen by Heliod enters the battlefield, draw a card.|Enchanted creature gets +0/+2.		
Chronicler of Heroes	{1}{G}{W}	None	Creature	Centaur,Wizard	When Chronicler of Heroes enters the battlefield, draw a card if you control a creature with a +1/+1 counter on it.	3	3
Coastline Chimera	{3}{U}	None	Creature	Chimera	Flying|{1}{W}: Coastline Chimera can block an additional creature this turn.	1	5
Colossus of Akros	{8}	None	Artifact,Creature	Golem	Defender, indestructible|{1}0: Monstrosity 10. (If this creature isn't monstrous, put ten +1/+1 counters on it and it becomes monstrous.)|As long as Colossus of Akros is monstrous, it has trample and can attack as though it didn't have defender.	10	10
Commune with the Gods	{1}{G}	None	Sorcery	None	Reveal the top five cards of your library. You may put a creature or enchantment card from among them into your hand. Put the rest into your graveyard.		
Coordinated Assault	{R}	None	Instant	None	Up to two target creatures each get +1/+0 and gain first strike until end of turn.		
