Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Anathemancer	{1}{B}{R}		Creature	Zombie,Wizard	When Anathemancer enters the battlefield, it deals damage to target player equal to the number of nonbasic lands that player controls.|Unearth {5}{B}{R} ({5}{B}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)	2	2
Architects of Will	{2}{U}{B}		Artifact,Creature	Human,Wizard	When Architects of Will enters the battlefield, look at the top three cards of target player's library, then put them back in any order.|Cycling {U/B} ({U/B}, Discard this card: Draw a card.)	3	3
Ardent Plea	{1}{W}{U}		Enchantment		Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)|Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)		
Arsenal Thresher	{2}{W/B}{U}		Artifact,Creature	Construct	As Arsenal Thresher enters the battlefield, you may reveal any number of other artifact cards from your hand. Arsenal Thresher enters the battlefield with a +1/+1 counter on it for each card revealed this way.	2	2
Aven Mimeomancer	{1}{W}{U}		Creature	Bird,Wizard	Flying|At the beginning of your upkeep, you may put a feather counter on target creature. If you do, that creature is 3/1 and has flying for as long as it has a feather counter on it.	3	1
Bant Sojourners	{1}{G}{W}{U}		Creature	Human,Soldier	When you cycle Bant Sojourners or it dies, you may put a 1/1 white Soldier creature token onto the battlefield.|Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.)	2	4
Bant Sureblade	{G/U}{W}		Creature	Human,Soldier	As long as you control another multicolored permanent, Bant Sureblade gets +1/+1 and has first strike.	2	1
Behemoth Sledge	{1}{G}{W}		Artifact	Equipment	Equipped creature gets +2/+2 and has lifelink and trample.|Equip {3}		
Bituminous Blast	{3}{B}{R}		Instant		Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)|Bituminous Blast deals 4 damage to target creature.		
Blitz Hellion	{3}{R}{G}		Creature	Hellion	Trample, haste|At the beginning of the end step, Blitz Hellion's owner shuffles it into his or her library.	7	7
Bloodbraid Elf	{2}{R}{G}		Creature	Elf,Berserker	Haste|Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)	3	2
Brainbite	{2}{U}{B}		Sorcery		Target opponent reveals his or her hand. You choose a card from it. That player discards that card.|Draw a card.		
Breath of Malfegor	{3}{B}{R}		Instant		Breath of Malfegor deals 5 damage to each opponent.		
Captured Sunlight	{2}{G}{W}		Sorcery		Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)|You gain 4 life.		
Cerodon Yearling	{R}{W}		Creature	Beast	Vigilance, haste	2	2
Cloven Casting	{5}{U}{R}		Enchantment		Whenever you cast a multicolored instant or sorcery spell, you may pay {1}. If you do, copy that spell. You may choose new targets for the copy.		
Colossal Might	{R}{G}		Instant		Target creature gets +4/+2 and gains trample until end of turn.		
Crystallization	{G/U}{W}		Enchantment	Aura	Enchant creature|Enchanted creature can't attack or block.|When enchanted creature becomes the target of a spell or ability, exile that creature.		
Dauntless Escort	{1}{G}{W}		Creature	Rhino,Soldier	Sacrifice Dauntless Escort: Creatures you control gain indestructible until end of turn.	3	3
Deadshot Minotaur	{3}{R}{G}		Creature	Minotaur	When Deadshot Minotaur enters the battlefield, it deals 3 damage to target creature with flying.|Cycling {R/G} ({R/G}, Discard this card: Draw a card.)	3	4
Deathbringer Thoctar	{4}{B}{R}		Creature	Zombie,Beast	Whenever another creature dies, you may put a +1/+1 counter on Deathbringer Thoctar.|Remove a +1/+1 counter from Deathbringer Thoctar: Deathbringer Thoctar deals 1 damage to target creature or player.	3	3
Defiler of Souls	{3}{B}{B}{R}		Creature	Demon	Flying|At the beginning of each player's upkeep, that player sacrifices a monocolored creature.	5	5
Demonic Dread	{1}{B}{R}		Sorcery		Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)|Target creature can't block this turn.		
Demonspine Whip	{B}{R}		Artifact	Equipment	{X}: Equipped creature gets +X/+0 until end of turn.|Equip {1}		
Deny Reality	{3}{U}{B}		Sorcery		Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)|Return target permanent to its owner's hand.		
Double Negative	{U}{U}{R}		Instant		Counter up to two target spells.		
Dragon Appeasement	{3}{B}{R}{G}		Enchantment		Skip your draw step.|Whenever you sacrifice a creature, you may draw a card.		
Dragon Broodmother	{2}{R}{R}{R}{G}		Creature	Dragon	Flying|At the beginning of each upkeep, put a 1/1 red and green Dragon creature token with flying and devour 2 onto the battlefield. (As the token enters the battlefield, you may sacrifice any number of creatures. It enters the battlefield with twice that many +1/+1 counters on it.)	4	4
Drastic Revelation	{2}{U}{B}{R}		Sorcery		Discard your hand. Draw seven cards, then discard three cards at random.		
Enigma Sphinx	{4}{W}{U}{B}		Artifact,Creature	Sphinx	Flying|When Enigma Sphinx is put into your graveyard from the battlefield, put it into your library third from the top.|Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)	5	4
Enlisted Wurm	{4}{G}{W}		Creature	Wurm	Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)	5	5
Esper Sojourners	{W}{U}{B}		Artifact,Creature	Vedalken,Wizard	When you cycle Esper Sojourners or it dies, you may tap or untap target permanent.|Cycling {2}{U} ({2}{U}, Discard this card: Draw a card.)	2	3
Esper Stormblade	{W/B}{U}		Artifact,Creature	Vedalken,Wizard	As long as you control another multicolored permanent, Esper Stormblade gets +1/+1 and has flying.	2	1
Ethercaste Knight	{W}{U}		Artifact,Creature	Human,Knight	Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)	1	3
Etherium Abomination	{3}{U}{B}		Artifact,Creature	Horror	Unearth {1}{U}{B} ({1}{U}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)	4	3
Ethersworn Shieldmage	{1}{W}{U}		Artifact,Creature	Vedalken,Wizard	Flash|When Ethersworn Shieldmage enters the battlefield, prevent all damage that would be dealt to artifact creatures this turn.	2	2
Etherwrought Page	{1}{W}{U}{B}		Artifact		At the beginning of your upkeep, choose one - You gain 2 life; or look at the top card of your library, then you may put that card into your graveyard; or each opponent loses 1 life.		
Fieldmist Borderpost	{1}{W}{U}		Artifact		You may pay {1} and return a basic land you control to its owner's hand rather than pay Fieldmist Borderpost's mana cost.|Fieldmist Borderpost enters the battlefield tapped.|{T}: Add {W} or {U} to your mana pool.		
Fight to the Death	{R}{W}		Instant		Destroy all blocking creatures and all blocked creatures.		
Filigree Angel	{5}{W}{W}{U}		Artifact,Creature	Angel	Flying|When Filigree Angel enters the battlefield, you gain 3 life for each artifact you control.	4	4
Finest Hour	{2}{G}{W}{U}		Enchantment		Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)|Whenever a creature you control attacks alone, if it's the first combat phase of the turn, untap that creature. After this phase, there is an additional combat phase.		
Firewild Borderpost	{1}{R}{G}		Artifact		You may pay {1} and return a basic land you control to its owner's hand rather than pay Firewild Borderpost's mana cost.|Firewild Borderpost enters the battlefield tapped.|{T}: Add {R} or {G} to your mana pool.		
Flurry of Wings	{G}{W}{U}		Instant		Put X 1/1 white Bird Soldier creature tokens with flying onto the battlefield, where X is the number of attacking creatures.		
Giant Ambush Beetle	{3}{B/G}{R}		Creature	Insect	Haste|When Giant Ambush Beetle enters the battlefield, you may have target creature block it this turn if able.	4	3
Glassdust Hulk	{3}{W}{U}		Artifact,Creature	Golem	Whenever another artifact enters the battlefield under your control, Glassdust Hulk gets +1/+1 until end of turn and can't be blocked this turn.|Cycling {W/U} ({W/U}, Discard this card: Draw a card.)	3	4
Glory of Warfare	{2}{R}{W}		Enchantment		As long as it's your turn, creatures you control get +2/+0.|As long as it's not your turn, creatures you control get +0/+2.		
Gloryscale Viashino	{1}{R}{G}{W}		Creature	Viashino,Soldier	Whenever you cast a multicolored spell, Gloryscale Viashino gets +3/+3 until end of turn.	3	3
Godtracker of Jund	{1}{R}{G}		Creature	Elf,Shaman	Whenever a creature with power 5 or greater enters the battlefield under your control, you may put a +1/+1 counter on Godtracker of Jund.	2	2
Gorger Wurm	{3}{R}{G}		Creature	Wurm	Devour 1 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with that many +1/+1 counters on it.)	5	5
Grixis Grimblade	{U/R}{B}		Creature	Zombie,Warrior	As long as you control another multicolored permanent, Grixis Grimblade gets +1/+1 and has deathtouch. (Any amount of damage it deals to a creature is enough to destroy that creature.)	2	1
Grixis Sojourners	{1}{U}{B}{R}		Creature	Zombie,Ogre	When you cycle Grixis Sojourners or it dies, you may exile target card from a graveyard.|Cycling {2}{B} ({2}{B}, Discard this card: Draw a card.)	4	3
Grizzled Leotau	{G}{W}		Creature	Cat		1	5
Identity Crisis	{2}{W}{W}{B}{B}		Sorcery		Exile all cards from target player's hand and graveyard.		
Igneous Pouncer	{4}{B}{R}		Creature	Elemental	Haste|Swampcycling {2}, mountaincycling {2} ({2}, Discard this card: Search your library for a Swamp or Mountain card, reveal it, and put it into your hand. Then shuffle your library.)	5	1
Illusory Demon	{1}{U}{B}		Creature	Demon,Illusion	Flying|When you cast a spell, sacrifice Illusory Demon.	4	3
Intimidation Bolt	{1}{R}{W}		Instant		Intimidation Bolt deals 3 damage to target creature. Other creatures can't attack this turn.		
Jenara, Asura of War	{G}{W}{U}	Legendary	Creature	Angel	Flying|{1}{W}: Put a +1/+1 counter on Jenara, Asura of War.	3	3
Jhessian Zombies	{4}{U}{B}		Creature	Zombie	Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)|Islandcycling {2}, swampcycling {2} ({2}, Discard this card: Search your library for an Island or Swamp card, reveal it, and put it into your hand. Then shuffle your library.)	2	4
Jund Hackblade	{B/G}{R}		Creature	Goblin,Berserker	As long as you control another multicolored permanent, Jund Hackblade gets +1/+1 and has haste.	2	1
Jund Sojourners	{B}{R}{G}		Creature	Viashino,Shaman	When you cycle Jund Sojourners or it dies, you may have it deal 1 damage to target creature or player.|Cycling {2}{R} ({2}{R}, Discard this card: Draw a card.)	3	2
Karrthus, Tyrant of Jund	{4}{B}{R}{G}	Legendary	Creature	Dragon	Flying, haste|When Karrthus, Tyrant of Jund enters the battlefield, gain control of all Dragons, then untap all Dragons.|Other Dragon creatures you control have haste.	7	7
Kathari Bomber	{1}{B}{R}		Creature	Bird,Shaman	Flying|When Kathari Bomber deals combat damage to a player, put two 1/1 red Goblin creature tokens onto the battlefield and sacrifice Kathari Bomber.|Unearth {3}{B}{R} ({3}{B}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)	2	2
Kathari Remnant	{2}{U}{B}		Creature	Bird,Skeleton	Flying|{B}: Regenerate Kathari Remnant.|Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)	0	1
Knight of New Alara	{2}{G}{W}		Creature	Human,Knight	Each other multicolored creature you control gets +1/+1 for each of its colors.	2	2
Knotvine Paladin	{G}{W}		Creature	Human,Knight	Whenever Knotvine Paladin attacks, it gets +1/+1 until end of turn for each untapped creature you control.	2	2
Lavalanche	{X}{B}{R}{G}		Sorcery		Lavalanche deals X damage to target player and each creature he or she controls.		
Leonin Armorguard	{2}{G}{W}		Creature	Cat,Soldier	When Leonin Armorguard enters the battlefield, creatures you control get +1/+1 until end of turn.	3	3
Lich Lord of Unx	{1}{U}{B}		Creature	Zombie,Wizard	{U}{B}, {T}: Put a 1/1 blue and black Zombie Wizard creature token onto the battlefield.|{U}{U}{B}{B}: Target player loses X life and puts the top X cards of his or her library into his or her graveyard, where X is the number of Zombies you control.	2	2
Lightning Reaver	{3}{B}{R}		Creature	Zombie,Beast	Haste; fear (This creature can't be blocked except by artifact creatures and/or black creatures.)|Whenever Lightning Reaver deals combat damage to a player, put a charge counter on it.|At the beginning of your end step, Lightning Reaver deals damage equal to the number of charge counters on it to each opponent.	3	3
Lord of Extinction	{3}{B}{G}		Creature	Elemental	Lord of Extinction's power and toughness are each equal to the number of cards in all graveyards.	*	*
Lorescale Coatl	{1}{G}{U}		Creature	Snake	Whenever you draw a card, you may put a +1/+1 counter on Lorescale Coatl.	2	2
Madrush Cyclops	{1}{B}{R}{G}		Creature	Cyclops,Warrior	Creatures you control have haste.	3	4
Maelstrom Nexus	{W}{U}{B}{R}{G}		Enchantment		The first spell you cast each turn has cascade. (When you cast your first spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)		
Maelstrom Pulse	{1}{B}{G}		Sorcery		Destroy target nonland permanent and all other permanents with the same name as that permanent.		
Mage Slayer	{1}{R}{G}		Artifact	Equipment	Whenever equipped creature attacks, it deals damage equal to its power to defending player.|Equip {3}		
Magefire Wings	{U}{R}		Enchantment	Aura	Enchant creature|Enchanted creature gets +2/+0 and has flying.		
Marisi's Twinclaws	{2}{R/W}{G}		Creature	Cat,Warrior	Double strike	2	4
Marrow Chomper	{3}{B}{G}		Creature	Zombie,Lizard	Devour 2 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with twice that many +1/+1 counters on it.)|When Marrow Chomper enters the battlefield, you gain 2 life for each creature it devoured.	3	3
Mask of Riddles	{U}{B}		Artifact	Equipment	Equipped creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)|Whenever equipped creature deals combat damage to a player, you may draw a card.|Equip {2}		
Mayael's Aria	{R}{G}{W}		Enchantment		At the beginning of your upkeep, put a +1/+1 counter on each creature you control if you control a creature with power 5 or greater. Then you gain 10 life if you control a creature with power 10 or greater. Then you win the game if you control a creature with power 20 or greater.		
Meddling Mage	{W}{U}		Creature	Human,Wizard	As Meddling Mage enters the battlefield, name a nonland card.|The named card can't be cast.	2	2
Messenger Falcons	{2}{G/U}{W}		Creature	Bird	Flying|When Messenger Falcons enters the battlefield, draw a card.	2	2
Mind Funeral	{1}{U}{B}		Sorcery		Target opponent reveals cards from the top of his or her library until four land cards are revealed. That player puts all cards revealed this way into his or her graveyard.		
Mistvein Borderpost	{1}{U}{B}		Artifact		You may pay {1} and return a basic land you control to its owner's hand rather than pay Mistvein Borderpost's mana cost.|Mistvein Borderpost enters the battlefield tapped.|{T}: Add {U} or {B} to your mana pool.		
Monstrous Carabid	{3}{B}{R}		Creature	Insect	Monstrous Carabid attacks each turn if able.|Cycling {B/R} ({B/R}, Discard this card: Draw a card.)	4	4
