Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Aesthir Glider	{3}		Artifact,Creature	Bird	Flying|Aesthir Glider can't block.	2	1
Agent of Stromgald	{R}		Creature	Human,Knight	{R}: Add {B} to your mana pool.	1	1
Arcane Denial	{1}{U}		Instant		Counter target spell. Its controller may draw up to two cards at the beginning of the next turn's upkeep.|You draw a card at the beginning of the next turn's upkeep.		
Ashnod's Cylix	{2}		Artifact		{3}, {T}: Target player looks at the top three cards of his or her library, puts one of them back on top of his or her library, then exiles the rest.		
Astrolabe	{3}		Artifact		{1}, {T}, Sacrifice Astrolabe: Add two mana of any one color to your mana pool. Draw a card at the beginning of the next turn's upkeep.		
Awesome Presence	{U}		Enchantment	Aura	Enchant creature|Enchanted creature can't be blocked unless defending player pays {3} for each creature he or she controls that's blocking it.		
Balduvian Dead	{3}{B}		Creature	Zombie	{2}{R}, Exile a creature card from your graveyard: Put a 3/1 black and red Graveborn creature token with haste onto the battlefield. Sacrifice it at the beginning of the next end step.	2	3
Balduvian Horde	{2}{R}{R}		Creature	Human,Barbarian	When Balduvian Horde enters the battlefield, sacrifice it unless you discard a card at random.	5	5
Balduvian Trading Post			Land		If Balduvian Trading Post would enter the battlefield, sacrifice an untapped Mountain instead. If you do, put Balduvian Trading Post onto the battlefield. If you don't, put it into its owner's graveyard.|{T}: Add {1}{R} to your mana pool.|{1}, {T}: Balduvian Trading Post deals 1 damage to target attacking creature.		
Balduvian War-Makers	{4}{R}		Creature	Human,Barbarian	Haste|Rampage 1 (Whenever this creature becomes blocked, it gets +1/+1 until end of turn for each creature blocking it beyond the first.)	3	3
Benthic Explorers	{3}{U}		Creature	Merfolk,Scout	{T}, Untap a tapped land an opponent controls: Add one mana of any type that land could produce to your mana pool.	2	4
Bestial Fury	{2}{R}		Enchantment	Aura	Enchant creature|When Bestial Fury enters the battlefield, draw a card at the beginning of the next turn's upkeep.|Whenever enchanted creature becomes blocked, it gets +4/+0 and gains trample until end of turn.		
Bounty of the Hunt	{3}{G}{G}		Instant		You may exile a green card from your hand rather than pay Bounty of the Hunt's mana cost.|Distribute three +1/+1 counters among one, two, or three target creatures. For each +1/+1 counter you put on a creature this way, remove a +1/+1 counter from that creature at the beginning of the next cleanup step.		
Browse	{2}{U}{U}		Enchantment		{2}{U}{U}: Look at the top five cards of your library, put one of them into your hand, and exile the rest.		
Burnout	{1}{R}		Instant		Counter target instant spell if it's blue.|Draw a card at the beginning of the next turn's upkeep.		
Carrier Pigeons	{3}{W}		Creature	Bird	Flying|When Carrier Pigeons enters the battlefield, draw a card at the beginning of the next turn's upkeep.	1	1
Casting of Bones	{2}{B}		Enchantment	Aura	Enchant creature|When enchanted creature dies, draw three cards, then discard one of them.		
Chaos Harlequin	{2}{R}{R}		Creature	Human	{R}: Exile the top card of your library. If that card is a land card, Chaos Harlequin gets -4/-0 until end of turn. Otherwise, Chaos Harlequin gets +2/+0 until end of turn.	2	4
Contagion	{3}{B}{B}		Instant		You may pay 1 life and exile a black card from your hand rather than pay Contagion's mana cost.|Distribute two -2/-1 counters among one or two target creatures.		
Deadly Insect	{4}{G}		Creature	Insect	Shroud (This permanent can't be the target of spells or abilities.)	6	1
Death Spark	{R}		Instant		Death Spark deals 1 damage to target creature or player.|At the beginning of your upkeep, if Death Spark is in your graveyard with a creature card directly above it, you may pay {1}. If you do, return Death Spark to your hand.		
Diminishing Returns	{2}{U}{U}		Sorcery		Each player shuffles his or her hand and graveyard into his or her library. You exile the top ten cards of your library. Then each player draws up to seven cards.		
Diseased Vermin	{2}{B}		Creature	Rat	Whenever Diseased Vermin deals combat damage to a player, put an infection counter on it.|At the beginning of your upkeep, Diseased Vermin deals X damage to target opponent previously dealt damage by it, where X is the number of infection counters on it.	1	1
Dystopia	{1}{B}{B}		Enchantment		Cumulative upkeep-Pay 1 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)|At the beginning of each player's upkeep, that player sacrifices a green or white permanent.		
Elvish Bard	{3}{G}{G}		Creature	Elf,Shaman	All creatures able to block Elvish Bard do so.	2	4
Elvish Ranger	{2}{G}		Creature	Elf		4	1
Elvish Spirit Guide	{2}{G}		Creature	Elf,Spirit	Exile Elvish Spirit Guide from your hand: Add {G} to your mana pool.	2	2
Energy Arc	{W}{U}		Instant		Untap any number of target creatures. Prevent all combat damage that would be dealt to and dealt by those creatures this turn.		
Enslaved Scout	{2}{R}		Creature	Goblin,Scout	{2}: Enslaved Scout gains mountainwalk until end of turn.	2	2
Errand of Duty	{1}{W}		Instant		Put a 1/1 white Knight creature token with banding onto the battlefield. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)		
