Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Æther Mutation	{3}{G}{U}		Sorcery		Return target creature to its owner's hand. Put X 1/1 green Saproling creature tokens onto the battlefield, where X is that creature's converted mana cost.		
Ana Disciple	{G}		Creature	Human,Wizard	{U}, {T}: Target creature gains flying until end of turn.|{B}, {T}: Target creature gets -2/-0 until end of turn.	1	1
Ana Sanctuary	{2}{G}		Enchantment		At the beginning of your upkeep, if you control a blue or black permanent, target creature gets +1/+1 until end of turn. If you control a blue permanent and a black permanent, that creature gets +5/+5 until end of turn instead.		
Anavolver	{3}{G}		Creature	Volver	Kicker {1}{U} and/or {B} (You may pay an additional {1}{U} and/or {B} as you cast this spell.)|If Anavolver was kicked with its {1}{U} kicker, it enters the battlefield with two +1/+1 counters on it and with flying.|If Anavolver was kicked with its {B} kicker, it enters the battlefield with a +1/+1 counter on it and with 'Pay 3 life: Regenerate Anavolver.'	3	3
Angelfire Crusader	{3}{W}		Creature	Human,Soldier,Knight	{R}: Angelfire Crusader gets +1/+0 until end of turn.	2	3
Battlefield Forge			Land		{T}: Add {1} to your mana pool.|{T}: Add {R} or {W} to your mana pool. Battlefield Forge deals 1 damage to you.		
Bloodfire Colossus	{6}{R}{R}		Creature	Giant	{R}, Sacrifice Bloodfire Colossus: Bloodfire Colossus deals 6 damage to each creature and each player.	6	6
Bloodfire Dwarf	{R}		Creature	Dwarf	{R}, Sacrifice Bloodfire Dwarf: Bloodfire Dwarf deals 1 damage to each creature without flying.	1	1
Bloodfire Infusion	{2}{R}		Enchantment	Aura	Enchant creature you control|{R}, Sacrifice enchanted creature: Bloodfire Infusion deals damage equal to the sacrificed creature's power to each creature.		
Bloodfire Kavu	{2}{R}{R}		Creature	Kavu	{R}, Sacrifice Bloodfire Kavu: Bloodfire Kavu deals 2 damage to each creature.	2	2
Bog Gnarr	{4}{G}		Creature	Beast	Whenever a player casts a black spell, Bog Gnarr gets +2/+2 until end of turn.	2	2
Brass Herald	{6}		Artifact,Creature	Golem	As Brass Herald enters the battlefield, choose a creature type.|When Brass Herald enters the battlefield, reveal the top four cards of your library. Put all creature cards of the chosen type revealed this way into your hand and the rest on the bottom of your library in any order.|Creatures of the chosen type get +1/+1.	2	2
Captain's Maneuver	{X}{R}{W}		Instant		The next X damage that would be dealt to target creature or player this turn is dealt to another target creature or player instead.		
Caves of Koilos			Land		{T}: Add {1} to your mana pool.|{T}: Add {W} or {B} to your mana pool. Caves of Koilos deals 1 damage to you.		
Ceta Disciple	{U}		Creature	Merfolk,Wizard	{R}, {T}: Target creature gets +2/+0 until end of turn.|{G}, {T}: Add one mana of any color to your mana pool.	1	1
Ceta Sanctuary	{2}{U}		Enchantment		At the beginning of your upkeep, if you control a red or green permanent, draw a card, then discard a card. If you control a red permanent and a green permanent, instead draw two cards, then discard a card.		
Cetavolver	{1}{U}		Creature	Volver	Kicker {1}{R} and/or {G} (You may pay an additional {1}{R} and/or {G} as you cast this spell.)|If Cetavolver was kicked with its {1}{R} kicker, it enters the battlefield with two +1/+1 counters on it and with first strike.|If Cetavolver was kicked with its {G} kicker, it enters the battlefield with a +1/+1 counter on it and with trample.	1	1
Order // Chaos (Chaos)	{2}{R}		Instant		Creatures can't block this turn.		
Coalition Flag	{W}		Enchantment	Aura	Enchant creature you control|Enchanted creature is a Flagbearer.|While choosing targets as part of casting a spell or activating an ability, your opponents must choose at least one Flagbearer on the battlefield if able.		
Coalition Honor Guard	{3}{W}		Creature	Human,Flagbearer	While choosing targets as part of casting a spell or activating an ability, your opponents must choose at least one Flagbearer on the battlefield if able.	2	4
Coastal Drake	{2}{U}		Creature	Drake	Flying|{1}{U}, {T}: Return target Kavu to its owner's hand.	2	1
Consume Strength	{1}{B}{G}		Instant		Target creature gets +2/+2 until end of turn. Another target creature gets -2/-2 until end of turn.		
Cromat	{W}{U}{B}{R}{G}	Legendary	Creature	Illusion	{W}{B}: Destroy target creature blocking or blocked by Cromat.|{U}{R}: Cromat gains flying until end of turn.|{B}{G}: Regenerate Cromat.|{R}{W}: Cromat gets +1/+1 until end of turn.|{G}{U}: Put Cromat on top of its owner's library.	5	5
Night // Day (Day)	{2}{W}		Instant		Creatures target player controls get +1/+1 until end of turn.		
Dead Ringers	{4}{B}		Sorcery		Destroy two target nonblack creatures unless either one is a color the other isn't. They can't be regenerated.		
Life // Death (Death)	{1}{B}		Sorcery		Return target creature card from your graveyard to the battlefield. You lose life equal to its converted mana cost.		
Death Grasp	{X}{W}{B}		Sorcery		Death Grasp deals X damage to target creature or player. You gain X life.		
Death Mutation	{6}{B}{G}		Sorcery		Destroy target nonblack creature. It can't be regenerated. Put X 1/1 green Saproling creature tokens onto the battlefield, where X is that creature's converted mana cost.		
Dega Disciple	{W}		Creature	Human,Wizard	{B}, {T}: Target creature gets -2/-0 until end of turn.|{R}, {T}: Target creature gets +2/+0 until end of turn.	1	1
Dega Sanctuary	{2}{W}		Enchantment		At the beginning of your upkeep, if you control a black or red permanent, you gain 2 life. If you control a black permanent and a red permanent, you gain 4 life instead.		
Degavolver	{1}{W}		Creature	Volver	Kicker {1}{B} and/or {R} (You may pay an additional {1}{B} and/or {R} as you cast this spell.)|If Degavolver was kicked with its {1}{B} kicker, it enters the battlefield with two +1/+1 counters on it and with 'Pay 3 life: Regenerate Degavolver.'|If Degavolver was kicked with its {R} kicker, it enters the battlefield with a +1/+1 counter on it and with first strike.	1	1
Desolation Angel	{3}{B}{B}		Creature	Angel	Kicker {W}{W} (You may pay an additional {W}{W} as you cast this spell.)|Flying|When Desolation Angel enters the battlefield, destroy all lands you control. If it was kicked, destroy all lands instead.	5	4
Desolation Giant	{2}{R}{R}		Creature	Giant	Kicker {W}{W} (You may pay an additional {W}{W} as you cast this spell.)|When Desolation Giant enters the battlefield, destroy all other creatures you control. If it was kicked, destroy all other creatures instead.	3	3
Diversionary Tactics	{3}{W}		Enchantment		Tap two untapped creatures you control: Tap target creature.		
Divine Light	{W}		Sorcery		Prevent all damage that would be dealt this turn to creatures you control.		
Dodecapod	{4}		Artifact,Creature	Golem	If a spell or ability an opponent controls causes you to discard Dodecapod, put it onto the battlefield with two +1/+1 counters on it instead of putting it into your graveyard.	3	3
Dragon Arch	{5}		Artifact		{2}, {T}: You may put a multicolored creature card from your hand onto the battlefield.		
Dwarven Landslide	{3}{R}		Sorcery		Kicker-{2}{R}, Sacrifice a land. (You may pay {2}{R} and sacrifice a land in addition to any other costs as you cast this spell.)|Destroy target land. If Dwarven Landslide was kicked, destroy another target land.		
Dwarven Patrol	{2}{R}		Creature	Dwarf	Dwarven Patrol doesn't untap during your untap step.|Whenever you cast a nonred spell, untap Dwarven Patrol.	4	2
Ebony Treefolk	{1}{B}{G}		Creature	Treefolk	{B}{G}: Ebony Treefolk gets +1/+1 until end of turn.	3	3
Emblazoned Golem	{2}		Artifact,Creature	Golem	Kicker {X} (You may pay an additional {X} as you cast this spell.)|Spend only colored mana on X. No more than one mana of each color may be spent this way.|If Emblazoned Golem was kicked, it enters the battlefield with X +1/+1 counters on it.	1	2
