Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abu Ja'far	{W}		Creature	Human	When Abu Ja'far dies, destroy all creatures blocking or blocked by it. They can't be regenerated.	0	1
Aladdin	{2}{R}{R}		Creature	Human,Rogue	{1}{R}{R}, {T}: Gain control of target artifact for as long as you control Aladdin.	1	1
Aladdin's Lamp	{10}		Artifact		{X}, {T}: The next time you would draw a card this turn, instead look at the top X cards of your library, put all but one of them on the bottom of your library in a random order, then draw a card. X can't be 0.		
Aladdin's Ring	{8}		Artifact		{8}, {T}: Aladdin's Ring deals 4 damage to target creature or player.		
Ali Baba	{R}		Creature	Human,Rogue	{R}: Tap target Wall.	1	1
Ali from Cairo	{2}{R}{R}		Creature	Human	Damage that would reduce your life total to less than 1 reduces it to 1 instead.	0	1
Army of Allah	{1}{W}{W}		Instant		Attacking creatures get +2/+0 until end of turn.		
Bazaar of Baghdad			Land		{T}: Draw two cards, then discard three cards.		
Bird Maiden	{2}{R}		Creature	Human,Bird	Flying	1	2
Bottle of Suleiman	{4}		Artifact		{1}, Sacrifice Bottle of Suleiman: Flip a coin. If you lose the flip, Bottle of Suleiman deals 5 damage to you. If you win the flip, put a 5/5 colorless Djinn artifact creature token with flying onto the battlefield.		
Brass Man	{1}		Artifact,Creature	Construct	Brass Man doesn't untap during your untap step.|At the beginning of your upkeep, you may pay {1}. If you do, untap Brass Man.	1	3
Camel	{W}		Creature	Camel	Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)|As long as Camel is attacking, prevent all damage Deserts would deal to Camel and to creatures banded with Camel.	0	1
City in a Bottle	{2}		Artifact		Whenever a nontoken permanent originally printed in the Arabian Nights expansion other than City in a Bottle is on the battlefield, its controller sacrifices it.|Players can't play cards originally printed in the Arabian Nights expansion.		
City of Brass			Land		Whenever City of Brass becomes tapped, it deals 1 damage to you.|{T}: Add one mana of any color to your mana pool.		
Cuombajj Witches	{B}{B}		Creature	Human,Wizard	{T}: Cuombajj Witches deals 1 damage to target creature or player and 1 damage to target creature or player of an opponent's choice.	1	3
Cyclone	{2}{G}{G}		Enchantment		At the beginning of your upkeep, put a wind counter on Cyclone, then sacrifice Cyclone unless you pay {G} for each wind counter on it. If you pay, Cyclone deals damage equal to the number of wind counters on it to each creature and each player.		
Dancing Scimitar	{4}		Artifact,Creature	Spirit	Flying (This creature can't be blocked except by creatures with flying or reach.)	1	5
Dandân	{U}{U}		Creature	Fish	Dandân can't attack unless defending player controls an Island.|When you control no Islands, sacrifice Dandân.	4	1
