Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Æther Spellbomb	{1}		Artifact		{U}, Sacrifice Æther Spellbomb: Return target creature to its owner's hand.|{1}, Sacrifice Æther Spellbomb: Draw a card.		
Agony Warp	{U}{B}		Instant		Target creature gets -3/-0 until end of turn.|Target creature gets -0/-3 until end of turn.		
Architects of Will	{2}{U}{B}		Artifact,Creature	Human,Wizard	When Architects of Will enters the battlefield, look at the top three cards of target player's library, then put them back in any order.|Cycling {U/B} ({U/B}, Discard this card: Draw a card.)	3	3
Armadillo Cloak	{1}{G}{W}		Enchantment	Aura	Enchant creature|Enchanted creature gets +2/+2 and has trample.|Whenever enchanted creature deals damage, you gain that much life.		
Artisan of Kozilek	{9}		Creature	Eldrazi	When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield.|Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)	10	9
Avatar of Discord	{B/R}{B/R}{B/R}		Creature	Avatar	({B/R} can be paid with either {B} or {R}.)|Flying|When Avatar of Discord enters the battlefield, sacrifice it unless you discard two cards.	5	3
Avatar of Woe	{6}{B}{B}		Creature	Avatar	If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.|Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)|{T}: Destroy target creature. It can't be regenerated.	6	5
Azorius Signet	{2}		Artifact		{1}, {T}: Add {W}{U} to your mana pool.		
Barren Moor			Land		Barren Moor enters the battlefield tapped.|{T}: Add {B} to your mana pool.|Cycling {B} ({B}, Discard this card: Draw a card.)		
Battering Craghorn	{2}{R}{R}		Creature	Goat,Beast	First strike|Morph {1}{R}{R} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	3	1
Batwing Brume	{1}{W/B}		Instant		Prevent all combat damage that would be dealt this turn if {W} was spent to cast Batwing Brume. Each player loses 1 life for each attacking creature he or she controls if {B} was spent to cast Batwing Brume. (Do both if {W}{B} was spent.)		
Beacon of Unrest	{3}{B}{B}		Sorcery		Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.		
Bituminous Blast	{3}{B}{R}		Instant		Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)|Bituminous Blast deals 4 damage to target creature.		
Bog Witch	{2}{B}		Creature	Human,Spellshaper	{B}, {T}, Discard a card: Add {B}{B}{B} to your mana pool.	1	1
Branching Bolt	{1}{R}{G}		Instant		Choose one or both - Branching Bolt deals 3 damage to target creature with flying; and/or Branching Bolt deals 3 damage to target creature without flying.		
Breath of Darigaaz	{1}{R}		Sorcery		Kicker {2} (You may pay an additional {2} as you cast this spell.)|Breath of Darigaaz deals 1 damage to each creature without flying and each player. If Breath of Darigaaz was kicked, it deals 4 damage to each creature without flying and each player instead.		
Cemetery Reaper	{1}{B}{B}		Creature	Zombie	Other Zombie creatures you control get +1/+1.|{2}{B}, {T}: Exile target creature card from a graveyard. Put a 2/2 black Zombie creature token onto the battlefield.	2	2
