Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abundant Growth	{G}		Enchantment	Aura	Enchant land|When Abundant Growth enters the battlefield, draw a card.|Enchanted land has '{T}: Add one mana of any color to your mana pool.'		
Aggravate	{3}{R}{R}		Instant		Aggravate deals 1 damage to each creature target player controls. Each creature dealt damage this way attacks this turn if able.		
Alchemist's Apprentice	{1}{U}		Creature	Human,Wizard	Sacrifice Alchemist's Apprentice: Draw a card.	1	1
Alchemist's Refuge			Land		{T}: Add {1} to your mana pool.|{G}{U}, {T}: You may cast nonland cards this turn as though they had flash.		
Amass the Components	{3}{U}		Sorcery		Draw three cards, then put a card from your hand on the bottom of your library.		
Angel of Glory's Rise	{5}{W}{W}		Creature	Angel	Flying|When Angel of Glory's Rise enters the battlefield, exile all Zombies, then return all Human creature cards from your graveyard to the battlefield.	4	6
Angel of Jubilation	{1}{W}{W}{W}		Creature	Angel	Flying|Other nonblack creatures you control get +1/+1.|Players can't pay life or sacrifice creatures to cast spells or activate abilities.	3	3
Angelic Armaments	{3}		Artifact	Equipment	Equipped creature gets +2/+2, has flying, and is a white Angel in addition to its other colors and types.|Equip {4}		
Angelic Wall	{1}{W}		Creature	Wall	Defender (This creature can't attack.)|Flying	0	4
Angel's Mercy	{2}{W}{W}		Instant		You gain 7 life.		
Angel's Tomb	{3}		Artifact		Whenever a creature enters the battlefield under your control, you may have Angel's Tomb become a 3/3 white Angel artifact creature with flying until end of turn.		
Appetite for Brains	{B}		Sorcery		Target opponent reveals his or her hand. You choose a card from it with converted mana cost 4 or greater and exile that card.		
Arcane Melee	{4}{U}		Enchantment		Instant and sorcery spells cost {2} less to cast.		
Archangel	{5}{W}{W}		Creature	Angel	Flying, vigilance	5	5
Archwing Dragon	{2}{R}{R}		Creature	Dragon	Flying, haste|At the beginning of the end step, return Archwing Dragon to its owner's hand.	4	4
Avacyn, Angel of Hope	{5}{W}{W}{W}	Legendary	Creature	Angel	Flying, vigilance, indestructible|Other permanents you control have indestructible.	8	8
