Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Adverse Conditions	{3}{U}	None	Instant	None	Devoid (This card has no color.)|Tap up to two target creatures. Those creatures don't untap during their controller's next untap step. Put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has 'Sacrifice this creature: Add {1} to your mana pool.'		
Akoum Firebird	{2}{R}{R}	None	Creature	Phoenix	Flying, haste|Akoum Firebird attacks each turn if able.|Landfall - Whenever a land enters the battlefield under your control, you may pay {4}{R}{R}. If you do, return Akoum Firebird from your graveyard to the battlefield.	3	3
Akoum Hellkite	{4}{R}{R}	None	Creature	Dragon	Flying|Landfall - Whenever a land enters the battlefield under your control, Akoum Hellkite deals 1 damage to target creature or player. If that land is a Mountain, Akoum Hellkite deals 2 damage to that creature or player instead.	4	4
Akoum Stonewaker	{1}{R}	None	Creature	Human,Shaman	Landfall - Whenever a land enters the battlefield under your control, you may pay {2}{R}. If you do, put a 3/1 red Elemental creature token with trample and haste onto the battlefield. Exile that token at the beginning of the next end step.	2	1
Aligned Hedron Network	{4}	None	Artifact	None	When Aligned Hedron Network enters the battlefield, exile all creatures with power 5 or greater until Aligned Hedron Network leaves the battlefield. (Those creatures return under their owners' control.)		
Ally Encampment		None	Land	None	{T}: Add {1} to your mana pool.|{T}: Add one mana of any color to your mana pool. Spend this mana only to cast an Ally spell.|{1}, {T}, Sacrifice Ally Encampment: Return target Ally you control to its owner's hand.		
Altar's Reap	{1}{B}	None	Instant	None	As an additional cost to cast Altar's Reap, sacrifice a creature.|Draw two cards.		
Angel of Renewal	{5}{W}	None	Creature	Angel,Ally	Flying|When Angel of Renewal enters the battlefield, you gain 1 life for each creature you control.	4	4
Angelic Captain	{3}{R}{W}	None	Creature	Angel,Ally	Flying|Whenever Angelic Captain attacks, it gets +1/+1 until end of turn for each other attacking Ally.	4	3
Angelic Gift	{1}{W}	None	Enchantment	Aura	Enchant creature|When Angelic Gift enters the battlefield, draw a card.|Enchanted creature has flying.		
Anticipate	{1}{U}	None	Instant	None	Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.		
