Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Akki Blizzard-Herder	{1}{R}		Creature	Goblin,Shaman	When Akki Blizzard-Herder dies, each player sacrifices a land.	1	1
Akki Raider	{1}{R}		Creature	Goblin,Warrior	Whenever a land is put into a graveyard from the battlefield, Akki Raider gets +1/+0 until end of turn.	2	1
Ashen Monstrosity	{5}{R}{R}		Creature	Spirit	Haste|Ashen Monstrosity attacks each turn if able.	7	4
Aura Barbs	{2}{R}		Instant	Arcane	Each enchantment deals 2 damage to its controller, then each Aura attached to a creature deals 2 damage to the creature it's attached to.		
Cunning Bandit (Azamuki, Treachery Incarnate)	{1}{R}{R}	Legendary	Creature	Spirit	Remove a ki counter from Azamuki, Treachery Incarnate: Gain control of target creature until end of turn.	5	2
Baku Altar	{2}		Artifact		Whenever you cast a Spirit or Arcane spell, you may put a ki counter on Baku Altar.|{2}, {T}, Remove a ki counter from Baku Altar: Put a 1/1 colorless Spirit creature token onto the battlefield.		
Bile Urchin	{B}		Creature	Spirit	Sacrifice Bile Urchin: Target player loses 1 life.	1	1
Blademane Baku	{1}{R}		Creature	Spirit	Whenever you cast a Spirit or Arcane spell, you may put a ki counter on Blademane Baku.|{1}, Remove X ki counters from Blademane Baku: For each counter removed, Blademane Baku gets +2/+0 until end of turn.	1	1
Blazing Shoal	{X}{R}{R}		Instant	Arcane	You may exile a red card with converted mana cost X from your hand rather than pay Blazing Shoal's mana cost.|Target creature gets +X/+0 until end of turn.		
Blessing of Leeches	{2}{B}		Enchantment	Aura	Flash|Enchant creature|At the beginning of your upkeep, you lose 1 life.|{0}: Regenerate enchanted creature.		
Blinding Powder	{1}		Artifact	Equipment	Equipped creature has 'Unattach Blinding Powder: Prevent all combat damage that would be dealt to this creature this turn.'|Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)		
Body of Jukai	{7}{G}{G}		Creature	Spirit	Trample|Soulshift 8 (When this creature dies, you may return target Spirit card with converted mana cost 8 or less from your graveyard to your hand.)	8	5
