Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Acolyte's Reward	{1}{W}	None	Instant	None	Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to target creature or player. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)		
Aerie Worshippers	{3}{U}	None	Creature	Human,Cleric	Inspired - Whenever Aerie Worshippers becomes untapped, you may pay {2}{U}. If you do, put a 2/2 blue Bird enchantment creature token with flying onto the battlefield.	2	4
Akroan Conscriptor	{4}{R}	None	Creature	Human,Shaman	Heroic - Whenever you cast a spell that targets Akroan Conscriptor, gain control of another target creature until end of turn. Untap that creature. It gains haste until end of turn.	3	2
Akroan Phalanx	{3}{W}	None	Creature	Human,Soldier	Vigilance|{2}{R}: Creatures you control get +1/+0 until end of turn.	3	3
Akroan Skyguard	{1}{W}	None	Creature	Human,Soldier	Flying|Heroic - Whenever you cast a spell that targets Akroan Skyguard, put a +1/+1 counter on Akroan Skyguard.	1	1
Arbiter of the Ideal	{4}{U}{U}	None	Creature	Sphinx	Flying|Inspired - Whenever Arbiter of the Ideal becomes untapped, reveal the top card of your library. If it's an artifact, creature, or land card, you may put it onto the battlefield with a manifestation counter on it. That permanent is an enchantment in addition to its other types.	4	5
Archetype of Aggression	{1}{R}{R}	None	Enchantment,Creature	Human,Warrior	Creatures you control have trample.|Creatures your opponents control lose trample and can't have or gain trample.	3	2
Archetype of Courage	{1}{W}{W}	None	Enchantment,Creature	Human,Soldier	Creatures you control have first strike.|Creatures your opponents control lose first strike and can't have or gain first strike.	2	2
Archetype of Endurance	{6}{G}{G}	None	Enchantment,Creature	Boar	Creatures you control have hexproof.|Creatures your opponents control lose hexproof and can't have or gain hexproof.	6	5
Archetype of Finality	{4}{B}{B}	None	Enchantment,Creature	Gorgon	Creatures you control have deathtouch.|Creatures your opponents control lose deathtouch and can't have or gain deathtouch.	2	3
Archetype of Imagination	{4}{U}{U}	None	Enchantment,Creature	Human,Wizard	Creatures you control have flying.|Creatures your opponents control lose flying and can't have or gain flying.	3	2
Ashiok's Adept	{2}{B}	None	Creature	Human,Wizard	Heroic - Whenever you cast a spell that targets Ashiok's Adept, each opponent discards a card.	1	3
Aspect of Hydra	{G}	None	Instant	None	Target creature gets +X/+X until end of turn, where X is your devotion to green. (Each {G} in the mana costs of permanents you control counts toward your devotion to green.)		
Asphyxiate	{1}{B}{B}	None	Sorcery	None	Destroy target untapped creature.		
Astral Cornucopia	{X}{X}{X}	None	Artifact	None	Astral Cornucopia enters the battlefield with X charge counters on it.|{T}: Choose a color. Add one mana of that color to your mana pool for each charge counter on Astral Cornucopia.		
Bile Blight	{B}{B}	None	Instant	None	Target creature and all other creatures with the same name as that creature get -3/-3 until end of turn.		
Black Oak of Odunos	{2}{B}	None	Creature	Zombie,Treefolk	Defender|{B}, Tap another untapped creature you control: Black Oak of Odunos gets +1/+1 until end of turn.	0	5
Bolt of Keranos	{1}{R}{R}	None	Sorcery	None	Bolt of Keranos deals 3 damage to target creature or player. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)		
Brimaz, King of Oreskos	{1}{W}{W}	Legendary	Creature	Cat,Soldier	Vigilance|Whenever Brimaz, King of Oreskos attacks, put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield attacking.|Whenever Brimaz blocks a creature, put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield blocking that creature.	3	4
Champion of Stray Souls	{4}{B}{B}	None	Creature	Skeleton,Warrior	{3}{B}{B}, {T}, Sacrifice X other creatures: Return X target creature cards from your graveyard to the battlefield.|{5}{B}{B}: Put Champion of Stray Souls on top of your library from your graveyard.	4	4
Charging Badger	{G}	None	Creature	Badger	Trample	1	1
Chorus of the Tides	{3}{U}	None	Creature	Siren	Flying|Heroic - Whenever you cast a spell that targets Chorus of the Tides, scry 1. (To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.)	3	2
