Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Akki Avalanchers	{R}		Creature	Goblin,Warrior	Sacrifice a land: Akki Avalanchers gets +2/+0 until end of turn. Activate this ability only once each turn.	1	1
Akki Coalflinger	{1}{R}{R}		Creature	Goblin,Shaman	First strike|{R}, {T}: Attacking creatures gain first strike until end of turn.	2	2
Akki Lavarunner	{3}{R}		Creature	Goblin,Warrior	Haste|Whenever Akki Lavarunner deals damage to an opponent, flip it.|	1	1
Akki Rockspeaker	{1}{R}		Creature	Goblin,Shaman	When Akki Rockspeaker enters the battlefield, add {R} to your mana pool.	1	1
Akki Underminer	{3}{R}		Creature	Goblin,Rogue,Shaman	Whenever Akki Underminer deals combat damage to a player, that player sacrifices a permanent.	1	1
Ashen-Skin Zubera	{1}{B}		Creature	Zubera,Spirit	When Ashen-Skin Zubera dies, target opponent discards a card for each Zubera that died this turn.	1	2
Aura of Dominion	{U}{U}		Enchantment	Aura	Enchant creature|{1}, Tap an untapped creature you control: Untap enchanted creature.		
Kitsune Mystic (Autumn-Tail, Kitsune Sage)	{3}{W}	Legendary	Creature	Fox,Wizard	{1}: Attach target Aura attached to a creature to another creature.	4	5
Azami, Lady of Scrolls	{2}{U}{U}{U}	Legendary	Creature	Human,Wizard	Tap an untapped Wizard you control: Draw a card.	0	2
Azusa, Lost but Seeking	{2}{G}	Legendary	Creature	Human,Monk	You may play two additional lands on each of your turns.	1	2
Battle-Mad Ronin	{1}{R}		Creature	Human,Samurai	Bushido 2 (When this blocks or becomes blocked, it gets +2/+2 until end of turn.)|Battle-Mad Ronin attacks each turn if able.	1	1
Befoul	{2}{B}{B}		Sorcery		Destroy target land or nonblack creature. It can't be regenerated.		
Ben-Ben, Akki Hermit	{2}{R}{R}	Legendary	Creature	Goblin,Shaman	{T}: Ben-Ben, Akki Hermit deals damage to target attacking creature equal to the number of untapped Mountains you control.	1	1
Blessed Breath	{W}		Instant	Arcane	Target creature you control gains protection from the color of your choice until end of turn.|Splice onto Arcane {W} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)		
Blind with Anger	{3}{R}		Instant	Arcane	Untap target nonlegendary creature and gain control of it until end of turn. That creature gains haste until end of turn.		
Blood Rites	{3}{R}{R}		Enchantment		{1}{R}, Sacrifice a creature: Blood Rites deals 2 damage to target creature or player.		
Blood Speaker	{3}{B}		Creature	Ogre,Shaman	At the beginning of your upkeep, you may sacrifice Blood Speaker. If you do, search your library for a Demon card, reveal that card, put it into your hand, then shuffle your library.|Whenever a Demon enters the battlefield under your control, return Blood Speaker from your graveyard to your hand.	3	2
Bloodthirsty Ogre	{2}{B}		Creature	Ogre,Warrior,Shaman	{T}: Put a devotion counter on Bloodthirsty Ogre.|{T}: Target creature gets -X/-X until end of turn, where X is the number of devotion counters on Bloodthirsty Ogre. Activate this ability only if you control a Demon.	3	1
Boseiju, Who Shelters All		Legendary	Land		Boseiju, Who Shelters All enters the battlefield tapped.|{T}, Pay 2 life: Add {1} to your mana pool. If that mana is spent on an instant or sorcery spell, that spell can't be countered by spells or abilities.		
Brothers Yamazaki	{2}{R}	Legendary	Creature	Human,Samurai	Bushido 1 (When this blocks or becomes blocked, it gets +1/+1 until end of turn.)|If there are exactly two permanents named Brothers Yamazaki on the battlefield, the 'legend rule' doesn't apply to them.|Each other creature named Brothers Yamazaki gets +2/+2 and has haste.	2	1
Brutal Deceiver	{2}{R}		Creature	Spirit	{1}: Look at the top card of your library.|{2}: Reveal the top card of your library. If it's a land card, Brutal Deceiver gets +1/+0 and gains first strike until end of turn. Activate this ability only once each turn.	2	2
Budoka Gardener	{1}{G}		Creature	Human,Monk	{T}: You may put a land card from your hand onto the battlefield. If you control ten or more lands, flip Budoka Gardener.|	2	1
Burr Grafter	{3}{G}		Creature	Spirit	Sacrifice Burr Grafter: Target creature gets +2/+2 until end of turn.|Soulshift 3 (When this creature dies, you may return target Spirit card with converted mana cost 3 or less from your graveyard to your hand.)	2	2
Bushi Tenderfoot	{W}		Creature	Human,Soldier	When a creature dealt damage by Bushi Tenderfoot this turn dies, flip Bushi Tenderfoot.|	1	1
Cage of Hands	{2}{W}		Enchantment	Aura	Enchant creature|Enchanted creature can't attack or block.|{1}{W}: Return Cage of Hands to its owner's hand.		
Call to Glory	{1}{W}		Instant		Untap all creatures you control. Samurai creatures you control get +1/+1 until end of turn.		
Callous Deceiver	{2}{U}		Creature	Spirit	{1}: Look at the top card of your library.|{2}: Reveal the top card of your library. If it's a land card, Callous Deceiver gets +1/+0 and gains flying until end of turn. Activate this ability only once each turn.	1	3
Candles' Glow	{1}{W}		Instant	Arcane	Prevent the next 3 damage that would be dealt to target creature or player this turn. You gain life equal to the damage prevented this way.|Splice onto Arcane {1}{W} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)		
Cleanfall	{2}{W}		Sorcery	Arcane	Destroy all enchantments.		
Cloudcrest Lake			Land		{T}: Add {1} to your mana pool.|{T}: Add {W} or {U} to your mana pool. Cloudcrest Lake doesn't untap during your next untap step.		
Commune with Nature	{G}		Sorcery		Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.		
Consuming Vortex	{1}{U}		Instant	Arcane	Return target creature to its owner's hand.|Splice onto Arcane {3}{U} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)		
Counsel of the Soratami	{2}{U}		Sorcery		Draw two cards.		
Cranial Extraction	{3}{B}		Sorcery	Arcane	Name a nonland card. Search target player's graveyard, hand, and library for all cards with that name and exile them. Then that player shuffles his or her library.		
Cruel Deceiver	{1}{B}		Creature	Spirit	{1}: Look at the top card of your library.|{2}: Reveal the top card of your library. If it's a land card, Cruel Deceiver gains 'Whenever Cruel Deceiver deals damage to a creature, destroy that creature' until end of turn. Activate this ability only once each turn.	2	1
Crushing Pain	{1}{R}		Instant	Arcane	Crushing Pain deals 6 damage to target creature that was dealt damage this turn.		
Cursed Ronin	{3}{B}		Creature	Human,Samurai	Bushido 1 (When this blocks or becomes blocked, it gets +1/+1 until end of turn.)|{B}: Cursed Ronin gets +1/+1 until end of turn.	1	1
Cut the Tethers	{2}{U}{U}		Sorcery		For each Spirit, return it to its owner's hand unless that player pays {3}.		
Dampen Thought	{1}{U}		Instant	Arcane	Target player puts the top four cards of his or her library into his or her graveyard.|Splice onto Arcane {1}{U} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)		
Dance of Shadows	{3}{B}{B}		Sorcery	Arcane	Creatures you control get +1/+0 and gain fear until end of turn. (They can't be blocked except by artifact creatures and/or black creatures.)		
Deathcurse Ogre	{5}{B}		Creature	Ogre,Warrior	When Deathcurse Ogre dies, each player loses 3 life.	3	3
Desperate Ritual	{1}{R}		Instant	Arcane	Add {R}{R}{R} to your mana pool.|Splice onto Arcane {1}{R} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)		
Devoted Retainer	{W}		Creature	Human,Samurai	Bushido 1 (When this blocks or becomes blocked, it gets +1/+1 until end of turn.)	1	1
Devouring Greed	{2}{B}{B}		Sorcery	Arcane	As an additional cost to cast Devouring Greed, you may sacrifice any number of Spirits.|Target player loses 2 life plus 2 life for each Spirit sacrificed this way. You gain that much life.		
Devouring Rage	{4}{R}		Instant	Arcane	As an additional cost to cast Devouring Rage, you may sacrifice any number of Spirits.|Target creature gets +3/+0 until end of turn. For each Spirit sacrificed this way, that creature gets an additional +3/+0 until end of turn.		
Distress	{B}{B}		Sorcery		Target player reveals his or her hand. You choose a nonland card from it. That player discards that card.		
Budoka Gardener (Dokai, Weaver of Life)	{1}{G}	Legendary	Creature	Human,Monk	{4}{G}{G}, {T}: Put an X/X green Elemental creature token onto the battlefield, where X is the number of lands you control.	3	3
Dosan the Falling Leaf	{1}{G}{G}	Legendary	Creature	Human,Monk	Players can cast spells only during their own turns.	2	2
Dripping-Tongue Zubera	{1}{G}		Creature	Zubera,Spirit	When Dripping-Tongue Zubera dies, put a 1/1 colorless Spirit creature token onto the battlefield for each Zubera that died this turn.	1	2
Earthshaker	{4}{R}{R}		Creature	Spirit	Whenever you cast a Spirit or Arcane spell, Earthshaker deals 2 damage to each creature without flying.	4	5
Eerie Procession	{2}{U}		Sorcery	Arcane	Search your library for an Arcane card, reveal that card, and put it into your hand. Then shuffle your library.		
Eiganjo Castle		Legendary	Land		{T}: Add {W} to your mana pool.|{W}, {T}: Prevent the next 2 damage that would be dealt to target legendary creature this turn.		
Eight-and-a-Half-Tails	{W}{W}	Legendary	Creature	Fox,Cleric	{1}{W}: Target permanent you control gains protection from white until end of turn.|{1}: Target spell or permanent becomes white until end of turn.	2	2
Ember-Fist Zubera	{1}{R}		Creature	Zubera,Spirit	When Ember-Fist Zubera dies, it deals damage to target creature or player equal to the number of Zubera that died this turn.	1	2
Ethereal Haze	{W}		Instant	Arcane	Prevent all damage that would be dealt by creatures this turn.		
Eye of Nowhere	{U}{U}		Sorcery	Arcane	Return target permanent to its owner's hand.		
Feast of Worms	{3}{G}{G}		Sorcery	Arcane	Destroy target land. If that land was legendary, its controller sacrifices another land.		
Feral Deceiver	{3}{G}		Creature	Spirit	{1}: Look at the top card of your library.|{2}: Reveal the top card of your library. If it's a land card, Feral Deceiver gets +2/+2 and gains trample until end of turn. Activate this ability only once each turn.	3	2
Field of Reality	{2}{U}		Enchantment	Aura	Enchant creature|Enchanted creature can't be blocked by Spirits.|{1}{U}: Return Field of Reality to its owner's hand.		
Floating-Dream Zubera	{1}{U}		Creature	Zubera,Spirit	When Floating-Dream Zubera dies, draw a card for each Zubera that died this turn.	1	2
Forbidden Orchard			Land		{T}: Add one mana of any color to your mana pool.|Whenever you tap Forbidden Orchard for mana, target opponent puts a 1/1 colorless Spirit creature token onto the battlefield.		
Forest		Basic	Land	Forest	G		
Frostwielder	{2}{R}{R}		Creature	Human,Shaman	{T}: Frostwielder deals 1 damage to target creature or player.|If a creature dealt damage by Frostwielder this turn would die, exile it instead.	1	2
Gale Force	{4}{G}		Sorcery		Gale Force deals 5 damage to each creature with flying.		
General's Kabuto	{4}		Artifact	Equipment	Equipped creature has shroud. (It can't be the target of spells or abilities.)|Prevent all combat damage that would be dealt to equipped creature.|Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)		
Ghostly Prison	{2}{W}		Enchantment		Creatures can't attack you unless their controller pays {2} for each creature he or she controls that's attacking you.		
Gibbering Kami	{3}{B}		Creature	Spirit	Flying|Soulshift 3 (When this creature dies, you may return target Spirit card with converted mana cost 3 or less from your graveyard to your hand.)	2	2
Gifts Ungiven	{3}{U}		Instant		Search your library for up to four cards with different names and reveal them. Target opponent chooses two of those cards. Put the chosen cards into your graveyard and the rest into your hand. Then shuffle your library.		
Glacial Ray	{1}{R}		Instant	Arcane	Glacial Ray deals 2 damage to target creature or player.|Splice onto Arcane {1}{R} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)		
Glimpse of Nature	{G}		Sorcery		Whenever you cast a creature spell this turn, draw a card.		
Godo, Bandit Warlord	{5}{R}	Legendary	Creature	Human,Barbarian	When Godo, Bandit Warlord enters the battlefield, you may search your library for an Equipment card and put it onto the battlefield. If you do, shuffle your library.|Whenever Godo attacks for the first time each turn, untap it and all Samurai you control. After this phase, there is an additional combat phase.	3	3
Initiate of Blood (Goka the Unjust)	{3}{R}	Legendary	Creature	Ogre,Shaman	{T}: Goka the Unjust deals 4 damage to target creature that was dealt damage this turn.	4	4
Graceful Adept	{2}{U}		Creature	Human,Wizard	You have no maximum hand size.	1	3
Guardian of Solitude	{1}{U}		Creature	Spirit	Whenever you cast a Spirit or Arcane spell, target creature gains flying until end of turn.	1	2
Gutwrencher Oni	{3}{B}{B}		Creature	Demon,Spirit	Trample|At the beginning of your upkeep, discard a card if you don't control an Ogre.	5	4
Hair-Strung Koto	{6}		Artifact		Tap an untapped creature you control: Target player puts the top card of his or her library into his or her graveyard.		
Hall of the Bandit Lord		Legendary	Land		Hall of the Bandit Lord enters the battlefield tapped.|{T}, Pay 3 life: Add {1} to your mana pool. If that mana is spent on a creature spell, it gains haste.		
Hana Kami	{G}		Creature	Spirit	{1}{G}, Sacrifice Hana Kami: Return target Arcane card from your graveyard to your hand.	1	1
Hanabi Blast	{1}{R}{R}		Instant		Hanabi Blast deals 2 damage to target creature or player. Return Hanabi Blast to its owner's hand, then discard a card at random.		
Hankyu	{1}		Artifact	Equipment	Equipped creature has '{T}: Put an aim counter on Hankyu' and '{T}, Remove all aim counters from Hankyu: This creature deals damage to target creature or player equal to the number of aim counters removed this way.'|Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)		
Harsh Deceiver	{3}{W}		Creature	Spirit	{1}: Look at the top card of your library.|{2}: Reveal the top card of your library. If it's a land card, untap Harsh Deceiver and it gets +1/+1 until end of turn. Activate this ability only once each turn.	1	4
He Who Hungers	{4}{B}	Legendary	Creature	Spirit	Flying|{1}, Sacrifice a Spirit: Target opponent reveals his or her hand. You choose a card from it. That player discards that card. Activate this ability only any time you could cast a sorcery.|Soulshift 4 (When this creature dies, you may return target Spirit card with converted mana cost 4 or less from your graveyard to your hand.)	3	2
Heartbeat of Spring	{2}{G}		Enchantment		Whenever a player taps a land for mana, that player adds one mana to his or her mana pool of any type that land produced.		
Hearth Kami	{1}{R}		Creature	Spirit	{X}, Sacrifice Hearth Kami: Destroy target artifact with converted mana cost X.	2	1
Hideous Laughter	{2}{B}{B}		Instant	Arcane	All creatures get -2/-2 until end of turn.|Splice onto Arcane {3}{B}{B} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)		
Hikari, Twilight Guardian	{3}{W}{W}	Legendary	Creature	Spirit	Flying|Whenever you cast a Spirit or Arcane spell, you may exile Hikari, Twilight Guardian. If you do, return it to the battlefield under its owner's control at the beginning of the next end step.	4	4
Hinder	{1}{U}{U}		Instant		Counter target spell. If that spell is countered this way, put that card on the top or bottom of its owner's library instead of into that player's graveyard.		
Hisoka, Minamo Sensei	{2}{U}{U}	Legendary	Creature	Human,Wizard	{2}{U}, Discard a card: Counter target spell if it has the same converted mana cost as the discarded card.	1	3
Hisoka's Defiance	{1}{U}		Instant		Counter target Spirit or Arcane spell.		
Hisoka's Guard	{1}{U}		Creature	Human,Wizard	You may choose not to untap Hisoka's Guard during your untap step.|{1}{U}, {T}: Target creature you control other than Hisoka's Guard has shroud for as long as Hisoka's Guard remains tapped. (It can't be the target of spells or abilities.)	1	1
Hold the Line	{1}{W}{W}		Instant		Blocking creatures get +7/+7 until end of turn.		
Honden of Cleansing Fire	{3}{W}	Legendary	Enchantment	Shrine	At the beginning of your upkeep, you gain 2 life for each Shrine you control.		
Honden of Infinite Rage	{2}{R}	Legendary	Enchantment	Shrine	At the beginning of your upkeep, Honden of Infinite Rage deals damage to target creature or player equal to the number of Shrines you control.		
Honden of Life's Web	{4}{G}	Legendary	Enchantment	Shrine	At the beginning of your upkeep, put a 1/1 colorless Spirit creature token onto the battlefield for each Shrine you control.		
