Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abu Ja'far	{W}		Creature	Human	When Abu Ja'far dies, destroy all creatures blocking or blocked by it. They can't be regenerated.	0	1
Active Volcano	{R}		Instant		Choose one - Destroy target blue permanent; or return target Island to its owner's hand.		
Akron Legionnaire	{6}{W}{W}		Creature	Giant,Soldier	Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.	8	4
Aladdin	{2}{R}{R}		Creature	Human,Rogue	{1}{R}{R}, {T}: Gain control of target artifact for as long as you control Aladdin.	1	1
Angelic Voices	{2}{W}{W}		Enchantment		Creatures you control get +1/+1 as long as you control no nonartifact, nonwhite creatures.		
Arcades Sabboth	{2}{G}{G}{W}{W}{U}{U}	Legendary	Creature	Elder,Dragon	Flying|At the beginning of your upkeep, sacrifice Arcades Sabboth unless you pay {G}{W}{U}.|Each untapped creature you control gets +0/+2 as long as it's not attacking.|{W}: Arcades Sabboth gets +0/+1 until end of turn.	7	7
Arena of the Ancients	{3}		Artifact		Legendary creatures don't untap during their controllers' untap steps.|When Arena of the Ancients enters the battlefield, tap all legendary creatures.		
Argothian Pixies	{1}{G}		Creature	Faerie	Argothian Pixies can't be blocked by artifact creatures.|Prevent all damage that would be dealt to Argothian Pixies by artifact creatures.	2	1
Ashnod's Altar	{3}		Artifact		Sacrifice a creature: Add {2} to your mana pool.		
Ashnod's Transmogrant	{1}		Artifact		{T}, Sacrifice Ashnod's Transmogrant: Put a +1/+1 counter on target nonartifact creature. That creature becomes an artifact in addition to its other types.		
Axelrod Gunnarson	{4}{B}{B}{R}{R}	Legendary	Creature	Giant	Trample|Whenever a creature dealt damage by Axelrod Gunnarson this turn dies, you gain 1 life and Axelrod deals 1 damage to target player.	5	5
Ayesha Tanaka	{W}{W}{U}{U}	Legendary	Creature	Human,Artificer	Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)|{T}: Counter target activated ability from an artifact source unless that ability's controller pays {W}. (Mana abilities can't be targeted.)	2	2
Azure Drake	{3}{U}		Creature	Drake	Flying	2	4
Banshee	{2}{B}{B}		Creature	Spirit	{X}, {T}: Banshee deals half X damage, rounded down, to target creature or player, and half X damage, rounded up, to you.	0	1
Barl's Cage	{4}		Artifact		{3}: Target creature doesn't untap during its controller's next untap step.		
Beasts of Bogardan	{4}{R}		Creature	Beast	Protection from red|Beasts of Bogardan gets +1/+1 as long as an opponent controls a white permanent.	3	3
Blood Moon	{2}{R}		Enchantment		Nonbasic lands are Mountains.		
Blood of the Martyr	{W}{W}{W}		Instant		Until end of turn, if damage would be dealt to any creature, you may have that damage dealt to you instead.		
Bog Rats	{B}		Creature	Rat	Bog Rats can't be blocked by Walls.	1	1
Book of Rass	{6}		Artifact		{2}, Pay 2 life: Draw a card.		
Boomerang	{U}{U}		Instant		Return target permanent to its owner's hand.		
Bronze Horse	{7}		Artifact,Creature	Horse	Trample|As long as you control another creature, prevent all damage that would be dealt to Bronze Horse by spells that target it.	4	4
Cat Warriors	{1}{G}{G}		Creature	Cat,Warrior	Forestwalk	2	2
