Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abduction	{2}{U}{U}		Enchantment	Aura	Enchant creature|When Abduction enters the battlefield, untap enchanted creature.|You control enchanted creature.|When enchanted creature dies, return that card to the battlefield under its owner's control.		
Abyssal Hunter	{3}{B}		Creature	Human,Assassin	{B}, {T}: Tap target creature. Abyssal Hunter deals damage equal to Abyssal Hunter's power to that creature.	1	1
Abyssal Specter	{2}{B}{B}		Creature	Specter	Flying|Whenever Abyssal Specter deals damage to a player, that player discards a card.	2	3
Adarkar Wastes			Land		{T}: Add {1} to your mana pool.|{T}: Add {W} or {U} to your mana pool. Adarkar Wastes deals 1 damage to you.		
Æther Flash	{2}{R}{R}		Enchantment		Whenever a creature enters the battlefield, Æther Flash deals 2 damage to it.		
Agonizing Memories	{2}{B}{B}		Sorcery		Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.		
Air Elemental	{3}{U}{U}		Creature	Elemental	Flying	4	4
Aladdin's Ring	{8}		Artifact		{8}, {T}: Aladdin's Ring deals 4 damage to target creature or player.		
Amber Prison	{4}		Artifact		You may choose not to untap Amber Prison during your untap step.|{4}, {T}: Tap target artifact, creature, or land. That permanent doesn't untap during its controller's untap step for as long as Amber Prison remains tapped.		
Anaba Bodyguard	{3}{R}		Creature	Minotaur	First strike (This creature deals combat damage before creatures without first strike.)	2	3
Anaba Shaman	{3}{R}		Creature	Minotaur,Shaman	{R}, {T}: Anaba Shaman deals 1 damage to target creature or player.	2	2
Ancestral Memories	{2}{U}{U}{U}		Sorcery		Look at the top seven cards of your library. Put two of them into your hand and the rest into your graveyard.		
Animate Wall	{W}		Enchantment	Aura	Enchant Wall|Enchanted Wall can attack as though it didn't have defender.		
Ankh of Mishra	{2}		Artifact		Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.		
Archangel	{5}{W}{W}		Creature	Angel	Flying, vigilance	5	5
Ardent Militia	{4}{W}		Creature	Human,Soldier	Vigilance	2	5
Armageddon	{3}{W}		Sorcery		Destroy all lands.		
Armored Pegasus	{1}{W}		Creature	Pegasus	Flying	1	2
Ashen Powder	{2}{B}{B}		Sorcery		Put target creature card from an opponent's graveyard onto the battlefield under your control.		
Ashnod's Altar	{3}		Artifact		Sacrifice a creature: Add {2} to your mana pool.		
Balduvian Barbarians	{1}{R}{R}		Creature	Human,Barbarian		3	2
Balduvian Horde	{2}{R}{R}		Creature	Human,Barbarian	When Balduvian Horde enters the battlefield, sacrifice it unless you discard a card at random.	5	5
Birds of Paradise	{G}		Creature	Bird	Flying|{T}: Add one mana of any color to your mana pool.	0	1
Blaze	{X}{R}		Sorcery		Blaze deals X damage to target creature or player.		
Blight	{B}{B}		Enchantment	Aura	Enchant land|When enchanted land becomes tapped, destroy it.		
Blighted Shaman	{1}{B}		Creature	Human,Cleric,Shaman	{T}, Sacrifice a Swamp: Target creature gets +1/+1 until end of turn.|{T}, Sacrifice a creature: Target creature gets +2/+2 until end of turn.	1	1
Blood Pet	{B}		Creature	Thrull	Sacrifice Blood Pet: Add {B} to your mana pool.	1	1
Bog Imp	{1}{B}		Creature	Imp	Flying (This creature can't be blocked except by creatures with flying or reach.)	1	1
Bog Rats	{B}		Creature	Rat	Bog Rats can't be blocked by Walls.	1	1
Bog Wraith	{3}{B}		Creature	Wraith	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)	3	3
Boil	{3}{R}		Instant		Destroy all Islands.		
Boomerang	{U}{U}		Instant		Return target permanent to its owner's hand.		
Bottle of Suleiman	{4}		Artifact		{1}, Sacrifice Bottle of Suleiman: Flip a coin. If you lose the flip, Bottle of Suleiman deals 5 damage to you. If you win the flip, put a 5/5 colorless Djinn artifact creature token with flying onto the battlefield.		
Browse	{2}{U}{U}		Enchantment		{2}{U}{U}: Look at the top five cards of your library, put one of them into your hand, and exile the rest.		
Brushland			Land		{T}: Add {1} to your mana pool.|{T}: Add {G} or {W} to your mana pool. Brushland deals 1 damage to you.		
Burrowing	{R}		Enchantment	Aura	Enchant creature|Enchanted creature has mountainwalk.		
Call of the Wild	{2}{G}{G}		Enchantment		{2}{G}{G}: Reveal the top card of your library. If it's a creature card, put it onto the battlefield. Otherwise, put it into your graveyard.		
Castle	{3}{W}		Enchantment		Untapped creatures you control get +0/+2.		
