Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Adarkar Valkyrie	{4}{W}{W}	Snow	Creature	Angel	Flying, vigilance|{T}: When target creature other than Adarkar Valkyrie dies this turn, return that card to the battlefield under your control.	4	5
Adarkar Windform	{4}{U}	Snow	Creature	Illusion	Flying|{1}{S}: Target creature loses flying until end of turn. ({S} can be paid with one mana from a snow permanent.)	3	3
Allosaurus Rider	{5}{G}{G}	None	Creature	Elf,Warrior	You may exile two green cards from your hand rather than pay Allosaurus Rider's mana cost.|Allosaurus Rider's power and toughness are each equal to 1 plus the number of lands you control.		
Arctic Flats		Snow	Land	None	Arctic Flats enters the battlefield tapped.|{T}: Add {G} or {W} to your mana pool.		
Arctic Nishoba	{5}{G}	None	Creature	Cat,Warrior	Trample|Cumulative upkeep {G} or {W} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)|When Arctic Nishoba dies, you gain 2 life for each age counter on it.	6	6
Arcum Dagsson	{3}{U}	Legendary	Creature	Human,Artificer	{T}: Target artifact creature's controller sacrifices it. That player may search his or her library for a noncreature artifact card, put it onto the battlefield, then shuffle his or her library.	2	2
Aurochs Herd	{5}{G}	None	Creature	Aurochs	Trample|When Aurochs Herd enters the battlefield, you may search your library for an Aurochs card, reveal it, and put it into your hand. If you do, shuffle your library.|Whenever Aurochs Herd attacks, it gets +1/+0 until end of turn for each other attacking Aurochs.	4	4
Balduvian Fallen	{3}{B}	None	Creature	Zombie	Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)|Whenever Balduvian Fallen's cumulative upkeep is paid, it gets +1/+0 until end of turn for each {B} or {R} spent this way.	3	5
Balduvian Frostwaker	{2}{U}	None	Creature	Human,Wizard	{U}, {T}: Target snow land becomes a 2/2 blue Elemental creature with flying. It's still a land.	1	1
Balduvian Rage	{X}{R}	None	Instant	None	Target attacking creature gets +X/+0 until end of turn.|Draw a card at the beginning of the next turn's upkeep.		
Balduvian Warlord	{3}{R}	None	Creature	Human,Barbarian	{T}: Remove target blocking creature from combat. Creatures it was blocking that hadn't become blocked by another creature this combat become unblocked, then it blocks an attacking creature of your choice. Activate this ability only during the declare blockers step.	3	2
Blizzard Specter	{2}{U}{B}	Snow	Creature	Specter	Flying|Whenever Blizzard Specter deals combat damage to a player, choose one - That player returns a permanent he or she controls to its owner's hand; or that player discards a card.	2	3
Boreal Centaur	{1}{G}	Snow	Creature	Centaur,Warrior	{S}: Boreal Centaur gets +1/+1 until end of turn. Activate this ability only once each turn. ({S} can be paid with one mana from a snow permanent.)	2	2
Boreal Druid	{G}	Snow	Creature	Elf,Druid	{T}: Add {1} to your mana pool.	1	1
Boreal Griffin	{3}{W}{W}	Snow	Creature	Griffin	Flying|{S}: Boreal Griffin gains first strike until end of turn. ({S} can be paid with one mana from a snow permanent.)	3	2
Boreal Shelf		Snow	Land	None	Boreal Shelf enters the battlefield tapped.|{T}: Add {W} or {U} to your mana pool.		
Braid of Fire	{1}{R}	None	Enchantment	None	Cumulative upkeep-Add {R} to your mana pool. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)		
Brooding Saurian	{2}{G}{G}	None	Creature	Lizard	At the beginning of each end step, each player gains control of all nontoken permanents he or she owns.	4	4
Bull Aurochs	{1}{G}	None	Creature	Aurochs	Trample|Whenever Bull Aurochs attacks, it gets +1/+0 until end of turn for each other attacking Aurochs.	2	1
Chill to the Bone	{3}{B}	None	Instant	None	Destroy target nonsnow creature.		
Chilling Shade	{2}{B}	Snow	Creature	Shade	Flying|{S}: Chilling Shade gets +1/+1 until end of turn. ({S} can be paid with one mana from a snow permanent.)	1	1
Coldsteel Heart	{2}	Snow	Artifact	None	Coldsteel Heart enters the battlefield tapped.|As Coldsteel Heart enters the battlefield, choose a color.|{T}: Add one mana of the chosen color to your mana pool.		
Commandeer	{5}{U}{U}	None	Instant	None	You may exile two blue cards from your hand rather than pay Commandeer's mana cost.|Gain control of target noncreature spell. You may choose new targets for it. (If that spell is an artifact, enchantment, or planeswalker, the permanent enters the battlefield under your control.)		
Controvert	{2}{U}{U}	None	Instant	None	Counter target spell.|Recover {2}{U}{U} (When a creature is put into your graveyard from the battlefield, you may pay {2}{U}{U}. If you do, return this card from your graveyard to your hand. Otherwise, exile this card.)		
Counterbalance	{U}{U}	None	Enchantment	None	Whenever an opponent casts a spell, you may reveal the top card of your library. If you do, counter that spell if it has the same converted mana cost as the revealed card.		
Cover of Winter	{2}{W}	Snow	Enchantment	None	Cumulative upkeep {S} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it. {S} can be paid with one mana from a snow permanent.)|If a creature would deal combat damage to you and/or one or more creatures you control, prevent X of that damage, where X is the number of age counters on Cover of Winter.|{S}: Put an age counter on Cover of Winter.		
Cryoclasm	{2}{R}	None	Sorcery	None	Destroy target Plains or Island. Cryoclasm deals 3 damage to that land's controller.		
Darien, King of Kjeldor	{4}{W}{W}	Legendary	Creature	Human,Soldier	Whenever you're dealt damage, you may put that many 1/1 white Soldier creature tokens onto the battlefield.	3	3
Dark Depths		Legendary	Snow,Land	None	Dark Depths enters the battlefield with ten ice counters on it.|{3}: Remove an ice counter from Dark Depths.|When Dark Depths has no ice counters on it, sacrifice it. If you do, put a legendary 20/20 black Avatar creature token with flying and indestructible named Marit Lage onto the battlefield.		
Deathmark	{B}	None	Sorcery	None	Destroy target green or white creature.		
Deepfire Elemental	{4}{B}{R}	None	Creature	Elemental	{X}{X}{1}: Destroy target artifact or creature with converted mana cost X.	4	4
Diamond Faerie	{2}{G}{W}{U}	Snow	Creature	Faerie	Flying|{1}{S}: Snow creatures you control get +1/+1 until end of turn. ({S} can be paid with one mana from a snow permanent.)	3	3
Disciple of Tevesh Szat	{2}{B}{B}	None	Creature	Human,Cleric	{T}: Target creature gets -1/-1 until end of turn.|{4}{B}{B}, {T}, Sacrifice Disciple of Tevesh Szat: Target creature gets -6/-6 until end of turn.	3	1
Drelnoch	{4}{U}	None	Creature	Yeti,Mutant	Whenever Drelnoch becomes blocked, you may draw two cards.	3	3
Earthen Goo	{2}{R}	None	Creature	Ooze	Trample|Cumulative upkeep {R} or {G} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)|Earthen Goo gets +1/+1 for each age counter on it.	2	2
Feast of Flesh	{B}	None	Sorcery	None	Feast of Flesh deals X damage to target creature and you gain X life, where X is 1 plus the number of cards named Feast of Flesh in all graveyards.		
Field Marshal	{1}{W}{W}	None	Creature	Human,Soldier	Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.)	2	2
Flashfreeze	{1}{U}	None	Instant	None	Counter target red or green spell.		
Freyalise's Radiance	{1}{G}	None	Enchantment	None	Cumulative upkeep {2} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)|Snow permanents don't untap during their controllers' untap steps.		
Frost Marsh		Snow	Land	None	Frost Marsh enters the battlefield tapped.|{T}: Add {U} or {B} to your mana pool.		
Frost Raptor	{2}{U}	Snow	Creature	Bird	Flying|{S}{S}: Frost Raptor gains shroud until end of turn. ({S} can be paid with one mana from a snow permanent.)	2	2
Frostweb Spider	{2}{G}	Snow	Creature	Spider	Reach (This creature can block creatures with flying.)|Whenever Frostweb Spider blocks a creature with flying, put a +1/+1 counter on Frostweb Spider at end of combat.	1	3
Frozen Solid	{1}{U}{U}	None	Enchantment	Aura	Enchant creature|Enchanted creature doesn't untap during its controller's untap step.|When enchanted creature is dealt damage, destroy it.		
Fury of the Horde	{5}{R}{R}	None	Sorcery	None	You may exile two red cards from your hand rather than pay Fury of the Horde's mana cost.|Untap all creatures that attacked this turn. After this main phase, there is an additional combat phase followed by an additional main phase.		
Garza Zol, Plague Queen	{4}{U}{B}{R}	Legendary	Creature	Vampire	Flying, haste|Whenever a creature dealt damage by Garza Zol, Plague Queen this turn dies, put a +1/+1 counter on Garza Zol.|Whenever Garza Zol deals combat damage to a player, you may draw a card.	5	5
Garza's Assassin	{B}{B}{B}	None	Creature	Human,Assassin	Sacrifice Garza's Assassin: Destroy target nonblack creature.|Recover-Pay half your life, rounded up. (When another creature is put into your graveyard from the battlefield, you may pay half your life, rounded up. If you do, return this card from your graveyard to your hand. Otherwise, exile this card.)	2	2
Gelid Shackles	{W}	Snow	Enchantment	Aura	Enchant creature|Enchanted creature can't block, and its activated abilities can't be activated.|{S}: Enchanted creature gains defender until end of turn. ({S} can be paid with one mana from a snow permanent.)		
Glacial Plating	{2}{W}{W}	Snow	Enchantment	Aura	Enchant creature|Cumulative upkeep {S} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it. {S} can be paid with one mana from a snow permanent.)|Enchanted creature gets +3/+3 for each age counter on Glacial Plating.		
Goblin Furrier	{1}{R}	None	Creature	Goblin,Warrior	Prevent all damage that Goblin Furrier would deal to snow creatures.	2	2
Goblin Rimerunner	{2}{R}	Snow	Creature	Goblin,Warrior	{T}: Target creature can't block this turn.|{S}: Goblin Rimerunner gains haste until end of turn. ({S} can be paid with one mana from a snow permanent.)	2	2
Greater Stone Spirit	{4}{R}{R}	None	Creature	Elemental,Spirit	Greater Stone Spirit can't be blocked by creatures with flying.|{2}{R}: Until end of turn, target creature gets +0/+2 and gains '{R}: This creature gets +1/+0 until end of turn.'	4	4
Grim Harvest	{1}{B}	None	Instant	None	Return target creature card from your graveyard to your hand.|Recover {2}{B} (When a creature is put into your graveyard from the battlefield, you may pay {2}{B}. If you do, return this card from your graveyard to your hand. Otherwise, exile this card.)		
Gristle Grinner	{4}{B}	None	Creature	Zombie	Whenever a creature dies, Gristle Grinner gets +2/+2 until end of turn.	3	3
Gutless Ghoul	{2}{B}	Snow	Creature	Zombie	{1}, Sacrifice a creature: You gain 2 life.	2	2
Haakon, Stromgald Scourge	{1}{B}{B}	Legendary	Creature	Zombie,Knight	You may cast Haakon, Stromgald Scourge from your graveyard, but not from anywhere else.|As long as Haakon is on the battlefield, you may play Knight cards from your graveyard.|When Haakon dies, you lose 2 life.	3	3
Heidar, Rimewind Master	{4}{U}	Legendary	Creature	Human,Wizard	{2}, {T}: Return target permanent to its owner's hand. Activate this ability only if you control four or more snow permanents.	3	3
Herald of Leshrac	{6}{B}	None	Creature	Avatar	Flying|Cumulative upkeep-Gain control of a land you don't control. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)|Herald of Leshrac gets +1/+1 for each land you control but don't own.|When Herald of Leshrac leaves the battlefield, each player gains control of each land he or she owns that you control.	2	4
Hibernation's End	{4}{G}	None	Enchantment	None	Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)|Whenever you pay Hibernation's End's cumulative upkeep, you may search your library for a creature card with converted mana cost equal to the number of age counters on Hibernation's End and put it onto the battlefield. If you do, shuffle your library.		
Highland Weald		Snow	Land	None	Highland Weald enters the battlefield tapped.|{T}: Add {R} or {G} to your mana pool.		
Icefall	{2}{R}{R}	None	Sorcery	None	Destroy target artifact or land.|Recover {R}{R} (When a creature is put into your graveyard from the battlefield, you may pay {R}{R}. If you do, return this card from your graveyard to your hand. Otherwise, exile this card.)		
Into the North	{1}{G}	None	Sorcery	None	Search your library for a snow land card and put it onto the battlefield tapped. Then shuffle your library.		
Jester's Scepter	{3}	None	Artifact	None	When Jester's Scepter enters the battlefield, exile the top five cards of target player's library face down. You may look at those cards for as long as they remain exiled.|{2}, {T}, Put a card exiled with Jester's Scepter into its owner's graveyard: Counter target spell if it has the same name as that card.		
