Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Acidic Slime	{3}{G}{G}		Creature	Ooze	Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)|When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.	2	2
Act of Authority	{1}{W}{W}		Enchantment		When Act of Authority enters the battlefield, you may exile target artifact or enchantment.|At the beginning of your upkeep, you may exile target artifact or enchantment. If you do, its controller gains control of Act of Authority.		
Aerie Mystics	{4}{W}		Creature	Bird,Wizard	Flying|{1}{G}{U}: Creatures you control gain shroud until end of turn. (They can't be the targets of spells or abilities.)	3	3
Æthermage's Touch	{2}{W}{U}		Instant		Reveal the top four cards of your library. You may put a creature card from among them onto the battlefield. It gains 'At the beginning of your end step, return this creature to its owner's hand.' Then put the rest of the cards revealed this way on the bottom of your library in any order.		
Ajani's Pridemate	{1}{W}		Creature	Cat,Soldier	Whenever you gain life, you may put a +1/+1 counter on Ajani's Pridemate. (For example, if an effect causes you to gain 3 life, you may put one +1/+1 counter on this creature.)	2	2
Akoum Refuge			Land		Akoum Refuge enters the battlefield tapped.|When Akoum Refuge enters the battlefield, you gain 1 life.|{T}: Add {B} or {R} to your mana pool.		
Angel of Finality	{3}{W}		Creature	Angel	Flying |When Angel of Finality enters the battlefield, exile all cards from target player's graveyard.	3	4
Annihilate	{3}{B}{B}		Instant		Destroy target nonblack creature. It can't be regenerated.|Draw a card.		
Arcane Denial	{1}{U}		Instant		Counter target spell. Its controller may draw up to two cards at the beginning of the next turn's upkeep.|You draw a card at the beginning of the next turn's upkeep.		
Arcane Melee	{4}{U}		Enchantment		Instant and sorcery spells cost {2} less to cast.		
Arcane Sanctum			Land		Arcane Sanctum enters the battlefield tapped.|{T}: Add {W}, {U}, or {B} to your mana pool.		
Archangel	{5}{W}{W}		Creature	Angel	Flying, vigilance	5	5
Armillary Sphere	{2}		Artifact		{2}, {T}, Sacrifice Armillary Sphere: Search your library for up to two basic land cards, reveal them, and put them into your hand. Then shuffle your library.		
Army of the Damned	{5}{B}{B}{B}		Sorcery		Put thirteen 2/2 black Zombie creature tokens onto the battlefield tapped.|Flashback {7}{B}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Augur of Bolas	{1}{U}		Creature	Merfolk,Wizard	When Augur of Bolas enters the battlefield, look at the top three cards of your library. You may reveal an instant or sorcery card from among them and put it into your hand. Put the rest on the bottom of your library in any order.	1	3
Augury Adept	{1}{W/U}{W/U}		Creature	Kithkin,Wizard	Whenever Augury Adept deals combat damage to a player, reveal the top card of your library and put that card into your hand. You gain life equal to its converted mana cost.	2	2
Avenger of Zendikar	{5}{G}{G}		Creature	Elemental	When Avenger of Zendikar enters the battlefield, put a 0/1 green Plant creature token onto the battlefield for each land you control.|Landfall - Whenever a land enters the battlefield under your control, you may put a +1/+1 counter on each Plant creature you control.	5	5
Azami, Lady of Scrolls	{2}{U}{U}{U}	Legendary	Creature	Human,Wizard	Tap an untapped Wizard you control: Draw a card.	0	2
Azorius Chancery			Land		Azorius Chancery enters the battlefield tapped.|When Azorius Chancery enters the battlefield, return a land you control to its owner's hand.|{T}: Add {W}{U} to your mana pool.		
Azorius Guildgate			Land	Gate	Azorius Guildgate enters the battlefield tapped.|{T}: Add {W} or {U} to your mana pool.		
Azorius Herald	{2}{W}		Creature	Spirit	Azorius Herald can't be blocked.|When Azorius Herald enters the battlefield, you gain 4 life.|When Azorius Herald enters the battlefield, sacrifice it unless {U} was spent to cast it.	2	1
Azorius Keyrune	{3}		Artifact		{T}: Add {W} or {U} to your mana pool.|{W}{U}: Azorius Keyrune becomes a 2/2 white and blue Bird artifact creature with flying until end of turn.		
Baleful Force	{5}{B}{B}{B}		Creature	Elemental	At the beginning of each upkeep, you draw a card and you lose 1 life.	7	7
Baleful Strix	{U}{B}		Artifact,Creature	Bird	Flying, deathtouch|When Baleful Strix enters the battlefield, draw a card.	1	1
Baloth Woodcrasher	{4}{G}{G}		Creature	Beast	Landfall - Whenever a land enters the battlefield under your control, Baloth Woodcrasher gets +4/+4 and gains trample until end of turn.	4	4
Bane of Progress	{4}{G}{G}		Creature	Elemental	When Bane of Progress enters the battlefield, destroy all artifacts and enchantments. Put a +1/+1 counter on Bane of Progress for each permanent destroyed this way.	2	2
Bant Panorama			Land		{T}: Add {1} to your mana pool.|{1}, {T}, Sacrifice Bant Panorama: Search your library for a basic Forest, Plains, or Island card and put it onto the battlefield tapped. Then shuffle your library.		
Barren Moor			Land		Barren Moor enters the battlefield tapped.|{T}: Add {B} to your mana pool.|Cycling {B} ({B}, Discard this card: Draw a card.)		
Basalt Monolith	{3}		Artifact		Basalt Monolith doesn't untap during your untap step.|{T}: Add {3} to your mana pool.|{3}: Untap Basalt Monolith.		
Behemoth Sledge	{1}{G}{W}		Artifact	Equipment	Equipped creature gets +2/+2 and has lifelink and trample.|Equip {3}		
Blood Rites	{3}{R}{R}		Enchantment		{1}{R}, Sacrifice a creature: Blood Rites deals 2 damage to target creature or player.		
Blue Sun's Zenith	{X}{U}{U}{U}		Instant		Target player draws X cards. Shuffle Blue Sun's Zenith into its owner's library.		
Bojuka Bog			Land		Bojuka Bog enters the battlefield tapped.|When Bojuka Bog enters the battlefield, exile all cards from target player's graveyard.|{T}: Add {B} to your mana pool.		
Boros Charm	{R}{W}		Instant		Choose one - Boros Charm deals 4 damage to target player; or permanents you control gain indestructible until end of turn; or target creature gains double strike until end of turn.		
Boros Garrison			Land		Boros Garrison enters the battlefield tapped.|When Boros Garrison enters the battlefield, return a land you control to its owner's hand.|{T}: Add {R}{W} to your mana pool.		
Boros Guildgate			Land	Gate	Boros Guildgate enters the battlefield tapped.|{T}: Add {R} or {W} to your mana pool.		
Borrowing 100,000 Arrows	{2}{U}		Sorcery		Draw a card for each tapped creature target opponent controls.		
Brilliant Plan	{4}{U}		Sorcery		Draw three cards.		
Brooding Saurian	{2}{G}{G}		Creature	Lizard	At the beginning of each end step, each player gains control of all nontoken permanents he or she owns.	4	4
Capricious Efreet	{4}{R}{R}		Creature	Efreet	At the beginning of your upkeep, choose target nonland permanent you control and up to two target nonland permanents you don't control. Destroy one of them at random.	6	4
Carnage Altar	{2}		Artifact		{3}, Sacrifice a creature: Draw a card.		
Charmbreaker Devils	{5}{R}		Creature	Devil	At the beginning of your upkeep, return an instant or sorcery card at random from your graveyard to your hand.|Whenever you cast an instant or sorcery spell, Charmbreaker Devils gets +4/+0 until end of turn.	4	4
Charnelhoard Wurm	{4}{B}{R}{G}		Creature	Wurm	Trample|Whenever Charnelhoard Wurm deals damage to an opponent, you may return target card from your graveyard to your hand.	6	6
Command Tower			Land		{T}: Add to your mana pool one mana of any color in your commander's color identity.		
Conjurer's Closet	{5}		Artifact		At the beginning of your end step, you may exile target creature you control, then return that card to the battlefield under your control.		
Contested Cliffs			Land		{T}: Add {1} to your mana pool.|{R}{G}, {T}: Target Beast creature you control fights target creature an opponent controls. (Each deals damage equal to its power to the other.)		
Control Magic	{2}{U}{U}		Enchantment	Aura	Enchant creature|You control enchanted creature.		
Cradle of Vitality	{3}{W}		Enchantment		Whenever you gain life, you may pay {1}{W}. If you do, put a +1/+1 counter on target creature for each 1 life you gained.		
Crater Hellion	{4}{R}{R}		Creature	Hellion,Beast	Echo {4}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)|When Crater Hellion enters the battlefield, it deals 4 damage to each other creature.	6	6
Crawlspace	{3}		Artifact		No more than two creatures can attack you each combat.		
Crosis's Charm	{U}{B}{R}		Instant		Choose one - Return target permanent to its owner's hand; or destroy target nonblack creature, and it can't be regenerated; or destroy target artifact.		
Cruel Ultimatum	{U}{U}{B}{B}{B}{R}{R}		Sorcery		Target opponent sacrifices a creature, discards three cards, then loses 5 life. You return a creature card from your graveyard to your hand, draw three cards, then gain 5 life.		
Crumbling Necropolis			Land		Crumbling Necropolis enters the battlefield tapped.|{T}: Add {U}, {B}, or {R} to your mana pool.		
Cultivate	{2}{G}		Sorcery		Search your library for up to two basic land cards, reveal those cards, and put one onto the battlefield tapped and the other into your hand. Then shuffle your library.		
Curse of Chaos	{2}{R}		Enchantment	Aura,Curse	Enchant player|Whenever a player attacks enchanted player with one or more creatures, that attacking player may discard a card. If the player does, he or she draws a card.		
Curse of Inertia	{2}{U}		Enchantment	Aura,Curse	Enchant player|Whenever a player attacks enchanted player with one or more creatures, that attacking player may tap or untap target permanent of his or her choice.		
Curse of Predation	{2}{G}		Enchantment	Aura,Curse	Enchant player|Whenever a creature attacks enchanted player, put a +1/+1 counter on it.		
Curse of Shallow Graves	{2}{B}		Enchantment	Aura,Curse	Enchant player|Whenever a player attacks enchanted player with one or more creatures, that attacking player may put a 2/2 black Zombie creature token onto the battlefield tapped.		
Curse of the Forsaken	{2}{W}		Enchantment	Aura,Curse	Enchant player|Whenever a creature attacks enchanted player, its controller gains 1 life.		
Darksteel Ingot	{3}		Artifact		Indestructible|{T}: Add one mana of any color to your mana pool.		
Darksteel Mutation	{1}{W}		Enchantment	Aura	Enchant creature|Enchanted creature is a 0/1 Insect artifact creature with indestructible and loses all other abilities, card types, and creature types.		
Deadwood Treefolk	{5}{G}		Creature	Treefolk	Vanishing 3 (This permanent enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)|When Deadwood Treefolk enters the battlefield or leaves the battlefield, return another target creature card from your graveyard to your hand.	3	6
Death Grasp	{X}{W}{B}		Sorcery		Death Grasp deals X damage to target creature or player. You gain X life.		
Deathbringer Thoctar	{4}{B}{R}		Creature	Zombie,Beast	Whenever another creature dies, you may put a +1/+1 counter on Deathbringer Thoctar.|Remove a +1/+1 counter from Deathbringer Thoctar: Deathbringer Thoctar deals 1 damage to target creature or player.	3	3
Deceiver Exarch	{2}{U}		Creature	Cleric	Flash (You may cast this spell any time you could cast an instant.)|When Deceiver Exarch enters the battlefield, choose one - Untap target permanent you control; or tap target permanent an opponent controls.	1	4
Decree of Pain	{6}{B}{B}		Sorcery		Destroy all creatures. They can't be regenerated. Draw a card for each creature destroyed this way.|Cycling {3}{B}{B} ({3}{B}{B}, Discard this card: Draw a card.)|When you cycle Decree of Pain, all creatures get -2/-2 until end of turn.		
Deep Analysis	{3}{U}		Sorcery		Target player draws two cards.|Flashback-{1}{U}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Deepfire Elemental	{4}{B}{R}		Creature	Elemental	{X}{X}{1}: Destroy target artifact or creature with converted mana cost X.	4	4
Derevi, Empyrial Tactician	{G}{W}{U}	Legendary	Creature	Bird,Wizard	Flying|Whenever Derevi, Empyrial Tactician enters the battlefield or a creature you control deals combat damage to a player, you may tap or untap target permanent.|{1}{G}{W}{U}: Put Derevi onto the battlefield from the command zone.	2	3
Dimir Guildgate			Land	Gate	Dimir Guildgate enters the battlefield tapped.|{T}: Add {U} or {B} to your mana pool.		
