Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abyssal Persecutor	{2}{B}{B}	None	Creature	Demon	Flying, trample|You can't win the game and your opponents can't lose the game.	6	6
Adarkar Valkyrie	{4}{W}{W}	Snow	Creature	Angel	Flying, vigilance|{T}: When target creature other than Adarkar Valkyrie dies this turn, return that card to the battlefield under your control.	4	5
Æther Gale	{3}{U}{U}	None	Sorcery	None	Return six target nonland permanents to their owners' hands.		
Æther Snap	{3}{B}{B}	None	Sorcery	None	Remove all counters from all permanents and exile all tokens.		
Afterlife	{2}{W}	None	Instant	None	Destroy target creature. It can't be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.		
Angel of the Dire Hour	{5}{W}{W}	None	Creature	Angel	Flash|Flying|When Angel of the Dire Hour enters the battlefield, if you cast it from your hand, exile all attacking creatures.	5	4
Angelic Field Marshal	{2}{W}{W}	None	Creature	Angel	Flying|Lieutenant - As long as you control your commander, Angelic Field Marshal gets +2/+2 and creatures you control have vigilance.	3	3
Annihilate	{3}{B}{B}	None	Instant	None	Destroy target nonblack creature. It can't be regenerated.|Draw a card.		
Arcane Lighthouse		None	Land	None	{T}: Add {1} to your mana pool.|{1}, {T}: Until end of turn, creatures your opponents control lose hexproof and shroud and can't have hexproof or shroud.		
Argentum Armor	{6}	None	Artifact	Equipment	Equipped creature gets +6/+6.|Whenever equipped creature attacks, destroy target permanent.|Equip {6}		
Armistice	{2}{W}	None	Enchantment	None	{3}{W}{W}: You draw a card and target opponent gains 3 life.		
Artisan of Kozilek	{9}	None	Creature	Eldrazi	When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield.|Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)	10	9
Assault Suit	{4}	None	Artifact	Equipment	Equipped creature gets +2/+2, has haste, can't attack you or a planeswalker you control, and can't be sacrificed.|At the beginning of each opponent's upkeep, you may have that player gain control of equipped creature until end of turn. If you do, untap it.|Equip {3}		
Azure Mage	{1}{U}	None	Creature	Human,Wizard	{3}{U}: Draw a card.	2	1
Bad Moon	{1}{B}	None	Enchantment	None	Black creatures get +1/+1.		
Barren Moor		None	Land	None	Barren Moor enters the battlefield tapped.|{T}: Add {B} to your mana pool.|Cycling {B} ({B}, Discard this card: Draw a card.)		
Beastmaster Ascension	{2}{G}	None	Enchantment	None	Whenever a creature you control attacks, you may put a quest counter on Beastmaster Ascension.|As long as Beastmaster Ascension has seven or more quest counters on it, creatures you control get +5/+5.		
Beetleback Chief	{2}{R}{R}	None	Creature	Goblin,Warrior	When Beetleback Chief enters the battlefield, put two 1/1 red Goblin creature tokens onto the battlefield.	2	2
Benevolent Offering	{3}{W}	None	Instant	None	Choose an opponent. You and that player each put three 1/1 white Spirit creature tokens with flying onto the battlefield.|Choose an opponent. You gain 2 life for each creature you control and that player gains 2 life for each creature he or she controls.		
Bitter Feud	{4}{R}	None	Enchantment	None	As Bitter Feud enters the battlefield, choose two players.|If a source controlled by one of the chosen players would deal damage to the other chosen player or a permanent that player controls, that source deals double that damage to that player or permanent instead.		
Black Sun's Zenith	{X}{B}{B}	None	Sorcery	None	Put X -1/-1 counters on each creature. Shuffle Black Sun's Zenith into its owner's library.		
Blasphemous Act	{8}{R}	None	Sorcery	None	Blasphemous Act costs {1} less to cast for each creature on the battlefield.|Blasphemous Act deals 13 damage to each creature.		
Bloodgift Demon	{3}{B}{B}	None	Creature	Demon	Flying|At the beginning of your upkeep, target player draws a card and loses 1 life.	5	4
Bogardan Hellkite	{6}{R}{R}	None	Creature	Dragon	Flash|Flying|When Bogardan Hellkite enters the battlefield, it deals 5 damage divided as you choose among any number of target creatures and/or players.	5	5
Bojuka Bog		None	Land	None	Bojuka Bog enters the battlefield tapped.|When Bojuka Bog enters the battlefield, exile all cards from target player's graveyard.|{T}: Add {B} to your mana pool.		
Bonehoard	{4}	None	Artifact	Equipment	Living weapon (When this Equipment enters the battlefield, put a 0/0 black Germ creature token onto the battlefield, then attach this to it.)|Equipped creature gets +X/+X, where X is the number of creature cards in all graveyards.|Equip {2}		
Bosh, Iron Golem	{8}	Legendary	Artifact,Creature	Golem	Trample|{3}{R}, Sacrifice an artifact: Bosh, Iron Golem deals damage equal to the sacrificed artifact's converted mana cost to target creature or player.	6	7
Bottle Gnomes	{3}	None	Artifact,Creature	Gnome	Sacrifice Bottle Gnomes: You gain 3 life.	1	3
Brave the Elements	{W}	None	Instant	None	Choose a color. White creatures you control gain protection from the chosen color until end of turn.		
Breaching Leviathan	{7}{U}{U}	None	Creature	Leviathan	When Breaching Leviathan enters the battlefield, if you cast it from your hand, tap all nonblue creatures. Those creatures don't untap during their controllers' next untap steps.	9	9
Brine Elemental	{4}{U}{U}	None	Creature	Elemental	Morph {5}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|When Brine Elemental is turned face up, each opponent skips his or her next untap step.	5	4
Buried Ruin		None	Land	None	{T}: Add {1} to your mana pool.|{2}, {T}, Sacrifice Buried Ruin: Return target artifact card from your graveyard to your hand.		
