Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Chaos Warp	{2}{R}		Instant		The owner of target permanent shuffles it into his or her library, then reveals the top card of his or her library. If it's a permanent card, he or she puts it onto the battlefield.		
Command Tower			Land		{T}: Add to your mana pool one mana of any color in your commander's color identity.		
Decree of Pain	{6}{B}{B}		Sorcery		Destroy all creatures. They can't be regenerated. Draw a card for each creature destroyed this way.|Cycling {3}{B}{B} ({3}{B}{B}, Discard this card: Draw a card.)|When you cycle Decree of Pain, all creatures get -2/-2 until end of turn.		
Desertion	{3}{U}{U}		Instant		Counter target spell. If an artifact or creature spell is countered this way, put that card onto the battlefield under your control instead of into its owner's graveyard.		
Diaochan, Artful Beauty	{3}{R}	Legendary	Creature	Human,Advisor	{T}: Destroy target creature of your choice, then destroy target creature of an opponent's choice. Activate this ability only during your turn, before attackers are declared.	1	1
Dragonlair Spider	{2}{R}{R}{G}{G}		Creature	Spider	Reach|Whenever an opponent casts a spell, put a 1/1 green Insect creature token onto the battlefield.	5	6
Duplicant	{6}		Artifact,Creature	Shapeshifter	Imprint - When Duplicant enters the battlefield, you may exile target nontoken creature.|As long as a card exiled with Duplicant is a creature card, Duplicant has the power, toughness, and creature types of the last creature card exiled with Duplicant. It's still a Shapeshifter.	2	4
Edric, Spymaster of Trest	{1}{G}{U}	Legendary	Creature	Elf,Rogue	Whenever a creature deals combat damage to one of your opponents, its controller may draw a card.	2	2
Kaalia of the Vast	{1}{W}{B}{R}	Legendary	Creature	Human,Cleric	Flying|Whenever Kaalia of the Vast attacks an opponent, you may put an Angel, Demon, or Dragon creature card from your hand onto the battlefield tapped and attacking that opponent.	2	2
Loyal Retainers	{2}{W}		Creature	Human,Advisor	Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate this ability only during your turn, before attackers are declared.	1	1
Maelstrom Wanderer	{5}{U}{R}{G}	Legendary	Creature	Elemental	Creatures you control have haste.|Cascade, cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order. Then do it again.)	7	5
Mind's Eye	{5}		Artifact		Whenever an opponent draws a card, you may pay {1}. If you do, draw a card.		
Mirari's Wake	{3}{G}{W}		Enchantment		Creatures you control get +1/+1.|Whenever you tap a land for mana, add one mana to your mana pool of any type that land produced.		
Rhystic Study	{2}{U}		Enchantment		Whenever an opponent casts a spell, you may draw a card unless that player pays {1}.		
Scroll Rack	{2}		Artifact		{1}, {T}: Exile any number of cards from your hand face down. Put that many cards from the top of your library into your hand. Then look at the exiled cards and put them on top of your library in any order.		
Sylvan Library	{1}{G}		Enchantment		At the beginning of your draw step, you may draw two additional cards. If you do, choose two cards in your hand drawn this turn. For each of those cards, pay 4 life or put the card on top of your library.		
The Mimeoplasm	{2}{G}{U}{B}	Legendary	Creature	Ooze	As The Mimeoplasm enters the battlefield, you may exile two creature cards from graveyards. If you do, it enters the battlefield as a copy of one of those cards with a number of additional +1/+1 counters on it equal to the power of the other card.	0	0
Vela the Night-Clad	{4}{U}{B}	Legendary	Creature	Human,Wizard	Intimidate|Other creatures you control have intimidate.|Whenever Vela the Night-Clad or another creature you control leaves the battlefield, each opponent loses 1 life.	4	4
