Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Absorb Vis	{6}{B}		Sorcery		Target player loses 4 life and you gain 4 life.|Basic landcycling {1}{B} ({1}{B}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)		
Aerie Mystics	{4}{W}		Creature	Bird,Wizard	Flying|{1}{G}{U}: Creatures you control gain shroud until end of turn. (They can't be the targets of spells or abilities.)	3	3
Ancient Ziggurat			Land		{T}: Add one mana of any color to your mana pool. Spend this mana only to cast a creature spell.		
Apocalypse Hydra	{X}{R}{G}		Creature	Hydra	Apocalypse Hydra enters the battlefield with X +1/+1 counters on it. If X is 5 or more, it enters the battlefield with an additional X +1/+1 counters on it.|{1}{R}, Remove a +1/+1 counter from Apocalypse Hydra: Apocalypse Hydra deals 1 damage to target creature or player.	0	0
Armillary Sphere	{2}		Artifact		{2}, {T}, Sacrifice Armillary Sphere: Search your library for up to two basic land cards, reveal them, and put them into your hand. Then shuffle your library.		
Asha's Favor	{2}{W}		Enchantment	Aura	Enchant creature|Enchanted creature has flying, first strike, and vigilance.		
Aven Squire	{1}{W}		Creature	Bird,Soldier	Flying|Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)	1	1
Aven Trailblazer	{2}{W}		Creature	Bird,Soldier	Flying|Domain - Aven Trailblazer's toughness is equal to the number of basic land types among lands you control.	2	*
Banefire	{X}{R}		Sorcery		Banefire deals X damage to target creature or player.|If X is 5 or more, Banefire can't be countered by spells or abilities and the damage can't be prevented.		
Beacon Behemoth	{3}{G}{G}		Creature	Beast	{1}: Target creature with power 5 or greater gains vigilance until end of turn.	5	3
Blood Tyrant	{4}{U}{B}{R}		Creature	Vampire	Flying, trample|At the beginning of your upkeep, each player loses 1 life. Put a +1/+1 counter on Blood Tyrant for each 1 life lost this way.|Whenever a player loses the game, put five +1/+1 counters on Blood Tyrant.	5	5
Bloodhall Ooze	{R}		Creature	Ooze	At the beginning of your upkeep, if you control a black permanent, you may put a +1/+1 counter on Bloodhall Ooze.|At the beginning of your upkeep, if you control a green permanent, you may put a +1/+1 counter on Bloodhall Ooze.	1	1
Bone Saw	{0}		Artifact	Equipment	Equipped creature gets +1/+0.|Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)		
Brackwater Elemental	{2}{U}		Creature	Elemental	When Brackwater Elemental attacks or blocks, sacrifice it at the beginning of the next end step.|Unearth {2}{U} ({2}{U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)	4	4
Canyon Minotaur	{3}{R}		Creature	Minotaur,Warrior		3	3
Celestial Purge	{1}{W}		Instant		Exile target black or red permanent.		
