Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Absorb Vis	{6}{B}	None	Sorcery	None	Target player loses 4 life and you gain 4 life.|Basic landcycling {1}{B} ({1}{B}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)		
Adriana, Captain of the Guard	{3}{R}{W}	Legendary	Creature	Human,Knight	Melee (Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked with a creature this combat.)|Other creatures you control have melee. (If a creature has multiple instances of melee, each triggers separately.)	4	4
Affa Guard Hound	{2}{W}	None	Creature	Hound	Flash (You may cast this spell any time you could cast an instant.)|When Affa Guard Hound enters the battlefield, target creature gets +0/+3 until end of turn.	2	2
Akroan Hoplite	{R}{W}	None	Creature	Human,Soldier	Whenever Akroan Hoplite attacks, it gets +X/+0 until end of turn, where X is the number of attacking creatures you control.	1	2
Altar's Reap	{1}{B}	None	Instant	None	As an additional cost to cast Altar's Reap, sacrifice a creature.|Draw two cards.		
Animus of Predation	{4}{G}	None	Creature	Avatar	Draft Animus of Predation face up.|As you draft a card, you may remove it from the draft face up. (It isn't in your card pool.)|If you removed a creature card with flying from the draft with cards named Animus of Predation, Animus of Predation has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, and vigilance.	4	4
Arcane Savant	{3}{U}{U}	None	Creature	Human,Wizard	Before you shuffle your deck to start the game, you may reveal this card from your deck and exile an instant or sorcery card you drafted that isn't in your deck.|When Arcane Savant enters the battlefield, copy a card you exiled with cards named Arcane Savant. You may cast the copy without paying its mana cost.	3	3
Archdemon of Paliano	{2}{B}{B}	None	Creature	Demon	Draft Archdemon of Paliano face up. |As long as Archdemon of Paliano is face up during the draft, you can't look at booster packs and must draft cards at random. After you draft three cards this way, turn Archdemon of Paliano face down. (You may look at cards as you draft them.)|Flying	5	4
Ascended Lawmage	{2}{W}{U}	None	Creature	Vedalken,Wizard	Flying|Hexproof (This creature can't be the target of spells or abilities your opponents control.)	3	2
Avatar of Woe	{6}{B}{B}	None	Creature	Avatar	If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.|Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)|{T}: Destroy target creature. It can't be regenerated.	6	5
Ballot Broker	{2}{W}	None	Creature	Human,Advisor	While voting, you may vote an additional time. (The votes can be for different choices or for the same choice.)	2	3
Beast Within	{2}{G}	None	Instant	None	Destroy target permanent. Its controller creates a 3/3 green Beast creature token.		
Berserk	{G}	None	Instant	None	Cast Berserk only before the combat damage step.|Target creature gains trample and gets +X/+0 until end of turn, where X is its power. At the beginning of the next end step, destroy that creature if it attacked this turn.		
Besmirch	{1}{R}{R}	None	Sorcery	None	Until end of turn, gain control of target creature and it gains haste. Untap and goad that creature. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)		
Birds of Paradise	{G}	None	Creature	Bird	Flying|{T}: Add one mana of any color to your mana pool.	0	1
Blood-Toll Harpy	{2}{B}	None	Creature	Harpy	Flying|When Blood-Toll Harpy enters the battlefield, each player loses 1 life.	2	1
Bonds of Quicksilver	{3}{U}	None	Enchantment	Aura	Flash (You may cast this spell any time you could cast an instant.)|Enchant creature|Enchanted creature doesn't untap during its controller's untap step.		
Borderland Explorer	{1}{G}	None	Creature	Elf,Scout	When Borderland Explorer enters the battlefield, each player may discard a card. Each player who discarded a card this way may search his or her library for a basic land card, reveal it, put it into his or her hand, then shuffle his or her library.	3	1
Bronze Sable	{2}	None	Artifact,Creature	Sable		2	1
Brushstrider	{1}{G}	None	Creature	Beast	Vigilance	3	1
Burgeoning	{G}	None	Enchantment	None	Whenever an opponent plays a land, you may put a land card from your hand onto the battlefield.		
Burn Away	{4}{R}	None	Instant	None	Burn Away deals 6 damage to target creature. When that creature dies this turn, exile all cards from its controller's graveyard.		
Burning Wish	{1}{R}	None	Sorcery	None	You may choose a sorcery card you own from outside the game, reveal that card, and put it into your hand. Exile Burning Wish.		
Caller of Gales	{U}	None	Creature	Merfolk,Wizard	{1}{U}, {T}: Target creature gains flying until end of turn.	1	1
Caller of the Untamed	{3}{G}	None	Creature	Elf,Shaman	Before you shuffle your deck to start the game, you may reveal this card from your deck and exile a creature card you drafted that isn't in your deck.|{X}, {T}: Create a token that's a copy of a card you exiled with cards named Caller of the Untamed. X is the converted mana cost of that card.	2	4
