Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Afflicted Deserter	{3}{R}		Creature	Human,Werewolf	At the beginning of each upkeep, if no spells were cast last turn, transform Afflicted Deserter.	3	2
Alpha Brawl	{6}{R}{R}		Sorcery		Target creature an opponent controls deals damage equal to its power to each other creature that player controls, then each of those creatures deals damage equal to its power to that creature.		
Altar of the Lost	{3}		Artifact		Altar of the Lost enters the battlefield tapped.|{T}: Add two mana in any combination of colors to your mana pool. Spend this mana only to cast spells with flashback from a graveyard.		
Archangel's Light	{7}{W}		Sorcery		You gain 2 life for each card in your graveyard, then shuffle your graveyard into your library.		
Archdemon of Greed			Creature	Demon	Flying, trample|At the beginning of your upkeep, sacrifice a Human. If you can't, tap Archdemon of Greed and it deals 9 damage to you.	9	9
Artful Dodge	{U}		Sorcery		Target creature can't be blocked this turn.|Flashback {U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Avacyn's Collar	{1}		Artifact	Equipment	Equipped creature gets +1/+0 and has vigilance.|Whenever equipped creature dies, if it was a Human, put a 1/1 white Spirit creature token with flying onto the battlefield.|Equip {2}		
Bar the Door	{2}{W}		Instant		Creatures you control get +0/+4 until end of turn.		
Beguiler of Wills	{3}{U}{U}		Creature	Human,Wizard	{T}: Gain control of target creature with power less than or equal to the number of creatures you control.	1	1
Black Cat	{1}{B}		Creature	Zombie,Cat	When Black Cat dies, target opponent discards a card at random.	1	1
Blood Feud	{4}{R}{R}		Sorcery		Target creature fights another target creature. (Each deals damage equal to its power to the other.)		
Bone to Ash	{2}{U}{U}		Instant		Counter target creature spell.|Draw a card.		
Break of Day	{1}{W}		Instant		Creatures you control get +1/+1 until end of turn.|Fateful hour - If you have 5 or less life, those creatures gain indestructible until end of turn. (Damage and effects that say 'destroy' don't destroy them.)		
Briarpack Alpha	{3}{G}		Creature	Wolf	Flash (You may cast this spell any time you could cast an instant.)|When Briarpack Alpha enters the battlefield, target creature gets +2/+2 until end of turn.	3	3
Burden of Guilt	{W}		Enchantment	Aura	Enchant creature|{1}: Tap enchanted creature.		
Burning Oil	{1}{R}		Instant		Burning Oil deals 3 damage to target attacking or blocking creature.|Flashback {3}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Call to the Kindred	{3}{U}		Enchantment	Aura	Enchant creature|At the beginning of your upkeep, you may look at the top five cards of your library. If you do, you may put a creature card that shares a creature type with enchanted creature from among them onto the battlefield, then you put the rest of those cards on the bottom of your library in any order.		
Chalice of Death			Artifact		{T}: Target player loses 5 life.		
Chalice of Life	{3}		Artifact		{T}: You gain 1 life. Then if you have at least 10 life more than your starting life total, transform Chalice of Life.		
Chant of the Skifsang	{2}{U}		Enchantment	Aura	Enchant creature|Enchanted creature gets -13/-0.		
Chill of Foreboding	{2}{U}		Sorcery		Each player puts the top five cards of his or her library into his or her graveyard.|Flashback {7}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Chosen of Markov	{2}{B}		Creature	Human	{T}, Tap an untapped Vampire you control: Transform Chosen of Markov.	2	2
Clinging Mists	{2}{G}		Instant		Prevent all combat damage that would be dealt this turn.|Fateful hour - If you have 5 or less life, tap all attacking creatures. Those creatures don't untap during their controller's next untap step.		
Counterlash	{4}{U}{U}		Instant		Counter target spell. You may cast a nonland card in your hand that shares a card type with that spell without paying its mana cost.		
Crushing Vines	{2}{G}		Instant		Choose one - Destroy target creature with flying; or destroy target artifact.		
Curse of Bloodletting	{3}{R}{R}		Enchantment	Aura,Curse	Enchant player|If a source would deal damage to enchanted player, it deals double that damage to that player instead.		
Curse of Echoes	{4}{U}		Enchantment	Aura,Curse	Enchant player|Whenever enchanted player casts an instant or sorcery spell, each other player may copy that spell and may choose new targets for the copy he or she controls.		
Curse of Exhaustion	{2}{W}{W}		Enchantment	Aura,Curse	Enchant player|Enchanted player can't cast more than one spell each turn.		
Curse of Misfortunes	{4}{B}		Enchantment	Aura,Curse	Enchant player|At the beginning of your upkeep, you may search your library for a Curse card that doesn't have the same name as a Curse attached to enchanted player, put it onto the battlefield attached to that player, then shuffle your library.		
Curse of Thirst	{4}{B}		Enchantment	Aura,Curse	Enchant player|At the beginning of enchanted player's upkeep, Curse of Thirst deals damage to that player equal to the number of Curses attached to him or her.		
Dawntreader Elk	{1}{G}		Creature	Elk	{G}, Sacrifice Dawntreader Elk: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.	2	2
Deadly Allure	{B}		Sorcery		Target creature gains deathtouch until end of turn and must be blocked this turn if able.|Flashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Death's Caress	{3}{B}{B}		Sorcery		Destroy target creature. If that creature was a Human, you gain life equal to its toughness.		
Deranged Outcast	{1}{G}		Creature	Human,Rogue	{1}{G}, Sacrifice a Human: Put two +1/+1 counters on target creature.	2	1
Diregraf Captain	{1}{U}{B}		Creature	Zombie,Soldier	Deathtouch|Other Zombie creatures you control get +1/+1.|Whenever another Zombie you control dies, target opponent loses 1 life.	2	2
Divination	{2}{U}		Sorcery		Draw two cards.		
Drogskol Captain	{1}{W}{U}		Creature	Spirit,Soldier	Flying|Other Spirit creatures you control get +1/+1 and have hexproof. (They can't be the targets of spells or abilities your opponents control.)	2	2
Drogskol Reaver	{5}{W}{U}		Creature	Spirit	Flying, double strike, lifelink|Whenever you gain life, draw a card.	3	5
Dungeon Geists	{2}{U}{U}		Creature	Spirit	Flying|When Dungeon Geists enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's untap step for as long as you control Dungeon Geists.	3	3
Elbrus, the Binding Blade	{7}	Legendary	Artifact	Equipment	Equipped creature gets +1/+0.|When equipped creature deals combat damage to a player, unattach Elbrus, the Binding Blade, then transform it.|Equip {1}		
Elgaud Inquisitor	{3}{W}		Creature	Human,Cleric	Lifelink (Damage dealt by this creature also causes you to gain that much life.)|When Elgaud Inquisitor dies, put a 1/1 white Spirit creature token with flying onto the battlefield.	2	2
Erdwal Ripper	{1}{R}{R}		Creature	Vampire	Haste|Whenever Erdwal Ripper deals combat damage to a player, put a +1/+1 counter on it.	2	1
Evolving Wilds			Land		{T}, Sacrifice Evolving Wilds: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.		
Executioner's Hood	{2}		Artifact	Equipment	Equipped creature has intimidate. (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)|Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)		
Faithless Looting	{R}		Sorcery		Draw two cards, then discard two cards.|Flashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Faith's Shield	{W}		Instant		Target permanent you control gains protection from the color of your choice until end of turn.|Fateful hour - If you have 5 or less life, instead you and each permanent you control gain protection from the color of your choice until end of turn.		
Falkenrath Aristocrat	{2}{B}{R}		Creature	Vampire	Flying, haste|Sacrifice a creature: Falkenrath Aristocrat gains indestructible until end of turn. If the sacrificed creature was a Human, put a +1/+1 counter on Falkenrath Aristocrat.	4	1
Falkenrath Torturer	{2}{B}		Creature	Vampire	Sacrifice a creature: Falkenrath Torturer gains flying until end of turn. If the sacrificed creature was a Human, put a +1/+1 counter on Falkenrath Torturer.	2	1
Farbog Boneflinger	{4}{B}		Creature	Zombie	When Farbog Boneflinger enters the battlefield, target creature gets -2/-2 until end of turn.	2	2
Favor of the Woods	{2}{G}		Enchantment	Aura	Enchant creature|Whenever enchanted creature blocks, you gain 3 life.		
Feed the Pack	{5}{G}		Enchantment		At the beginning of your end step, you may sacrifice a nontoken creature. If you do, put X 2/2 green Wolf creature tokens onto the battlefield, where X is the sacrificed creature's toughness.		
Fiend of the Shadows	{3}{B}{B}		Creature	Vampire,Wizard	Flying|Whenever Fiend of the Shadows deals combat damage to a player, that player exiles a card from his or her hand. You may play that card for as long as it remains exiled.|Sacrifice a Human: Regenerate Fiend of the Shadows.	3	3
Fires of Undeath	{2}{R}		Instant		Fires of Undeath deals 2 damage to target creature or player.|Flashback {5}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Flayer of the Hatebound	{5}{R}		Creature	Devil	Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)|Whenever Flayer of the Hatebound or another creature enters the battlefield from your graveyard, that creature deals damage equal to its power to target creature or player.	4	2
Fling	{1}{R}		Instant		As an additional cost to cast Fling, sacrifice a creature.|Fling deals damage equal to the sacrificed creature's power to target creature or player.		
Forge Devil	{R}		Creature	Devil	When Forge Devil enters the battlefield, it deals 1 damage to target creature and 1 damage to you.	1	1
Gather the Townsfolk	{1}{W}		Sorcery		Put two 1/1 white Human creature tokens onto the battlefield.|Fateful hour - If you have 5 or less life, put five of those tokens onto the battlefield instead.		
Gavony Ironwright	{2}{W}		Creature	Human,Soldier	Fateful hour - As long as you have 5 or less life, other creatures you control get +1/+4.	1	4
Geralf's Messenger	{B}{B}{B}		Creature	Zombie	Geralf's Messenger enters the battlefield tapped.|When Geralf's Messenger enters the battlefield, target opponent loses 2 life.|Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)	3	2
Geralf's Mindcrusher	{4}{U}{U}		Creature	Zombie,Horror	When Geralf's Mindcrusher enters the battlefield, target player puts the top five cards of his or her library into his or her graveyard.|Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)	5	5
Ghastly Haunting			Enchantment	Aura	Enchant creature|You control enchanted creature.		
Ghoultree	{7}{G}		Creature	Zombie,Treefolk	Ghoultree costs {1} less to cast for each creature card in your graveyard.	10	10
Grafdigger's Cage	{1}		Artifact		Creature cards can't enter the battlefield from graveyards or libraries.|Players can't cast cards in graveyards or libraries.		
Gravecrawler	{B}		Creature	Zombie	Gravecrawler can't block.|You may cast Gravecrawler from your graveyard as long as you control a Zombie.	2	1
Gravepurge	{2}{B}		Instant		Put any number of target creature cards from your graveyard on top of your library.|Draw a card.		
Gravetiller Wurm	{5}{G}		Creature	Wurm	Trample|Morbid - Gravetiller Wurm enters the battlefield with four +1/+1 counters on it if a creature died this turn.	4	4
Grim Backwoods			Land		{T}: Add {1} to your mana pool.|{2}{B}{G}, {T}, Sacrifice a creature: Draw a card.		
Grim Flowering	{5}{G}		Sorcery		Draw a card for each creature card in your graveyard.		
Griptide	{3}{U}		Instant		Put target creature on top of its owner's library.		
Gruesome Discovery	{2}{B}{B}		Sorcery		Target player discards two cards.|Morbid - If a creature died this turn, instead that player reveals his or her hand, you choose two cards from it, then that player discards those cards.		
Harrowing Journey	{4}{B}		Sorcery		Target player draws three cards and loses 3 life.		
Haunted Fengraf			Land		{T}: Add {1} to your mana pool.|{3}, {T}, Sacrifice Haunted Fengraf: Return a creature card at random from your graveyard to your hand.		
Havengul Lich	{3}{U}{B}		Creature	Zombie,Wizard	{1}: You may cast target creature card in a graveyard this turn. When you cast that card this turn, Havengul Lich gains all activated abilities of that card until end of turn.	4	4
Havengul Runebinder	{2}{U}{U}		Creature	Human,Wizard	{2}{U}, {T}, Exile a creature card from your graveyard: Put a 2/2 black Zombie creature token onto the battlefield, then put a +1/+1 counter on each Zombie creature you control.	2	2
Headless Skaab	{2}{U}		Creature	Zombie,Warrior	As an additional cost to cast Headless Skaab, exile a creature card from your graveyard.|Headless Skaab enters the battlefield tapped.	3	6
Heavy Mattock	{3}		Artifact	Equipment	Equipped creature gets +1/+1.|As long as equipped creature is a Human, it gets an additional +1/+1.|Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)		
Heckling Fiends	{2}{R}		Creature	Devil	{2}{R}: Target creature attacks this turn if able.	2	2
Hellrider	{2}{R}{R}		Creature	Devil	Haste|Whenever a creature you control attacks, Hellrider deals 1 damage to defending player.	3	3
Helvault	{3}	Legendary	Artifact		{1}, {T}: Exile target creature you control.|{7}, {T}: Exile target creature you don't control.|When Helvault is put into a graveyard from the battlefield, return all cards exiled with it to the battlefield under their owners' control.		
Highborn Ghoul	{B}{B}		Creature	Zombie	Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)	2	1
Hinterland Hermit	{1}{R}		Creature	Human,Werewolf	At the beginning of each upkeep, if no spells were cast last turn, transform Hinterland Hermit.	2	1
Hinterland Scourge			Creature	Werewolf	Hinterland Scourge must be blocked if able.|At the beginning of each upkeep, if a player cast two or more spells last turn, transform Hinterland Scourge.	3	2
Hollowhenge Beast	{3}{G}{G}		Creature	Beast		5	5
Hollowhenge Spirit	{3}{W}		Creature	Spirit	Flash (You may cast this spell any time you could cast an instant.)|Flying|When Hollowhenge Spirit enters the battlefield, remove target attacking or blocking creature from combat.	2	2
Hunger of the Howlpack	{G}		Instant		Put a +1/+1 counter on target creature.|Morbid - Put three +1/+1 counters on that creature instead if a creature died this turn.		
Huntmaster of the Fells	{2}{R}{G}		Creature	Human,Werewolf	Whenever this creature enters the battlefield or transforms into Huntmaster of the Fells, put a 2/2 green Wolf creature token onto the battlefield and you gain 2 life.|At the beginning of each upkeep, if no spells were cast last turn, transform Huntmaster of the Fells.	2	2
Immerwolf	{1}{R}{G}		Creature	Wolf	Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)|Each other creature you control that's a Wolf or a Werewolf gets +1/+1.|Non-Human Werewolves you control can't transform.	2	2
Increasing Ambition	{4}{B}		Sorcery		Search your library for a card and put that card into your hand. If Increasing Ambition was cast from a graveyard, instead search your library for two cards and put those cards into your hand. Then shuffle your library.|Flashback {7}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Increasing Confusion	{X}{U}		Sorcery		Target player puts the top X cards of his or her library into his or her graveyard. If Increasing Confusion was cast from a graveyard, that player puts twice that many cards into his or her graveyard instead.|Flashback {X}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Increasing Devotion	{3}{W}{W}		Sorcery		Put five 1/1 white Human creature tokens onto the battlefield. If Increasing Devotion was cast from a graveyard, put ten of those tokens onto the battlefield instead.|Flashback {7}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Increasing Savagery	{2}{G}{G}		Sorcery		Put five +1/+1 counters on target creature. If Increasing Savagery was cast from a graveyard, put ten +1/+1 counters on that creature instead.|Flashback {5}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Increasing Vengeance	{R}{R}		Instant		Copy target instant or sorcery spell you control. If Increasing Vengeance was cast from a graveyard, copy that spell twice instead. You may choose new targets for the copies.|Flashback {3}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Jar of Eyeballs	{3}		Artifact		Whenever a creature you control dies, put two eyeball counters on Jar of Eyeballs.|{3}, {T}, Remove all eyeball counters from Jar of Eyeballs: Look at the top X cards of your library, where X is the number of eyeball counters removed this way. Put one of them into your hand and the rest on the bottom of your library in any order.		
Kessig Recluse	{2}{G}{G}		Creature	Spider	Reach (This creature can block creatures with flying.)|Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)	2	3
Krallenhorde Killer			Creature	Werewolf	{3}{G}: Krallenhorde Killer gets +4/+4 until end of turn. Activate this ability only once each turn.|At the beginning of each upkeep, if a player cast two or more spells last turn, transform Krallenhorde Killer.	2	2
Lambholt Elder	{2}{G}		Creature	Human,Werewolf	At the beginning of each upkeep, if no spells were cast last turn, transform Lambholt Elder.	1	2
Lingering Souls	{2}{W}		Sorcery		Put two 1/1 white Spirit creature tokens with flying onto the battlefield.|Flashback {1}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Lost in the Woods	{3}{G}{G}		Enchantment		Whenever a creature attacks you or a planeswalker you control, reveal the top card of your library. If it's a Forest card, remove that creature from combat. Then put the revealed card on the bottom of your library.		
Loyal Cathar	{W}{W}		Creature	Human,Soldier	Vigilance|When Loyal Cathar dies, return it to the battlefield transformed under your control at the beginning of the next end step.	2	2
Markov Blademaster	{1}{R}{R}		Creature	Vampire,Warrior	Double strike|Whenever Markov Blademaster deals combat damage to a player, put a +1/+1 counter on it.	1	1
Markov Warlord	{5}{R}		Creature	Vampire,Warrior	Haste|When Markov Warlord enters the battlefield, up to two target creatures can't block this turn.	4	4
Markov's Servant			Creature	Vampire		4	4
Midnight Guard	{2}{W}		Creature	Human,Soldier	Whenever another creature enters the battlefield, untap Midnight Guard.	2	3
Mikaeus, the Unhallowed	{3}{B}{B}{B}	Legendary	Creature	Zombie,Cleric	Intimidate|Whenever a Human deals damage to you, destroy it.|Other non-Human creatures you control get +1/+1 and have undying. (When a creature with undying dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)	5	5
Mondronen Shaman	{3}{R}		Creature	Human,Werewolf,Shaman	At the beginning of each upkeep, if no spells were cast last turn, transform Mondronen Shaman.	3	2
Moonscarred Werewolf			Creature	Werewolf	Vigilance|{T}: Add {G}{G} to your mana pool.|At the beginning of each upkeep, if a player cast two or more spells last turn, transform Moonscarred Werewolf.	2	2
Moonveil Dragon	{3}{R}{R}{R}		Creature	Dragon	Flying|{R}: Each creature you control gets +1/+0 until end of turn.	5	5
Mystic Retrieval	{3}{U}		Sorcery		Return target instant or sorcery card from your graveyard to your hand.|Flashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Nearheath Stalker	{4}{R}		Creature	Vampire,Rogue	Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)	4	1
Nephalia Seakite	{3}{U}		Creature	Bird	Flash (You may cast this spell any time you could cast an instant.)|Flying	2	3
Niblis of the Breath	{2}{U}		Creature	Spirit	Flying|{U}, {T}: You may tap or untap target creature.	2	1
Niblis of the Mist	{2}{W}		Creature	Spirit	Flying|When Niblis of the Mist enters the battlefield, you may tap target creature.	2	1
Niblis of the Urn	{1}{W}		Creature	Spirit	Flying|Whenever Niblis of the Urn attacks, you may tap target creature.	1	1
Predator Ooze	{G}{G}{G}		Creature	Ooze	Indestructible|Whenever Predator Ooze attacks, put a +1/+1 counter on it.|Whenever a creature dealt damage by Predator Ooze this turn dies, put a +1/+1 counter on Predator Ooze.	1	1
Pyreheart Wolf	{2}{R}		Creature	Wolf	Whenever Pyreheart Wolf attacks, each creature you control can't be blocked this turn except by two or more creatures.|Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)	1	1
Ravager of the Fells			Creature	Werewolf	Trample|Whenever this creature transforms into Ravager of the Fells, it deals 2 damage to target opponent and 2 damage to up to one target creature that player controls.|At the beginning of each upkeep, if a player cast two or more spells last turn, transform Ravager of the Fells.	4	4
Ravenous Demon	{3}{B}{B}		Creature	Demon	Sacrifice a Human: Transform Ravenous Demon. Activate this ability only any time you could cast a sorcery.	4	4
Ray of Revelation	{1}{W}		Instant		Destroy target enchantment.|Flashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Reap the Seagraf	{2}{B}		Sorcery		Put a 2/2 black Zombie creature token onto the battlefield.|Flashback {4}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Relentless Skaabs	{3}{U}{U}		Creature	Zombie	As an additional cost to cast Relentless Skaabs, exile a creature card from your graveyard.|Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)	4	4
Requiem Angel	{5}{W}		Creature	Angel	Flying|Whenever another non-Spirit creature you control dies, put a 1/1 white Spirit creature token with flying onto the battlefield.	5	5
Russet Wolves	{3}{R}		Creature	Wolf		3	3
Sanctuary Cat	{W}		Creature	Cat		1	2
Saving Grasp	{U}		Instant		Return target creature you own to your hand.|Flashback {W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Scorch the Fields	{4}{R}		Sorcery		Destroy target land. Scorch the Fields deals 1 damage to each Human creature.		
Scorned Villager	{1}{G}		Creature	Human,Werewolf	{T}: Add {G} to your mana pool.|At the beginning of each upkeep, if no spells were cast last turn, transform Scorned Villager.	1	1
Screeching Skaab	{1}{U}		Creature	Zombie	When Screeching Skaab enters the battlefield, put the top two cards of your library into your graveyard.	2	1
Séance	{2}{W}{W}		Enchantment		At the beginning of each upkeep, you may exile target creature card from your graveyard. If you do, put a token onto the battlefield that's a copy of that card except it's a Spirit in addition to its other types. Exile it at the beginning of the next end step.		
Secrets of the Dead	{2}{U}		Enchantment		Whenever you cast a spell from your graveyard, draw a card.		
Shattered Perception	{2}{R}		Sorcery		Discard all the cards in your hand, then draw that many cards.|Flashback {5}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Shriekgeist	{1}{U}		Creature	Spirit	Flying|Whenever Shriekgeist deals combat damage to a player, that player puts the top two cards of his or her library into his or her graveyard.	1	1
Sightless Ghoul	{3}{B}		Creature	Zombie,Soldier	Sightless Ghoul can't block.|Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)	2	2
Silverclaw Griffin	{3}{W}{W}		Creature	Griffin	Flying, first strike	3	2
