Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Æther Snap	{3}{B}{B}		Sorcery		Remove all counters from all permanents and exile all tokens.		
Æther Vial	{1}		Artifact		At the beginning of your upkeep, you may put a charge counter on Æther Vial.|{T}: You may put a creature card with converted mana cost equal to the number of charge counters on Æther Vial from your hand onto the battlefield.		
Ageless Entity	{3}{G}{G}		Creature	Elemental	Whenever you gain life, put that many +1/+1 counters on Ageless Entity.	4	4
Angel's Feather	{2}		Artifact		Whenever a player casts a white spell, you may gain 1 life.		
Arcane Spyglass	{4}		Artifact		{2}, {T}, Sacrifice a land: Draw a card and put a charge counter on Arcane Spyglass.|Remove three charge counters from Arcane Spyglass: Draw a card.		
Arcbound Bruiser	{5}		Artifact,Creature	Golem	Modular 3 (This enters the battlefield with three +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
Arcbound Crusher	{4}		Artifact,Creature	Juggernaut	Trample|Whenever another artifact enters the battlefield, put a +1/+1 counter on Arcbound Crusher.|Modular 1 (This enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
Arcbound Fiend	{6}		Artifact,Creature	Horror	Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)|At the beginning of your upkeep, you may move a +1/+1 counter from target creature onto Arcbound Fiend.|Modular 3 (This enters the battlefield with three +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
Arcbound Hybrid	{4}		Artifact,Creature	Beast	Haste|Modular 2 (This enters the battlefield with two +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
Arcbound Lancer	{7}		Artifact,Creature	Beast	First strike|Modular 4 (This enters the battlefield with four +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
Arcbound Overseer	{8}		Artifact,Creature	Golem	At the beginning of your upkeep, put a +1/+1 counter on each creature with modular you control.|Modular 6 (This enters the battlefield with six +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
Arcbound Ravager	{2}		Artifact,Creature	Beast	Sacrifice an artifact: Put a +1/+1 counter on Arcbound Ravager.|Modular 1 (This enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
Arcbound Reclaimer	{4}		Artifact,Creature	Golem	Remove a +1/+1 counter from Arcbound Reclaimer: Put target artifact card from your graveyard on top of your library.|Modular 2 (This enters the battlefield with two +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
Arcbound Slith	{2}		Artifact,Creature	Slith	Whenever Arcbound Slith deals combat damage to a player, put a +1/+1 counter on it.|Modular 1 (This enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
Arcbound Stinger	{2}		Artifact,Creature	Insect	Flying|Modular 1 (This enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
Arcbound Worker	{1}		Artifact,Creature	Construct	Modular 1 (This enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
Auriok Glaivemaster	{W}		Creature	Human,Soldier	As long as Auriok Glaivemaster is equipped, it gets +1/+1 and has first strike.	1	1
Auriok Siege Sled	{6}		Artifact,Creature	Juggernaut	{1}: Target artifact creature blocks Auriok Siege Sled this turn if able.|{1}: Target artifact creature can't block Auriok Siege Sled this turn.	3	5
Barbed Lightning	{2}{R}		Instant		Choose one - Barbed Lightning deals 3 damage to target creature; or Barbed Lightning deals 3 damage to target player.|Entwine {2} (Choose both if you pay the entwine cost.)		
Blinkmoth Nexus			Land		{T}: Add {1} to your mana pool.|{1}: Blinkmoth Nexus becomes a 1/1 Blinkmoth artifact creature with flying until end of turn. It's still a land.|{1}, {T}: Target Blinkmoth creature gets +1/+1 until end of turn.		
Burden of Greed	{3}{B}		Instant		Target player loses 1 life for each tapped artifact he or she controls.		
Carry Away	{U}{U}		Enchantment	Aura	Enchant Equipment|When Carry Away enters the battlefield, unattach enchanted Equipment.|You control enchanted Equipment.		
Chimeric Egg	{3}		Artifact		Whenever an opponent casts a nonartifact spell, put a charge counter on Chimeric Egg.|Remove three charge counters from Chimeric Egg: Chimeric Egg becomes a 6/6 Construct artifact creature with trample until end of turn.		
Chittering Rats	{1}{B}{B}		Creature	Rat	When Chittering Rats enters the battlefield, target opponent puts a card from his or her hand on top of his or her library.	2	2
Chromescale Drake	{6}{U}{U}{U}		Creature	Drake	Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)|Flying|When Chromescale Drake enters the battlefield, reveal the top three cards of your library. Put all artifact cards revealed this way into your hand and the rest into your graveyard.	3	4
Coretapper	{2}		Artifact,Creature	Myr	{T}: Put a charge counter on target artifact.|Sacrifice Coretapper: Put two charge counters on target artifact.	1	1
Crazed Goblin	{R}		Creature	Goblin,Warrior	Crazed Goblin attacks each turn if able.	1	1
