Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Acid-Spewer Dragon	{5}{B}	None	Creature	Dragon	Flying, deathtouch|Megamorph {5}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)|When Acid-Spewer Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control.	3	3
Aerie Bowmasters	{2}{G}{G}	None	Creature	Hound,Archer	Reach (This creature can block creatures with flying.)|Megamorph {5}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)	3	4
Ainok Artillerist	{2}{G}	None	Creature	Hound,Archer	Ainok Artillerist has reach as long as it has a +1/+1 counter on it. (It can block creatures with flying.)	4	1
Ainok Survivalist	{1}{G}	None	Creature	Hound,Shaman	Megamorph {1}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)|When Ainok Survivalist is turned face up, destroy target artifact or enchantment an opponent controls.	2	1
Ambuscade Shaman	{2}{B}	None	Creature	Orc,Shaman	Whenever Ambuscade Shaman or another creature enters the battlefield under your control, that creature gets +2/+2 until end of turn.|Dash {3}{B} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)	2	2
Anafenza, Kin-Tree Spirit	{W}{W}	Legendary	Creature	Spirit,Soldier	Whenever another nontoken creature enters the battlefield under your control, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)	2	2
Ancestral Statue	{4}	None	Artifact,Creature	Golem	When Ancestral Statue enters the battlefield, return a nonland permanent you control to its owner's hand.	3	4
Ancient Carp	{4}{U}	None	Creature	Fish		2	5
Anticipate	{1}{U}	None	Instant	None	Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.		
Arashin Foremost	{1}{W}{W}	None	Creature	Human,Warrior	Double strike|Whenever Arashin Foremost enters the battlefield or attacks, another target Warrior creature you control gains double strike until end of turn.	2	2
Arashin Sovereign	{5}{G}{W}	None	Creature	Dragon	Flying|When Arashin Sovereign dies, you may put it on the top or bottom of its owner's library.	6	6
Artful Maneuver	{1}{W}	None	Instant	None	Target creature gets +2/+2 until end of turn.|Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)		
Assault Formation	{1}{G}	None	Enchantment	None	Each creature you control assigns combat damage equal to its toughness rather than its power.|{G}: Target creature with defender can attack this turn as though it didn't have defender.|{2}{G}: Creatures you control get +0/+1 until end of turn.		
Atarka Beastbreaker	{1}{G}	None	Creature	Human,Warrior	Formidable - {4}{G}: Atarka Beastbreaker gets +4/+4 until end of turn. Activate this ability only if creatures you control have total power 8 or greater.	2	2
Atarka Efreet	{3}{R}	None	Creature	Efreet,Shaman	Megamorph {2}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)|When Atarka Efreet is turned face up, it deals 1 damage to target creature or player.	5	1
Atarka Monument	{3}	None	Artifact	None	{T}: Add {R} or {G} to your mana pool.|{4}{R}{G}: Atarka Monument becomes a 4/4 red and green Dragon artifact creature with flying until end of turn.		
Atarka Pummeler	{4}{R}	None	Creature	Ogre,Warrior	Formidable - {3}{R}{R}: Creatures you control gain menace until end of turn. Activate this ability only if creatures you control have total power 8 or greater. (They can't be blocked except by two or more creatures.)	4	5
Atarka's Command	{R}{G}	None	Instant	None	Choose two -|• Your opponents can't gain life this turn.|• Atarka's Command deals 3 damage to each opponent.|• You may put a land card from your hand onto the battlefield.|• Creatures you control get +1/+1 and gain reach until end of turn.		
Avatar of the Resolute	{G}{G}	None	Creature	Avatar	Reach, trample|Avatar of the Resolute enters the battlefield with a +1/+1 counter on it for each other creature you control with a +1/+1 counter on it.	3	2
Aven Sunstriker	{1}{W}{W}	None	Creature	Bird,Warrior	Flying|Double strike (This creature deals both first-strike and regular combat damage.)|Megamorph {4}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)	1	1
Aven Tactician	{4}{W}	None	Creature	Bird,Soldier	Flying|When Aven Tactician enters the battlefield, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)	2	3
Battle Mastery	{2}{W}	None	Enchantment	Aura	Enchant creature|Enchanted creature has double strike. (It deals both first-strike and regular combat damage.)		
Belltoll Dragon	{5}{U}	None	Creature	Dragon	Flying, hexproof|Megamorph {5}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)|When Belltoll Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control.	3	3
Berserkers' Onslaught	{3}{R}{R}	None	Enchantment	None	Attacking creatures you control have double strike.		
Blessed Reincarnation	{3}{U}	None	Instant	None	Exile target creature an opponent controls. That player reveals cards from the top of his or her library until a creature card is revealed. The player puts that card onto the battlefield, then shuffles the rest into his or her library.|Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)		
Blood-Chin Fanatic	{1}{B}{B}	None	Creature	Orc,Warrior	{1}{B}, Sacrifice another Warrior creature: Target player loses X life and you gain X life, where X is the sacrificed creature's power.	3	3
Blood-Chin Rager	{1}{B}	None	Creature	Human,Warrior	Whenever Blood-Chin Rager attacks, Warrior creatures you control gain menace until end of turn. (They can't be blocked except by two or more creatures.)	2	2
Boltwing Marauder	{3}{B}{R}	None	Creature	Dragon	Flying|Whenever another creature enters the battlefield under your control, target creature gets +2/+0 until end of turn.	5	4
Butcher's Glee	{2}{B}	None	Instant	None	Target creature gets +3/+0 and gains lifelink until end of turn. Regenerate it. (Damage dealt by a creature with lifelink also causes its controller to gain that much life.)		
Center Soul	{1}{W}	None	Instant	None	Target creature you control gains protection from the color of your choice until end of turn.|Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)		
Champion of Arashin	{3}{W}	None	Creature	Hound,Warrior	Lifelink (Damage dealt by this creature also causes you to gain that much life.)	3	2
Circle of Elders	{2}{G}{G}	None	Creature	Human,Shaman	Vigilance|Formidable - {T}: Add {3} to your mana pool. Activate this ability only if creatures you control have total power 8 or greater.	2	4
Clone Legion	{7}{U}{U}	None	Sorcery	None	For each creature target player controls, put a token onto the battlefield that's a copy of that creature.		
Coat with Venom	{B}	None	Instant	None	Target creature gets +1/+2 and gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.)		
Collected Company	{3}{G}	None	Instant	None	Look at the top six cards of your library. Put up to two creature cards with converted mana cost 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in any order.		
Colossodon Yearling	{2}{G}	None	Creature	Beast		2	4
Commune with Lava	{X}{R}{R}	None	Instant	None	Exile the top X cards of your library. Until the end of your next turn, you may play those cards.		
Conifer Strider	{3}{G}	None	Creature	Elemental	Hexproof (This creature can't be the target of spells or abilities your opponents control.)	5	1
Contradict	{3}{U}{U}	None	Instant	None	Counter target spell.|Draw a card.		
Corpseweft	{2}{B}	None	Enchantment	None	{1}{B}, Exile one or more creature cards from your graveyard: Put an X/X black Zombie Horror creature token onto the battlefield tapped, where X is twice the number of cards exiled this way.		
Crater Elemental	{2}{R}	None	Creature	Elemental	{R}, {T}, Sacrifice Crater Elemental: Crater Elemental deals 4 damage to target creature.|Formidable - {2}{R}: Crater Elemental has base power 8 until end of turn. Activate this ability only if creatures you control have total power 8 or greater.	0	6
Cunning Breezedancer	{4}{W}{U}	None	Creature	Dragon	Flying|Whenever you cast a noncreature spell, Cunning Breezedancer gets +2/+2 until end of turn.	4	4
Custodian of the Trove	{3}	None	Artifact,Creature	Golem	Defender|Custodian of the Trove enters the battlefield tapped.	2	5
Damnable Pact	{X}{B}{B}	None	Sorcery	None	Target player draws X cards and loses X life.		
Dance of the Skywise	{1}{U}	None	Instant	None	Until end of turn, target creature you control becomes a blue Dragon Illusion with base power and toughness 4/4, loses all abilities, and gains flying.		
