Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abyssal Gatekeeper	{1}{B}	None	Creature	Horror	When Abyssal Gatekeeper dies, each player sacrifices a creature.	1	1
Abyssal Specter	{2}{B}{B}	None	Creature	Specter	Flying|Whenever Abyssal Specter deals damage to a player, that player discards a card.	2	3
Akroma, Angel of Wrath	{5}{W}{W}{W}	Legendary	Creature	Angel	Flying, first strike, vigilance, trample, haste, protection from black and from red	6	6
Angel of Mercy	{4}{W}	None	Creature	Angel	Flying|When Angel of Mercy enters the battlefield, you gain 3 life.	3	3
Angelic Benediction	{3}{W}	None	Enchantment	None	Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)|Whenever a creature you control attacks alone, you may tap target creature.		
Angelic Page	{1}{W}	None	Creature	Angel,Spirit	Flying|{T}: Target attacking or blocking creature gets +1/+1 until end of turn.	1	1
Angelic Protector	{3}{W}	None	Creature	Angel	Flying|Whenever Angelic Protector becomes the target of a spell or ability, Angelic Protector gets +0/+3 until end of turn.	2	2
Angel's Feather	{2}	None	Artifact	None	Whenever a player casts a white spell, you may gain 1 life.		
Angelsong	{1}{W}	None	Instant	None	Prevent all combat damage that would be dealt this turn.|Cycling {2} ({2}, Discard this card: Draw a card.)		
Barren Moor		None	Land	None	Barren Moor enters the battlefield tapped.|{T}: Add {B} to your mana pool.|Cycling {B} ({B}, Discard this card: Draw a card.)		
Barter in Blood	{2}{B}{B}	None	Sorcery	None	Each player sacrifices two creatures.		
Breeding Pit	{3}{B}	None	Enchantment	None	At the beginning of your upkeep, sacrifice Breeding Pit unless you pay {B}{B}.|At the beginning of your end step, put a 0/1 black Thrull creature token onto the battlefield.		
Cackling Imp	{2}{B}{B}	None	Creature	Imp	Flying|{T}: Target player loses 1 life.	2	2
Charging Paladin	{2}{W}	None	Creature	Human,Knight	Whenever Charging Paladin attacks, it gets +0/+3 until end of turn.	2	2
Consume Spirit	{X}{1}{B}	None	Sorcery	None	Spend only black mana on X.|Consume Spirit deals X damage to target creature or player and you gain X life.		
Corrupt	{5}{B}	None	Sorcery	None	Corrupt deals damage equal to the number of Swamps you control to target creature or player. You gain life equal to the damage dealt this way.		
Cruel Edict	{1}{B}	None	Sorcery	None	Target opponent sacrifices a creature.		
Daggerclaw Imp	{2}{B}	None	Creature	Imp	Flying|Daggerclaw Imp can't block.	3	1
Dark Banishing	{2}{B}	None	Instant	None	Destroy target nonblack creature. It can't be regenerated.		
Dark Ritual	{B}	None	Instant	None	Add {B}{B}{B} to your mana pool.		
Demonic Tutor	{1}{B}	None	Sorcery	None	Search your library for a card and put that card into your hand. Then shuffle your library.		
