Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Akki Coalflinger	{1}{R}{R}	None	Creature	Goblin,Shaman	First strike|{R}, {T}: Attacking creatures gain first strike until end of turn.	2	2
Allosaurus Rider	{5}{G}{G}	None	Creature	Elf,Warrior	You may exile two green cards from your hand rather than pay Allosaurus Rider's mana cost.|Allosaurus Rider's power and toughness are each equal to 1 plus the number of lands you control.		
Ambush Commander	{3}{G}{G}	None	Creature	Elf	Forests you control are 1/1 green Elf creatures that are still lands.|{1}{G}, Sacrifice an Elf: Target creature gets +3/+3 until end of turn.	2	2
Boggart Shenanigans	{2}{R}	None	Tribal,Enchantment	Goblin	Whenever another Goblin you control is put into a graveyard from the battlefield, you may have Boggart Shenanigans deal 1 damage to target player.		
Clickslither	{1}{R}{R}{R}	None	Creature	Insect	Haste|Sacrifice a Goblin: Clickslither gets +2/+2 and gains trample until end of turn.	3	3
Elvish Eulogist	{G}	None	Creature	Elf,Shaman	Sacrifice Elvish Eulogist: You gain 1 life for each Elf card in your graveyard.	1	1
Elvish Harbinger	{2}{G}	None	Creature	Elf,Druid	When Elvish Harbinger enters the battlefield, you may search your library for an Elf card, reveal it, then shuffle your library and put that card on top of it.|{T}: Add one mana of any color to your mana pool.	1	2
Elvish Promenade	{3}{G}	None	Tribal,Sorcery	Elf	Put a 1/1 green Elf Warrior creature token onto the battlefield for each Elf you control.		
Elvish Warrior	{G}{G}	None	Creature	Elf,Warrior		2	3
Emberwilde Augur	{1}{R}	None	Creature	Goblin,Shaman	Sacrifice Emberwilde Augur: Emberwilde Augur deals 3 damage to target player. Activate this ability only during your upkeep.	2	1
Flamewave Invoker	{2}{R}	None	Creature	Goblin,Mutant	{7}{R}: Flamewave Invoker deals 5 damage to target player.	2	2
Forest		Basic	Land	Forest	G		
Forgotten Cave		None	Land	None	Forgotten Cave enters the battlefield tapped.|{T}: Add {R} to your mana pool.|Cycling {R} ({R}, Discard this card: Draw a card.)		
Gempalm Incinerator	{2}{R}	None	Creature	Goblin	Cycling {1}{R} ({1}{R}, Discard this card: Draw a card.)|When you cycle Gempalm Incinerator, you may have it deal X damage to target creature, where X is the number of Goblins on the battlefield.	2	1
Gempalm Strider	{1}{G}	None	Creature	Elf	Cycling {2}{G}{G} ({2}{G}{G}, Discard this card: Draw a card.)|When you cycle Gempalm Strider, Elf creatures get +2/+2 until end of turn.	2	2
Giant Growth	{G}	None	Instant	None	Target creature gets +3/+3 until end of turn.		
Goblin Burrows		None	Land	None	{T}: Add {1} to your mana pool.|{1}{R}, {T}: Target Goblin creature gets +2/+0 until end of turn.		
Goblin Cohort	{R}	None	Creature	Goblin,Warrior	Goblin Cohort can't attack unless you've cast a creature spell this turn.	2	2
Goblin Matron	{2}{R}	None	Creature	Goblin	When Goblin Matron enters the battlefield, you may search your library for a Goblin card, reveal that card, and put it into your hand. If you do, shuffle your library.	1	1
Goblin Ringleader	{3}{R}	None	Creature	Goblin	Haste|When Goblin Ringleader enters the battlefield, reveal the top four cards of your library. Put all Goblin cards revealed this way into your hand and the rest on the bottom of your library in any order.	2	2
Goblin Sledder	{R}	None	Creature	Goblin	Sacrifice a Goblin: Target creature gets +1/+1 until end of turn.	1	1
Goblin Warchief	{1}{R}{R}	None	Creature	Goblin,Warrior	Goblin spells you cast cost {1} less to cast.|Goblin creatures you control have haste.	2	2
Harmonize	{2}{G}{G}	None	Sorcery	None	Draw three cards.		
Heedless One	{3}{G}	None	Creature	Elf,Avatar	Trample|Heedless One's power and toughness are each equal to the number of Elves on the battlefield.	*	*
Ib Halfheart, Goblin Tactician	{3}{R}	Legendary	Creature	Goblin,Advisor	Whenever another Goblin you control becomes blocked, sacrifice it. If you do, it deals 4 damage to each creature blocking it.|Sacrifice two Mountains: Put two 1/1 red Goblin creature tokens onto the battlefield.	3	2
Imperious Perfect	{2}{G}	None	Creature	Elf,Warrior	Other Elf creatures you control get +1/+1.|{G}, {T}: Put a 1/1 green Elf Warrior creature token onto the battlefield.	2	2
Llanowar Elves	{G}	None	Creature	Elf,Druid	{T}: Add {G} to your mana pool.	1	1
Lys Alana Huntmaster	{2}{G}{G}	None	Creature	Elf,Warrior	Whenever you cast an Elf spell, you may put a 1/1 green Elf Warrior creature token onto the battlefield.	3	3
Mogg Fanatic	{R}	None	Creature	Goblin	Sacrifice Mogg Fanatic: Mogg Fanatic deals 1 damage to target creature or player.	1	1
Mogg War Marshal	{1}{R}	None	Creature	Goblin,Warrior	Echo {1}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)|When Mogg War Marshal enters the battlefield or dies, put a 1/1 red Goblin creature token onto the battlefield.	1	1
Moonglove Extract	{3}	None	Artifact	None	Sacrifice Moonglove Extract: Moonglove Extract deals 2 damage to target creature or player.		
Mountain		Basic	Land	Mountain	R		
Mudbutton Torchrunner	{2}{R}	None	Creature	Goblin,Warrior	When Mudbutton Torchrunner dies, it deals 3 damage to target creature or player.	1	1
Raging Goblin	{R}	None	Creature	Goblin,Berserker	Haste (This creature can attack and {T} as soon as it comes under your control.)	1	1
Reckless One	{3}{R}	None	Creature	Goblin,Avatar	Haste|Reckless One's power and toughness are each equal to the number of Goblins on the battlefield.	*	*
Siege-Gang Commander	{3}{R}{R}	None	Creature	Goblin	When Siege-Gang Commander enters the battlefield, put three 1/1 red Goblin creature tokens onto the battlefield.|{1}{R}, Sacrifice a Goblin: Siege-Gang Commander deals 2 damage to target creature or player.	2	2
Skirk Drill Sergeant	{1}{R}	None	Creature	Goblin	Whenever Skirk Drill Sergeant or another Goblin dies, you may pay {2}{R}. If you do, reveal the top card of your library. If it's a Goblin permanent card, put it onto the battlefield. Otherwise, put it into your graveyard.	2	1
Skirk Fire Marshal	{3}{R}{R}	None	Creature	Goblin	Protection from red|Tap five untapped Goblins you control: Skirk Fire Marshal deals 10 damage to each creature and each player.	2	2
Skirk Prospector	{R}	None	Creature	Goblin	Sacrifice a Goblin: Add {R} to your mana pool.	1	1
Skirk Shaman	{1}{R}{R}	None	Creature	Goblin,Shaman	Skirk Shaman can't be blocked except by artifact creatures and/or red creatures.	2	2
Slate of Ancestry	{4}	None	Artifact	None	{4}, {T}, Discard your hand: Draw a card for each creature you control.		
Spitting Earth	{1}{R}	None	Sorcery	None	Spitting Earth deals damage to target creature equal to the number of Mountains you control.		
Stonewood Invoker	{1}{G}	None	Creature	Elf,Mutant	{7}{G}: Stonewood Invoker gets +5/+5 until end of turn.	2	2
Sylvan Messenger	{3}{G}	None	Creature	Elf	Trample (This creature can deal excess combat damage to defending player or planeswalker while attacking.)|When Sylvan Messenger enters the battlefield, reveal the top four cards of your library. Put all Elf cards revealed this way into your hand and the rest on the bottom of your library in any order.	2	2
Tar Pitcher	{3}{R}	None	Creature	Goblin,Shaman	{T}, Sacrifice a Goblin: Tar Pitcher deals 2 damage to target creature or player.	2	2
Tarfire	{R}	None	Tribal,Instant	Goblin	Tarfire deals 2 damage to target creature or player.		
Timberwatch Elf	{2}{G}	None	Creature	Elf	{T}: Target creature gets +X/+X until end of turn, where X is the number of Elves on the battlefield.	1	2
