Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abyssal Gatekeeper	{1}{B}		Creature	Horror	When Abyssal Gatekeeper dies, each player sacrifices a creature.	1	1
Abyssal Specter	{2}{B}{B}		Creature	Specter	Flying|Whenever Abyssal Specter deals damage to a player, that player discards a card.	2	3
Akroma, Angel of Wrath	{5}{W}{W}{W}	Legendary	Creature	Angel	Flying, first strike, vigilance, trample, haste, protection from black and from red	6	6
Angel of Mercy	{4}{W}		Creature	Angel	Flying|When Angel of Mercy enters the battlefield, you gain 3 life.	3	3
Angelic Benediction	{3}{W}		Enchantment		Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)|Whenever a creature you control attacks alone, you may tap target creature.		
Angelic Page	{1}{W}		Creature	Angel,Spirit	Flying|{T}: Target attacking or blocking creature gets +1/+1 until end of turn.	1	1
Angelic Protector	{3}{W}		Creature	Angel	Flying|Whenever Angelic Protector becomes the target of a spell or ability, Angelic Protector gets +0/+3 until end of turn.	2	2
Angel's Feather	{2}		Artifact		Whenever a player casts a white spell, you may gain 1 life.		
Angelsong	{1}{W}		Instant		Prevent all combat damage that would be dealt this turn.|Cycling {2} ({2}, Discard this card: Draw a card.)		
Barren Moor			Land		Barren Moor enters the battlefield tapped.|{T}: Add {B} to your mana pool.|Cycling {B} ({B}, Discard this card: Draw a card.)		
Barter in Blood	{2}{B}{B}		Sorcery		Each player sacrifices two creatures.		
Breeding Pit	{3}{B}		Enchantment		At the beginning of your upkeep, sacrifice Breeding Pit unless you pay {B}{B}.|At the beginning of your end step, put a 0/1 black Thrull creature token onto the battlefield.		
Cackling Imp	{2}{B}{B}		Creature	Imp	Flying|{T}: Target player loses 1 life.	2	2
Charging Paladin	{2}{W}		Creature	Human,Knight	Whenever Charging Paladin attacks, it gets +0/+3 until end of turn.	2	2
Consume Spirit	{X}{1}{B}		Sorcery		Spend only black mana on X.|Consume Spirit deals X damage to target creature or player and you gain X life.		
Corrupt	{5}{B}		Sorcery		Corrupt deals damage equal to the number of Swamps you control to target creature or player. You gain life equal to the damage dealt this way.		
Cruel Edict	{1}{B}		Sorcery		Target opponent sacrifices a creature.		
Daggerclaw Imp	{2}{B}		Creature	Imp	Flying|Daggerclaw Imp can't block.	3	1
Dark Banishing	{2}{B}		Instant		Destroy target nonblack creature. It can't be regenerated.		
Dark Ritual	{B}		Instant		Add {B}{B}{B} to your mana pool.		
Demon			Creature	Demon	Flying	*	*
Demonic Tutor	{1}{B}		Sorcery		Search your library for a card and put that card into your hand. Then shuffle your library.		
Demon's Horn	{2}		Artifact		Whenever a player casts a black spell, you may gain 1 life.		
Demon's Jester	{3}{B}		Creature	Imp	Flying|Hellbent - Demon's Jester gets +2/+1 as long as you have no cards in hand.	2	2
Duress	{B}		Sorcery		Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card.		
Dusk Imp	{2}{B}		Creature	Imp	Flying	2	1
Faith's Fetters	{3}{W}		Enchantment	Aura	Enchant permanent|When Faith's Fetters enters the battlefield, you gain 4 life.|Enchanted permanent's activated abilities can't be activated unless they're mana abilities. If enchanted permanent is a creature, it can't attack or block.		
Fallen Angel	{3}{B}{B}		Creature	Angel	Flying|Sacrifice a creature: Fallen Angel gets +2/+1 until end of turn.	3	3
Foul Imp	{B}{B}		Creature	Imp	Flying|When Foul Imp enters the battlefield, you lose 2 life.	2	2
Healing Salve	{W}		Instant		Choose one - Target player gains 3 life; or prevent the next 3 damage that would be dealt to target creature or player this turn.		
Icatian Priest	{W}		Creature	Human,Cleric	{1}{W}{W}: Target creature gets +1/+1 until end of turn.	1	1
Kuro, Pitlord	{6}{B}{B}{B}	Legendary	Creature	Demon,Spirit	At the beginning of your upkeep, sacrifice Kuro, Pitlord unless you pay {B}{B}{B}{B}.|Pay 1 life: Target creature gets -1/-1 until end of turn.	9	9
