Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abolish	{1}{W}{W}		Instant		You may discard a Plains card rather than pay Abolish's mana cost.|Destroy target artifact or enchantment.		
Æther Spellbomb	{1}		Artifact		{U}, Sacrifice Æther Spellbomb: Return target creature to its owner's hand.|{1}, Sacrifice Æther Spellbomb: Draw a card.		
Angel of Salvation	{6}{W}{W}		Creature	Angel	Flash; convoke (Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)|Flying|When Angel of Salvation enters the battlefield, prevent the next 5 damage that would be dealt this turn to any number of target creatures and/or players, divided as you choose.	5	5
Arcbound Worker	{1}		Artifact,Creature	Construct	Modular 1 (This enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
Argivian Restoration	{2}{U}{U}		Sorcery		Return target artifact card from your graveyard to the battlefield.		
Assembly-Worker	{3}		Artifact,Creature	Assembly-Worker	{T}: Target Assembly-Worker creature gets +1/+1 until end of turn.	2	2
Blinding Beam	{2}{W}		Instant		Choose one - Tap two target creatures; or creatures don't untap during target player's next untap step.|Entwine {1} (Choose both if you pay the entwine cost.)		
Burrenton Bombardier	{2}{W}		Creature	Kithkin,Soldier	Flying|Reinforce 2-{2}{W} ({2}{W}, Discard this card: Put two +1/+1 counters on target creature.)	2	2
Catapult Master	{3}{W}{W}		Creature	Human,Soldier	Tap five untapped Soldiers you control: Exile target creature.	3	3
Celestial Crusader	{2}{W}{W}		Creature	Spirit	Flash (You may cast this spell any time you could cast an instant.)|Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)|Flying|Other white creatures get +1/+1.	2	2
Clockwork Condor	{4}		Artifact,Creature	Bird	Flying|Clockwork Condor enters the battlefield with three +1/+1 counters on it.|Whenever Clockwork Condor attacks or blocks, remove a +1/+1 counter from it at end of combat.	0	0
