Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Albino Troll	{1}{G}		Creature	Troll	Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)|{1}{G}: Regenerate Albino Troll.	3	3
Bad Moon	{1}{B}		Enchantment		Black creatures get +1/+1.		
Basking Rootwalla	{G}		Creature	Lizard	{1}{G}: Basking Rootwalla gets +2/+2 until end of turn. Activate this ability only once each turn.|Madness {0} (If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)	1	1
Beast			Creature	Beast		4	4
Beast Attack	{2}{G}{G}{G}		Instant		Put a 4/4 green Beast creature token onto the battlefield.|Flashback {2}{G}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Blastoderm	{2}{G}{G}		Creature	Beast	Shroud (This permanent can't be the target of spells or abilities.)|Fading 3 (This creature enters the battlefield with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)	5	5
Corrupt	{5}{B}		Sorcery		Corrupt deals damage equal to the number of Swamps you control to target creature or player. You gain life equal to the damage dealt this way.		
Deathgreeter	{B}		Creature	Human,Shaman	Whenever another creature dies, you may gain 1 life.	1	1
Drudge Skeletons	{1}{B}		Creature	Skeleton	{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)	1	1
Elephant			Creature	Elephant		3	3
Elephant Guide	{2}{G}		Enchantment	Aura	Enchant creature|Enchanted creature gets +3/+3.|When enchanted creature dies, put a 3/3 green Elephant creature token onto the battlefield.		
Enslave	{4}{B}{B}		Enchantment	Aura	Enchant creature|You control enchanted creature.|At the beginning of your upkeep, enchanted creature deals 1 damage to its owner.		
Faerie Macabre	{1}{B}{B}		Creature	Faerie,Rogue	Flying|Discard Faerie Macabre: Exile up to two target cards from graveyards.	2	2
Fleshbag Marauder	{2}{B}		Creature	Zombie,Warrior	When Fleshbag Marauder enters the battlefield, each player sacrifices a creature.	3	1
Forest		Basic	Land	Forest	G		
Garruk Wildspeaker	{2}{G}{G}		Planeswalker	Garruk	+1: Untap two target lands.|-1: Put a 3/3 green Beast creature token onto the battlefield.|-4: Creatures you control get +3/+3 and gain trample until end of turn.		
Genju of the Cedars	{G}		Enchantment	Aura	Enchant Forest|{2}: Enchanted Forest becomes a 4/4 green Spirit creature until end of turn. It's still a land.|When enchanted Forest is put into a graveyard, you may return Genju of the Cedars from your graveyard to your hand.		
Genju of the Fens	{B}		Enchantment	Aura	Enchant Swamp|{2}: Until end of turn, enchanted Swamp becomes a 2/2 black Spirit creature with '{B}: This creature gets +1/+1 until end of turn.' It's still a land.|When enchanted Swamp is put into a graveyard, you may return Genju of the Fens from your graveyard to your hand.		
Ghost-Lit Stalker	{B}		Creature	Spirit	{4}{B}, {T}: Target player discards two cards. Activate this ability only any time you could cast a sorcery.|Channel - {5}{B}{B}, Discard Ghost-Lit Stalker: Target player discards four cards. Activate this ability only any time you could cast a sorcery.	1	1
Giant Growth	{G}		Instant		Target creature gets +3/+3 until end of turn.		
Harmonize	{2}{G}{G}		Sorcery		Draw three cards.		
Hideous End	{1}{B}{B}		Instant		Destroy target nonblack creature. Its controller loses 2 life.		
Howling Banshee	{2}{B}{B}		Creature	Spirit	Flying|When Howling Banshee enters the battlefield, each player loses 3 life.	3	3
Ichor Slick	{2}{B}		Sorcery		Target creature gets -3/-3 until end of turn.|Cycling {2} ({2}, Discard this card: Draw a card.)|Madness {3}{B} (If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)		
Indrik Stomphowler	{4}{G}		Creature	Beast	When Indrik Stomphowler enters the battlefield, destroy target artifact or enchantment.	4	4
Invigorate	{2}{G}		Instant		If you control a Forest, rather than pay Invigorate's mana cost, you may have an opponent gain 3 life.|Target creature gets +4/+4 until end of turn.		
Keening Banshee	{2}{B}{B}		Creature	Spirit	Flying|When Keening Banshee enters the battlefield, target creature gets -2/-2 until end of turn.	2	2
Krosan Tusker	{5}{G}{G}		Creature	Boar,Beast	Cycling {2}{G} ({2}{G}, Discard this card: Draw a card.)|When you cycle Krosan Tusker, you may search your library for a basic land card, reveal that card, put it into your hand, then shuffle your library.	6	5
Lignify	{1}{G}		Tribal,Enchantment	Treefolk,Aura	Enchant creature|Enchanted creature is a 0/4 Treefolk with no abilities.		
