Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Barren Moor			Land		Barren Moor enters the battlefield tapped.|{T}: Add {B} to your mana pool.|Cycling {B} ({B}, Discard this card: Draw a card.)		
Boneyard Wurm	{1}{G}		Creature	Wurm	Boneyard Wurm's power and toughness are each equal to the number of creature cards in your graveyard.	*	*
Brain Weevil	{3}{B}		Creature	Insect	Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)|Sacrifice Brain Weevil: Target player discards two cards. Activate this ability only any time you could cast a sorcery.	1	1
Brainstorm	{U}		Instant		Draw three cards, then put two cards from your hand on top of your library in any order.		
Call to Heel	{1}{U}		Instant		Return target creature to its owner's hand. Its controller draws a card.		
Dakmor Salvage			Land		Dakmor Salvage enters the battlefield tapped.|{T}: Add {B} to your mana pool.|Dredge 2 (If you would draw a card, instead you may put exactly two cards from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)		
Life // Death (Death)	{1}{B}		Sorcery		Return target creature card from your graveyard to the battlefield. You lose life equal to its converted mana cost.		
Dissipate	{1}{U}{U}		Instant		Counter target spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.		
Djinn Illuminatus	{5}{U/R}{U/R}		Creature	Djinn	({U/R} can be paid with either {U} or {R}.)|Flying|Each instant and sorcery spell you cast has replicate. The replicate cost is equal to its mana cost. (When you cast it, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)	3	5
Doomgape	{4}{B/G}{B/G}{B/G}		Creature	Elemental	Trample|At the beginning of your upkeep, sacrifice a creature. You gain life equal to that creature's toughness.	10	10
Dreg Mangler	{1}{B}{G}		Creature	Plant,Zombie	Haste|Scavenge {3}{B}{G} ({3}{B}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)	3	3
Elves of Deep Shadow	{G}		Creature	Elf,Druid	{T}: Add {B} to your mana pool. Elves of Deep Shadow deals 1 damage to you.	1	1
Eternal Witness	{1}{G}{G}		Creature	Human,Shaman	When Eternal Witness enters the battlefield, you may return target card from your graveyard to your hand.	2	1
Feast or Famine	{3}{B}		Instant		Choose one - Put a 2/2 black Zombie creature token onto the battlefield; or destroy target nonartifact, nonblack creature and it can't be regenerated.		
Fire // Ice (Fire)	{1}{R}		Instant		Fire deals 2 damage divided as you choose among one or two target creatures and/or players.|		
Force Spike	{U}		Instant		Counter target spell unless its controller pays {1}.		
Forest		Basic	Land	Forest	G		
Forgotten Cave			Land		Forgotten Cave enters the battlefield tapped.|{T}: Add {R} to your mana pool.|Cycling {R} ({R}, Discard this card: Draw a card.)		
Galvanoth	{3}{R}{R}		Creature	Beast	At the beginning of your upkeep, you may look at the top card of your library. If it's an instant or sorcery card, you may cast it without paying its mana cost.	3	3
Gelectrode	{1}{U}{R}		Creature	Weird	{T}: Gelectrode deals 1 damage to target creature or player.|Whenever you cast an instant or sorcery spell, you may untap Gelectrode.	0	1
