Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Æthersnipe	{5}{U}		Creature	Elemental	When Æthersnipe enters the battlefield, return target nonland permanent to its owner's hand.|Evoke {1}{U}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)	4	4
Air Elemental	{3}{U}{U}		Creature	Elemental	Flying	4	4
Ancestral Vision			Sorcery		Suspend 4-{U} (Rather than cast this card from your hand, pay {U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)|Target player draws three cards.		
Bottle Gnomes	{3}		Artifact,Creature	Gnome	Sacrifice Bottle Gnomes: You gain 3 life.	1	3
Brine Elemental	{4}{U}{U}		Creature	Elemental	Morph {5}{U}{U} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|When Brine Elemental is turned face up, each opponent skips his or her next untap step.	5	4
Chandra Nalaar	{3}{R}{R}		Planeswalker	Chandra	+1: Chandra Nalaar deals 1 damage to target player.|-X: Chandra Nalaar deals X damage to target creature.|-8: Chandra Nalaar deals 10 damage to target player and each creature he or she controls.		
Chartooth Cougar	{5}{R}		Creature	Cat,Beast	{R}: Chartooth Cougar gets +1/+0 until end of turn.|Mountaincycling {2} ({2}, Discard this card: Search your library for a Mountain card, reveal it, and put it into your hand. Then shuffle your library.)	4	4
Condescend	{X}{U}		Instant		Counter target spell unless its controller pays {X}.|Scry 2. (To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)		
Cone of Flame	{3}{R}{R}		Sorcery		Cone of Flame deals 1 damage to target creature or player, 2 damage to another target creature or player, and 3 damage to a third target creature or player.		
Counterspell	{U}{U}		Instant		Counter target spell.		
Daze	{1}{U}		Instant		You may return an Island you control to its owner's hand rather than pay Daze's mana cost.||Counter target spell unless its controller pays {1}.		
Demonfire	{X}{R}		Sorcery		Demonfire deals X damage to target creature or player. If a creature dealt damage this way would die this turn, exile it instead.|Hellbent - If you have no cards in hand, Demonfire can't be countered by spells or abilities and the damage can't be prevented.		
Elemental Shaman			Creature	Elemental,Shaman		3	1
Errant Ephemeron	{6}{U}		Creature	Illusion	Flying|Suspend 4-{1}{U} (Rather than cast this card from your hand, you may pay {1}{U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)	4	4
Fact or Fiction	{3}{U}		Instant		Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.		
Fathom Seer	{1}{U}		Creature	Illusion	Morph-Return two Islands you control to their owner's hand. (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|When Fathom Seer is turned face up, draw two cards.	1	3
Fireball	{X}{R}		Sorcery		Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.|Fireball costs {1} more to cast for each target beyond the first.		
Fireblast	{4}{R}{R}		Instant		You may sacrifice two Mountains rather than pay Fireblast's mana cost.|Fireblast deals 4 damage to target creature or player.		
Firebolt	{R}		Sorcery		Firebolt deals 2 damage to target creature or player.|Flashback {4}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Fireslinger	{1}{R}		Creature	Human,Wizard	{T}: Fireslinger deals 1 damage to target creature or player and 1 damage to you.	1	1
Flame Javelin			Instant		( can be paid with any two mana or with {R}. This card's converted mana cost is 6.)|Flame Javelin deals 4 damage to target creature or player.		
Flamekin Brawler	{R}		Creature	Elemental,Warrior	{R}: Flamekin Brawler gets +1/+0 until end of turn.	0	2
Flametongue Kavu	{3}{R}		Creature	Kavu	When Flametongue Kavu enters the battlefield, it deals 4 damage to target creature.	4	2
Flamewave Invoker	{2}{R}		Creature	Goblin,Mutant	{7}{R}: Flamewave Invoker deals 5 damage to target player.	2	2
Fledgling Mawcor	{3}{U}		Creature	Beast	Flying|{T}: Fledgling Mawcor deals 1 damage to target creature or player.|Morph {U}{U} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	2	2
Furnace Whelp	{2}{R}{R}		Creature	Dragon	Flying|{R}: Furnace Whelp gets +1/+0 until end of turn.	2	2
