Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Acidic Slime	{3}{G}{G}	None	Creature	Ooze	Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)|When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.	2	2
Aeon Chronicler	{3}{U}{U}	None	Creature	Avatar	Aeon Chronicler's power and toughness are each equal to the number of cards in your hand.|Suspend X-{X}{3}{U}. X can't be 0. (Rather than cast this card from your hand, you may pay {X}{3}{U} and exile it with X time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)|Whenever a time counter is removed from Aeon Chronicler while it's exiled, draw a card.	*	*
Æther Adept	{1}{U}{U}	None	Creature	Human,Wizard	When Æther Adept enters the battlefield, return target creature to its owner's hand.	2	2
Æther Figment	{1}{U}	None	Creature	Illusion	Kicker {3} (You may pay an additional {3} as you cast this spell.)|Æther Figment can't be blocked.|If Æther Figment was kicked, it enters the battlefield with two +1/+1 counters on it.	1	1
Agoraphobia	{1}{U}	None	Enchantment	Aura	Enchant creature|Enchanted creature gets -5/-0.|{2}{U}: Return Agoraphobia to its owner's hand.		
Archaeomancer	{2}{U}{U}	None	Creature	Human,Wizard	When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.	1	2
Body Double	{4}{U}	None	Creature	Shapeshifter	You may have Body Double enter the battlefield as a copy of any creature card in a graveyard.	0	0
Chronomaton	{1}	None	Artifact,Creature	Golem	{1}, {T}: Put a +1/+1 counter on Chronomaton.	1	1
Claustrophobia	{1}{U}{U}	None	Enchantment	Aura	Enchant creature|When Claustrophobia enters the battlefield, tap enchanted creature.|Enchanted creature doesn't untap during its controller's untap step.		
Consume Strength	{1}{B}{G}	None	Instant	None	Target creature gets +2/+2 until end of turn. Another target creature gets -2/-2 until end of turn.		
Control Magic	{2}{U}{U}	None	Enchantment	Aura	Enchant creature|You control enchanted creature.		
Corpse Traders	{3}{B}	None	Creature	Human,Rogue	{2}{B}, Sacrifice a creature: Target opponent reveals his or her hand. You choose a card from it. That player discards that card. Activate this ability only any time you could cast a sorcery.	3	3
Crosstown Courier	{1}{U}	None	Creature	Vedalken	Whenever Crosstown Courier deals combat damage to a player, that player puts that many cards from the top of his or her library into his or her graveyard.	2	1
