Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Alaborn Cavalier	{2}{W}{W}		Creature	Human,Knight	Whenever Alaborn Cavalier attacks, you may tap target creature.	2	2
Armillary Sphere	{2}		Artifact		{2}, {T}, Sacrifice Armillary Sphere: Search your library for up to two basic land cards, reveal them, and put them into your hand. Then shuffle your library.		
Benalish Lancer	{2}{W}		Creature	Human,Knight	Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)|If Benalish Lancer was kicked, it enters the battlefield with two +1/+1 counters on it and with first strike.	2	2
Bloodmark Mentor	{1}{R}		Creature	Goblin,Warrior	Red creatures you control have first strike.	1	1
Bogardan Hellkite	{6}{R}{R}		Creature	Dragon	Flash (You may cast this spell any time you could cast an instant.)|Flying|When Bogardan Hellkite enters the battlefield, it deals 5 damage divided as you choose among any number of target creatures and/or players.	5	5
Bogardan Rager	{5}{R}		Creature	Elemental	Flash (You may cast this spell any time you could cast an instant.)|When Bogardan Rager enters the battlefield, target creature gets +4/+0 until end of turn.	3	4
Breath of Darigaaz	{1}{R}		Sorcery		Kicker {2} (You may pay an additional {2} as you cast this spell.)|Breath of Darigaaz deals 1 damage to each creature without flying and each player. If Breath of Darigaaz was kicked, it deals 4 damage to each creature without flying and each player instead.		
Captive Flame	{2}{R}		Enchantment		{R}: Target creature gets +1/+0 until end of turn.		
Caravan Escort	{W}		Creature	Human,Knight	Level up {2} ({2}: Put a level counter on this. Level up only as a sorcery.)|LEVEL 1-4|2/2||LEVEL 5+|5/5|First strike	1	1
Cinder Wall	{R}		Creature	Wall	Defender (This creature can't attack.)|When Cinder Wall blocks, destroy it at end of combat.	3	3
Claws of Valakut	{1}{R}{R}		Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+0 for each Mountain you control and has first strike.		
Cone of Flame	{3}{R}{R}		Sorcery		Cone of Flame deals 1 damage to target creature or player, 2 damage to another target creature or player, and 3 damage to a third target creature or player.		
Dragon Fodder	{1}{R}		Sorcery		Put two 1/1 red Goblin creature tokens onto the battlefield.		
Dragon Whelp	{2}{R}{R}		Creature	Dragon	Flying|{R}: Dragon Whelp gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Dragon Whelp at the beginning of the next end step.	2	3
Dragon's Claw	{2}		Artifact		Whenever a player casts a red spell, you may gain 1 life.		
Dragonspeaker Shaman	{1}{R}{R}		Creature	Human,Barbarian,Shaman	Dragon spells you cast cost {2} less to cast.	2	2
