Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abundance	{2}{G}{G}	None	Enchantment	None	If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.		
Altar's Reap	{1}{B}	None	Instant	None	As an additional cost to cast Altar's Reap, sacrifice a creature.|Draw two cards.		
Ambition's Cost	{3}{B}	None	Sorcery	None	You draw three cards and you lose 3 life.		
Bala Ged Scorpion	{3}{B}	None	Creature	Scorpion	When Bala Ged Scorpion enters the battlefield, you may destroy target creature with power 1 or less.	2	3
Blistergrub	{2}{B}	None	Creature	Horror	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)|When Blistergrub dies, each opponent loses 2 life.	2	2
Briarhorn	{3}{G}	None	Creature	Elemental	Flash|When Briarhorn enters the battlefield, target creature gets +3/+3 until end of turn.|Evoke {1}{G} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)	3	3
Cadaver Imp	{1}{B}{B}	None	Creature	Imp	Flying|When Cadaver Imp enters the battlefield, you may return target creature card from your graveyard to your hand.	1	1
Carrier Thrall	{1}{B}	None	Creature	Vampire	When Carrier Thrall dies, create a 1/1 colorless Eldrazi Scion creature token. It has 'Sacrifice this creature: Add  to your mana pool.'	2	1
Citanul Woodreaders	{2}{G}	None	Creature	Human,Druid	Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.)|When Citanul Woodreaders enters the battlefield, if it was kicked, draw two cards.	1	4
Civic Wayfinder	{2}{G}	None	Creature	Elf,Warrior,Druid	When Civic Wayfinder enters the battlefield, you may search your library for a basic land card, reveal it, and put it into your hand. If you do, shuffle your library.	2	2
Cloudthresher	{2}{G}{G}{G}{G}	None	Creature	Elemental	Flash|Reach|When Cloudthresher enters the battlefield, it deals 2 damage to each creature with flying and each player.|Evoke {2}{G}{G} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)	7	7
Crop Rotation	{G}	None	Instant	None	As an additional cost to cast Crop Rotation, sacrifice a land.|Search your library for a land card and put that card onto the battlefield. Then shuffle your library.		
Demon		None	Creature	Demon	Flying	*	*
Demon's Grasp	{4}{B}	None	Sorcery	None	Target creature gets -5/-5 until end of turn.		
Desecration Demon	{2}{B}{B}	None	Creature	Demon	Flying|At the beginning of each combat, any opponent may sacrifice a creature. If a player does, tap Desecration Demon and put a +1/+1 counter on it.	6	6
Despoiler of Souls	{B}{B}	None	Creature	Horror	Despoiler of Souls can't block.|{B}{B}, Exile two other creature cards from your graveyard: Return Despoiler of Souls from your graveyard to the battlefield.	3	1
Disfigure	{B}	None	Instant	None	Target creature gets -2/-2 until end of turn.		
Doom Blade	{1}{B}	None	Instant	None	Destroy target nonblack creature.		
Eldrazi Scion		None	Token,Creature	-,Eldrazi,Scion	Sacrifice this creature: Add  to your mana pool.	1	1
Elemental		None	Creature	Elemental	Trample	7	7
Elvish Visionary	{1}{G}	None	Creature	Elf,Shaman	When Elvish Visionary enters the battlefield, draw a card.	1	1
Fertile Thicket		None	Land	None	Fertile Thicket enters the battlefield tapped.|When Fertile Thicket enters the battlefield, you may look at the top five cards of your library. If you do, reveal up to one basic land card from among them, then put that card on top of your library and the rest on the bottom in any order.|{T}: Add {G} to your mana pool.		
Fertilid	{2}{G}	None	Creature	Elemental	Fertilid enters the battlefield with two +1/+1 counters on it.|{1}{G}, Remove a +1/+1 counter from Fertilid: Target player searches his or her library for a basic land card and puts it onto the battlefield tapped. Then that player shuffles his or her library.	0	0
Fetid Imp	{1}{B}	None	Creature	Imp	Flying (This creature can't be blocked except by creatures with flying or reach.)|{B}: Fetid Imp gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.)	1	2
Forest		Basic	Land	Forest	G		
Foul Imp	{B}{B}	None	Creature	Imp	Flying|When Foul Imp enters the battlefield, you lose 2 life.	2	2
Gaea's Blessing	{1}{G}	None	Sorcery	None	Target player shuffles up to three target cards from his or her graveyard into his or her library.|Draw a card.|When Gaea's Blessing is put into your graveyard from your library, shuffle your graveyard into your library.		
Giant Scorpion	{2}{B}	None	Creature	Scorpion	Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)	1	3
Gilt-Leaf Seer	{2}{G}	None	Creature	Elf,Shaman	{G}, {T}: Look at the top two cards of your library, then put them back in any order.	2	2
Grim Discovery	{1}{B}	None	Sorcery	None	Choose one or both -|• Return target creature card from your graveyard to your hand.|• Return target land card from your graveyard to your hand.		
Hideous End	{1}{B}{B}	None	Instant	None	Destroy target nonblack creature. Its controller loses 2 life.		
Indulgent Tormentor	{3}{B}{B}	None	Creature	Demon	Flying|At the beginning of your upkeep, draw a card unless target opponent sacrifices a creature or pays 3 life.	5	3
Innocent Blood	{B}	None	Sorcery	None	Each player sacrifices a creature.		
Jaddi Lifestrider	{4}{G}	None	Creature	Elemental	When Jaddi Lifestrider enters the battlefield, you may tap any number of untapped creatures you control. You gain 2 life for each creature tapped this way.	2	8
Khalni Garden		None	Land	None	Khalni Garden enters the battlefield tapped.|When Khalni Garden enters the battlefield, create a 0/1 green Plant creature token.|{T}: Add {G} to your mana pool.		
Leechridden Swamp		None	Land	Swamp	({T}: Add {B} to your mana pool.)|Leechridden Swamp enters the battlefield tapped.|{B}, {T}: Each opponent loses 1 life. Activate this ability only if you control two or more black permanents.		
Mire's Toll	{B}	None	Sorcery	None	Target player reveals a number of cards from his or her hand equal to the number of Swamps you control. You choose one of them. That player discards that card.		
Mosswort Bridge		None	Land	None	Hideaway (This land enters the battlefield tapped. When it does, look at the top four cards of your library, exile one face down, then put the rest on the bottom of your library.)|{T}: Add {G} to your mana pool.|{G}, {T}: You may play the exiled card without paying its mana cost if creatures you control have total power 10 or greater.		
Natural Connection	{2}{G}	None	Instant	None	Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.		
Nissa, Voice of Zendikar	{1}{G}{G}	None	Planeswalker	Nissa	+1: Create a 0/1 green Plant creature token.|−2: Put a +1/+1 counter on each creature you control.|−7: You gain X life and draw X cards, where X is the number of lands you control.		
