Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Allied Strategies	{4}{U}		Sorcery		Domain - Target player draws a card for each basic land type among lands he or she controls.		
Armadillo Cloak	{1}{G}{W}		Enchantment	Aura	Enchant creature|Enchanted creature gets +2/+2 and has trample.|Whenever enchanted creature deals damage, you gain that much life.		
Bone Shredder	{2}{B}		Creature	Minion	Flying|Echo {2}{B} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)|When Bone Shredder enters the battlefield, destroy target nonartifact, nonblack creature.	1	1
Carrion Feeder	{B}		Creature	Zombie	Carrion Feeder can't block.|Sacrifice a creature: Put a +1/+1 counter on Carrion Feeder.	1	1
Charging Troll	{2}{G}{W}		Creature	Troll	Vigilance|{G}: Regenerate Charging Troll.	3	3
Coalition Relic	{3}		Artifact		{T}: Add one mana of any color to your mana pool.|{T}: Put a charge counter on Coalition Relic.|At the beginning of your precombat main phase, remove all charge counters from Coalition Relic. Add one mana of any color to your mana pool for each charge counter removed this way.		
Darigaaz, the Igniter	{3}{B}{R}{G}	Legendary	Creature	Dragon	Flying|Whenever Darigaaz, the Igniter deals combat damage to a player, you may pay {2}{R}. If you do, choose a color, then that player reveals his or her hand and Darigaaz deals damage to the player equal to the number of cards of that color revealed this way.	6	6
Darigaaz's Charm	{B}{R}{G}		Instant		Choose one - Return target creature card from your graveyard to your hand; or Darigaaz's Charm deals 3 damage to target creature or player; or target creature gets +3/+3 until end of turn.		
Dark Ritual	{B}		Instant		Add {B}{B}{B} to your mana pool.		
Elfhame Palace			Land		Elfhame Palace enters the battlefield tapped.|{T}: Add {G} or {W} to your mana pool.		
Evasive Action	{1}{U}		Instant		Domain - Counter target spell unless its controller pays {1} for each basic land type among lands you control.		
Exotic Curse	{2}{B}		Enchantment	Aura	Enchant creature|Domain - Enchanted creature gets -1/-1 for each basic land type among lands you control.		
Fertile Ground	{1}{G}		Enchantment	Aura	Enchant land|Whenever enchanted land is tapped for mana, its controller adds one mana of any color to his or her mana pool (in addition to the mana the land produces).		
Forest		Basic	Land	Forest	G		
Gerrard Capashen	{3}{W}{W}	Legendary	Creature	Human,Soldier	At the beginning of your upkeep, you gain 1 life for each card in target opponent's hand.|{3}{W}: Tap target creature. Activate this ability only if Gerrard Capashen is attacking.	3	4
Gerrard's Command	{G}{W}		Instant		Untap target creature. It gets +3/+3 until end of turn.		
Harrow	{2}{G}		Instant		As an additional cost to cast Harrow, sacrifice a land.|Search your library for up to two basic land cards and put them onto the battlefield. Then shuffle your library.		
Hideous End	{1}{B}{B}		Instant		Destroy target nonblack creature. Its controller loses 2 life.		
Hornet			Artifact,Creature	Insect	Flying, haste	1	1
Hornet Cannon	{4}		Artifact		{3}, {T}: Put a 1/1 colorless Insect artifact creature token with flying and haste named Hornet onto the battlefield. Destroy it at the beginning of the next end step.		
Island		Basic	Land	Island	U		
Lightning Greaves	{2}		Artifact	Equipment	Equipped creature has haste and shroud. (It can't be the target of spells or abilities.)|Equip {0}		
Living Death	{3}{B}{B}		Sorcery		Each player exiles all creature cards from his or her graveyard, then sacrifices all creatures he or she controls, then puts all cards he or she exiled this way onto the battlefield.		
Minion			Creature	Minion		*	*
Mountain		Basic	Land	Mountain	R		
Narrow Escape	{2}{W}		Instant		Return target permanent you control to its owner's hand. You gain 4 life.		
Nomadic Elf	{1}{G}		Creature	Elf,Nomad	{1}{G}: Add one mana of any color to your mana pool.	2	2
Order of Yawgmoth	{2}{B}{B}		Creature	Zombie,Knight	Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)|Whenever Order of Yawgmoth deals damage to a player, that player discards a card.	2	2
Phyrexian Arena	{1}{B}{B}		Enchantment		At the beginning of your upkeep, you draw a card and you lose 1 life.		
Phyrexian Battleflies	{B}		Creature	Insect	Flying|{B}: Phyrexian Battleflies gets +1/+0 until end of turn. Activate this ability no more than twice each turn.	0	1
Phyrexian Broodlings	{1}{B}{B}		Creature	Minion	{1}, Sacrifice a creature: Put a +1/+1 counter on Phyrexian Broodlings.	2	2
Phyrexian Colossus	{7}		Artifact,Creature	Golem	Phyrexian Colossus doesn't untap during your untap step.|Pay 8 life: Untap Phyrexian Colossus.|Phyrexian Colossus can't be blocked except by three or more creatures.	8	8
Phyrexian Debaser	{3}{B}		Creature	Carrier	Flying||{T}, Sacrifice Phyrexian Debaser: Target creature gets -2/-2 until end of turn.	2	2
Phyrexian Defiler	{2}{B}{B}		Creature	Carrier	{T}, Sacrifice Phyrexian Defiler: Target creature gets -3/-3 until end of turn.	3	3
Phyrexian Denouncer	{1}{B}		Creature	Carrier	{T}, Sacrifice Phyrexian Denouncer: Target creature gets -1/-1 until end of turn.	1	1
Phyrexian Gargantua	{4}{B}{B}		Creature	Horror	When Phyrexian Gargantua enters the battlefield, you draw two cards and you lose 2 life.	4	4
Phyrexian Ghoul	{2}{B}		Creature	Zombie	Sacrifice a creature: Phyrexian Ghoul gets +2/+2 until end of turn.	2	2
Phyrexian Hulk	{6}		Artifact,Creature	Golem		5	4
Phyrexian Negator	{2}{B}		Creature	Horror	Trample|Whenever Phyrexian Negator is dealt damage, sacrifice that many permanents.	5	5
Phyrexian Plaguelord	{3}{B}{B}		Creature	Carrier	{T}, Sacrifice Phyrexian Plaguelord: Target creature gets -4/-4 until end of turn.|Sacrifice a creature: Target creature gets -1/-1 until end of turn.	4	4
Phyrexian Processor	{4}		Artifact		As Phyrexian Processor enters the battlefield, pay any amount of life.|{4}, {T}: Put an X/X black Minion creature token onto the battlefield, where X is the life paid as Phyrexian Processor entered the battlefield.		
Phyrexian Totem	{3}		Artifact		{T}: Add {B} to your mana pool.|{2}{B}: Phyrexian Totem becomes a 5/5 black Horror artifact creature with trample until end of turn.|Whenever Phyrexian Totem is dealt damage, if it's a creature, sacrifice that many permanents.		
Phyrexian Vault	{3}		Artifact		{2}, {T}, Sacrifice a creature: Draw a card.		
Plains		Basic	Land	Plains	W		
Power Armor	{4}		Artifact		Domain - {3}, {T}: Target creature gets +1/+1 until end of turn for each basic land type among lands you control.		
Priest of Gix	{2}{B}		Creature	Human,Cleric,Minion	When Priest of Gix enters the battlefield, add {B}{B}{B} to your mana pool.	2	1
Puppet Strings	{3}		Artifact		{2}, {T}: You may tap or untap target creature.		
Quirion Elves	{1}{G}		Creature	Elf,Druid	As Quirion Elves enters the battlefield, choose a color.|{T}: Add {G} to your mana pool.|{T}: Add one mana of the chosen color to your mana pool.	1	1
Rith, the Awakener	{3}{R}{G}{W}	Legendary	Creature	Dragon	Flying|Whenever Rith, the Awakener deals combat damage to a player, you may pay {2}{G}. If you do, choose a color, then put a 1/1 green Saproling creature token onto the battlefield for each permanent of that color.	6	6
Rith's Charm	{R}{G}{W}		Instant		Choose one - Destroy target nonbasic land; or put three 1/1 green Saproling creature tokens onto the battlefield; or prevent all damage a source of your choice would deal this turn.		
Sanguine Guard	{1}{B}{B}		Creature	Zombie,Knight	First strike|{1}{B}: Regenerate Sanguine Guard.	2	2
Saproling			Creature	Saproling		1	1
Shivan Oasis			Land		Shivan Oasis enters the battlefield tapped.|{T}: Add {R} or {G} to your mana pool.		
Slay	{2}{B}		Instant		Destroy target green creature. It can't be regenerated.|Draw a card.		
Sunscape Battlemage	{2}{W}		Creature	Human,Wizard	Kicker {1}{G} and/or {2}{U} (You may pay an additional {1}{G} and/or {2}{U} as you cast this spell.)|When Sunscape Battlemage enters the battlefield, if it was kicked with its {1}{G} kicker, destroy target creature with flying.|When Sunscape Battlemage enters the battlefield, if it was kicked with its {2}{U} kicker, draw two cards.	2	2
Swamp		Basic	Land	Swamp	B		
Tendrils of Corruption	{3}{B}		Instant		Tendrils of Corruption deals X damage to target creature and you gain X life, where X is the number of Swamps you control.		
Terramorphic Expanse			Land		{T}, Sacrifice Terramorphic Expanse: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.		
Thornscape Apprentice	{G}		Creature	Human,Wizard	{R}, {T}: Target creature gains first strike until end of turn.|{W}, {T}: Tap target creature.	1	1
Thornscape Battlemage	{2}{G}		Creature	Elf,Wizard	Kicker {R} and/or {W} (You may pay an additional {R} and/or {W} as you cast this spell.)|When Thornscape Battlemage enters the battlefield, if it was kicked with its {R} kicker, it deals 2 damage to target creature or player.|When Thornscape Battlemage enters the battlefield, if it was kicked with its {W} kicker, destroy target artifact.	2	2
Thunderscape Battlemage	{2}{R}		Creature	Human,Wizard	Kicker {1}{B} and/or {G} (You may pay an additional {1}{B} and/or {G} as you cast this spell.)|When Thunderscape Battlemage enters the battlefield, if it was kicked with its {1}{B} kicker, target player discards two cards.|When Thunderscape Battlemage enters the battlefield, if it was kicked with its {G} kicker, destroy target enchantment.	2	2
Treva, the Renewer	{3}{G}{W}{U}	Legendary	Creature	Dragon	Flying|Whenever Treva, the Renewer deals combat damage to a player, you may pay {2}{W}. If you do, choose a color, then you gain 1 life for each permanent of that color.	6	6
Treva's Charm	{G}{W}{U}		Instant		Choose one - Destroy target enchantment; or exile target attacking creature; or draw a card, then discard a card.		
Tribal Flames	{1}{R}		Sorcery		Domain - Tribal Flames deals X damage to target creature or player, where X is the number of basic land types among lands you control.		
Urza's Rage	{2}{R}		Instant		Kicker {8}{R} (You may pay an additional {8}{R} as you cast this spell.)|Urza's Rage can't be countered by spells or abilities.|Urza's Rage deals 3 damage to target creature or player. If Urza's Rage was kicked, instead it deals 10 damage to that creature or player and the damage can't be prevented.		
Verduran Emissary	{2}{G}		Creature	Human,Wizard	Kicker {1}{R} (You may pay an additional {1}{R} as you cast this spell.)|When Verduran Emissary enters the battlefield, if it was kicked, destroy target artifact. It can't be regenerated.	2	3
Voltaic Key	{1}		Artifact		{1}, {T}: Untap target artifact.		
Whispersilk Cloak	{3}		Artifact	Equipment	Equipped creature can't be blocked and has shroud.|Equip {2}		
