Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Absorb Vis	{6}{B}		Sorcery		Target player loses 4 life and you gain 4 life.|Basic landcycling {1}{B} ({1}{B}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)		
Akoum Refuge			Land		Akoum Refuge enters the battlefield tapped.|When Akoum Refuge enters the battlefield, you gain 1 life.|{T}: Add {B} or {R} to your mana pool.		
Ancient Craving	{3}{B}		Sorcery		You draw three cards and you lose 3 life.		
Ashmouth Hound	{1}{R}		Creature	Elemental,Hound	Whenever Ashmouth Hound blocks or becomes blocked by a creature, Ashmouth Hound deals 1 damage to that creature.	2	1
Blazing Salvo	{R}		Instant		Blazing Salvo deals 3 damage to target creature unless that creature's controller has Blazing Salvo deal 5 damage to him or her.		
Blightning	{1}{B}{R}		Sorcery		Blightning deals 3 damage to target player. That player discards two cards.		
Bloodrage Vampire	{2}{B}		Creature	Vampire	Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)	3	1
Breaking Point	{1}{R}{R}		Sorcery		Any player may have Breaking Point deal 6 damage to him or her. If no one does, destroy all creatures. Creatures destroyed this way can't be regenerated.		
Browbeat	{2}{R}		Sorcery		Any player may have Browbeat deal 5 damage to him or her. If no one does, target player draws three cards.		
Bump in the Night	{B}		Sorcery		Target opponent loses 3 life.|Flashback {5}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Butcher of Malakir	{5}{B}{B}		Creature	Vampire,Warrior	Flying|Whenever Butcher of Malakir or another creature you control dies, each opponent sacrifices a creature.	5	4
Child of Night	{1}{B}		Creature	Vampire	Lifelink (Damage dealt by this creature also causes you to gain that much life.)	2	1
Coal Stoker	{3}{R}		Creature	Elemental	When Coal Stoker enters the battlefield, if you cast it from your hand, add {R}{R}{R} to your mana pool.	3	3
