Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Act of Treason	{2}{R}	None	Sorcery	None	Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.)		
Aquamorph Entity	{2}{U}{U}	None	Creature	Shapeshifter	As Aquamorph Entity enters the battlefield or is turned face up, it becomes your choice of 5/1 or 1/5.|Morph {2}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	*	*
Arc Trail	{1}{R}	None	Sorcery	None	Arc Trail deals 2 damage to target creature or player and 1 damage to another target creature or player.		
Arcanis the Omnipotent	{3}{U}{U}{U}	Legendary	Creature	Wizard	{T}: Draw three cards.|{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.	3	4
Arrow Volley Trap	{3}{W}{W}	None	Instant	Trap	If four or more creatures are attacking, you may pay {1}{W} rather than pay Arrow Volley Trap's mana cost.|Arrow Volley Trap deals 5 damage divided as you choose among any number of target attacking creatures.		
Banefire	{X}{R}	None	Sorcery	None	Banefire deals X damage to target creature or player.|If X is 5 or more, Banefire can't be countered by spells or abilities and the damage can't be prevented.		
Beetleback Chief	{2}{R}{R}	None	Creature	Goblin,Warrior	When Beetleback Chief enters the battlefield, put two 1/1 red Goblin creature tokens onto the battlefield.	2	2
Bone Splinters	{B}	None	Sorcery	None	As an additional cost to cast Bone Splinters, sacrifice a creature.|Destroy target creature.		
Coral Trickster	{1}{U}	None	Creature	Merfolk,Rogue	Morph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|When Coral Trickster is turned face up, you may tap or untap target permanent.	2	1
Dauntless Onslaught	{2}{W}	None	Instant	None	Up to two target creatures each get +2/+2 until end of turn.		
Dregscape Zombie	{1}{B}	None	Creature	Zombie	Unearth {B} ({B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)	2	1
Echo Tracer	{2}{U}	None	Creature	Human,Wizard	Morph {2}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)|When Echo Tracer is turned face up, return target creature to its owner's hand.	2	2
Evolving Wilds		None	Land	None	{T}, Sacrifice Evolving Wilds: Search your library for a basic land card and put it onto the battlefield tapped. Then shuffle your library.		
Faerie Impostor	{U}	None	Creature	Faerie,Rogue	Flying|When Faerie Impostor enters the battlefield, sacrifice it unless you return another creature you control to its owner's hand.	2	1
