Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Æther Membrane	{1}{R}{R}		Creature	Wall	Defender; reach (This creature can block creatures with flying.)|Whenever Æther Membrane blocks a creature, return that creature to its owner's hand at end of combat.	0	5
Angelic Shield	{W}{U}		Enchantment		Creatures you control get +0/+1.|Sacrifice Angelic Shield: Return target creature to its owner's hand.		
Anger	{3}{R}		Creature	Incarnation	Haste|As long as Anger is in your graveyard and you control a Mountain, creatures you control have haste.	2	2
Armillary Sphere	{2}		Artifact		{2}, {T}, Sacrifice Armillary Sphere: Search your library for up to two basic land cards, reveal them, and put them into your hand. Then shuffle your library.		
Augury Owl	{1}{U}		Creature	Bird	Flying|When Augury Owl enters the battlefield, scry 3. (To scry 3, look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)	1	1
Azorius Chancery			Land		Azorius Chancery enters the battlefield tapped.|When Azorius Chancery enters the battlefield, return a land you control to its owner's hand.|{T}: Add {W}{U} to your mana pool.		
Bloodfire Colossus	{6}{R}{R}		Creature	Giant	{R}, Sacrifice Bloodfire Colossus: Bloodfire Colossus deals 6 damage to each creature and each player.	6	6
Bloodfire Kavu	{2}{R}{R}		Creature	Kavu	{R}, Sacrifice Bloodfire Kavu: Bloodfire Kavu deals 2 damage to each creature.	2	2
Cache Raiders	{3}{U}{U}		Creature	Merfolk,Rogue	At the beginning of your upkeep, return a permanent you control to its owner's hand.	4	4
Chartooth Cougar	{5}{R}		Creature	Cat,Beast	{R}: Chartooth Cougar gets +1/+0 until end of turn.|Mountaincycling {2} ({2}, Discard this card: Search your library for a Mountain card, reveal it, and put it into your hand. Then shuffle your library.)	4	4
Clone	{3}{U}		Creature	Shapeshifter	You may have Clone enter the battlefield as a copy of any creature on the battlefield.	0	0
Coral Fighters	{1}{U}		Creature	Merfolk,Soldier	Whenever Coral Fighters attacks and isn't blocked, look at the top card of defending player's library. You may put that card on the bottom of that player's library.	1	1
Cosi's Ravager	{3}{R}		Creature	Elemental	Landfall - Whenever a land enters the battlefield under your control, you may have Cosi's Ravager deal 1 damage to target player.	2	2
Cryptic Annelid	{3}{U}		Creature	Worm,Beast	When Cryptic Annelid enters the battlefield, scry 1, then scry 2, then scry 3. (To scry X, look at the top X cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)	1	4
Downhill Charge	{2}{R}		Instant		You may sacrifice a Mountain rather than pay Downhill Charge's mana cost.||Target creature gets +X/+0 until end of turn, where X is the number of Mountains you control.		
Earth Servant	{5}{R}		Creature	Elemental	Earth Servant gets +0/+1 for each Mountain you control.	4	4
Fiery Hellhound	{1}{R}{R}		Creature	Elemental,Hound	{R}: Fiery Hellhound gets +1/+0 until end of turn.	2	2
Flood Plain			Land		Flood Plain enters the battlefield tapped.|{T}, Sacrifice Flood Plain: Search your library for a Plains or Island card and put it onto the battlefield. Then shuffle your library.		
Galepowder Mage	{3}{W}		Creature	Kithkin,Wizard	Flying|Whenever Galepowder Mage attacks, exile another target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.	3	3
Geyser Glider	{3}{R}{R}		Creature	Elemental,Beast	Landfall - Whenever a land enters the battlefield under your control, Geyser Glider gains flying until end of turn.	4	4
Greater Stone Spirit	{4}{R}{R}		Creature	Elemental,Spirit	Greater Stone Spirit can't be blocked by creatures with flying.|{2}{R}: Until end of turn, target creature gets +0/+2 and gains '{R}: This creature gets +1/+0 until end of turn.'	4	4
Island		Basic	Land	Island	U		
Jaws of Stone	{5}{R}		Sorcery		Jaws of Stone deals X damage divided as you choose among any number of target creatures and/or players, where X is the number of Mountains you control as you cast Jaws of Stone.		
Jedit's Dragoons	{5}{W}		Creature	Cat,Soldier	Vigilance|When Jedit's Dragoons enters the battlefield, you gain 4 life.	2	5
Journeyer's Kite	{2}		Artifact		{3}, {T}: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.		
Kor Cartographer	{3}{W}		Creature	Kor,Scout	When Kor Cartographer enters the battlefield, you may search your library for a Plains card, put it onto the battlefield tapped, then shuffle your library.	2	2
Koth of the Hammer	{2}{R}{R}		Planeswalker	Koth	+1: Untap target Mountain. It becomes a 4/4 red Elemental creature until end of turn. It's still a land.|-2: Add {R} to your mana pool for each Mountain you control.|-5: You get an emblem with 'Mountains you control have ‘{T}: This land deals 1 damage to target creature or player.''		
Lithophage	{3}{R}{R}		Creature	Insect	At the beginning of your upkeep, sacrifice Lithophage unless you sacrifice a Mountain.	7	7
Minamo Sightbender	{1}{U}		Creature	Human,Wizard	{X}, {T}: Target creature with power X or less can't be blocked this turn.	1	2
Mistmeadow Witch	{1}{W/U}		Creature	Kithkin,Wizard	{2}{W}{U}: Exile target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.	1	1
Mountain		Basic	Land	Mountain	R		
Neurok Invisimancer	{1}{U}{U}		Creature	Human,Wizard	Neurok Invisimancer can't be blocked.|When Neurok Invisimancer enters the battlefield, target creature can't be blocked this turn.	2	1
New Benalia			Land		New Benalia enters the battlefield tapped.|When New Benalia enters the battlefield, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)|{T}: Add {W} to your mana pool.		
Oblivion Ring	{2}{W}		Enchantment		When Oblivion Ring enters the battlefield, exile another target nonland permanent.|When Oblivion Ring leaves the battlefield, return the exiled card to the battlefield under its owner's control.		
Overrule	{X}{W}{U}		Instant		Counter target spell unless its controller pays {X}. You gain X life.		
Path to Exile	{W}		Instant		Exile target creature. Its controller may search his or her library for a basic land card, put that card onto the battlefield tapped, then shuffle his or her library.		
Pilgrim's Eye	{3}		Artifact,Creature	Thopter	Flying|When Pilgrim's Eye enters the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.	1	1
Plains		Basic	Land	Plains	W		
Plated Geopede	{1}{R}		Creature	Insect	First strike|Landfall - Whenever a land enters the battlefield under your control, Plated Geopede gets +2/+2 until end of turn.	1	1
Preordain	{U}		Sorcery		Scry 2, then draw a card. (To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)		
Primal Plasma	{3}{U}		Creature	Elemental,Shapeshifter	As Primal Plasma enters the battlefield, it becomes your choice of a 3/3 creature, a 2/2 creature with flying, or a 1/6 creature with defender.	*	*
Pygmy Pyrosaur	{1}{R}		Creature	Lizard	Pygmy Pyrosaur can't block.||{R}: Pygmy Pyrosaur gets +1/+0 until end of turn.	1	1
Revoke Existence	{1}{W}		Sorcery		Exile target artifact or enchantment.		
Safe Passage	{2}{W}		Instant		Prevent all damage that would be dealt to you and creatures you control this turn.		
Sawtooth Loon	{2}{W}{U}		Creature	Bird	Flying|When Sawtooth Loon enters the battlefield, return a white or blue creature you control to its owner's hand.|When Sawtooth Loon enters the battlefield, draw two cards, then put two cards from your hand on the bottom of your library.	2	2
Scroll Thief	{2}{U}		Creature	Merfolk,Rogue	Whenever Scroll Thief deals combat damage to a player, draw a card.	1	3
Searing Blaze	{R}{R}		Instant		Searing Blaze deals 1 damage to target player and 1 damage to target creature that player controls.|Landfall - If you had a land enter the battlefield under your control this turn, Searing Blaze deals 3 damage to that player and 3 damage to that creature instead.		
Seismic Strike	{2}{R}		Instant		Seismic Strike deals damage to target creature equal to the number of Mountains you control.		
Sejiri Refuge			Land		Sejiri Refuge enters the battlefield tapped.|When Sejiri Refuge enters the battlefield, you gain 1 life.|{T}: Add {W} or {U} to your mana pool.		
Sigil of Sleep	{U}		Enchantment	Aura	Enchant creature|Whenever enchanted creature deals damage to a player, return target creature that player controls to its owner's hand.		
Sky Spirit	{1}{W}{U}		Creature	Spirit	Flying, first strike	2	2
Slith Strider	{1}{U}{U}		Creature	Slith	Whenever Slith Strider becomes blocked, draw a card.|Whenever Slith Strider deals combat damage to a player, put a +1/+1 counter on it.	1	1
Soaring Seacliff			Land		Soaring Seacliff enters the battlefield tapped.|When Soaring Seacliff enters the battlefield, target creature gains flying until end of turn.|{T}: Add {U} to your mana pool.		
Sphinx of Uthuun	{5}{U}{U}		Creature	Sphinx	Flying|When Sphinx of Uthuun enters the battlefield, reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.	5	6
Spire Barrage	{4}{R}		Sorcery		Spire Barrage deals damage to target creature or player equal to the number of Mountains you control.		
Steel of the Godhead	{2}{W/U}		Enchantment	Aura	Enchant creature|As long as enchanted creature is white, it gets +1/+1 and has lifelink. (Damage dealt by the creature also causes its controller to gain that much life.)|As long as enchanted creature is blue, it gets +1/+1 and can't be blocked.		
