Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abyssal Specter	{2}{B}{B}		Creature	Specter	Flying|Whenever Abyssal Specter deals damage to a player, that player discards a card.	2	3
Air Elemental	{3}{U}{U}		Creature	Elemental	Flying	4	4
Aladdin's Ring	{8}		Artifact		{8}, {T}: Aladdin's Ring deals 4 damage to target creature or player.		
Ambition's Cost	{3}{B}		Sorcery		You draw three cards and you lose 3 life.		
Anaba Shaman	{3}{R}		Creature	Minotaur,Shaman	{R}, {T}: Anaba Shaman deals 1 damage to target creature or player.	2	2
Angel of Mercy	{4}{W}		Creature	Angel	Flying|When Angel of Mercy enters the battlefield, you gain 3 life.	3	3
Angelic Page	{1}{W}		Creature	Angel,Spirit	Flying|{T}: Target attacking or blocking creature gets +1/+1 until end of turn.	1	1
Archivist	{2}{U}{U}		Creature	Human,Wizard	{T}: Draw a card.	1	1
Ardent Militia	{4}{W}		Creature	Human,Soldier	Vigilance	2	5
Avatar of Hope	{6}{W}{W}		Creature	Avatar	If you have 3 or less life, Avatar of Hope costs {6} less to cast.|Flying|Avatar of Hope can block any number of creatures.	4	9
Aven Cloudchaser	{3}{W}		Creature	Bird,Soldier	Flying (This creature can't be blocked except by creatures with flying or reach.)|When Aven Cloudchaser enters the battlefield, destroy target enchantment.	2	2
Aven Fisher	{3}{U}		Creature	Bird,Soldier	Flying (This creature can't be blocked except by creatures with flying or reach.)|When Aven Fisher dies, you may draw a card.	2	2
Aven Flock	{4}{W}		Creature	Bird,Soldier	Flying (This creature can't be blocked except by creatures with flying or reach.)|{W}: Aven Flock gets +0/+1 until end of turn.	2	3
Balance of Power	{3}{U}{U}		Sorcery		If target opponent has more cards in hand than you, draw cards equal to the difference.		
Balduvian Barbarians	{1}{R}{R}		Creature	Human,Barbarian		3	2
Beast of Burden	{6}		Artifact,Creature	Golem	Beast of Burden's power and toughness are each equal to the number of creatures on the battlefield.	*	*
Birds of Paradise	{G}		Creature	Bird	Flying|{T}: Add one mana of any color to your mana pool.	0	1
Blanchwood Armor	{2}{G}		Enchantment	Aura	Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)|Enchanted creature gets +1/+1 for each Forest you control.		
Blaze	{X}{R}		Sorcery		Blaze deals X damage to target creature or player.		
Blessed Reversal	{1}{W}		Instant		You gain 3 life for each creature attacking you.		
Blinding Angel	{3}{W}{W}		Creature	Angel	Flying (This creature can't be blocked except by creatures with flying or reach.)|Whenever Blinding Angel deals combat damage to a player, that player skips his or her next combat phase.	2	4
Blood Moon	{2}{R}		Enchantment		Nonbasic lands are Mountains.		
Bloodshot Cyclops	{5}{R}		Creature	Cyclops,Giant	{T}, Sacrifice a creature: Bloodshot Cyclops deals damage equal to the sacrificed creature's power to target creature or player.	4	4
Bog Imp	{1}{B}		Creature	Imp	Flying (This creature can't be blocked except by creatures with flying or reach.)	1	1
Bog Wraith	{3}{B}		Creature	Wraith	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)	3	3
Boil	{3}{R}		Instant		Destroy all Islands.		
Boomerang	{U}{U}		Instant		Return target permanent to its owner's hand.		
Brass Herald	{6}		Artifact,Creature	Golem	As Brass Herald enters the battlefield, choose a creature type.|When Brass Herald enters the battlefield, reveal the top four cards of your library. Put all creature cards of the chosen type revealed this way into your hand and the rest on the bottom of your library in any order.|Creatures of the chosen type get +1/+1.	2	2
Bribery	{3}{U}{U}		Sorcery		Search target opponent's library for a creature card and put that card onto the battlefield under your control. Then that player shuffles his or her library.		
Call of the Wild	{2}{G}{G}		Enchantment		{2}{G}{G}: Reveal the top card of your library. If it's a creature card, put it onto the battlefield. Otherwise, put it into your graveyard.		
Canopy Spider	{1}{G}		Creature	Spider	Reach (This creature can block creatures with flying.)	1	3
Canyon Wildcat	{1}{R}		Creature	Cat	Mountainwalk	2	1
Carrion Wall	{1}{B}{B}		Creature	Wall	Defender (This creature can't attack.)|{1}{B}: Regenerate Carrion Wall.	3	2
Catalog	{2}{U}		Instant		Draw two cards, then discard a card.		
Chastise	{3}{W}		Instant		Destroy target attacking creature. You gain life equal to its power.		
Choke	{2}{G}		Enchantment		Islands don't untap during their controllers' untap steps.		
Cinder Wall	{R}		Creature	Wall	Defender (This creature can't attack.)|When Cinder Wall blocks, destroy it at end of combat.	3	3
Circle of Protection: Black	{1}{W}		Enchantment		{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.		
Circle of Protection: Blue	{1}{W}		Enchantment		{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.		
Circle of Protection: Green	{1}{W}		Enchantment		{1}: The next time a green source of your choice would deal damage to you this turn, prevent that damage.		
Circle of Protection: Red	{1}{W}		Enchantment		{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.		
Circle of Protection: White	{1}{W}		Enchantment		{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage.		
City of Brass			Land		Whenever City of Brass becomes tapped, it deals 1 damage to you.|{T}: Add one mana of any color to your mana pool.		
Coastal Hornclaw	{4}{U}		Creature	Bird	Sacrifice a land: Coastal Hornclaw gains flying until end of turn.	3	3
Coastal Piracy	{2}{U}{U}		Enchantment		Whenever a creature you control deals combat damage to an opponent, you may draw a card.		
Coastal Tower			Land		Coastal Tower enters the battlefield tapped.|{T}: Add {W} or {U} to your mana pool.		
