Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abandon Reason	{2}{R}	None	Instant	None	Up to two target creatures each get +1/+0 and gain first strike until end of turn.|Madness {1}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)		
Abolisher of Bloodlines		None	Creature	Eldrazi,Vampire	Flying|When this creature transforms into Abolisher of Bloodlines, target opponent sacrifices three creatures.	6	5
Abundant Maw	{8}	None	Creature	Eldrazi,Leech	Emerge {6}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's converted mana cost.)|When you cast Abundant Maw, target opponent loses 3 life and you gain 3 life.	6	4
Advanced Stitchwing	{3}{U}{U}	None	Creature	Zombie,Horror	Flying|{2}{U}, Discard two cards: Return Advanced Stitchwing from your graveyard to the battlefield tapped.	3	4
Alchemist's Greeting	{4}{R}	None	Sorcery	None	Alchemist's Greeting deals 4 damage to target creature.|Madness {1}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)		
Assembled Alphas	{5}{R}	None	Creature	Wolf	Whenever Assembled Alphas blocks or becomes blocked by a creature, Assembled Alphas deals 3 damage to that creature and 3 damage to that creature's controller.	5	5
Aurora of Emrakul		None	Creature	Eldrazi,Reflection	Flying, deathtouch|Whenever Aurora of Emrakul attacks, each opponent loses 3 life.	1	4
Backwoods Survivalists	{3}{G}	None	Creature	Human,Warrior	Delirium - Backwoods Survivalists gets +1/+1 and has trample as long as there are four or more card types among cards in your graveyard.	4	3
Bedlam Reveler	{6}{R}{R}	None	Creature	Devil,Horror	Bedlam Reveler costs {1} less to cast for each instant and sorcery card in your graveyard.|Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)|When Bedlam Reveler enters the battlefield, discard your hand, then draw three cards.	3	4
Blessed Alliance	{1}{W}	None	Instant	None	Escalate {2} (Pay this cost for each mode chosen beyond the first.)|Choose one or more -|• Target player gains 4 life.|• Untap up to two target creatures.|• Target opponent sacrifices an attacking creature.		
Blood Mist	{3}{R}	None	Enchantment	None	At the beginning of combat on your turn, target creature you control gains double strike until end of turn.		
Bloodbriar	{2}{G}	None	Creature	Plant,Elemental	Whenever you sacrifice another permanent, put a +1/+1 counter on Bloodbriar.	2	3
Bloodhall Priest	{2}{B}{R}	None	Creature	Vampire,Cleric	Whenever Bloodhall Priest enters the battlefield or attacks, if you have no cards in hand, Bloodhall Priest deals 2 damage to target creature or player.|Madness {1}{B}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)	4	4
Bold Impaler	{R}	None	Creature	Vampire,Knight	{2}{R}: Bold Impaler gets +2/+0 until end of turn.	1	2
Boon of Emrakul	{2}{B}	None	Enchantment	Aura	Enchant creature|Enchanted creature gets +3/-3.		
Borrowed Grace	{2}{W}	None	Instant	None	Escalate {1}{W} (Pay this cost for each mode chosen beyond the first.)|Choose one or both -|• Creatures you control get +2/+0 until end of turn.|• Creatures you control get +0/+2 until end of turn.		
