Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abundant Growth	{G}	None	Enchantment	Aura	Enchant land|When Abundant Growth enters the battlefield, draw a card.|Enchanted land has '{T}: Add one mana of any color to your mana pool.'		
Ancestral Mask	{2}{G}	None	Enchantment	Aura	Enchant creature|Enchanted creature gets +2/+2 for each other enchantment on the battlefield.		
Animate Dead	{1}{B}	None	Enchantment	Aura	Enchant creature card in a graveyard|When Animate Dead enters the battlefield, if it's on the battlefield, it loses 'enchant creature card in a graveyard' and gains 'enchant creature put onto the battlefield with Animate Dead.' Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.|Enchanted creature gets -1/-0.		
Annihilate	{3}{B}{B}	None	Instant	None	Destroy target nonblack creature. It can't be regenerated.|Draw a card.		
Arcanis the Omnipotent	{3}{U}{U}{U}	Legendary	Creature	Wizard	{T}: Draw three cards.|{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.	3	4
Argothian Enchantress	{1}{G}	None	Creature	Human,Druid	Shroud (This creature can't be the target of spells or abilities.)|Whenever you cast an enchantment spell, draw a card.	0	1
Armadillo Cloak	{1}{G}{W}	None	Enchantment	Aura	Enchant creature|Enchanted creature gets +2/+2 and has trample.|Whenever enchanted creature deals damage, you gain that much life.		
Ashnod's Altar	{3}	None	Artifact	None	Sacrifice a creature: Add  to your mana pool.		
Avarax	{3}{R}{R}	None	Creature	Beast	Haste|When Avarax enters the battlefield, you may search your library for a card named Avarax, reveal it, and put it into your hand. If you do, shuffle your library.|{1}{R}: Avarax gets +1/+0 until end of turn.	3	3
Aven Riftwatcher	{2}{W}	None	Creature	Bird,Rebel,Soldier	Flying|Vanishing 3 (This creature enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)|When Aven Riftwatcher enters the battlefield or leaves the battlefield, you gain 2 life.	2	3
Balance	{1}{W}	None	Sorcery	None	Each player chooses a number of lands he or she controls equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.		
Baleful Strix	{U}{B}	None	Artifact,Creature	Bird	Flying, deathtouch|When Baleful Strix enters the battlefield, draw a card.	1	1
Ballynock Cohort	{2}{W}	None	Creature	Kithkin,Soldier	First strike|Ballynock Cohort gets +1/+1 as long as you control another white creature.	2	2
Battle Squadron	{3}{R}{R}	None	Creature	Goblin	Flying|Battle Squadron's power and toughness are each equal to the number of creatures you control.	*	*
Beetleback Chief	{2}{R}{R}	None	Creature	Goblin,Warrior	When Beetleback Chief enters the battlefield, create two 1/1 red Goblin creature tokens.	2	2
Benevolent Bodyguard	{W}	None	Creature	Human,Cleric	Sacrifice Benevolent Bodyguard: Target creature you control gains protection from the color of your choice until end of turn.	1	1
Blightsoil Druid	{1}{B}	None	Creature	Elf,Druid	{T}, Pay 1 life: Add {G} to your mana pool.	1	2
Blood Artist	{1}{B}	None	Creature	Vampire	Whenever Blood Artist or another creature dies, target player loses 1 life and you gain 1 life.	0	1
Bloodbraid Elf	{2}{R}{G}	None	Creature	Elf,Berserker	Haste|Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)	3	2
Bloodfell Caves		None	Land	None	Bloodfell Caves enters the battlefield tapped.|When Bloodfell Caves enters the battlefield, you gain 1 life.|{T}: Add {B} or {R} to your mana pool.		
Blossoming Sands		None	Land	None	Blossoming Sands enters the battlefield tapped.|When Blossoming Sands enters the battlefield, you gain 1 life.|{T}: Add {G} or {W} to your mana pool.		
Borderland Marauder	{1}{R}	None	Creature	Human,Warrior	Whenever Borderland Marauder attacks, it gets +2/+0 until end of turn.	1	2
Brago, King Eternal	{2}{W}{U}	Legendary	Creature	Spirit	Flying|Whenever Brago, King Eternal deals combat damage to a player, exile any number of target nonland permanents you control, then return those cards to the battlefield under their owner's control.	2	4
Braids, Cabal Minion	{2}{B}{B}	Legendary	Creature	Human,Minion	At the beginning of each player's upkeep, that player sacrifices an artifact, creature, or land.	2	2
Brainstorm	{U}	None	Instant	None	Draw three cards, then put two cards from your hand on top of your library in any order.		
Brawn	{3}{G}	None	Creature	Incarnation	Trample|As long as Brawn is in your graveyard and you control a Forest, creatures you control have trample.	3	3
Burning Vengeance	{2}{R}	None	Enchantment	None	Whenever you cast a spell from your graveyard, Burning Vengeance deals 2 damage to target creature or player.		
Cabal Therapy	{B}	None	Sorcery	None	Name a nonland card. Target player reveals his or her hand and discards all cards with that name.|Flashback-Sacrifice a creature. (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Calciderm	{2}{W}{W}	None	Creature	Beast	Shroud (This creature can't be the target of spells or abilities.)|Vanishing 4 (This creature enters the battlefield with four time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)	5	5
Call the Skybreaker	{5}{U/R}{U/R}	None	Sorcery	None	Create a 5/5 blue and red Elemental creature token with flying.|Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)		
Carbonize	{2}{R}	None	Instant	None	Carbonize deals 3 damage to target creature or player. That creature can't be regenerated this turn. If the creature would die this turn, exile it instead.		
