Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Aerie Ouphes	{4}{G}		Creature	Ouphe	Sacrifice Aerie Ouphes: Aerie Ouphes deals damage equal to its power to target creature with flying.|Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)	3	3
Altar Golem	{7}		Artifact,Creature	Golem	Trample|Altar Golem's power and toughness are each equal to the number of creatures on the battlefield.|Altar Golem doesn't untap during your untap step.|Tap five untapped creatures you control: Untap Altar Golem.	*	*
Antler Skulkin	{5}		Artifact,Creature	Scarecrow	{2}: Target white creature gains persist until end of turn. (When it dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)	3	3
Archon of Justice	{3}{W}{W}		Creature	Archon	Flying|When Archon of Justice dies, exile target permanent.	4	4
Ashling, the Extinguisher	{2}{B}{B}	Legendary	Creature	Elemental,Shaman	Whenever Ashling, the Extinguisher deals combat damage to a player, choose target creature that player controls. He or she sacrifices that creature.	4	4
Balefire Liege	{2}{R/W}{R/W}{R/W}		Creature	Spirit,Horror	Other red creatures you control get +1/+1.|Other white creatures you control get +1/+1.|Whenever you cast a red spell, Balefire Liege deals 3 damage to target player.|Whenever you cast a white spell, you gain 3 life.	2	4
Ballynock Trapper	{3}{W}		Creature	Kithkin,Soldier	{T}: Tap target creature.|Whenever you cast a white spell, you may untap Ballynock Trapper.	2	2
Banishing Knack	{U}		Instant		Until end of turn, target creature gains '{T}: Return target nonland permanent to its owner's hand.'		
Battlegate Mimic	{1}{R/W}		Creature	Shapeshifter	Whenever you cast a spell that's both red and white, Battlegate Mimic becomes 4/2 and gains first strike until end of turn.	2	1
Batwing Brume	{1}{W/B}		Instant		Prevent all combat damage that would be dealt this turn if {W} was spent to cast Batwing Brume. Each player loses 1 life for each attacking creature he or she controls if {B} was spent to cast Batwing Brume. (Do both if {W}{B} was spent.)		
Beckon Apparition	{W/B}		Instant		Exile target card from a graveyard. Put a 1/1 white and black Spirit creature token with flying onto the battlefield.		
Belligerent Hatchling	{3}{R/W}		Creature	Elemental	First strike|Belligerent Hatchling enters the battlefield with four -1/-1 counters on it.|Whenever you cast a red spell, remove a -1/-1 counter from Belligerent Hatchling.|Whenever you cast a white spell, remove a -1/-1 counter from Belligerent Hatchling.	6	6
Bloodied Ghost	{1}{W/B}{W/B}		Creature	Spirit	Flying|Bloodied Ghost enters the battlefield with a -1/-1 counter on it.	3	3
Bloom Tender	{1}{G}		Creature	Elf,Druid	{T}: For each color among permanents you control, add one mana of that color to your mana pool.	1	1
Cache Raiders	{3}{U}{U}		Creature	Merfolk,Rogue	At the beginning of your upkeep, return a permanent you control to its owner's hand.	4	4
Call the Skybreaker	{5}{U/R}{U/R}		Sorcery		Put a 5/5 blue and red Elemental creature token with flying onto the battlefield.|Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)		
Canker Abomination	{2}{B/G}{B/G}		Creature	Treefolk,Horror	As Canker Abomination enters the battlefield, choose an opponent. Canker Abomination enters the battlefield with a -1/-1 counter on it for each creature that player controls.	6	6
Cankerous Thirst	{3}{B/G}		Instant		If {B} was spent to cast Cankerous Thirst, you may have target creature get -3/-3 until end of turn. If {G} was spent to cast Cankerous Thirst, you may have target creature get +3/+3 until end of turn. (Do both if {B}{G} was spent.)		
Cascade Bluffs			Land		{T}: Add {1} to your mana pool.|{U/R}, {T}: Add {U}{U}, {U}{R}, or {R}{R} to your mana pool.		
Cauldron Haze	{1}{W/B}		Instant		Choose any number of target creatures. Each of those creatures gains persist until end of turn. (When it dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)		
Cenn's Enlistment	{3}{W}		Sorcery		Put two 1/1 white Kithkin Soldier creature tokens onto the battlefield.|Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)		
Chaotic Backlash	{4}{R}		Instant		Chaotic Backlash deals damage to target player equal to twice the number of white and/or blue permanents he or she controls.		
Cinder Pyromancer	{2}{R}		Creature	Elemental,Shaman	{T}: Cinder Pyromancer deals 1 damage to target player.|Whenever you cast a red spell, you may untap Cinder Pyromancer.	0	1
Clout of the Dominus	{U/R}		Enchantment	Aura	Enchant creature|As long as enchanted creature is blue, it gets +1/+1 and has shroud. (It can't be the target of spells or abilities.)|As long as enchanted creature is red, it gets +1/+1 and has haste.		
Cold-Eyed Selkie	{1}{G/U}{G/U}		Creature	Merfolk,Rogue	Islandwalk|Whenever Cold-Eyed Selkie deals combat damage to a player, you may draw that many cards.	1	1
Crackleburr	{1}{U/R}{U/R}		Creature	Elemental	{U/R}{U/R}, {T}, Tap two untapped red creatures you control: Crackleburr deals 3 damage to target creature or player.|{U/R}{U/R}, {Q}, Untap two tapped blue creatures you control: Return target creature to its owner's hand. ({Q} is the untap symbol.)	2	2
Crag Puca	{U/R}{U/R}{U/R}		Creature	Shapeshifter	{U/R}: Switch Crag Puca's power and toughness until end of turn.	2	4
Creakwood Ghoul	{4}{B}		Creature	Plant,Zombie	{B/G}{B/G}: Exile target card from a graveyard. You gain 1 life.	3	3
Creakwood Liege	{1}{B/G}{B/G}{B/G}		Creature	Horror	Other black creatures you control get +1/+1.|Other green creatures you control get +1/+1.|At the beginning of your upkeep, you may put a 1/1 black and green Worm creature token onto the battlefield.	2	2
Crumbling Ashes	{1}{B}		Enchantment		At the beginning of your upkeep, destroy target creature with a -1/-1 counter on it.		
Deathbringer Liege	{2}{W/B}{W/B}{W/B}		Creature	Horror	Other white creatures you control get +1/+1.|Other black creatures you control get +1/+1.|Whenever you cast a white spell, you may tap target creature.|Whenever you cast a black spell, you may destroy target creature if it's tapped.	3	4
Deity of Scars	{B/G}{B/G}{B/G}{B/G}{B/G}		Creature	Spirit,Avatar	Trample|Deity of Scars enters the battlefield with two -1/-1 counters on it.|{B/G}, Remove a -1/-1 counter from Deity of Scars: Regenerate Deity of Scars.	7	7
Desecrator Hag	{2}{B/G}{B/G}		Creature	Hag	When Desecrator Hag enters the battlefield, return to your hand the creature card in your graveyard with the greatest power. If two or more cards are tied for greatest power, you choose one of them.	2	2
Divinity of Pride	{W/B}{W/B}{W/B}{W/B}{W/B}		Creature	Spirit,Avatar	Flying, lifelink|Divinity of Pride gets +4/+4 as long as you have 25 or more life.	4	4
Dominus of Fealty	{U/R}{U/R}{U/R}{U/R}{U/R}		Creature	Spirit,Avatar	Flying|At the beginning of your upkeep, you may gain control of target permanent until end of turn. If you do, untap it and it gains haste until end of turn.	4	4
Doomgape	{4}{B/G}{B/G}{B/G}		Creature	Elemental	Trample|At the beginning of your upkeep, sacrifice a creature. You gain life equal to that creature's toughness.	10	10
Double Cleave	{1}{R/W}		Instant		Target creature gains double strike until end of turn. (It deals both first-strike and regular combat damage.)		
Drain the Well	{2}{B/G}{B/G}		Sorcery		Destroy target land. You gain 2 life.		
Dream Fracture	{1}{U}{U}		Instant		Counter target spell. Its controller draws a card.|Draw a card.		
Dream Thief	{2}{U}		Creature	Faerie,Rogue	Flying|When Dream Thief enters the battlefield, draw a card if you've cast another blue spell this turn.	2	1
Duergar Assailant	{R/W}		Creature	Dwarf,Soldier	Sacrifice Duergar Assailant: Duergar Assailant deals 1 damage to target attacking or blocking creature.	1	1
Duergar Cave-Guard	{3}{R}		Creature	Dwarf,Warrior	Wither (This deals damage to creatures in the form of -1/-1 counters.)|{R/W}: Duergar Cave-Guard gets +1/+0 until end of turn.	1	3
Duergar Hedge-Mage	{2}{R/W}		Creature	Dwarf,Shaman	When Duergar Hedge-Mage enters the battlefield, if you control two or more Mountains, you may destroy target artifact.|When Duergar Hedge-Mage enters the battlefield, if you control two or more Plains, you may destroy target enchantment.	2	2
Duergar Mine-Captain	{2}{R/W}		Creature	Dwarf,Soldier	{1}{R/W}, {Q}: Attacking creatures get +1/+0 until end of turn. ({Q} is the untap symbol.)	2	1
Duskdale Wurm	{5}{G}{G}		Creature	Wurm	Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)	7	7
Edge of the Divinity	{W/B}		Enchantment	Aura	Enchant creature|As long as enchanted creature is white, it gets +1/+2.|As long as enchanted creature is black, it gets +2/+1.		
Endless Horizons	{3}{W}		Enchantment		When Endless Horizons enters the battlefield, search your library for any number of Plains cards and exile them. Then shuffle your library.|At the beginning of your upkeep, you may put a card you own exiled with Endless Horizons into your hand.		
Endure	{3}{W}{W}		Instant		Prevent all damage that would be dealt to you and permanents you control this turn.		
Evershrike	{3}{W/B}{W/B}		Creature	Elemental,Spirit	Flying|Evershrike gets +2/+2 for each Aura attached to it.|{X}{W/B}{W/B}: Return Evershrike from your graveyard to the battlefield. You may put an Aura card with converted mana cost X or less from your hand onto the battlefield attached to it. If you don't, exile Evershrike.	2	2
Fable of Wolf and Owl	{3}{G/U}{G/U}{G/U}		Enchantment		Whenever you cast a green spell, you may put a 2/2 green Wolf creature token onto the battlefield.|Whenever you cast a blue spell, you may put a 1/1 blue Bird creature token with flying onto the battlefield.		
Fang Skulkin	{2}		Artifact,Creature	Scarecrow	{2}: Target black creature gains wither until end of turn. (It deals damage to creatures in the form of -1/-1 counters.)	2	1
Favor of the Overbeing	{1}{G/U}		Enchantment	Aura	Enchant creature|As long as enchanted creature is green, it gets +1/+1 and has vigilance.|As long as enchanted creature is blue, it gets +1/+1 and has flying.		
Fetid Heath			Land		{T}: Add {1} to your mana pool.|{W/B}, {T}: Add {W}{W}, {W}{B}, or {B}{B} to your mana pool.		
Fiery Bombardment	{1}{R}		Enchantment		Chroma - {2}, Sacrifice a creature: Fiery Bombardment deals damage to target creature or player equal to the number of red mana symbols in the sacrificed creature's mana cost.		
Figure of Destiny	{R/W}		Creature	Kithkin	{R/W}: Figure of Destiny becomes a 2/2 Kithkin Spirit.|{R/W}{R/W}{R/W}: If Figure of Destiny is a Spirit, it becomes a 4/4 Kithkin Spirit Warrior.|{R/W}{R/W}{R/W}{R/W}{R/W}{R/W}: If Figure of Destiny is a Warrior, it becomes an 8/8 Kithkin Spirit Warrior Avatar with flying and first strike.	1	1
Fire at Will	{R/W}{R/W}{R/W}		Instant		Fire at Will deals 3 damage divided as you choose among one, two, or three target attacking or blocking creatures.		
Flame Jab	{R}		Sorcery		Flame Jab deals 1 damage to target creature or player.|Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)		
Flickerwisp	{1}{W}{W}		Creature	Elemental	Flying|When Flickerwisp enters the battlefield, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.	3	1
Flooded Grove			Land		{T}: Add {1} to your mana pool.|{G/U}, {T}: Add {G}{G}, {G}{U}, or {U}{U} to your mana pool.		
Gift of the Deity	{4}{B/G}		Enchantment	Aura	Enchant creature|As long as enchanted creature is black, it gets +1/+1 and has deathtouch. (Any amount of damage it deals to a creature is enough to destroy that creature.)|As long as enchanted creature is green, it gets +1/+1 and all creatures able to block it do so.		
Gilder Bairn	{1}{G/U}{G/U}		Creature	Ouphe	{2}{G/U}, {Q}: For each counter on target permanent, put another of those counters on that permanent. ({Q} is the untap symbol.)	1	3
Glamerdye	{1}{U}		Instant		Change the text of target spell or permanent by replacing all instances of one color word with another.|Retrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.)		
Glen Elendra Archmage	{3}{U}		Creature	Faerie,Wizard	Flying|{U}, Sacrifice Glen Elendra Archmage: Counter target noncreature spell.|Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)	2	2
Grazing Kelpie	{3}{G/U}		Creature	Beast	{G/U}, Sacrifice Grazing Kelpie: Put target card from a graveyard on the bottom of its owner's library.|Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)	2	3
Groundling Pouncer	{1}{G/U}		Creature	Faerie	{G/U}: Groundling Pouncer gets +1/+3 and gains flying until end of turn. Activate this ability only once each turn and only if an opponent controls a creature with flying.	2	1
