Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Æther Tide	{X}{U}		Sorcery		As an additional cost to cast Æther Tide, discard X creature cards.|Return X target creatures to their owners' hands.		
Allay	{1}{W}		Instant		Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)|Destroy target enchantment.		
Anarchist	{4}{R}		Creature	Human,Wizard	When Anarchist enters the battlefield, you may return target sorcery card from your graveyard to your hand.	2	2
Angelic Blessing	{2}{W}		Sorcery		Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)		
Avenging Druid	{2}{G}		Creature	Human,Druid	Whenever Avenging Druid deals damage to an opponent, you may reveal cards from the top of your library until you reveal a land card. If you do, put that card onto the battlefield and put all other cards revealed this way into your graveyard.	1	3
Bequeathal	{G}		Enchantment	Aura	Enchant creature|When enchanted creature dies, you draw two cards.		
Carnophage	{B}		Creature	Zombie	At the beginning of your upkeep, tap Carnophage unless you pay 1 life.	2	2
Cartographer	{2}{G}		Creature	Human	When Cartographer enters the battlefield, you may return target land card from your graveyard to your hand.	2	2
Cat Burglar	{3}{B}		Creature	Kor,Rogue,Minion	{2}{B}, {T}: Target player discards a card. Activate this ability only any time you could cast a sorcery.	2	2
Cataclysm	{2}{W}{W}		Sorcery		Each player chooses from the permanents he or she controls an artifact, a creature, an enchantment, and a land, then sacrifices the rest.		
Charging Paladin	{2}{W}		Creature	Human,Knight	Whenever Charging Paladin attacks, it gets +0/+3 until end of turn.	2	2
Cinder Crawler	{1}{R}		Creature	Salamander	{R}: Cinder Crawler gets +1/+0 until end of turn. Activate this ability only if Cinder Crawler is blocked.	1	2
City of Traitors			Land		When you play another land, sacrifice City of Traitors.|{T}: Add {2} to your mana pool.		
Coat of Arms	{5}		Artifact		Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)		
Convalescence	{1}{W}		Enchantment		At the beginning of your upkeep, if you have 10 or less life, you gain 1 life.		
Crashing Boars	{3}{G}{G}		Creature	Boar	Whenever Crashing Boars attacks, defending player chooses an untapped creature he or she controls. That creature blocks Crashing Boars this turn if able.	4	4
Culling the Weak	{B}		Instant		As an additional cost to cast Culling the Weak, sacrifice a creature.|Add {B}{B}{B}{B} to your mana pool.		
Cunning	{1}{U}		Enchantment	Aura	Enchant creature|Enchanted creature gets +3/+3.|When enchanted creature attacks or blocks, sacrifice Cunning at the beginning of the next cleanup step.		
Curiosity	{U}		Enchantment	Aura	Enchant creature|Whenever enchanted creature deals damage to an opponent, you may draw a card.		
Cursed Flesh	{B}		Enchantment	Aura	Enchant creature|Enchanted creature gets -1/-1 and has fear. (It can't be blocked except by artifact creatures and/or black creatures.)		
Dauthi Cutthroat	{1}{B}		Creature	Dauthi,Minion	Shadow (This creature can block or be blocked by only creatures with shadow.)|{1}{B}, {T}: Destroy target creature with shadow.	1	1
Dauthi Jackal	{2}{B}		Creature	Dauthi,Hound	Shadow (This creature can block or be blocked by only creatures with shadow.)|{B}{B}, Sacrifice Dauthi Jackal: Destroy target blocking creature.	2	1
Dauthi Warlord	{1}{B}		Creature	Dauthi,Soldier	Shadow (This creature can block or be blocked by only creatures with shadow.)|Dauthi Warlord's power is equal to the number of creatures with shadow on the battlefield.	*	1
Death's Duet	{2}{B}		Sorcery		Return two target creature cards from your graveyard to your hand.		
Dizzying Gaze	{R}		Enchantment	Aura	Enchant creature you control|{R}: Enchanted creature deals 1 damage to target creature with flying.		
Dominating Licid	{1}{U}{U}		Creature	Licid	{1}{U}{U}, {T}: Dominating Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {U} to end this effect.|You control enchanted creature.	1	1
Elven Palisade	{G}		Enchantment		Sacrifice a Forest: Target attacking creature gets -3/-0 until end of turn.		
Elvish Berserker	{G}		Creature	Elf,Berserker	Whenever Elvish Berserker becomes blocked, it gets +1/+1 until end of turn for each creature blocking it.	1	1
Entropic Specter	{3}{B}{B}		Creature	Specter,Spirit	Flying|As Entropic Specter enters the battlefield, choose an opponent.|Entropic Specter's power and toughness are each equal to the number of cards in the chosen player's hand.|Whenever Entropic Specter deals damage to a player, that player discards a card.	*	*
Ephemeron	{4}{U}{U}		Creature	Illusion	Flying|Discard a card: Return Ephemeron to its owner's hand.	4	4
Equilibrium	{1}{U}{U}		Enchantment		Whenever you cast a creature spell, you may pay {1}. If you do, return target creature to its owner's hand.		
Erratic Portal	{4}		Artifact		{1}, {T}: Return target creature to its owner's hand unless its controller pays {1}.		
Ertai, Wizard Adept	{2}{U}	Legendary	Creature	Human,Wizard	{2}{U}{U}, {T}: Counter target spell.	1	1
Exalted Dragon	{4}{W}{W}		Creature	Dragon	Flying|Exalted Dragon can't attack unless you sacrifice a land. (This cost is paid as attackers are declared.)	5	5
Fade Away	{2}{U}		Sorcery		For each creature, its controller sacrifices a permanent unless he or she pays {1}.		
Fighting Chance	{R}		Instant		For each blocking creature, flip a coin. If you win the flip, prevent all combat damage that would be dealt by that creature this turn.		
Flowstone Flood	{3}{R}		Sorcery		Buyback-Pay 3 life, Discard a card at random. (You may pay 3 life and discard a card at random in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)|Destroy target land.		
Forbid	{1}{U}{U}		Instant		Buyback-Discard two cards. (You may discard two cards in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)|Counter target spell.		
Fugue	{3}{B}{B}		Sorcery		Target player discards three cards.		
Furnace Brood	{3}{R}		Creature	Elemental	{R}: Target creature can't be regenerated this turn.	3	3
Grollub	{2}{B}		Creature	Beast	Whenever Grollub is dealt damage, each opponent gains that much life.	3	3
Hatred	{3}{B}{B}		Instant		As an additional cost to cast Hatred, pay X life.|Target creature gets +X/+0 until end of turn.		
High Ground	{W}		Enchantment		Each creature you control can block an additional creature.		
Jackalope Herd	{3}{G}		Creature	Rabbit,Beast	When you cast a spell, return Jackalope Herd to its owner's hand.	4	5
Keeper of the Beasts	{G}{G}		Creature	Human,Wizard	{G}, {T}: Choose target opponent who controlled more creatures than you did as you activated this ability. Put a 2/2 green Beast creature token onto the battlefield.	1	2
Keeper of the Dead	{B}{B}		Creature	Human,Wizard	{B}, {T}: Choose target opponent who had at least two fewer creature cards in his or her graveyard than you did as you activated this ability. Destroy target nonblack creature he or she controls.	1	2
Keeper of the Flame	{R}{R}		Creature	Human,Wizard	{R}, {T}: Choose target opponent who had more life than you did as you activated this ability. Keeper of the Flame deals 2 damage to him or her.	1	2
Keeper of the Light	{W}{W}		Creature	Human,Wizard	{W}, {T}: Choose target opponent who had more life than you did as you activated this ability. You gain 3 life.	1	2
Keeper of the Mind	{U}{U}		Creature	Human,Wizard	{U}, {T}: Choose target opponent who had at least two more cards in hand than you did as you activated this ability. Draw a card.	1	2
Killer Whale	{3}{U}{U}		Creature	Whale	{U}: Killer Whale gains flying until end of turn.	3	5
Kor Chant	{2}{W}		Instant		All damage that would be dealt this turn to target creature you control by a source of your choice is dealt to another target creature instead.		
Limited Resources	{W}		Enchantment		When Limited Resources enters the battlefield, each player chooses five lands he or she controls and sacrifices the rest.|Players can't play lands as long as ten or more lands are on the battlefield.		
Mage il-Vec	{2}{R}		Creature	Human,Wizard	{T}, Discard a card at random: Mage il-Vec deals 1 damage to target creature or player.	2	2
Mana Breach	{2}{U}		Enchantment		Whenever a player casts a spell, that player returns a land he or she controls to its owner's hand.		
Manabond	{G}		Enchantment		At the beginning of your end step, you may reveal your hand and put all land cards from it onto the battlefield. If you do, discard your hand.		
Maniacal Rage	{1}{R}		Enchantment	Aura	Enchant creature|Enchanted creature gets +2/+2 and can't block.		
Medicine Bag	{3}		Artifact		{1}, {T}, Discard a card: Regenerate target creature.		
Memory Crystal	{3}		Artifact		Buyback costs cost {2} less.		
Merfolk Looter	{1}{U}		Creature	Merfolk,Rogue	{T}: Draw a card, then discard a card.	1	1
Mind Maggots	{3}{B}		Creature	Insect	When Mind Maggots enters the battlefield, discard any number of creature cards. For each card discarded this way, put two +1/+1 counters on Mind Maggots.	2	2
Mind Over Matter	{2}{U}{U}{U}{U}		Enchantment		Discard a card: You may tap or untap target artifact, creature, or land.		
Mindless Automaton	{4}		Artifact,Creature	Construct	Mindless Automaton enters the battlefield with two +1/+1 counters on it.|{1}, Discard a card: Put a +1/+1 counter on Mindless Automaton.|Remove two +1/+1 counters from Mindless Automaton: Draw a card.	0	0
Mirozel	{3}{U}		Creature	Illusion	Flying|When Mirozel becomes the target of a spell or ability, return Mirozel to its owner's hand.	2	3
Mirri, Cat Warrior	{1}{G}{G}	Legendary	Creature	Cat,Warrior	First strike, forestwalk, vigilance (This creature deals combat damage before creatures without first strike, it can't be blocked as long as defending player controls a Forest, and attacking doesn't cause this creature to tap.)	2	3
Mogg Assassin	{2}{R}		Creature	Goblin,Assassin	{T}: You choose target creature an opponent controls, and that opponent chooses target creature. Flip a coin. If you win the flip, destroy the creature you chose. If you lose the flip, destroy the creature your opponent chose.	2	1
Monstrous Hound	{3}{R}		Creature	Hound	Monstrous Hound can't attack unless you control more lands than defending player.|Monstrous Hound can't block unless you control more lands than attacking player.	4	4
Nausea	{1}{B}		Sorcery		All creatures get -1/-1 until end of turn.		
Necrologia	{3}{B}{B}		Instant		Cast Necrologia only during your end step.|As an additional cost to cast Necrologia, pay X life.|Draw X cards.		
Null Brooch	{4}		Artifact		{2}, {T}, Discard your hand: Counter target noncreature spell.		
Oath of Druids	{1}{G}		Enchantment		At the beginning of each player's upkeep, that player chooses target player who controls more creatures than he or she does and is his or her opponent. The first player may reveal cards from the top of his or her library until he or she reveals a creature card. If he or she does, that player puts that card onto the battlefield and all other cards revealed this way into his or her graveyard.		
Oath of Ghouls	{1}{B}		Enchantment		At the beginning of each player's upkeep, that player chooses target player whose graveyard has fewer creature cards in it than his or her graveyard does and is his or her opponent. The first player may return a creature card from his or her graveyard to his or her hand.		
Oath of Lieges	{1}{W}		Enchantment		At the beginning of each player's upkeep, that player chooses target player who controls more lands than he or she does and is his or her opponent. The first player may search his or her library for a basic land card, put that card onto the battlefield, then shuffle his or her library.		
Oath of Mages	{1}{R}		Enchantment		At the beginning of each player's upkeep, that player chooses target player who has more life than he or she does and is his or her opponent. The first player may have Oath of Mages deal 1 damage to the second player.		
Oath of Scholars	{3}{U}		Enchantment		At the beginning of each player's upkeep, that player chooses target player who has more cards in hand than he or she does and is his or her opponent. The first player may discard his or her hand and draw three cards.		
Ogre Shaman	{3}{R}{R}		Creature	Ogre,Shaman	{2}, Discard a card at random: Ogre Shaman deals 2 damage to target creature or player.	3	3
Onslaught	{R}		Enchantment		Whenever you cast a creature spell, tap target creature.		
Paladin en-Vec	{1}{W}{W}		Creature	Human,Knight	First strike, protection from black and from red (This creature deals combat damage before creatures without first strike. It can't be blocked, targeted, dealt damage, or enchanted by anything black or red.)	2	2
Pandemonium	{3}{R}		Enchantment		Whenever a creature enters the battlefield, that creature's controller may have it deal damage equal to its power to target creature or player of his or her choice.		
Paroxysm	{1}{R}		Enchantment	Aura	Enchant creature|At the beginning of the upkeep of enchanted creature's controller, that player reveals the top card of his or her library. If that card is a land card, destroy that creature. Otherwise, it gets +3/+3 until end of turn.		
Peace of Mind	{1}{W}		Enchantment		{W}, Discard a card: You gain 3 life.		
Pegasus Stampede	{1}{W}		Sorcery		Buyback-Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)|Put a 1/1 white Pegasus creature token with flying onto the battlefield.		
Penance	{2}{W}		Enchantment		Put a card from your hand on top of your library: The next time a black or red source of your choice would deal damage this turn, prevent that damage.		
Pit Spawn	{4}{B}{B}{B}		Creature	Demon	First strike|At the beginning of your upkeep, sacrifice Pit Spawn unless you pay {B}{B}.|Whenever Pit Spawn deals damage to a creature, exile that creature.	6	4
Plaguebearer	{1}{B}		Creature	Zombie	{X}{X}{B}: Destroy target nonblack creature with converted mana cost X.	1	1
Plated Rootwalla	{4}{G}		Creature	Lizard	{2}{G}: Plated Rootwalla gets +3/+3 until end of turn. Activate this ability only once each turn.	3	3
Predatory Hunger	{G}		Enchantment	Aura	Enchant creature|Whenever an opponent casts a creature spell, put a +1/+1 counter on enchanted creature.		
Price of Progress	{1}{R}		Instant		Price of Progress deals damage to each player equal to twice the number of nonbasic lands that player controls.		
Pygmy Troll	{1}{G}		Creature	Troll	Whenever Pygmy Troll becomes blocked by a creature, Pygmy Troll gets +1/+1 until end of turn.|{G}: Regenerate Pygmy Troll.	1	1
Rabid Wolverines	{3}{G}{G}		Creature	Wolverine	Whenever Rabid Wolverines becomes blocked by a creature, Rabid Wolverines gets +1/+1 until end of turn.	4	4
Raging Goblin	{R}		Creature	Goblin,Berserker	Haste (This creature can attack and {T} as soon as it comes under your control.)	1	1
Ravenous Baboons	{3}{R}		Creature	Ape	When Ravenous Baboons enters the battlefield, destroy target nonbasic land.	2	2
Reaping the Rewards	{W}		Instant		Buyback-Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)|You gain 2 life.		
Reckless Ogre	{3}{R}		Creature	Ogre	Whenever Reckless Ogre attacks alone, it gets +3/+0 until end of turn.	3	2
Reclaim	{G}		Instant		Put target card from your graveyard on top of your library.		
Reconnaissance	{W}		Enchantment		{0}: Remove target attacking creature you control from combat and untap it.		
Recurring Nightmare	{2}{B}		Enchantment		Sacrifice a creature, Return Recurring Nightmare to its owner's hand: Return target creature card from your graveyard to the battlefield. Activate this ability only any time you could cast a sorcery.		
Resuscitate	{1}{G}		Instant		Until end of turn, creatures you control gain '{1}: Regenerate this creature.'		
Robe of Mirrors	{U}		Enchantment	Aura	Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)|Enchanted creature has shroud. (It can't be the target of spells or abilities.)		
Rootwater Alligator	{3}{G}		Creature	Crocodile	Sacrifice a Forest: Regenerate Rootwater Alligator.	3	2
Rootwater Mystic	{U}		Creature	Merfolk,Wizard	{1}{U}: Look at the top card of target player's library.	1	1
Sabertooth Wyvern	{4}{R}		Creature	Drake	Flying, first strike	3	2
Scalding Salamander	{2}{R}		Creature	Salamander	Whenever Scalding Salamander attacks, you may have it deal 1 damage to each creature without flying defending player controls.	2	1
Scare Tactics	{B}		Instant		Creatures you control get +1/+0 until end of turn.		
School of Piranha	{1}{U}		Creature	Fish	At the beginning of your upkeep, sacrifice School of Piranha unless you pay {1}{U}.	3	3
Scrivener	{4}{U}		Creature	Human,Wizard	When Scrivener enters the battlefield, you may return target instant card from your graveyard to your hand.	2	2
Seismic Assault	{R}{R}{R}		Enchantment		Discard a land card: Seismic Assault deals 2 damage to target creature or player.		
Shackles	{2}{W}		Enchantment	Aura	Enchant creature|Enchanted creature doesn't untap during its controller's untap step.|{W}: Return Shackles to its owner's hand.		
Shattering Pulse	{1}{R}		Instant		Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)|Destroy target artifact.		
Shield Mate	{W}		Creature	Human,Soldier	Sacrifice Shield Mate: Target creature gets +0/+4 until end of turn.	1	1
Skyshaper	{2}		Artifact		Sacrifice Skyshaper: Creatures you control gain flying until end of turn.		
Skyshroud Elite	{G}		Creature	Elf	Skyshroud Elite gets +1/+2 as long as an opponent controls a nonbasic land.	1	1
Skyshroud War Beast	{1}{G}		Creature	Beast	Trample|As Skyshroud War Beast enters the battlefield, choose an opponent.|Skyshroud War Beast's power and toughness are each equal to the number of nonbasic lands the chosen player controls.	*	*
Slaughter	{2}{B}{B}		Instant		Buyback-Pay 4 life. (You may pay 4 life in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)|Destroy target nonblack creature. It can't be regenerated.		
Soltari Visionary	{1}{W}{W}		Creature	Soltari,Cleric	Shadow (This creature can block or be blocked by only creatures with shadow.)|Whenever Soltari Visionary deals damage to a player, destroy target enchantment that player controls.	2	2
Song of Serenity	{1}{G}		Enchantment		Creatures that are enchanted can't attack or block.		
Sonic Burst	{1}{R}		Instant		As an additional cost to cast Sonic Burst, discard a card at random.|Sonic Burst deals 4 damage to target creature or player.		
Soul Warden	{W}		Creature	Human,Cleric	Whenever another creature enters the battlefield, you gain 1 life.	1	1
Spellbook	{0}		Artifact		You have no maximum hand size.		
Spellshock	{2}{R}		Enchantment		Whenever a player casts a spell, Spellshock deals 2 damage to that player.		
Sphere of Resistance	{2}		Artifact		Spells cost {1} more to cast.		
Spike Cannibal	{1}{B}{B}		Creature	Spike	Spike Cannibal enters the battlefield with a +1/+1 counter on it.|When Spike Cannibal enters the battlefield, move all +1/+1 counters from all creatures onto it.	0	0
Spike Hatcher	{6}{G}		Creature	Spike	Spike Hatcher enters the battlefield with six +1/+1 counters on it.|{2}, Remove a +1/+1 counter from Spike Hatcher: Put a +1/+1 counter on target creature.|{1}, Remove a +1/+1 counter from Spike Hatcher: Regenerate Spike Hatcher.	0	0
Spike Rogue	{1}{G}{G}		Creature	Spike	Spike Rogue enters the battlefield with two +1/+1 counters on it.|{2}, Remove a +1/+1 counter from Spike Rogue: Put a +1/+1 counter on target creature.|{2}, Remove a +1/+1 counter from a creature you control: Put a +1/+1 counter on Spike Rogue.	0	0
Spike Weaver	{2}{G}{G}		Creature	Spike	Spike Weaver enters the battlefield with three +1/+1 counters on it.|{2}, Remove a +1/+1 counter from Spike Weaver: Put a +1/+1 counter on target creature.|{1}, Remove a +1/+1 counter from Spike Weaver: Prevent all combat damage that would be dealt this turn.	0	0
Standing Troops	{2}{W}		Creature	Human,Soldier	Vigilance	1	4
Survival of the Fittest	{1}{G}		Enchantment		{G}, Discard a creature card: Search your library for a creature card, reveal that card, and put it into your hand. Then shuffle your library.		
Thalakos Drifters	{2}{U}{U}		Creature	Thalakos	Discard a card: Thalakos Drifters gains shadow until end of turn. (This creature can block or be blocked by only creatures with shadow.)	3	3
Thalakos Scout	{2}{U}		Creature	Thalakos,Soldier,Scout	Shadow (This creature can block or be blocked by only creatures with shadow.)|Discard a card: Return Thalakos Scout to its owner's hand.	2	1
Theft of Dreams	{2}{U}		Sorcery		Draw a card for each tapped creature target opponent controls.		
Thopter Squadron	{5}		Artifact,Creature	Thopter	Flying|Thopter Squadron enters the battlefield with three +1/+1 counters on it.|{1}, Remove a +1/+1 counter from Thopter Squadron: Put a 1/1 colorless Thopter artifact creature token with flying onto the battlefield. Activate this ability only any time you could cast a sorcery.|{1}, Sacrifice another Thopter: Put a +1/+1 counter on Thopter Squadron. Activate this ability only any time you could cast a sorcery.	0	0
Thrull Surgeon	{1}{B}		Creature	Thrull	{1}{B}, Sacrifice Thrull Surgeon: Look at target player's hand and choose a card from it. That player discards that card. Activate this ability only any time you could cast a sorcery.	1	1
Transmogrifying Licid	{3}		Artifact,Creature	Licid	{1}, {T}: Transmogrifying Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {1} to end this effect.|Enchanted creature gets +1/+1 and is an artifact in addition to its other types.	2	2
Treasure Hunter	{2}{W}		Creature	Human	When Treasure Hunter enters the battlefield, you may return target artifact card from your graveyard to your hand.	2	2
Treasure Trove	{2}{U}{U}		Enchantment		{2}{U}{U}: Draw a card.		
Vampire Hounds	{2}{B}		Creature	Vampire,Hound	Discard a creature card: Vampire Hounds gets +2/+2 until end of turn.	2	2
Volrath's Dungeon	{2}{B}{B}		Enchantment		Pay 5 life: Destroy Volrath's Dungeon. Any player may activate this ability but only during his or her turn.|Discard a card: Target player puts a card from his or her hand on top of his or her library. Activate this ability only any time you could cast a sorcery.		
Wall of Nets	{1}{W}{W}		Creature	Wall	Defender (This creature can't attack.)|At end of combat, exile all creatures blocked by Wall of Nets.|When Wall of Nets leaves the battlefield, return all cards exiled with Wall of Nets to the battlefield under their owners' control.	0	7
Wayward Soul	{2}{U}{U}		Creature	Spirit	Flying||{U}: Put Wayward Soul on top of its owner's library.	3	2
Welkin Hawk	{1}{W}		Creature	Bird	Flying|When Welkin Hawk dies, you may search your library for a card named Welkin Hawk, reveal that card, put it into your hand, then shuffle your library.	1	1
Whiptongue Frog	{2}{U}		Creature	Frog	{U}: Whiptongue Frog gains flying until end of turn.	1	3
