Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Aeolipile	{2}		Artifact		{1}, {T}, Sacrifice Aeolipile: Aeolipile deals 2 damage to target creature or player.		
Armor Thrull	{2}{B}		Creature	Thrull	{T}, Sacrifice Armor Thrull: Put a +1/+2 counter on target creature.	1	3
Balm of Restoration	{2}		Artifact		{1}, {T}, Sacrifice Balm of Restoration: Choose one - You gain 2 life; or prevent the next 2 damage that would be dealt to target creature or player this turn.		
Basal Thrull	{B}{B}		Creature	Thrull	{T}, Sacrifice Basal Thrull: Add {B}{B} to your mana pool.	1	2
Bottomless Vault			Land		Bottomless Vault enters the battlefield tapped.|You may choose not to untap Bottomless Vault during your untap step.|At the beginning of your upkeep, if Bottomless Vault is tapped, put a storage counter on it.|{T}, Remove any number of storage counters from Bottomless Vault: Add {B} to your mana pool for each storage counter removed this way.		
Brassclaw Orcs	{2}{R}		Creature	Orc	Brassclaw Orcs can't block creatures with power 2 or greater.	3	2
Breeding Pit	{3}{B}		Enchantment		At the beginning of your upkeep, sacrifice Breeding Pit unless you pay {B}{B}.|At the beginning of your end step, put a 0/1 black Thrull creature token onto the battlefield.		
Combat Medic	{2}{W}		Creature	Human,Cleric,Soldier	{1}{W}: Prevent the next 1 damage that would be dealt to target creature or player this turn.	0	2
Conch Horn	{2}		Artifact		{1}, {T}, Sacrifice Conch Horn: Draw two cards, then put a card from your hand on top of your library.		
Deep Spawn	{5}{U}{U}{U}		Creature	Homarid	Trample|At the beginning of your upkeep, sacrifice Deep Spawn unless you put the top two cards of your library into your graveyard.|{U}: Deep Spawn gains shroud until end of turn and doesn't untap during your next untap step. Tap Deep Spawn. (A permanent with shroud can't be the target of spells or abilities.)	6	6
Delif's Cone	{0}		Artifact		{T}, Sacrifice Delif's Cone: This turn, when target creature you control attacks and isn't blocked, you may gain life equal to its power. If you do, it assigns no combat damage this turn.		
Delif's Cube	{1}		Artifact		{2}, {T}: This turn, when target creature you control attacks and isn't blocked, it assigns no combat damage this turn and you put a cube counter on Delif's Cube.|{2}, Remove a cube counter from Delif's Cube: Regenerate target creature.		
Derelor	{3}{B}		Creature	Thrull	Black spells you cast cost {B} more to cast.	4	4
Draconian Cylix	{3}		Artifact		{2}, {T}, Discard a card at random: Regenerate target creature.		
Dwarven Armorer	{R}		Creature	Dwarf	{R}, {T}, Discard a card: Put a +0/+1 counter or a +1/+0 counter on target creature.	0	2
Dwarven Catapult	{X}{R}		Instant		Dwarven Catapult deals X damage divided evenly, rounded down, among all creatures target opponent controls.		
Dwarven Hold			Land		Dwarven Hold enters the battlefield tapped.|You may choose not to untap Dwarven Hold during your untap step.|At the beginning of your upkeep, if Dwarven Hold is tapped, put a storage counter on it.|{T}, Remove any number of storage counters from Dwarven Hold: Add {R} to your mana pool for each storage counter removed this way.		
Dwarven Lieutenant	{R}{R}		Creature	Dwarf,Soldier	{1}{R}: Target Dwarf creature gets +1/+0 until end of turn.	1	2
Dwarven Ruins			Land		Dwarven Ruins enters the battlefield tapped.|{T}: Add {R} to your mana pool.|{T}, Sacrifice Dwarven Ruins: Add {R}{R} to your mana pool.		
Dwarven Soldier	{1}{R}		Creature	Dwarf,Soldier	Whenever Dwarven Soldier blocks or becomes blocked by one or more Orcs, Dwarven Soldier gets +0/+2 until end of turn.	2	1
Ebon Praetor	{4}{B}{B}		Creature	Avatar,Praetor	First strike, trample|At the beginning of your upkeep, put a -2/-2 counter on Ebon Praetor.|Sacrifice a creature: Remove a -2/-2 counter from Ebon Praetor. If the sacrificed creature was a Thrull, put a +1/+0 counter on Ebon Praetor. Activate this ability only during your upkeep and only once each turn.	5	5
Ebon Stronghold			Land		Ebon Stronghold enters the battlefield tapped.|{T}: Add {B} to your mana pool.|{T}, Sacrifice Ebon Stronghold: Add {B}{B} to your mana pool.		
Elven Fortress	{G}		Enchantment		{1}{G}: Target blocking creature gets +0/+1 until end of turn.		
Elven Lyre	{2}		Artifact		{1}, {T}, Sacrifice Elven Lyre: Target creature gets +2/+2 until end of turn.		
Elvish Farmer	{1}{G}		Creature	Elf	At the beginning of your upkeep, put a spore counter on Elvish Farmer.|Remove three spore counters from Elvish Farmer: Put a 1/1 green Saproling creature token onto the battlefield.|Sacrifice a Saproling: You gain 2 life.	0	2
Elvish Hunter	{1}{G}		Creature	Elf,Archer	{1}{G}, {T}: Target creature doesn't untap during its controller's next untap step.	1	1
Elvish Scout	{G}		Creature	Elf,Scout	{G}, {T}: Untap target attacking creature you control. Prevent all combat damage that would be dealt to and dealt by it this turn.	1	1
Farrelite Priest	{1}{W}{W}		Creature	Human,Cleric	{1}: Add {W} to your mana pool. If this ability has been activated four or more times this turn, sacrifice Farrelite Priest at the beginning of the next end step.	1	3
Farrel's Mantle	{2}{W}		Enchantment	Aura	Enchant creature|Whenever enchanted creature attacks and isn't blocked, its controller may have it deal damage equal to its power plus 2 to another target creature. If that player does, the attacking creature assigns no combat damage this turn.		
Farrel's Zealot	{1}{W}{W}		Creature	Human	Whenever Farrel's Zealot attacks and isn't blocked, you may have it deal 3 damage to target creature. If you do, Farrel's Zealot assigns no combat damage this turn.	2	2
Feral Thallid	{3}{G}{G}{G}		Creature	Fungus	At the beginning of your upkeep, put a spore counter on Feral Thallid.||Remove three spore counters from Feral Thallid: Regenerate Feral Thallid.	6	3
Fungal Bloom	{G}{G}		Enchantment		{G}{G}: Put a spore counter on target Fungus.		
Goblin Chirurgeon	{R}		Creature	Goblin,Shaman	Sacrifice a Goblin: Regenerate target creature.	0	2
Goblin Flotilla	{2}{R}		Creature	Goblin	Islandwalk|At the beginning of each combat, unless you pay {R}, whenever Goblin Flotilla blocks or becomes blocked by a creature this combat, that creature gains first strike until end of turn.	2	2
Goblin Grenade	{R}		Sorcery		As an additional cost to cast Goblin Grenade, sacrifice a Goblin.|Goblin Grenade deals 5 damage to target creature or player.		
Goblin Kites	{1}{R}		Enchantment		{R}: Target creature you control with toughness 2 or less gains flying until end of turn. Flip a coin at the beginning of the next end step. If you lose the flip, sacrifice that creature.		
Goblin War Drums	{2}{R}		Enchantment		Each creature you control can't be blocked except by two or more creatures.		
Goblin Warrens	{2}{R}		Enchantment		{2}{R}, Sacrifice two Goblins: Put three 1/1 red Goblin creature tokens onto the battlefield.		
Hand of Justice	{5}{W}		Creature	Avatar	{T}, Tap three untapped white creatures you control: Destroy target creature.	2	6
Havenwood Battleground			Land		Havenwood Battleground enters the battlefield tapped.|{T}: Add {G} to your mana pool.|{T}, Sacrifice Havenwood Battleground: Add {G}{G} to your mana pool.		
Heroism	{2}{W}		Enchantment		Sacrifice a white creature: For each attacking red creature, prevent all combat damage that would be dealt by that creature this turn unless its controller pays {2}{R}.		
High Tide	{U}		Instant		Until end of turn, whenever a player taps an Island for mana, that player adds {U} to his or her mana pool (in addition to the mana the land produces).		
Hollow Trees			Land		Hollow Trees enters the battlefield tapped.|You may choose not to untap Hollow Trees during your untap step.|At the beginning of your upkeep, if Hollow Trees is tapped, put a storage counter on it.|{T}, Remove any number of storage counters from Hollow Trees: Add {G} to your mana pool for each storage counter removed this way.		
Homarid	{2}{U}		Creature	Homarid	Homarid enters the battlefield with a tide counter on it.|At the beginning of your upkeep, put a tide counter on Homarid.|As long as there is exactly one tide counter on Homarid, it gets -1/-1.|As long as there are exactly three tide counters on Homarid, it gets +1/+1.|Whenever there are four tide counters on Homarid, remove all tide counters from it.	2	2
Homarid Shaman	{2}{U}{U}		Creature	Homarid,Shaman	{U}: Tap target green creature.	2	1
Homarid Spawning Bed	{U}{U}		Enchantment		{1}{U}{U}, Sacrifice a blue creature: Put X 1/1 blue Camarid creature tokens onto the battlefield, where X is the sacrificed creature's converted mana cost.		
Homarid Warrior	{4}{U}		Creature	Homarid,Warrior	{U}: Homarid Warrior gains shroud until end of turn and doesn't untap during your next untap step. Tap Homarid Warrior. (A permanent with shroud can't be the target of spells or abilities.)	3	3
Hymn to Tourach	{B}{B}		Sorcery		Target player discards two cards at random.		
Icatian Infantry	{W}		Creature	Human,Soldier	{1}: Icatian Infantry gains first strike until end of turn.|{1}: Icatian Infantry gains banding until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)	1	1
Icatian Javelineers	{W}		Creature	Human,Soldier	Icatian Javelineers enters the battlefield with a javelin counter on it.|{T}, Remove a javelin counter from Icatian Javelineers: Icatian Javelineers deals 1 damage to target creature or player.	1	1
Icatian Lieutenant	{W}{W}		Creature	Human,Soldier	{1}{W}: Target Soldier creature gets +1/+0 until end of turn.	1	2
Icatian Moneychanger	{W}		Creature	Human	Icatian Moneychanger enters the battlefield with three credit counters on it.|When Icatian Moneychanger enters the battlefield, it deals 3 damage to you.|At the beginning of your upkeep, put a credit counter on Icatian Moneychanger.|Sacrifice Icatian Moneychanger: You gain 1 life for each credit counter on Icatian Moneychanger. Activate this ability only during your upkeep.	0	2
Icatian Phalanx	{4}{W}		Creature	Human,Soldier	Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)	2	4
Icatian Priest	{W}		Creature	Human,Cleric	{1}{W}{W}: Target creature gets +1/+1 until end of turn.	1	1
Icatian Scout	{W}		Creature	Human,Soldier,Scout	{1}, {T}: Target creature gains first strike until end of turn.	1	1
Icatian Skirmishers	{3}{W}		Creature	Human,Soldier	First strike; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)|Whenever Icatian Skirmishers attacks, all creatures banded with it gain first strike until end of turn.	1	1
Icatian Store			Land		Icatian Store enters the battlefield tapped.|You may choose not to untap Icatian Store during your untap step.|At the beginning of your upkeep, if Icatian Store is tapped, put a storage counter on it.|{T}, Remove any number of storage counters from Icatian Store: Add {W} to your mana pool for each storage counter removed this way.		
Icatian Town	{5}{W}		Sorcery		Put four 1/1 white Citizen creature tokens onto the battlefield.		
Implements of Sacrifice	{2}		Artifact		{1}, {T}, Sacrifice Implements of Sacrifice: Add two mana of any one color to your mana pool.		
Initiates of the Ebon Hand	{B}		Creature	Cleric	{1}: Add {B} to your mana pool. If this ability has been activated four or more times this turn, sacrifice Initiates of the Ebon Hand at the beginning of the next end step.	1	1
Merseine	{2}{U}{U}		Enchantment	Aura	Enchant creature|Merseine enters the battlefield with three net counters on it.|Enchanted creature doesn't untap during its controller's untap step if Merseine has a net counter on it.|Pay enchanted creature's mana cost: Remove a net counter from Merseine. Any player may activate this ability, but only if he or she controls the enchanted creature.		
Mindstab Thrull	{1}{B}{B}		Creature	Thrull	Whenever Mindstab Thrull attacks and isn't blocked, you may sacrifice it. If you do, defending player discards three cards.	2	2
Necrite	{1}{B}{B}		Creature	Thrull	Whenever Necrite attacks and isn't blocked, you may sacrifice it. If you do, destroy target creature defending player controls. It can't be regenerated.	2	2
Night Soil	{G}{G}		Enchantment		{1}, Exile two creature cards from a single graveyard: Put a 1/1 green Saproling creature token onto the battlefield.		
Orcish Captain	{R}		Creature	Orc,Warrior	{1}: Flip a coin. If you win the flip, target Orc creature gets +2/+0 until end of turn. If you lose the flip, it gets -0/-2 until end of turn.	1	1
Orcish Spy	{R}		Creature	Orc,Rogue	{T}: Look at the top three cards of target player's library.	1	1
Orcish Veteran	{2}{R}		Creature	Orc	Orcish Veteran can't block white creatures with power 2 or greater.|{R}: Orcish Veteran gains first strike until end of turn.	2	2
