Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abzan Advantage	{1}{W}	None	Instant	None	Target player sacrifices an enchantment. Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)		
Abzan Beastmaster	{2}{G}	None	Creature	Hound,Shaman	At the beginning of your upkeep, draw a card if you control the creature with the greatest toughness or tied for the greatest toughness.	2	1
Abzan Kin-Guard	{3}{G}	None	Creature	Human,Warrior	Abzan Kin-Guard has lifelink as long as you control a white or black permanent.	3	3
Abzan Runemark	{2}{W}	None	Enchantment	Aura	Enchant creature|Enchanted creature gets +2/+2.|Enchanted creature has vigilance as long as you control a black or green permanent.		
Abzan Skycaptain	{3}{W}	None	Creature	Bird,Soldier	Flying|When Abzan Skycaptain dies, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)	2	2
Ainok Guide	{1}{G}	None	Creature	Hound,Scout	When Ainok Guide enters the battlefield, choose one -|• Put a +1/+1 counter on Ainok Guide.|• Search your library for a basic land card, reveal it, then shuffle your library and put that card on top of it.	1	1
Alesha, Who Smiles at Death	{2}{R}	Legendary	Creature	Human,Warrior	First strike|Whenever Alesha, Who Smiles at Death attacks, you may pay {W/B}{W/B}. If you do, return target creature card with power 2 or less from your graveyard to the battlefield tapped and attacking.	3	2
Alesha's Vanguard	{3}{B}	None	Creature	Orc,Warrior	Dash {2}{B} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)	3	3
Ambush Krotiq	{5}{G}	None	Creature	Insect	Trample|When Ambush Krotiq enters the battlefield, return another creature you control to its owner's hand.	5	5
Ancestral Vengeance	{B}{B}	None	Enchantment	Aura	Enchant creature|When Ancestral Vengeance enters the battlefield, put a +1/+1 counter on target creature you control.|Enchanted creature gets -1/-1.		
Arashin Cleric	{1}{W}	None	Creature	Human,Cleric	When Arashin Cleric enters the battlefield, you gain 3 life.	1	3
Arashin War Beast	{5}{G}{G}	None	Creature	Beast	Whenever Arashin War Beast deals combat damage to one or more blocking creatures, manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)	6	6
Arcbond	{2}{R}	None	Instant	None	Choose target creature. Whenever that creature is dealt damage this turn, it deals that much damage to each other creature and each player.		
Archers of Qarsi	{3}{G}	None	Creature	Naga,Archer	Defender|Reach (This creature can block creatures with flying.)	5	2
Archfiend of Depravity	{3}{B}{B}	None	Creature	Demon	Flying|At the beginning of each opponent's end step, that player chooses up to two creatures he or she controls, then sacrifices the rest.	5	4
Atarka, World Render	{5}{R}{G}	Legendary	Creature	Dragon	Flying, trample|Whenever a Dragon you control attacks, it gains double strike until end of turn.	6	4
Aven Skirmisher	{W}	None	Creature	Bird,Warrior	Flying	1	1
Aven Surveyor	{3}{U}{U}	None	Creature	Bird,Scout	Flying|When Aven Surveyor enters the battlefield, choose one -|• Put a +1/+1 counter on Aven Surveyor.|• Return target creature to its owner's hand.	2	2
Bathe in Dragonfire	{2}{R}	None	Sorcery	None	Bathe in Dragonfire deals 4 damage to target creature.		
Battle Brawler	{1}{B}	None	Creature	Orc,Warrior	As long as you control a red or white permanent, Battle Brawler gets +1/+0 and has first strike.	2	2
Battlefront Krushok	{4}{G}	None	Creature	Beast	Battlefront Krushok can't be blocked by more than one creature.|Each creature you control with a +1/+1 counter on it can't be blocked by more than one creature.	3	4
Bloodfell Caves		None	Land	None	Bloodfell Caves enters the battlefield tapped.|When Bloodfell Caves enters the battlefield, you gain 1 life.|{T}: Add {B} or {R} to your mana pool.		
Bloodfire Enforcers	{3}{R}	None	Creature	Human,Monk	Bloodfire Enforcers has first strike and trample as long as an instant card and a sorcery card are in your graveyard.	5	2
Blossoming Sands		None	Land	None	Blossoming Sands enters the battlefield tapped.|When Blossoming Sands enters the battlefield, you gain 1 life.|{T}: Add {G} or {W} to your mana pool.		
Break Through the Line	{1}{R}	None	Enchantment	None	{R}: Target creature with power 2 or less gains haste until end of turn and can't be blocked this turn.		
Brutal Hordechief	{3}{B}	None	Creature	Orc,Warrior	Whenever a creature you control attacks, defending player loses 1 life and you gain 1 life.|{3}{R/W}{R/W}: Creatures your opponents control block this turn if able, and you choose how those creatures block.	3	3
Cached Defenses	{2}{G}	None	Sorcery	None	Bolster 3. (Choose a creature with the least toughness among creatures you control and put three +1/+1 counters on it.)		
Channel Harm	{5}{W}	None	Instant	None	Prevent all damage that would be dealt to you and permanents you control this turn by sources you don't control. If damage is prevented this way, you may have Channel Harm deal that much damage to target creature.		
Citadel Siege	{2}{W}{W}	None	Enchantment	None	As Citadel Siege enters the battlefield, choose Khans or Dragons.|• Khans - At the beginning of combat on your turn, put two +1/+1 counters on target creature you control.|• Dragons - At the beginning of combat on each opponent's turn, tap target creature that player controls.		
Cloudform	{1}{U}{U}	None	Enchantment	None	When Cloudform enters the battlefield, it becomes an Aura with enchant creature. Manifest the top card of your library and attach Cloudform to it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)|Enchanted creature has flying and hexproof.		
Collateral Damage	{R}	None	Instant	None	As an additional cost to cast Collateral Damage, sacrifice a creature.|Collateral Damage deals 3 damage to target creature or player.		
Crucible of the Spirit Dragon		None	Land	None	{T}: Add {1} to your mana pool.|{1}, {T}: Put a storage counter on Crucible of the Spirit Dragon.|{T}, Remove X storage counters from Crucible of the Spirit Dragon: Add X mana in any combination of colors to your mana pool. Spend this mana only to cast Dragon spells or activate abilities of Dragons.		
Crux of Fate	{3}{B}{B}	None	Sorcery	None	Choose one -|• Destroy all Dragon creatures.|• Destroy all non-Dragon creatures.		
Cunning Strike	{3}{U}{R}	None	Instant	None	Cunning Strike deals 2 damage to target creature and 2 damage to target player.|Draw a card.		
Daghatar the Adamant	{3}{W}	Legendary	Creature	Human,Warrior	Vigilance|Daghatar the Adamant enters the battlefield with four +1/+1 counters on it.|{1}{B/G}{B/G}: Move a +1/+1 counter from target creature onto a second target creature.	0	0
Dark Deal	{2}{B}	None	Sorcery	None	Each player discards all the cards in his or her hand, then draws that many cards minus one.		
Defiant Ogre	{5}{R}	None	Creature	Ogre,Warrior	When Defiant Ogre enters the battlefield, choose one -|• Put a +1/+1 counter on Defiant Ogre.|• Destroy target artifact.	3	5
Destructor Dragon	{4}{G}{G}	None	Creature	Dragon	Flying|When Destructor Dragon dies, destroy target noncreature permanent.	4	4
Diplomacy of the Wastes	{2}{B}	None	Sorcery	None	Target opponent reveals his or her hand. You choose a nonland card from it. That player discards that card. If you control a Warrior, that player loses 2 life.		
Dismal Backwater		None	Land	None	Dismal Backwater enters the battlefield tapped.|When Dismal Backwater enters the battlefield, you gain 1 life.|{T}: Add {U} or {B} to your mana pool.		
Douse in Gloom	{2}{B}	None	Instant	None	Douse in Gloom deals 2 damage to target creature and you gain 2 life.		
