Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abuna's Chant	{3}{W}		Instant		Choose one - You gain 5 life; or prevent the next 5 damage that would be dealt to target creature this turn.|Entwine {2} (Choose both if you pay the entwine cost.)		
Acquire	{3}{U}{U}		Sorcery		Search target opponent's library for an artifact card and put that card onto the battlefield under your control. Then that player shuffles his or her library.		
Advanced Hoverguard	{3}{U}		Creature	Drone	Flying|{U}: Advanced Hoverguard gains shroud until end of turn. (It can't be the target of spells or abilities.)	2	2
All Suns' Dawn	{4}{G}		Sorcery		For each color, return up to one target card of that color from your graveyard to your hand. Exile All Suns' Dawn.		
Anodet Lurker	{5}		Artifact,Creature	Construct	When Anodet Lurker dies, you gain 3 life.	3	3
Arachnoid	{6}		Artifact,Creature	Spider	Reach (This creature can block creatures with flying.)	2	6
Arcbound Wanderer	{6}		Artifact,Creature	Golem	Modular-Sunburst (This enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it. When it dies, you may put its +1/+1 counters on target artifact creature.)	0	0
Armed Response	{2}{W}		Instant		Armed Response deals damage to target attacking creature equal to the number of Equipment you control.		
Artificer's Intuition	{1}{U}		Enchantment		{U}, Discard an artifact card: Search your library for an artifact card with converted mana cost 1 or less, reveal that card, and put it into your hand. Then shuffle your library.		
Auriok Champion	{W}{W}		Creature	Human,Cleric	Protection from black and from red|Whenever another creature enters the battlefield, you may gain 1 life.	1	1
Auriok Salvagers	{3}{W}		Creature	Human,Soldier	{1}{W}: Return target artifact card with converted mana cost 1 or less from your graveyard to your hand.	2	4
Auriok Windwalker	{3}{W}		Creature	Human,Wizard	Flying|{T}: Attach target Equipment you control to target creature you control.	2	3
Avarice Totem	{1}		Artifact		{5}: Exchange control of Avarice Totem and target nonland permanent.		
Baton of Courage	{3}		Artifact		Flash|Sunburst (This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)|Remove a charge counter from Baton of Courage: Target creature gets +1/+1 until end of turn.		
Battered Golem	{3}		Artifact,Creature	Golem	Battered Golem doesn't untap during your untap step.|Whenever an artifact enters the battlefield, you may untap Battered Golem.	3	2
Beacon of Creation	{3}{G}		Sorcery		Put a 1/1 green Insect creature token onto the battlefield for each Forest you control. Shuffle Beacon of Creation into its owner's library.		
Beacon of Destruction	{3}{R}{R}		Instant		Beacon of Destruction deals 5 damage to target creature or player. Shuffle Beacon of Destruction into its owner's library.		
Beacon of Immortality	{5}{W}		Instant		Double target player's life total. Shuffle Beacon of Immortality into its owner's library.		
Beacon of Tomorrows	{6}{U}{U}		Sorcery		Target player takes an extra turn after this one. Shuffle Beacon of Tomorrows into its owner's library.		
Beacon of Unrest	{3}{B}{B}		Sorcery		Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.		
Blasting Station	{3}		Artifact		{T}, Sacrifice a creature: Blasting Station deals 1 damage to target creature or player.|Whenever a creature enters the battlefield, you may untap Blasting Station.		
Blind Creeper	{1}{B}		Creature	Zombie,Beast	Whenever a player casts a spell, Blind Creeper gets -1/-1 until end of turn.	3	3
Blinkmoth Infusion	{12}{U}{U}		Instant		Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)|Untap all artifacts.		
Bringer of the Black Dawn	{7}{B}{B}		Creature	Bringer	You may pay {W}{U}{B}{R}{G} rather than pay Bringer of the Black Dawn's mana cost.|Trample|At the beginning of your upkeep, you may pay 2 life. If you do, search your library for a card, then shuffle your library and put that card on top of it.	5	5
Bringer of the Blue Dawn	{7}{U}{U}		Creature	Bringer	You may pay {W}{U}{B}{R}{G} rather than pay Bringer of the Blue Dawn's mana cost.|Trample|At the beginning of your upkeep, you may draw two cards.	5	5
Bringer of the Green Dawn	{7}{G}{G}		Creature	Bringer	You may pay {W}{U}{B}{R}{G} rather than pay Bringer of the Green Dawn's mana cost.|Trample|At the beginning of your upkeep, you may put a 3/3 green Beast creature token onto the battlefield.	5	5
Bringer of the Red Dawn	{7}{R}{R}		Creature	Bringer	You may pay {W}{U}{B}{R}{G} rather than pay Bringer of the Red Dawn's mana cost.|Trample|At the beginning of your upkeep, you may untap target creature and gain control of it until end of turn. That creature gains haste until end of turn.	5	5
Bringer of the White Dawn	{7}{W}{W}		Creature	Bringer	You may pay {W}{U}{B}{R}{G} rather than pay Bringer of the White Dawn's mana cost.|Trample|At the beginning of your upkeep, you may return target artifact card from your graveyard to the battlefield.	5	5
Cackling Imp	{2}{B}{B}		Creature	Imp	Flying|{T}: Target player loses 1 life.	2	2
Channel the Suns	{3}{G}		Sorcery		Add {W}{U}{B}{R}{G} to your mana pool.		
Chimeric Coils	{1}		Artifact		{X}{1}: Chimeric Coils becomes an X/X Construct artifact creature. Sacrifice it at the beginning of the next end step.		
Circle of Protection: Artifacts	{1}{W}		Enchantment		{2}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage.		
