Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abbey Gargoyles	{2}{W}{W}{W}		Creature	Gargoyle	Flying, protection from red	3	4
Abyssal Specter	{2}{B}{B}		Creature	Specter	Flying|Whenever Abyssal Specter deals damage to a player, that player discards a card.	2	3
Adarkar Wastes			Land		{T}: Add {1} to your mana pool.|{T}: Add {W} or {U} to your mana pool. Adarkar Wastes deals 1 damage to you.		
Æther Storm	{3}{U}		Enchantment		Creature spells can't be cast.|Pay 4 life: Destroy Æther Storm. It can't be regenerated. Any player may activate this ability.		
Air Elemental	{3}{U}{U}		Creature	Elemental	Flying	4	4
Akron Legionnaire	{6}{W}{W}		Creature	Giant,Soldier	Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.	8	4
Alabaster Potion	{X}{W}{W}		Instant		Choose one - Target player gains X life; or prevent the next X damage that would be dealt to target creature or player this turn.		
Aladdin's Ring	{8}		Artifact		{8}, {T}: Aladdin's Ring deals 4 damage to target creature or player.		
Ambush Party	{4}{R}		Creature	Human,Rogue	First strike, haste	3	1
Amulet of Kroog	{2}		Artifact		{2}, {T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.		
Angry Mob	{2}{W}{W}		Creature	Human	Trample|As long as it's your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. As long as it's not your turn, Angry Mob's power and toughness are each 2.		
An-Havva Constable	{1}{G}{G}		Creature	Human	An-Havva Constable's toughness is equal to 1 plus the number of green creatures on the battlefield.		
Animate Dead	{1}{B}		Enchantment	Aura	Enchant creature card in a graveyard|When Animate Dead enters the battlefield, if it's on the battlefield, it loses 'enchant creature card in a graveyard' and gains 'enchant creature put onto the battlefield with Animate Dead.' Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.|Enchanted creature gets -1/-0.		
Animate Wall	{W}		Enchantment	Aura	Enchant Wall|Enchanted Wall can attack as though it didn't have defender.		
Ankh of Mishra	{2}		Artifact		Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.		
Anti-Magic Aura	{2}{U}		Enchantment	Aura	Enchant creature|Enchanted creature can't be the target of spells and can't be enchanted by other Auras.		
Arenson's Aura	{2}{W}		Enchantment		{W}, Sacrifice an enchantment: Destroy target enchantment.||{3}{U}{U}: Counter target enchantment spell.		
