Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abomination	{3}{B}{B}		Creature	Horror	Whenever Abomination blocks or becomes blocked by a green or white creature, destroy that creature at end of combat.	2	6
Air Elemental	{3}{U}{U}		Creature	Elemental	Flying	4	4
Alabaster Potion	{X}{W}{W}		Instant		Choose one - Target player gains X life; or prevent the next X damage that would be dealt to target creature or player this turn.		
Aladdin's Lamp	{10}		Artifact		{X}, {T}: The next time you would draw a card this turn, instead look at the top X cards of your library, put all but one of them on the bottom of your library in a random order, then draw a card. X can't be 0.		
Aladdin's Ring	{8}		Artifact		{8}, {T}: Aladdin's Ring deals 4 damage to target creature or player.		
Ali Baba	{R}		Creature	Human,Rogue	{R}: Tap target Wall.	1	1
Amrou Kithkin	{W}{W}		Creature	Kithkin	Amrou Kithkin can't be blocked by creatures with power 3 or greater.	1	1
Amulet of Kroog	{2}		Artifact		{2}, {T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.		
Angry Mob	{2}{W}{W}		Creature	Human	Trample|As long as it's your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. As long as it's not your turn, Angry Mob's power and toughness are each 2.		
Animate Artifact	{3}{U}		Enchantment	Aura	Enchant artifact|As long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its converted mana cost.		
Animate Dead	{1}{B}		Enchantment	Aura	Enchant creature card in a graveyard|When Animate Dead enters the battlefield, if it's on the battlefield, it loses 'enchant creature card in a graveyard' and gains 'enchant creature put onto the battlefield with Animate Dead.' Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.|Enchanted creature gets -1/-0.		
Animate Wall	{W}		Enchantment	Aura	Enchant Wall|Enchanted Wall can attack as though it didn't have defender.		
Ankh of Mishra	{2}		Artifact		Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller.		
Apprentice Wizard	{1}{U}{U}		Creature	Human,Wizard	{U}, {T}: Add {3} to your mana pool.	0	1
Armageddon	{3}{W}		Sorcery		Destroy all lands.		
Armageddon Clock	{6}		Artifact		At the beginning of your upkeep, put a doom counter on Armageddon Clock.|At the beginning of your draw step, Armageddon Clock deals damage equal to the number of doom counters on it to each player.|{4}: Remove a doom counter from Armageddon Clock. Any player may activate this ability but only during any upkeep step.		
Ashes to Ashes	{1}{B}{B}		Sorcery		Exile two target nonartifact creatures. Ashes to Ashes deals 5 damage to you.		
Ashnod's Battle Gear	{2}		Artifact		You may choose not to untap Ashnod's Battle Gear during your untap step.|{2}, {T}: Target creature you control gets +2/-2 for as long as Ashnod's Battle Gear remains tapped.		
Aspect of Wolf	{1}{G}		Enchantment	Aura	Enchant creature|Enchanted creature gets +X/+Y, where X is half the number of Forests you control, rounded down, and Y is half the number of Forests you control, rounded up.		
Backfire	{U}		Enchantment	Aura	Enchant creature|Whenever enchanted creature deals damage to you, Backfire deals that much damage to that creature's controller.		
Bad Moon	{1}{B}		Enchantment		Black creatures get +1/+1.		
Balance	{1}{W}		Sorcery		Each player chooses a number of lands he or she controls equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.		
Ball Lightning	{R}{R}{R}		Creature	Elemental	Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)|Haste (This creature can attack and {T} as soon as it comes under your control.)|At the beginning of the end step, sacrifice Ball Lightning.	6	1
Battering Ram	{2}		Artifact,Creature	Construct	At the beginning of combat on your turn, Battering Ram gains banding until end of combat. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's blocking.)|Whenever Battering Ram becomes blocked by a Wall, destroy that Wall at end of combat.	1	1
Benalish Hero	{W}		Creature	Human,Soldier	Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)	1	1
Bird Maiden	{2}{R}		Creature	Human,Bird	Flying	1	2
Birds of Paradise	{G}		Creature	Bird	Flying|{T}: Add one mana of any color to your mana pool.	0	1
Black Knight	{B}{B}		Creature	Human,Knight	First strike (This creature deals combat damage before creatures without first strike.)|Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)	2	2
Black Mana Battery	{4}		Artifact		{2}, {T}: Put a charge counter on Black Mana Battery.||{T}, Remove any number of charge counters from Black Mana Battery: Add {B} to your mana pool, then add an additional {B} to your mana pool for each charge counter removed this way.		
