Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Armageddon	{3}{W}	None	Sorcery	None	Destroy all lands.		
Burning of Xinye	{4}{R}{R}	None	Sorcery	None	You destroy four lands you control, then target opponent destroys four lands he or she controls. Then Burning of Xinye deals 4 damage to each creature.		
Cataclysm	{2}{W}{W}	None	Sorcery	None	Each player chooses from among the permanents he or she controls an artifact, a creature, an enchantment, and a land, then sacrifices the rest.		
Child of Alara	{W}{U}{B}{R}{G}	Legendary	Creature	Avatar	Trample|When Child of Alara dies, destroy all nonland permanents. They can't be regenerated.	6	6
Decree of Annihilation	{8}{R}{R}	None	Sorcery	None	Exile all artifacts, creatures, and lands from the battlefield, all cards from all graveyards, and all cards from all hands.|Cycling {5}{R}{R} ({5}{R}{R}, Discard this card: Draw a card.)|When you cycle Decree of Annihilation, destroy all lands.		
Firespout	{2}{R/G}	None	Sorcery	None	Firespout deals 3 damage to each creature without flying if {R} was spent to cast Firespout and 3 damage to each creature with flying if {G} was spent to cast it. (Do both if {R}{G} was spent.)		
Fracturing Gust	{2}{G/W}{G/W}{G/W}	None	Instant	None	Destroy all artifacts and enchantments. You gain 2 life for each permanent destroyed this way.		
Living Death	{3}{B}{B}	None	Sorcery	None	Each player exiles all creature cards from his or her graveyard, then sacrifices all creatures he or she controls, then puts all cards he or she exiled this way onto the battlefield.		
Martial Coup	{X}{W}{W}	None	Sorcery	None	Put X 1/1 white Soldier creature tokens onto the battlefield. If X is 5 or more, destroy all other creatures.		
Rolling Earthquake	{X}{R}	None	Sorcery	None	Rolling Earthquake deals X damage to each creature without horsemanship and each player.		
Smokestack	{4}	None	Artifact	None	At the beginning of your upkeep, you may put a soot counter on Smokestack.|At the beginning of each player's upkeep, that player sacrifices a permanent for each soot counter on Smokestack.		
Terminus	{4}{W}{W}	None	Sorcery	None	Put all creatures on the bottom of their owners' libraries.|Miracle {W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)		
Upheaval	{4}{U}{U}	None	Sorcery	None	Return all permanents to their owners' hands.		
Virtue's Ruin	{2}{B}	None	Sorcery	None	Destroy all white creatures.		
Wrath of God	{2}{W}{W}	None	Sorcery	None	Destroy all creatures. They can't be regenerated.		
