Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Cao Cao, Lord of Wei	{3}{B}{B}	Legendary	Creature	Human,Soldier	{T}: Target opponent discards two cards. Activate this ability only during your turn, before attackers are declared.	3	3
Captain Sisay	{2}{G}{W}	Legendary	Creature	Human,Soldier	{T}: Search your library for a legendary card, reveal that card, and put it into your hand. Then shuffle your library.	2	2
Doran, the Siege Tower	{B}{G}{W}	Legendary	Creature	Treefolk,Shaman	Each creature assigns combat damage equal to its toughness rather than its power.	0	5
Kiki-Jiki, Mirror Breaker	{2}{R}{R}{R}	Legendary	Creature	Goblin,Shaman	Haste|{T}: Put a token that's a copy of target nonlegendary creature you control onto the battlefield. That token has haste. Sacrifice it at the beginning of the next end step.	2	2
Kresh the Bloodbraided	{2}{B}{R}{G}	Legendary	Creature	Human,Warrior	Whenever another creature dies, you may put X +1/+1 counters on Kresh the Bloodbraided, where X is that creature's power.	3	3
Mikaeus, the Lunarch	{X}{W}	Legendary	Creature	Human,Cleric	Mikaeus, the Lunarch enters the battlefield with X +1/+1 counters on it.|{T}: Put a +1/+1 counter on Mikaeus.|{T}, Remove a +1/+1 counter from Mikaeus: Put a +1/+1 counter on each other creature you control.	0	0
Omnath, Locus of Mana	{2}{G}	Legendary	Creature	Elemental	Green mana doesn't empty from your mana pool as steps and phases end.|Omnath, Locus of Mana gets +1/+1 for each green mana in your mana pool.	1	1
Oona, Queen of the Fae	{3}{U/B}{U/B}{U/B}	Legendary	Creature	Faerie,Wizard	Flying|{X}{U/B}: Choose a color. Target opponent exiles the top X cards of his or her library. For each card of the chosen color exiled this way, put a 1/1 blue and black Faerie Rogue creature token with flying onto the battlefield.	5	5
Progenitus	{W}{W}{U}{U}{B}{B}{R}{R}{G}{G}	Legendary	Creature	Hydra,Avatar	Protection from everything|If Progenitus would be put into a graveyard from anywhere, reveal Progenitus and shuffle it into its owner's library instead.	10	10
Rafiq of the Many	{1}{G}{W}{U}	Legendary	Creature	Human,Knight	Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)|Whenever a creature you control attacks alone, it gains double strike until end of turn.	3	3
Sharuum the Hegemon	{3}{W}{U}{B}	Legendary	Artifact,Creature	Sphinx	Flying|When Sharuum the Hegemon enters the battlefield, you may return target artifact card from your graveyard to the battlefield.	5	5
Sun Quan, Lord of Wu	{4}{U}{U}	Legendary	Creature	Human,Soldier	Creatures you control have horsemanship. (They can't be blocked except by creatures with horsemanship.)	4	4
Teferi, Mage of Zhalfir	{2}{U}{U}{U}	Legendary	Creature	Human,Wizard	Flash (You may cast this spell any time you could cast an instant.)|Creature cards you own that aren't on the battlefield have flash.|Each opponent can cast spells only any time he or she could cast a sorcery.	3	4
Ulamog, the Infinite Gyre	{11}	Legendary	Creature	Eldrazi	When you cast Ulamog, the Infinite Gyre, destroy target permanent.|Indestructible|Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents.)|When Ulamog is put into a graveyard from anywhere, its owner shuffles his or her graveyard into his or her library.	10	10
Visara the Dreadful	{3}{B}{B}{B}	Legendary	Creature	Gorgon	Flying|{T}: Destroy target creature. It can't be regenerated.	5	5
