Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Beseech the Queen	{2/B}{2/B}{2/B}	None	Sorcery	None	({2/B} can be paid with any two mana or with {B}. This card's converted mana cost is 6.)|Search your library for a card with converted mana cost less than or equal to the number of lands you control, reveal it, and put it into your hand. Then shuffle your library.		
Cabal Ritual	{1}{B}	None	Instant	None	Add {B}{B}{B} to your mana pool.|Threshold - Add {B}{B}{B}{B}{B} to your mana pool instead if seven or more cards are in your graveyard.		
Conflux	{3}{W}{U}{B}{R}{G}	None	Sorcery	None	Search your library for a white card, a blue card, a black card, a red card, and a green card. Reveal those cards and put them into your hand. Then shuffle your library.		
Dark Depths		Legendary	Snow,Land	None	Dark Depths enters the battlefield with ten ice counters on it.|{3}: Remove an ice counter from Dark Depths.|When Dark Depths has no ice counters on it, sacrifice it. If you do, create a legendary 20/20 black Avatar creature token with flying and indestructible named Marit Lage.		
Glissa, the Traitor	{B}{G}{G}	Legendary	Creature	Zombie,Elf	First strike, deathtouch|Whenever a creature an opponent controls dies, you may return target artifact card from your graveyard to your hand.	3	3
Helvault	{3}	Legendary	Artifact	None	{1}, {T}: Exile target creature you control.|{7}, {T}: Exile target creature you don't control.|When Helvault is put into a graveyard from the battlefield, return all cards exiled with it to the battlefield under their owners' control.		
Memnarch	{7}	Legendary	Artifact,Creature	Wizard	{1}{U}{U}: Target permanent becomes an artifact in addition to its other types. (This effect lasts indefinitely.)|{3}{U}: Gain control of target artifact. (This effect lasts indefinitely.)	4	5
Mind's Desire	{4}{U}{U}	None	Sorcery	None	Shuffle your library. Then exile the top card of your library. Until end of turn, you may play that card without paying its mana cost. (If it has X in its mana cost, X is 0.)|Storm (When you cast this spell, copy it for each spell cast before it this turn.)		
Momir Vig, Simic Visionary	{3}{G}{U}	Legendary	Creature	Elf,Wizard	Whenever you cast a green creature spell, you may search your library for a creature card and reveal it. If you do, shuffle your library and put that card on top of it.|Whenever you cast a blue creature spell, reveal the top card of your library. If it's a creature card, put that card into your hand.	2	2
Near-Death Experience	{2}{W}{W}{W}	None	Enchantment	None	At the beginning of your upkeep, if you have exactly 1 life, you win the game.		
Obliterate	{6}{R}{R}	None	Sorcery	None	Obliterate can't be countered.|Destroy all artifacts, creatures, and lands. They can't be regenerated.		
Phyrexian Processor	{4}	None	Artifact	None	As Phyrexian Processor enters the battlefield, pay any amount of life.|{4}, {T}: Create an X/X black Minion creature token, where X is the life paid as Phyrexian Processor entered the battlefield.		
Tolaria West		None	Land	None	Tolaria West enters the battlefield tapped.|{T}: Add {U} to your mana pool.|Transmute {1}{U}{U} ({1}{U}{U}, Discard this card: Search your library for a card with converted mana cost 0, reveal it, and put it into your hand. Then shuffle your library. Transmute only as a sorcery.)		
Umezawa's Jitte	{2}	Legendary	Artifact	Equipment	Whenever equipped creature deals combat damage, put two charge counters on Umezawa's Jitte.|Remove a charge counter from Umezawa's Jitte: Choose one -|• Equipped creature gets +2/+2 until end of turn.|• Target creature gets -1/-1 until end of turn.|• You gain 2 life.|Equip {2}		
Unmask	{3}{B}	None	Sorcery	None	You may exile a black card from your hand rather than pay Unmask's mana cost.|Target player reveals his or her hand. You choose a nonland card from it. That player discards that card.		
