Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Ancient Tomb			Land		{T}: Add {2} to your mana pool. Ancient Tomb deals 2 damage to you.		
Boseiju, Who Shelters All		Legendary	Land		Boseiju, Who Shelters All enters the battlefield tapped.|{T}, Pay 2 life: Add {1} to your mana pool. If that mana is spent on an instant or sorcery spell, that spell can't be countered by spells or abilities.		
Cephalid Coliseum			Land		{T}: Add {U} to your mana pool. Cephalid Coliseum deals 1 damage to you.|Threshold - {U}, {T}, Sacrifice Cephalid Coliseum: Target player draws three cards, then discards three cards. Activate this ability only if seven or more cards are in your graveyard.		
Desert			Land	Desert	{T}: Add {1} to your mana pool.|{T}: Desert deals 1 damage to target attacking creature. Activate this ability only during the end of combat step.		
Dryad Arbor			Land,Creature	Forest,Dryad	(Dryad Arbor isn't a spell, it's affected by summoning sickness, and it has '{T}: Add {G} to your mana pool.')	1	1
Forbidden Orchard			Land		{T}: Add one mana of any color to your mana pool.|Whenever you tap Forbidden Orchard for mana, target opponent puts a 1/1 colorless Spirit creature token onto the battlefield.		
Glacial Chasm			Land		Cumulative upkeep-Pay 2 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)|When Glacial Chasm enters the battlefield, sacrifice a land.|Creatures you control can't attack.|Prevent all damage that would be dealt to you.		
Grove of the Burnwillows			Land		{T}: Add {1} to your mana pool.|{T}: Add {R} or {G} to your mana pool. Each opponent gains 1 life.		
High Market			Land		{T}: Add {1} to your mana pool.|{T}, Sacrifice a creature: You gain 1 life.		
Maze of Ith			Land		{T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.		
Murmuring Bosk			Land	Forest	({T}: Add {G} to your mana pool.)|As Murmuring Bosk enters the battlefield, you may reveal a Treefolk card from your hand. If you don't, Murmuring Bosk enters the battlefield tapped.|{T}: Add {W} or {B} to your mana pool. Murmuring Bosk deals 1 damage to you.		
Shivan Gorge		Legendary	Land		{T}: Add {1} to your mana pool.|{2}{R}, {T}: Shivan Gorge deals 1 damage to each opponent.		
Urborg, Tomb of Yawgmoth		Legendary	Land		Each land is a Swamp in addition to its other land types.		
Vesuva			Land		You may have Vesuva enter the battlefield tapped as a copy of any land on the battlefield.		
Windbrisk Heights			Land		Hideaway (This land enters the battlefield tapped. When it does, look at the top four cards of your library, exile one face down, then put the rest on the bottom of your library.)|{T}: Add {W} to your mana pool.|{W}, {T}: You may play the exiled card without paying its mana cost if you attacked with three or more creatures this turn.		
