Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Æther Vial	{1}		Artifact		At the beginning of your upkeep, you may put a charge counter on Æther Vial.|{T}: You may put a creature card with converted mana cost equal to the number of charge counters on Æther Vial from your hand onto the battlefield.		
Black Vise	{1}		Artifact		As Black Vise enters the battlefield, choose an opponent.|At the beginning of the chosen player's upkeep, Black Vise deals X damage to that player, where X is the number of cards in his or her hand minus 4.		
Isochron Scepter	{2}		Artifact		Imprint - When Isochron Scepter enters the battlefield, you may exile an instant card with converted mana cost 2 or less from your hand.|{2}, {T}: You may copy the exiled card. If you do, you may cast the copy without paying its mana cost.		
Ivory Tower	{1}		Artifact		At the beginning of your upkeep, you gain X life, where X is the number of cards in your hand minus 4.		
Jester's Cap	{4}		Artifact		{2}, {T}, Sacrifice Jester's Cap: Search target player's library for three cards and exile them. Then that player shuffles his or her library.		
Karn, Silver Golem	{5}	Legendary	Artifact,Creature	Golem	Whenever Karn, Silver Golem blocks or becomes blocked, it gets -4/+4 until end of turn.|{1}: Target noncreature artifact becomes an artifact creature with power and toughness each equal to its converted mana cost until end of turn.	4	4
Masticore	{4}		Artifact,Creature	Masticore	At the beginning of your upkeep, sacrifice Masticore unless you discard a card.|{2}: Masticore deals 1 damage to target creature.|{2}: Regenerate Masticore.	4	4
Memory Jar	{5}		Artifact		{T}, Sacrifice Memory Jar: Each player exiles all cards from his or her hand face down and draws seven cards. At the beginning of the next end step, each player discards his or her hand and returns to his or her hand each card he or she exiled this way.		
Mirari	{5}	Legendary	Artifact		Whenever you cast an instant or sorcery spell, you may pay {3}. If you do, copy that spell. You may choose new targets for the copy.		
Mox Diamond	{0}		Artifact		If Mox Diamond would enter the battlefield, you may discard a land card instead. If you do, put Mox Diamond onto the battlefield. If you don't, put it into its owner's graveyard.|{T}: Add one mana of any color to your mana pool.		
Nevinyrral's Disk	{4}		Artifact		Nevinyrral's Disk enters the battlefield tapped.|{1}, {T}: Destroy all artifacts, creatures, and enchantments.		
Sol Ring	{1}		Artifact		{T}: Add {2} to your mana pool.		
Sundering Titan	{8}		Artifact,Creature	Golem	When Sundering Titan enters the battlefield or leaves the battlefield, choose a land of each basic land type, then destroy those lands.	7	10
Sword of Body and Mind	{3}		Artifact	Equipment	Equipped creature gets +2/+2 and has protection from green and from blue.|Whenever equipped creature deals combat damage to a player, you put a 2/2 green Wolf creature token onto the battlefield and that player puts the top ten cards of his or her library into his or her graveyard.|Equip {2}		
Zuran Orb	{0}		Artifact		Sacrifice a land: You gain 2 life.		
