Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Akroma's Vengeance	{4}{W}{W}		Sorcery		Destroy all artifacts, creatures, and enchantments.|Cycling {3} ({3}, Discard this card: Draw a card.)		
Chainer's Edict	{1}{B}		Sorcery		Target player sacrifices a creature.|Flashback {5}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Chameleon Colossus	{2}{G}{G}		Creature	Shapeshifter	Changeling (This card is every creature type at all times.)|Protection from black|{2}{G}{G}: Chameleon Colossus gets +X/+X until end of turn, where X is its power.	4	4
Char	{2}{R}		Instant		Char deals 4 damage to target creature or player and 2 damage to you.		
Cruel Ultimatum	{U}{U}{B}{B}{B}{R}{R}		Sorcery		Target opponent sacrifices a creature, discards three cards, then loses 5 life. You return a creature card from your graveyard to your hand, draw three cards, then gain 5 life.		
Dark Ritual	{B}		Instant		Add {B}{B}{B} to your mana pool.		
Fact or Fiction	{3}{U}		Instant		Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.		
Fyndhorn Elves	{G}		Creature	Elf,Druid	{T}: Add {G} to your mana pool.	1	1
Gilded Lotus	{5}		Artifact		{T}: Add three mana of any one color to your mana pool.		
Green Sun's Zenith	{X}{G}		Sorcery		Search your library for a green creature card with converted mana cost X or less, put it onto the battlefield, then shuffle your library. Shuffle Green Sun's Zenith into its owner's library.		
Hymn to Tourach	{B}{B}		Sorcery		Target player discards two cards at random.		
Impulse	{1}{U}		Instant		Look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.		
Ink-Eyes, Servant of Oni	{4}{B}{B}	Legendary	Creature	Rat,Ninja	Ninjutsu {3}{B}{B} ({3}{B}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)|Whenever Ink-Eyes, Servant of Oni deals combat damage to a player, you may put target creature card from that player's graveyard onto the battlefield under your control.|{1}{B}: Regenerate Ink-Eyes.	5	4
Jace, the Mind Sculptor	{2}{U}{U}		Planeswalker	Jace	+2: Look at the top card of target player's library. You may put that card on the bottom of that player's library.|0: Draw three cards, then put two cards from your hand on top of your library in any order.|-1: Return target creature to its owner's hand.|-12: Exile all cards from target player's library, then that player shuffles his or her hand into his or her library.		
Kessig Wolf Run			Land		{T}: Add {1} to your mana pool.|{X}{R}{G}, {T}: Target creature gets +X/+0 and gains trample until end of turn.		
Swords to Plowshares	{W}		Instant		Exile target creature. Its controller gains life equal to its power.		
Tangle Wire	{3}		Artifact		Fading 4 (This artifact enters the battlefield with four fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)|At the beginning of each player's upkeep, that player taps an untapped artifact, creature, or land he or she controls for each fade counter on Tangle Wire.		
Thran Dynamo	{4}		Artifact		{T}: Add {3} to your mana pool.		
Venser, Shaper Savant	{2}{U}{U}	Legendary	Creature	Human,Wizard	Flash (You may cast this spell any time you could cast an instant.)|When Venser, Shaper Savant enters the battlefield, return target spell or permanent to its owner's hand.	2	2
Wall of Blossoms	{1}{G}		Creature	Plant,Wall	Defender|When Wall of Blossoms enters the battlefield, draw a card.	0	4
