Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Akroma's Memorial	{7}	Legendary	Artifact		Creatures you control have flying, first strike, vigilance, trample, haste, and protection from black and from red.		
Angel of Salvation	{6}{W}{W}		Creature	Angel	Flash; convoke (Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)|Flying|When Angel of Salvation enters the battlefield, prevent the next 5 damage that would be dealt this turn to any number of target creatures and/or players, divided as you choose.	5	5
Arc Blade	{3}{R}{R}		Sorcery		Arc Blade deals 2 damage to target creature or player. Exile Arc Blade with three time counters on it.|Suspend 3-{2}{R} (Rather than cast this card from your hand, you may pay {2}{R} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)		
Arcanum Wings	{1}{U}		Enchantment	Aura	Enchant creature|Enchanted creature has flying.|Aura swap {2}{U} ({2}{U}: Exchange this Aura with an Aura card in your hand.)		
Augur il-Vec	{1}{W}		Creature	Human,Cleric	Shadow (This creature can block or be blocked by only creatures with shadow.)|Sacrifice Augur il-Vec: You gain 4 life. Activate this ability only during your upkeep.	1	3
Augur of Skulls	{1}{B}		Creature	Skeleton,Wizard	{1}{B}: Regenerate Augur of Skulls.|Sacrifice Augur of Skulls: Target player discards two cards. Activate this ability only during your upkeep.	1	1
Aven Augur	{3}{U}		Creature	Bird,Wizard	Flying|Sacrifice Aven Augur: Return up to two target creatures to their owners' hands. Activate this ability only during your upkeep.	2	2
Aven Mindcensor	{2}{W}		Creature	Bird,Wizard	Flash (You may cast this spell any time you could cast an instant.)|Flying|If an opponent would search a library, that player searches the top four cards of that library instead.	2	1
Barren Glory	{4}{W}{W}		Enchantment		At the beginning of your upkeep, if you control no permanents other than Barren Glory and have no cards in hand, you win the game.		
Baru, Fist of Krosa	{3}{G}{G}	Legendary	Creature	Human,Druid	Whenever a Forest enters the battlefield, green creatures you control get +1/+1 and gain trample until end of turn.|Grandeur - Discard another card named Baru, Fist of Krosa: Put an X/X green Wurm creature token onto the battlefield, where X is the number of lands you control.	4	4
Bitter Ordeal	{2}{B}		Sorcery		Search target player's library for a card and exile it. Then that player shuffles his or her library.|Gravestorm (When you cast this spell, copy it for each permanent put into a graveyard this turn. You may choose new targets for the copies.)		
Blade of the Sixth Pride	{1}{W}		Creature	Cat,Rebel		3	1
Blind Phantasm	{2}{U}		Creature	Illusion		2	3
Bloodshot Trainee	{3}{R}		Creature	Goblin,Warrior	{T}: Bloodshot Trainee deals 4 damage to target creature. Activate this ability only if Bloodshot Trainee's power is 4 or greater.	2	3
Bogardan Lancer	{1}{R}		Creature	Human,Knight	Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)|Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)	1	1
Boldwyr Intimidator	{5}{R}{R}		Creature	Giant,Warrior	Cowards can't block Warriors.|{R}: Target creature becomes a Coward until end of turn.|{2}{R}: Target creature becomes a Warrior until end of turn.	5	5
Bonded Fetch	{2}{U}		Creature	Homunculus	Defender, haste|{T}: Draw a card, then discard a card.	0	2
Bound in Silence	{2}{W}		Tribal,Enchantment	Rebel,Aura	Enchant creature|Enchanted creature can't attack or block.		
Bridge from Below	{B}{B}{B}		Enchantment		Whenever a nontoken creature is put into your graveyard from the battlefield, if Bridge from Below is in your graveyard, put a 2/2 black Zombie creature token onto the battlefield.|When a creature is put into an opponent's graveyard from the battlefield, if Bridge from Below is in your graveyard, exile Bridge from Below.		
Centaur Omenreader	{3}{G}	Snow	Creature	Centaur,Shaman	As long as Centaur Omenreader is tapped, creature spells you cast cost {2} less to cast.	3	3
Char-Rumbler	{2}{R}{R}		Creature	Elemental	Double strike|{R}: Char-Rumbler gets +1/+0 until end of turn.		
Chronomantic Escape	{4}{W}{W}		Sorcery		Until your next turn, creatures can't attack you. Exile Chronomantic Escape with three time counters on it.|Suspend 3-{2}{W} (Rather than cast this card from your hand, you may pay {2}{W} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)		
