Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Act of Treason	{2}{R}	None	Sorcery	None	Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.)		
Adaptive Snapjaw	{4}{G}	None	Creature	Lizard,Beast	Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)	6	2
Aerial Maneuver	{1}{W}	None	Instant	None	Target creature gets +1/+1 and gains flying and first strike until end of turn.		
Ætherize	{3}{U}	None	Instant	None	Return all attacking creatures to their owner's hand.		
Agoraphobia	{1}{U}	None	Enchantment	Aura	Enchant creature|Enchanted creature gets -5/-0.|{2}{U}: Return Agoraphobia to its owner's hand.		
Alms Beast	{2}{W}{B}	None	Creature	Beast	Creatures blocking or blocked by Alms Beast have lifelink.	6	6
Alpha Authority	{1}{G}	None	Enchantment	Aura	Enchant creature|Enchanted creature has hexproof and can't be blocked by more than one creature.		
Angelic Edict	{4}{W}	None	Sorcery	None	Exile target creature or enchantment.		
Angelic Skirmisher	{4}{W}{W}	None	Creature	Angel	Flying|At the beginning of each combat, choose first strike, vigilance, or lifelink. Creatures you control gain that ability until end of turn.	4	4
Armored Transport	{3}	None	Artifact,Creature	Construct	Prevent all combat damage that would be dealt to Armored Transport by creatures blocking it.	2	1
Arrows of Justice	{2}{R/W}	None	Instant	None	Arrows of Justice deals 4 damage to target attacking or blocking creature.		
Assault Griffin	{3}{W}	None	Creature	Griffin	Flying	3	2
Assemble the Legion	{3}{R}{W}	None	Enchantment	None	At the beginning of your upkeep, put a muster counter on Assemble the Legion. Then put a 1/1 red and white Soldier creature token with haste onto the battlefield for each muster counter on Assemble the Legion.		
Aurelia, the Warleader	{2}{R}{R}{W}{W}	Legendary	Creature	Angel	Flying, vigilance, haste|Whenever Aurelia, the Warleader attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase.	3	4
Aurelia's Fury	{X}{R}{W}	None	Instant	None	Aurelia's Fury deals X damage divided as you choose among any number of target creatures and/or players. Tap each creature dealt damage this way. Players dealt damage this way can't cast noncreature spells this turn.		
Balustrade Spy	{3}{B}	None	Creature	Vampire,Rogue	Flying|When Balustrade Spy enters the battlefield, target player reveals cards from the top of his or her library until he or she reveals a land card, then puts those cards into his or her graveyard.	2	3
Bane Alley Broker	{1}{U}{B}	None	Creature	Human,Rogue	{T}: Draw a card, then exile a card from your hand face down.|You may look at cards exiled with Bane Alley Broker.|{U}{B}, {T}: Return a card exiled with Bane Alley Broker to its owner's hand.	0	3
Basilica Guards	{2}{W}	None	Creature	Human,Soldier	Defender|Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)	1	4
Basilica Screecher	{1}{B}	None	Creature	Bat	Flying|Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)	1	2
Beckon Apparition	{W/B}	None	Instant	None	Exile target card from a graveyard. Put a 1/1 white and black Spirit creature token with flying onto the battlefield.		
Biomass Mutation	{X}{G/U}{G/U}	None	Instant	None	Creatures you control become X/X until end of turn.		
Bioshift	{G/U}	None	Instant	None	Move any number of +1/+1 counters from target creature onto another target creature with the same controller.		
Biovisionary	{1}{G}{U}	None	Creature	Human,Wizard	At the beginning of the end step, if you control four or more creatures named Biovisionary, you win the game.	2	3
Blind Obedience	{1}{W}	None	Enchantment	None	Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)|Artifacts and creatures your opponents control enter the battlefield tapped.		
Bomber Corps	{1}{R}	None	Creature	Human,Soldier	Battalion - Whenever Bomber Corps and at least two other creatures attack, Bomber Corps deals 1 damage to target creature or player.	1	2
Borborygmos Enraged	{4}{R}{R}{G}{G}	Legendary	Creature	Cyclops	Trample|Whenever Borborygmos Enraged deals combat damage to a player, reveal the top three cards of your library. Put all land cards revealed this way into your hand and the rest into your graveyard.|Discard a land card: Borborygmos Enraged deals 3 damage to target creature or player.	7	6
