Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Absolver Thrull	{3}{W}		Creature	Thrull,Cleric	Haunt (When this creature dies, exile it haunting target creature.)|When Absolver Thrull enters the battlefield or the creature it haunts dies, destroy target enchantment.	2	3
Abyssal Nocturnus	{1}{B}{B}		Creature	Horror	Whenever an opponent discards a card, Abyssal Nocturnus gets +2/+2 and gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)	2	2
Ætherplasm	{2}{U}{U}		Creature	Illusion	Whenever Ætherplasm blocks a creature, you may return Ætherplasm to its owner's hand. If you do, you may put a creature card from your hand onto the battlefield blocking that creature.	1	1
Agent of Masks	{3}{W}{B}		Creature	Human,Advisor	At the beginning of your upkeep, each opponent loses 1 life. You gain life equal to the life lost this way.	2	3
Angel of Despair	{3}{W}{W}{B}{B}		Creature	Angel	Flying|When Angel of Despair enters the battlefield, destroy target permanent.	5	5
Battering Wurm	{6}{G}		Creature	Wurm	Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)|Creatures with power less than Battering Wurm's power can't block it.	4	3
Beastmaster's Magemark	{2}{G}		Enchantment	Aura	Enchant creature|Creatures you control that are enchanted get +1/+1.|Whenever a creature you control that's enchanted becomes blocked, it gets +1/+1 until end of turn for each creature blocking it.		
Belfry Spirit	{3}{W}{W}		Creature	Spirit	Flying|Haunt (When this creature dies, exile it haunting target creature.)|When Belfry Spirit enters the battlefield or the creature it haunts dies, put two 1/1 black Bat creature tokens with flying onto the battlefield.	1	1
Benediction of Moons	{W}		Sorcery		You gain 1 life for each player.|Haunt (When this spell card is put into a graveyard after resolving, exile it haunting target creature.)|When the creature Benediction of Moons haunts dies, you gain 1 life for each player.		
Bioplasm	{3}{G}{G}		Creature	Ooze	Whenever Bioplasm attacks, exile the top card of your library. If it's a creature card, Bioplasm gets +X/+Y until end of turn, where X is the exiled creature card's power and Y is its toughness.	4	4
Blind Hunter	{2}{W}{B}		Creature	Bat	Flying|Haunt (When this creature dies, exile it haunting target creature.)|When Blind Hunter enters the battlefield or the creature it haunts dies, target player loses 2 life and you gain 2 life.	2	2
Bloodscale Prowler	{2}{R}		Creature	Viashino,Warrior	Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)	3	1
Borborygmos	{3}{R}{R}{G}{G}	Legendary	Creature	Cyclops	Trample|Whenever Borborygmos deals combat damage to a player, put a +1/+1 counter on each creature you control.	6	7
Burning-Tree Bloodscale	{2}{R}{G}		Creature	Viashino,Berserker	Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)|{2}{R}: Target creature can't block Burning-Tree Bloodscale this turn.|{2}{G}: Target creature blocks Burning-Tree Bloodscale this turn if able.	2	2
Burning-Tree Shaman	{1}{R}{G}		Creature	Centaur,Shaman	Whenever a player activates an ability that isn't a mana ability, Burning-Tree Shaman deals 1 damage to that player.	3	4
Castigate	{W}{B}		Sorcery		Target opponent reveals his or her hand. You choose a nonland card from it and exile that card.		
Caustic Rain	{2}{B}{B}		Sorcery		Exile target land.		
Cerebral Vortex	{1}{U}{R}		Instant		Target player draws two cards, then Cerebral Vortex deals damage to that player equal to the number of cards he or she has drawn this turn.		
Conjurer's Ban	{W}{B}		Sorcery		Name a card. Until your next turn, the named card can't be played.|Draw a card.		
Crash Landing	{2}{G}		Instant		Target creature with flying loses flying until end of turn. Crash Landing deals damage to that creature equal to the number of Forests you control.		
Cremate	{B}		Instant		Exile target card from a graveyard.|Draw a card.		
Cry of Contrition	{B}		Sorcery		Target player discards a card.|Haunt (When this spell card is put into a graveyard after resolving, exile it haunting target creature.)|When the creature Cry of Contrition haunts dies, target player discards a card.		
Cryptwailing	{3}{B}		Enchantment		{1}, Exile two creature cards from your graveyard: Target player discards a card. Activate this ability only any time you could cast a sorcery.		
Crystal Seer	{4}{U}		Creature	Vedalken,Wizard	When Crystal Seer enters the battlefield, look at the top four cards of your library, then put them back in any order.|{4}{U}: Return Crystal Seer to its owner's hand.	2	2
Culling Sun	{2}{W}{W}{B}		Sorcery		Destroy each creature with converted mana cost 3 or less.		
Daggerclaw Imp	{2}{B}		Creature	Imp	Flying|Daggerclaw Imp can't block.	3	1
Debtors' Knell	{4}{W/B}{W/B}{W/B}		Enchantment		({W/B} can be paid with either {W} or {B}.)|At the beginning of your upkeep, put target creature card from a graveyard onto the battlefield under your control.		
Djinn Illuminatus	{5}{U/R}{U/R}		Creature	Djinn	({U/R} can be paid with either {U} or {R}.)|Flying|Each instant and sorcery spell you cast has replicate. The replicate cost is equal to its mana cost. (When you cast it, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)	3	5
Douse in Gloom	{2}{B}		Instant		Douse in Gloom deals 2 damage to target creature and you gain 2 life.		
Droning Bureaucrats	{3}{W}		Creature	Human,Advisor	{X}, {T}: Each creature with converted mana cost X can't attack or block this turn.	1	4
Drowned Rusalka	{U}		Creature	Spirit	{U}, Sacrifice a creature: Discard a card, then draw a card.	1	1
Dryad Sophisticate	{1}{G}		Creature	Dryad	Nonbasic landwalk	2	1
Dune-Brood Nephilim	{B}{R}{G}{W}		Creature	Nephilim	Whenever Dune-Brood Nephilim deals combat damage to a player, put a 1/1 colorless Sand creature token onto the battlefield for each land you control.	3	3
Earth Surge	{3}{G}		Enchantment		Each land gets +2/+2 as long as it's a creature.		
Electrolyze	{1}{U}{R}		Instant		Electrolyze deals 2 damage divided as you choose among one or two target creatures and/or players.|Draw a card.		
Exhumer Thrull	{5}{B}		Creature	Thrull	Haunt (When this creature dies, exile it haunting target creature.)|When Exhumer Thrull enters the battlefield or the creature it haunts dies, return target creature card from your graveyard to your hand.	3	3
Fencer's Magemark	{2}{R}		Enchantment	Aura	Enchant creature|Creatures you control that are enchanted get +1/+1 and have first strike.		
Feral Animist	{1}{R}{G}		Creature	Goblin,Shaman	{3}: Feral Animist gets +X/+0 until end of turn, where X is its power.	2	1
Frazzle	{3}{U}		Instant		Counter target nonblue spell.		
Gatherer of Graces	{1}{G}		Creature	Human,Druid	Gatherer of Graces gets +1/+1 for each Aura attached to it.|Sacrifice an Aura: Regenerate Gatherer of Graces.	1	2
Gelectrode	{1}{U}{R}		Creature	Weird	{T}: Gelectrode deals 1 damage to target creature or player.|Whenever you cast an instant or sorcery spell, you may untap Gelectrode.	0	1
Ghor-Clan Bloodscale	{3}{R}		Creature	Viashino,Warrior	First strike|{3}{G}: Ghor-Clan Bloodscale gets +2/+2 until end of turn. Activate this ability only once each turn.	2	1
Ghor-Clan Savage	{3}{G}{G}		Creature	Centaur,Berserker	Bloodthirst 3 (If an opponent was dealt damage this turn, this creature enters the battlefield with three +1/+1 counters on it.)	2	3
Ghost Council of Orzhova	{W}{W}{B}{B}	Legendary	Creature	Spirit	When Ghost Council of Orzhova enters the battlefield, target opponent loses 1 life and you gain 1 life.|{1}, Sacrifice a creature: Exile Ghost Council of Orzhova. Return it to the battlefield under its owner's control at the beginning of the next end step.	4	4
Ghost Warden	{1}{W}		Creature	Spirit	{T}: Target creature gets +1/+1 until end of turn.	1	1
Ghostway	{2}{W}		Instant		Exile each creature you control. Return those cards to the battlefield under their owner's control at the beginning of the next end step.		
Giant Solifuge	{2}{R/G}{R/G}		Creature	Insect	({R/G} can be paid with either {R} or {G}.)|Trample; haste; shroud (This permanent can't be the target of spells or abilities.)	4	1
Gigadrowse	{U}		Instant		Replicate {U} (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)|Tap target permanent.		
Glint-Eye Nephilim	{U}{B}{R}{G}		Creature	Nephilim	Whenever Glint-Eye Nephilim deals combat damage to a player, draw that many cards.|{1}, Discard a card: Glint-Eye Nephilim gets +1/+1 until end of turn.	2	2
Goblin Flectomancer	{U}{R}{R}		Creature	Goblin,Wizard	Sacrifice Goblin Flectomancer: You may change the targets of target instant or sorcery spell.	2	2
Godless Shrine			Land	Plains,Swamp	({T}: Add {W} or {B} to your mana pool.)|As Godless Shrine enters the battlefield, you may pay 2 life. If you don't, Godless Shrine enters the battlefield tapped.		
Graven Dominator	{4}{W}{W}		Creature	Gargoyle	Flying|Haunt (When this creature dies, exile it haunting target creature.)|When Graven Dominator enters the battlefield or the creature it haunts dies, each other creature becomes 1/1 until end of turn.	4	4
Gristleback	{2}{G}		Creature	Boar,Beast	Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)|Sacrifice Gristleback: You gain life equal to Gristleback's power.	2	2
Gruul Guildmage	{R/G}{R/G}		Creature	Human,Shaman	({R/G} can be paid with either {R} or {G}.)|{3}{R}, Sacrifice a land: Gruul Guildmage deals 2 damage to target player.|{3}{G}: Target creature gets +2/+2 until end of turn.	2	2
Gruul Nodorog	{4}{G}{G}		Creature	Beast	{R}: Gruul Nodorog can't be blocked this turn except by two or more creatures.	4	4
Gruul Scrapper	{3}{G}		Creature	Human,Berserker	When Gruul Scrapper enters the battlefield, if {R} was spent to cast Gruul Scrapper, it gains haste until end of turn.	3	2
Gruul Signet	{2}		Artifact		{1}, {T}: Add {R}{G} to your mana pool.		
Gruul Turf			Land		Gruul Turf enters the battlefield tapped.|When Gruul Turf enters the battlefield, return a land you control to its owner's hand.|{T}: Add {R}{G} to your mana pool.		
Gruul War Plow	{4}		Artifact		Creatures you control have trample.|{1}{R}{G}: Gruul War Plow becomes a 4/4 Juggernaut artifact creature until end of turn.		
Guardian's Magemark	{2}{W}		Enchantment	Aura	Flash|Enchant creature|Creatures you control that are enchanted get +1/+1.		
Harrier Griffin	{5}{W}		Creature	Griffin	Flying|At the beginning of your upkeep, tap target creature.	3	3
Hatching Plans	{1}{U}		Enchantment		When Hatching Plans is put into a graveyard from the battlefield, draw three cards.		
Hissing Miasma	{1}{B}{B}		Enchantment		Whenever a creature attacks you, its controller loses 1 life.		
Hypervolt Grasp	{2}{R}		Enchantment	Aura	Enchant creature|Enchanted creature has '{T}: This creature deals 1 damage to target creature or player.'|{1}{U}: Return Hypervolt Grasp to its owner's hand.		
Infiltrator's Magemark	{2}{U}		Enchantment	Aura	Enchant creature|Creatures you control that are enchanted get +1/+1 and can't be blocked except by creatures with defender.		
Ink-Treader Nephilim	{R}{G}{W}{U}		Creature	Nephilim	Whenever a player casts an instant or sorcery spell, if that spell targets only Ink-Treader Nephilim, copy the spell for each other creature that spell could target. Each copy targets a different one of those creatures.	3	3
Invoke the Firemind	{X}{U}{U}{R}		Sorcery		Choose one - Draw X cards; or Invoke the Firemind deals X damage to target creature or player.		
Izzet Boilerworks			Land		Izzet Boilerworks enters the battlefield tapped.|When Izzet Boilerworks enters the battlefield, return a land you control to its owner's hand.|{T}: Add {U}{R} to your mana pool.		
Izzet Chronarch	{3}{U}{R}		Creature	Human,Wizard	When Izzet Chronarch enters the battlefield, return target instant or sorcery card from your graveyard to your hand.	2	2
Izzet Guildmage	{U/R}{U/R}		Creature	Human,Wizard	({U/R} can be paid with either {U} or {R}.)|{2}{U}: Copy target instant spell you control with converted mana cost 2 or less. You may choose new targets for the copy.|{2}{R}: Copy target sorcery spell you control with converted mana cost 2 or less. You may choose new targets for the copy.	2	2
Izzet Signet	{2}		Artifact		{1}, {T}: Add {U}{R} to your mana pool.		
Killer Instinct	{4}{R}{G}		Enchantment		At the beginning of your upkeep, reveal the top card of your library. If it's a creature card, put it onto the battlefield. That creature gains haste until end of turn. Sacrifice it at the beginning of the next end step.		
Leap of Flame	{U}{R}		Instant		Replicate {U}{R} (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)|Target creature gets +1/+0 and gains flying and first strike until end of turn.		
Leyline of Lifeforce	{2}{G}{G}		Enchantment		If Leyline of Lifeforce is in your opening hand, you may begin the game with it on the battlefield.|Creature spells can't be countered.		
Leyline of Lightning	{2}{R}{R}		Enchantment		If Leyline of Lightning is in your opening hand, you may begin the game with it on the battlefield.|Whenever you cast a spell, you may pay {1}. If you do, Leyline of Lightning deals 1 damage to target player.		
Leyline of Singularity	{2}{U}{U}		Enchantment		If Leyline of Singularity is in your opening hand, you may begin the game with it on the battlefield.|All nonland permanents are legendary.		
Leyline of the Meek	{2}{W}{W}		Enchantment		If Leyline of the Meek is in your opening hand, you may begin the game with it on the battlefield.|Creature tokens get +1/+1.		
Leyline of the Void	{2}{B}{B}		Enchantment		If Leyline of the Void is in your opening hand, you may begin the game with it on the battlefield.|If a card would be put into an opponent's graveyard from anywhere, exile it instead.		
Lionheart Maverick	{W}		Creature	Human,Knight	Vigilance|{4}{W}: Lionheart Maverick gets +1/+2 until end of turn.	1	1
Living Inferno	{6}{R}{R}		Creature	Elemental	{T}: Living Inferno deals damage equal to its power divided as you choose among any number of target creatures. Each of those creatures deals damage equal to its power to Living Inferno.	8	5
Martyred Rusalka	{W}		Creature	Spirit	{W}, Sacrifice a creature: Target creature can't attack this turn.	1	1
Mimeofacture	{3}{U}		Sorcery		Replicate {3}{U} (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)|Choose target permanent an opponent controls. Search that player's library for a card with the same name and put it onto the battlefield under your control. Then that player shuffles his or her library.		
Mizzium Transreliquat	{3}		Artifact		{3}: Mizzium Transreliquat becomes a copy of target artifact until end of turn.|{1}{U}{R}: Mizzium Transreliquat becomes a copy of target artifact and gains this ability.		
Moratorium Stone	{1}		Artifact		{2}, {T}: Exile target card from a graveyard.|{2}{W}{B}, {T}, Sacrifice Moratorium Stone: Exile target nonland card from a graveyard, all other cards from graveyards with the same name as that card, and all permanents with that name.		
Mortify	{1}{W}{B}		Instant		Destroy target creature or enchantment.		
Mourning Thrull	{1}{W/B}		Creature	Thrull	({W/B} can be paid with either {W} or {B}.)|Flying|Whenever Mourning Thrull deals damage, you gain that much life.	1	1
Necromancer's Magemark	{2}{B}		Enchantment	Aura	Enchant creature|Creatures you control that are enchanted get +1/+1.|If a creature you control that's enchanted would die, return it to its owner's hand instead.		
Nivix, Aerie of the Firemind			Land		{T}: Add {1} to your mana pool.|{2}{U}{R}, {T}: Exile the top card of your library. Until your next turn, you may cast that card if it's an instant or sorcery.		
Niv-Mizzet, the Firemind	{2}{U}{U}{R}{R}	Legendary	Creature	Dragon,Wizard	Flying|Whenever you draw a card, Niv-Mizzet, the Firemind deals 1 damage to target creature or player.|{T}: Draw a card.	4	4
Ogre Savant	{4}{R}		Creature	Ogre,Wizard	When Ogre Savant enters the battlefield, if {U} was spent to cast Ogre Savant, return target creature to its owner's hand.	3	2
Order of the Stars	{W}		Creature	Human,Cleric	Defender (This creature can't attack.)|As Order of the Stars enters the battlefield, choose a color.|Order of the Stars has protection from the chosen color.	0	1
Orzhov Basilica			Land		Orzhov Basilica enters the battlefield tapped.|When Orzhov Basilica enters the battlefield, return a land you control to its owner's hand.|{T}: Add {W}{B} to your mana pool.		
Orzhov Euthanist	{2}{B}		Creature	Human,Assassin	Haunt (When this creature dies, exile it haunting target creature.)|When Orzhov Euthanist enters the battlefield or the creature it haunts dies, destroy target creature that was dealt damage this turn.	2	2
Orzhov Guildmage	{W/B}{W/B}		Creature	Human,Wizard	{2}{W}: Target player gains 1 life.|{2}{B}: Each player loses 1 life.	2	2
Orzhov Pontiff	{1}{W}{B}		Creature	Human,Cleric	Haunt (When this creature dies, exile it haunting target creature.)|When Orzhov Pontiff enters the battlefield or the creature it haunts dies, choose one - Creatures you control get +1/+1 until end of turn; or creatures you don't control get -1/-1 until end of turn.	1	1
Orzhov Signet	{2}		Artifact		{1}, {T}: Add {W}{B} to your mana pool.		
Orzhova, the Church of Deals			Land		{T}: Add {1} to your mana pool.|{3}{W}{B}, {T}: Target player loses 1 life and you gain 1 life.		
Ostiary Thrull	{3}{B}		Creature	Thrull	{W}, {T}: Tap target creature.	2	2
