Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abbey Gargoyles	{2}{W}{W}{W}		Creature	Gargoyle	Flying, protection from red	3	4
Abbey Matron	{2}{W}		Creature	Human,Cleric	{W}, {T}: Abbey Matron gets +0/+3 until end of turn.	1	3
Æther Storm	{3}{U}		Enchantment		Creature spells can't be cast.|Pay 4 life: Destroy Æther Storm. It can't be regenerated. Any player may activate this ability.		
Aliban's Tower	{1}{R}		Instant		Target blocking creature gets +3/+1 until end of turn.		
Ambush	{3}{R}		Instant		Blocking creatures gain first strike until end of turn.		
Ambush Party	{4}{R}		Creature	Human,Rogue	First strike, haste	3	1
Anaba Ancestor	{1}{R}		Creature	Minotaur,Spirit	{T}: Another target Minotaur creature gets +1/+1 until end of turn.	1	1
Anaba Bodyguard	{3}{R}		Creature	Minotaur	First strike (This creature deals combat damage before creatures without first strike.)	2	3
Anaba Shaman	{3}{R}		Creature	Minotaur,Shaman	{R}, {T}: Anaba Shaman deals 1 damage to target creature or player.	2	2
Anaba Spirit Crafter	{2}{R}{R}		Creature	Minotaur,Shaman	Minotaur creatures get +1/+0.	1	3
An-Havva Constable	{1}{G}{G}		Creature	Human	An-Havva Constable's toughness is equal to 1 plus the number of green creatures on the battlefield.		
An-Havva Inn	{1}{G}{G}		Sorcery		You gain X plus 1 life, where X is the number of green creatures on the battlefield.		
An-Havva Township			Land		{T}: Add {1} to your mana pool.||{1}, {T}: Add {G} to your mana pool.||{2}, {T}: Add {R} or {W} to your mana pool.		
An-Zerrin Ruins	{2}{R}{R}		Enchantment		As An-Zerrin Ruins enters the battlefield, choose a creature type.|Creatures of the chosen type don't untap during their controllers' untap steps.		
Apocalypse Chime	{2}		Artifact		{2}, {T}, Sacrifice Apocalypse Chime: Destroy all nontoken permanents originally printed in the Homelands expansion. They can't be regenerated.		
Autumn Willow	{4}{G}{G}	Legendary	Creature	Avatar	Shroud|{G}: Until end of turn, Autumn Willow can be the target of spells and abilities controlled by target player as though it didn't have shroud.	4	4
Aysen Abbey			Land		{T}: Add {1} to your mana pool.||{1}, {T}: Add {W} to your mana pool.||{2}, {T}: Add {G} or {U} to your mana pool.		
Aysen Bureaucrats	{1}{W}		Creature	Human,Advisor	{T}: Tap target creature with power 2 or less.	1	1
Aysen Crusader	{2}{W}{W}		Creature	Human,Knight	Aysen Crusader's power and toughness are each equal to 2 plus the number of Soldiers and Warriors you control.		
Aysen Highway	{3}{W}{W}{W}		Enchantment		White creatures have plainswalk.		
Baki's Curse	{2}{U}{U}		Sorcery		Baki's Curse deals 2 damage to each creature for each Aura attached to that creature.		
Baron Sengir	{5}{B}{B}{B}	Legendary	Creature	Vampire	Flying|Whenever a creature dealt damage by Baron Sengir this turn dies, put a +2/+2 counter on Baron Sengir.|{T}: Regenerate another target Vampire.	5	5
Beast Walkers	{1}{W}{W}		Creature	Human,Beast,Soldier	{G}: Beast Walkers gains banding until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)	2	2
Black Carriage	{3}{B}{B}		Creature	Horse	Trample|Black Carriage doesn't untap during your untap step.|Sacrifice a creature: Untap Black Carriage. Activate this ability only during your upkeep.	4	4
Broken Visage	{4}{B}		Instant		Destroy target nonartifact attacking creature. It can't be regenerated. Put a black Spirit creature token with that creature's power and toughness onto the battlefield. Sacrifice the token at the beginning of the next end step.		
Carapace	{G}		Enchantment	Aura	Enchant creature|Enchanted creature gets +0/+2.|Sacrifice Carapace: Regenerate enchanted creature.		
Castle Sengir			Land		{T}: Add {1} to your mana pool.||{1}, {T}: Add {B} to your mana pool.||{2}, {T}: Add {U} or {R} to your mana pool.		
Cemetery Gate	{2}{B}		Creature	Wall	Defender (This creature can't attack.)|Protection from black	0	5
Chain Stasis	{U}		Instant		You may tap or untap target creature. Then that creature's controller may pay {2}{U}. If the player does, he or she may copy this spell and may choose a new target for that copy.		
Chandler	{4}{R}	Legendary	Creature	Human,Rogue	{R}{R}{R}, {T}: Destroy target artifact creature.	3	3
Clockwork Gnomes	{4}		Artifact,Creature	Gnome	{3}, {T}: Regenerate target artifact creature.	2	2
Clockwork Steed	{4}		Artifact,Creature	Horse	Clockwork Steed enters the battlefield with four +1/+0 counters on it.|Clockwork Steed can't be blocked by artifact creatures.|At end of combat, if Clockwork Steed attacked or blocked this combat, remove a +1/+0 counter from it.|{X}, {T}: Put up to X +1/+0 counters on Clockwork Steed. This ability can't cause the total number of +1/+0 counters on Clockwork Steed to be greater than four. Activate this ability only during your upkeep.	0	3
Clockwork Swarm	{4}		Artifact,Creature	Insect	Clockwork Swarm enters the battlefield with four +1/+0 counters on it.|Clockwork Swarm can't be blocked by Walls.|At end of combat, if Clockwork Swarm attacked or blocked this combat, remove a +1/+0 counter from it.|{X}, {T}: Put up to X +1/+0 counters on Clockwork Swarm. This ability can't cause the total number of +1/+0 counters on Clockwork Swarm to be greater than four. Activate this ability only during your upkeep.	0	3
Coral Reef	{U}{U}		Enchantment		Coral Reef enters the battlefield with four polyp counters on it.|Sacrifice an Island: Put two polyp counters on Coral Reef.|{U}, Tap an untapped blue creature you control, Remove a polyp counter from Coral Reef: Put a +0/+1 counter on target creature.		
Dark Maze	{4}{U}		Creature	Wall	Defender (This creature can't attack.)|{0}: Dark Maze can attack this turn as though it didn't have defender. Exile it at the beginning of the next end step.	4	5
Daughter of Autumn	{2}{G}{G}	Legendary	Creature	Avatar	{W}: The next 1 damage that would be dealt to target white creature this turn is dealt to Daughter of Autumn instead.	2	4
Death Speakers	{W}		Creature	Human,Cleric	Protection from black	1	1
Didgeridoo	{1}		Artifact		{3}: You may put a Minotaur permanent card from your hand onto the battlefield.		
Drudge Spell	{B}{B}		Enchantment		{B}, Exile two creature cards from your graveyard: Put a 1/1 black Skeleton creature token onto the battlefield. It has '{B}: Regenerate this creature.'|When Drudge Spell leaves the battlefield, destroy all Skeleton tokens. They can't be regenerated.		
Dry Spell	{1}{B}		Sorcery		Dry Spell deals 1 damage to each creature and each player.		
Dwarven Pony	{R}		Creature	Horse	{1}{R}, {T}: Target Dwarf creature gains mountainwalk until end of turn.	1	1
Dwarven Sea Clan	{2}{R}		Creature	Dwarf	{T}: Choose target attacking or blocking creature whose controller controls an Island. Dwarven Sea Clan deals 2 damage to that creature at end of combat. Activate this ability only before the end of combat step.	1	1
Dwarven Trader	{R}		Creature	Dwarf		1	1
Ebony Rhino	{7}		Artifact,Creature	Rhino	Trample	4	5
Eron the Relentless	{3}{R}{R}	Legendary	Creature	Human,Rogue	Haste|{R}{R}{R}: Regenerate Eron the Relentless.	5	2
Evaporate	{2}{R}		Sorcery		Evaporate deals 1 damage to each white and/or blue creature.		
Faerie Noble	{2}{G}		Creature	Faerie	Flying|Other Faerie creatures you control get +0/+1.|{T}: Other Faerie creatures you control get +1/+0 until end of turn.	1	2
Feast of the Unicorn	{3}{B}		Enchantment	Aura	Enchant creature|Enchanted creature gets +4/+0.		
Feroz's Ban	{6}		Artifact		Creature spells cost {2} more to cast.		
Folk of An-Havva	{G}		Creature	Human	Whenever Folk of An-Havva blocks, it gets +2/+0 until end of turn.	1	1
Forget	{U}{U}		Sorcery		Target player discards two cards, then draws as many cards as he or she discarded this way.		
Funeral March	{1}{B}{B}		Enchantment	Aura	Enchant creature|When enchanted creature leaves the battlefield, its controller sacrifices a creature.		
Ghost Hounds	{1}{B}		Creature	Hound,Spirit	Vigilance|Whenever Ghost Hounds blocks or becomes blocked by a white creature, Ghost Hounds gains first strike until end of turn.	1	1
Giant Albatross	{1}{U}		Creature	Bird	Flying|When Giant Albatross dies, you may pay {1}{U}. If you do, for each creature that dealt damage to Giant Albatross this turn, destroy that creature unless its controller pays 2 life. A creature destroyed this way can't be regenerated.	1	1
Giant Oyster	{2}{U}{U}		Creature	Oyster	You may choose not to untap Giant Oyster during your untap step.|{T}: For as long as Giant Oyster remains tapped, target tapped creature doesn't untap during its controller's untap step, and at the beginning of each of your draw steps, put a -1/-1 counter on that creature. When Giant Oyster leaves the battlefield or becomes untapped, remove all -1/-1 counters from the creature.	0	3
Grandmother Sengir	{4}{B}	Legendary	Creature	Human,Wizard	{1}{B}, {T}: Target creature gets -1/-1 until end of turn.	3	3
