Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Abattoir Ghoul	{3}{B}		Creature	Zombie	First strike|Whenever a creature dealt damage by Abattoir Ghoul this turn dies, you gain life equal to that creature's toughness.	3	2
Abbey Griffin	{3}{W}		Creature	Griffin	Flying, vigilance	2	2
Altar's Reap	{1}{B}		Instant		As an additional cost to cast Altar's Reap, sacrifice a creature.|Draw two cards.		
Ambush Viper	{1}{G}		Creature	Snake	Flash (You may cast this spell any time you could cast an instant.)|Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)	2	1
Ancient Grudge	{1}{R}		Instant		Destroy target artifact.|Flashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Angel of Flight Alabaster	{4}{W}		Creature	Angel	Flying|At the beginning of your upkeep, return target Spirit card from your graveyard to your hand.	4	4
Angelic Overseer	{3}{W}{W}		Creature	Angel	Flying|As long as you control a Human, Angelic Overseer has hexproof and indestructible.	5	3
Armored Skaab	{2}{U}		Creature	Zombie,Warrior	When Armored Skaab enters the battlefield, put the top four cards of your library into your graveyard.	1	4
Army of the Damned	{5}{B}{B}{B}		Sorcery		Put thirteen 2/2 black Zombie creature tokens onto the battlefield tapped.|Flashback {7}{B}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Ashmouth Hound	{1}{R}		Creature	Elemental,Hound	Whenever Ashmouth Hound blocks or becomes blocked by a creature, Ashmouth Hound deals 1 damage to that creature.	2	1
Avacynian Priest	{1}{W}		Creature	Human,Cleric	{1}, {T}: Tap target non-Human creature.	1	2
Avacyn's Pilgrim	{G}		Creature	Human,Monk	{T}: Add {W} to your mana pool.	1	1
Back from the Brink	{4}{U}{U}		Enchantment		Exile a creature card from your graveyard and pay its mana cost: Put a token onto the battlefield that's a copy of that card. Activate this ability only any time you could cast a sorcery.		
Balefire Dragon	{5}{R}{R}		Creature	Dragon	Flying|Whenever Balefire Dragon deals combat damage to a player, it deals that much damage to each creature that player controls.	6	6
Bane of Hanweir			Creature	Werewolf	Bane of Hanweir attacks each turn if able.|At the beginning of each upkeep, if a player cast two or more spells last turn, transform Bane of Hanweir.	5	5
