Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Absorb	{W}{U}{U}		Instant		Counter target spell. You gain 3 life.		
Addle	{1}{B}		Sorcery		Choose a color. Target player reveals his or her hand and you choose a card of that color from it. That player discards that card.		
Æther Rift	{1}{R}{G}		Enchantment		At the beginning of your upkeep, discard a card at random. If you discard a creature card this way, return it from your graveyard to the battlefield unless any player pays 5 life.		
Aggressive Urge	{1}{G}		Instant		Target creature gets +1/+1 until end of turn.|Draw a card.		
Agonizing Demise	{3}{B}		Instant		Kicker {1}{R} (You may pay an additional {1}{R} as you cast this spell.)|Destroy target nonblack creature. It can't be regenerated. If Agonizing Demise was kicked, it deals damage equal to that creature's power to the creature's controller.		
Alabaster Leech	{W}		Creature	Leech	White spells you cast cost {W} more to cast.	1	3
Alloy Golem	{6}		Artifact,Creature	Golem	As Alloy Golem enters the battlefield, choose a color.|Alloy Golem is the chosen color. (It's still an artifact.)	4	4
Ancient Kavu	{3}{R}		Creature	Kavu	{2}: Ancient Kavu becomes colorless until end of turn.	3	3
Ancient Spring			Land		Ancient Spring enters the battlefield tapped.|{T}: Add {U} to your mana pool.|{T}, Sacrifice Ancient Spring: Add {W}{B} to your mana pool.		
Andradite Leech	{2}{B}		Creature	Leech	Black spells you cast cost {B} more to cast.|{B}: Andradite Leech gets +1/+1 until end of turn.	2	2
Angel of Mercy	{4}{W}		Creature	Angel	Flying|When Angel of Mercy enters the battlefield, you gain 3 life.	3	3
Angelic Shield	{W}{U}		Enchantment		Creatures you control get +0/+1.|Sacrifice Angelic Shield: Return target creature to its owner's hand.		
Annihilate	{3}{B}{B}		Instant		Destroy target nonblack creature. It can't be regenerated.|Draw a card.		
Archaeological Dig			Land		{T}: Add {1} to your mana pool.||{T}, Sacrifice Archaeological Dig: Add one mana of any color to your mana pool.		
Ardent Soldier	{1}{W}		Creature	Human,Soldier	Kicker {2} (You may pay an additional {2} as you cast this spell.)|Vigilance|If Ardent Soldier was kicked, it enters the battlefield with a +1/+1 counter on it.	1	2
Armadillo Cloak	{1}{G}{W}		Enchantment	Aura	Enchant creature|Enchanted creature gets +2/+2 and has trample.|Whenever enchanted creature deals damage, you gain that much life.		
Armored Guardian	{3}{W}{U}		Creature	Cat,Soldier	{1}{W}{W}: Target creature you control gains protection from the color of your choice until end of turn.|{1}{U}{U}: Armored Guardian gains shroud until end of turn. (It can't be the target of spells or abilities.)	2	5
