Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Aegis of the Gods	{1}{W}	None	Enchantment,Creature	Human,Soldier	You have hexproof. (You can't be the target of spells or abilities your opponents control.)	2	1
Aerial Formation	{U}	None	Instant	None	Strive - Aerial Formation costs {2}{U} more to cast for each target beyond the first.|Any number of target creatures each get +1/+1 and gain flying until end of turn.		
Agent of Erebos	{3}{B}	None	Enchantment,Creature	Zombie	Constellation - Whenever Agent of Erebos or another enchantment enters the battlefield under your control, exile all cards from target player's graveyard.	2	2
Ajani, Mentor of Heroes	{3}{G}{W}	None	Planeswalker	Ajani	+1: Distribute three +1/+1 counters among one, two, or three target creatures you control.|+1: Look at the top four cards of your library. You may reveal an Aura, creature, or planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in any order.|−8: You gain 100 life.		
Ajani's Presence	{W}	None	Instant	None	Strive - Ajani's Presence costs {2}{W} more to cast for each target beyond the first.|Any number of target creatures each get +1/+1 and gain indestructible until end of turn. (Damage and effects that say 'destroy' don't destroy them.)		
Akroan Line Breaker	{2}{R}	None	Creature	Human,Warrior	Heroic - Whenever you cast a spell that targets Akroan Line Breaker, Akroan Line Breaker gets +2/+0 and gains intimidate until end of turn. (It can't be blocked except by artifact creatures and/or creatures that share a color with it.)	2	1
Akroan Mastiff	{3}{W}	None	Creature	Hound	{W}, {T}: Tap target creature.	2	2
Armament of Nyx	{2}{W}	None	Enchantment	Aura	Enchant creature|Enchanted creature has double strike as long as it's an enchantment. Otherwise, prevent all damage that would be dealt by enchanted creature. (A creature with double strike deals both first-strike and regular combat damage.)		
Armory of Iroas	{2}	None	Artifact	Equipment	Whenever equipped creature attacks, put a +1/+1 counter on it.|Equip {2}		
Aspect of Gorgon	{2}{B}	None	Enchantment	Aura	Enchant creature|Enchanted creature gets +1/+3 and has deathtouch. (Any amount of damage it deals to a creature is enough to destroy it.)		
Athreos, God of Passage	{1}{W}{B}	Legendary	Enchantment,Creature	God	Indestructible|As long as your devotion to white and black is less than seven, Athreos isn't a creature.|Whenever another creature you own dies, return it to your hand unless target opponent pays 3 life.	5	4
Banishing Light	{2}{W}	None	Enchantment	None	When Banishing Light enters the battlefield, exile target nonland permanent an opponent controls until Banishing Light leaves the battlefield. (That permanent returns under its owner's control.)		
Bassara Tower Archer	{G}{G}	None	Creature	Human,Archer	Hexproof, reach	2	1
Battlefield Thaumaturge	{1}{U}	None	Creature	Human,Wizard	Each instant and sorcery spell you cast costs {1} less to cast for each creature it targets.|Heroic - Whenever you cast a spell that targets Battlefield Thaumaturge, Battlefield Thaumaturge gains hexproof until end of turn.	2	1
Bearer of the Heavens	{7}{R}	None	Creature	Giant	When Bearer of the Heavens dies, destroy all permanents at the beginning of the next end step.	10	10
Bladetusk Boar	{3}{R}	None	Creature	Boar	Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)	3	2
Blinding Flare	{R}	None	Sorcery	None	Strive - Blinding Flare costs {R} more to cast for each target beyond the first.|Any number of target creatures can't block this turn.		
Bloodcrazed Hoplite	{1}{B}	None	Creature	Human,Soldier	Heroic - Whenever you cast a spell that targets Bloodcrazed Hoplite, put a +1/+1 counter on it.|Whenever a +1/+1 counter is placed on Bloodcrazed Hoplite, remove a +1/+1 counter from target creature an opponent controls.	2	1
Brain Maggot	{1}{B}	None	Enchantment,Creature	Insect	When Brain Maggot enters the battlefield, target opponent reveals his or her hand and you choose a nonland card from it. Exile that card until Brain Maggot leaves the battlefield.	1	1
Cast into Darkness	{1}{B}	None	Enchantment	Aura	Enchant creature|Enchanted creature gets -2/-0 and can't block.		
Chariot of Victory	{3}	None	Artifact	Equipment	Equipped creature has first strike, trample, and haste.|Equip {1}		
