Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Ancestor's Chosen	{5}{W}{W}		Creature	Human,Cleric	First strike (This creature deals combat damage before creatures without first strike.)|When Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.	4	4
Anger	{3}{R}		Creature	Incarnation	Haste|As long as Anger is in your graveyard and you control a Mountain, creatures you control have haste.	2	2
Anurid Barkripper	{1}{G}{G}		Creature	Frog,Beast	Threshold - Anurid Barkripper gets +2/+2 as long as seven or more cards are in your graveyard.	2	2
Anurid Brushhopper	{1}{G}{W}		Creature	Frog,Beast	Discard two cards: Exile Anurid Brushhopper. Return it to the battlefield under its owner's control at the beginning of the next end step.	3	4
Anurid Swarmsnapper	{2}{G}		Creature	Frog,Beast	Reach (This creature can block creatures with flying.)|{1}{G}: Anurid Swarmsnapper can block an additional creature this turn.	1	4
Arcane Teachings	{2}{R}		Enchantment	Aura	Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)|Enchanted creature gets +2/+2 and has '{T}: This creature deals 1 damage to target creature or player.'		
Aven Fogbringer	{3}{U}		Creature	Bird,Wizard	Flying|When Aven Fogbringer enters the battlefield, return target land to its owner's hand.	2	1
Aven Warcraft	{2}{W}		Instant		Creatures you control get +0/+2 until end of turn.|Threshold - If seven or more cards are in your graveyard, choose a color. Creatures you control also gain protection from the chosen color until end of turn.		
Balthor the Defiled	{2}{B}{B}	Legendary	Creature	Zombie,Dwarf	Minion creatures get +1/+1.|{B}{B}{B}, Exile Balthor the Defiled: Each player returns all black and all red creature cards from his or her graveyard to the battlefield.	2	2
Barbarian Bully	{2}{R}		Creature	Human,Barbarian	Discard a card at random: Barbarian Bully gets +2/+2 until end of turn unless a player has Barbarian Bully deal 4 damage to him or her. Activate this ability only once each turn.	2	2
Battle Screech	{2}{W}{W}		Sorcery		Put two 1/1 white Bird creature tokens with flying onto the battlefield.|Flashback-Tap three untapped white creatures you control. (You may cast this card from your graveyard for its flashback cost. Then exile it.)		
Battlefield Scrounger	{3}{G}{G}		Creature	Centaur	Threshold - Put three cards from your graveyard on the bottom of your library: Battlefield Scrounger gets +3/+3 until end of turn. Activate this ability only once each turn, and only if seven or more cards are in your graveyard.	3	3
Battlewise Aven	{3}{W}		Creature	Bird,Soldier	Flying|Threshold - As long as seven or more cards are in your graveyard, Battlewise Aven gets +1/+1 and has first strike.	2	2
Benevolent Bodyguard	{W}		Creature	Human,Cleric	Sacrifice Benevolent Bodyguard: Target creature you control gains protection from the color of your choice until end of turn.	1	1
Book Burning	{1}{R}		Sorcery		Any player may have Book Burning deal 6 damage to him or her. If no one does, target player puts the top six cards of his or her library into his or her graveyard.		
Border Patrol	{4}{W}		Creature	Human,Nomad	Vigilance	1	6
Brawn	{3}{G}		Creature	Incarnation	Trample|As long as Brawn is in your graveyard and you control a Forest, creatures you control have trample.	3	3
