Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Accomplished Automaton	{7}	None	Artifact,Creature	Construct	Fabricate 1 (When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)	5	7
Acrobatic Maneuver	{2}{W}	None	Instant	None	Exile target creature you control, then return that card to the battlefield under its owner's control.|Draw a card.		
Aerial Responder	{1}{W}{W}	None	Creature	Dwarf,Soldier	Flying, vigilance, lifelink	2	3
Aether Hub		None	Land	None	When Aether Hub enters the battlefield, you get  (an energy counter).|{T}: Add  to your mana pool.|{T}, Pay : Add one mana of any color to your mana pool.		
Aether Meltdown	{1}{U}	None	Enchantment	Aura	Flash (You may cast this spell any time you could cast an instant.)|Enchant creature or Vehicle|When Aether Meltdown enters the battlefield, you get  (two energy counters).|Enchanted permanent gets -4/-0.		
Aether Theorist	{1}{U}	None	Creature	Vedalken,Rogue	When Aether Theorist enters the battlefield, you get  (three energy counters).|{T}, Pay : Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)	1	3
Aether Tradewinds (Æther Tradewinds)	{2}{U}	None	Instant	None	Return target permanent you control and target permanent you don't control to their owners' hands.		
Aetherborn Marauder	{3}{B}	None	Creature	Aetherborn,Rogue	Flying, lifelink|When Aetherborn Marauder enters the battlefield, move any number of +1/+1 counters from other permanents you control onto Aetherborn Marauder.	2	2
Aetherflux Reservoir	{4}	None	Artifact	None	Whenever you cast a spell, you gain 1 life for each spell you've cast this turn.|Pay 50 life: Aetherflux Reservoir deals 50 damage to target creature or player.		
Aethersquall Ancient	{5}{U}{U}	None	Creature	Leviathan	Flying|At the beginning of your upkeep, you get  (three energy counters).|Pay : Return all other creatures to their owners' hands. Activate this ability only any time you could cast a sorcery.	6	6
Aetherstorm Roc	{2}{W}{W}	None	Creature	Bird	Flying|Whenever Aetherstorm Roc or another creature enters the battlefield under your control, you get  (an energy counter).|Whenever Aetherstorm Roc attacks, you may pay . If you do, put a +1/+1 counter on it and tap up to one target creature defending player controls.	3	3
Aethertorch Renegade	{2}{R}	None	Creature	Human,Rogue	When Aethertorch Renegade enters the battlefield, you get  (four energy counters).|{T}, Pay : Aethertorch Renegade deals 1 damage to target creature.|{T}, Pay : Aethertorch Renegade deals 6 damage to target player.	1	2
Aetherworks Marvel	{4}	Legendary	Artifact	None	Whenever a permanent you control is put into a graveyard, you get  (an energy counter).|{T}, Pay : Look at the top six cards of your library. You may cast a card from among them without paying its mana cost. Put the rest on the bottom of your library in a random order.		
Ambitious Aetherborn	{4}{B}	None	Creature	Aetherborn,Artificer	Fabricate 1 (When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)	4	3
Angel of Invention	{3}{W}{W}	None	Creature	Angel	Flying, vigilance, lifelink|Fabricate 2 (When this creature enters the battlefield, put two +1/+1 counters on it or create two 1/1 colorless Servo artifact creature tokens.)|Other creatures you control get +1/+1.	2	1
Animation Module	{1}	None	Artifact	None	Whenever one or more +1/+1 counters are placed on a permanent you control, you may pay {1}. If you do, create a 1/1 colorless Servo artifact creature token.|{3}, {T}: Choose a counter on target permanent or player. Give that permanent or player another counter of that kind.		
Appetite for the Unnatural	{2}{G}	None	Instant	None	Destroy target artifact or enchantment. You gain 2 life.		
Aradara Express	{5}	None	Artifact	Vehicle	Menace|Crew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)	8	6
Arborback Stomper	{3}{G}{G}	None	Creature	Beast	Trample|When Arborback Stomper enters the battlefield, you gain 5 life.	5	4
Architect of the Untamed	{2}{G}	None	Creature	Elf,Artificer,Druid	Whenever a land enters the battlefield under your control, you get  (an energy counter).|Pay : Create a 6/6 colorless Beast artifact creature token.	2	3
Armorcraft Judge	{3}{G}	None	Creature	Elf,Artificer	When Armorcraft Judge enters the battlefield, draw a card for each creature you control with a +1/+1 counter on it.	3	3
Attune with Aether	{G}	None	Sorcery	None	Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library. You get  (two energy counters).		
Authority of the Consuls	{W}	None	Enchantment	None	Creatures your opponents control enter the battlefield tapped.|Whenever a creature enters the battlefield under an opponent's control, you gain 1 life.		
Aviary Mechanic	{1}{W}	None	Creature	Dwarf,Artificer	When Aviary Mechanic enters the battlefield, you may return another permanent you control to its owner's hand.	2	2
Ballista Charger	{5}	None	Artifact	Vehicle	Whenever Ballista Charger attacks, it deals 1 damage to target creature or player.|Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)	6	6
Bastion Mastodon	{5}	None	Artifact,Creature	Elephant	{W}: Bastion Mastodon gains vigilance until end of turn.	4	5
Blooming Marsh		None	Land	None	Blooming Marsh enters the battlefield tapped unless you control two or fewer other lands.|{T}: Add {B} or {G} to your mana pool.		
Blossoming Defense	{G}	None	Instant	None	Target creature you control gets +2/+2 and gains hexproof until end of turn.		
Bomat Bazaar Barge	{4}	None	Artifact	Vehicle	When Bomat Bazaar Barge enters the battlefield, draw a card.|Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)	5	5
Bomat Courier	{1}	None	Artifact,Creature	Construct	Haste|Whenever Bomat Courier attacks, exile the top card of your library face down. (You can't look at it.)|{R}, Discard your hand, Sacrifice Bomat Courier: Put all cards exiled with Bomat Courier into their owners' hands.	1	1
Botanical Sanctum		None	Land	None	Botanical Sanctum enters the battlefield tapped unless you control two or fewer other lands.|{T}: Add {G} or {U} to your mana pool.		
Brazen Scourge	{1}{R}{R}	None	Creature	Gremlin	Haste	3	3
Bristling Hydra	{2}{G}{G}	None	Creature	Hydra	When Bristling Hydra enters the battlefield, you get  (three energy counters).|Pay : Put a +1/+1 counter on Bristling Hydra. It gains hexproof until end of turn.	4	3
Built to Last	{W}	None	Instant	None	Target creature gets +2/+2 until end of turn. If it's an artifact creature, it gains indestructible until end of turn. (Damage and effects that say 'destroy' don't destroy it.)		
Built to Smash	{R}	None	Instant	None	Target attacking creature gets +3/+3 until end of turn. If it's an artifact creature, it gains trample until end of turn.		
Captured by the Consulate	{3}{W}	None	Enchantment	Aura	Enchant creature you don't control|Enchanted creature can't attack.|Whenever an opponent casts a spell, if it has a single target, change the target to enchanted creature if able.		
